hit_id,sent_text,lemma_window,colloc,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_form,adv_form,adj_form,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
nyt_eng_20100228_0071_6:6-7-8,"The scoop in the hood is not only aggressive in appearance , but necessary for the air intake of the turbocharger .","the scoop in the hood be not only aggressive in appearance , but necessary for the air intake of the turbocharger .",,nyt_eng_20100228_0071_6,"Appearance  -COL-  We differ in opinion on the grille , but both like the Speed3 's taunt , yet subtle , profile .","the scoop in the hood is not only aggressive in appearance , but necessary for the air intake of the turbocharger .","the scoop in the hood be not only aggressive in appearance , but necessary for the air intake of the turbocharger .",The roof-mounted wing and slightly shouldered taillights make for a pleasing rear design .,not,only,aggressive,not,only,aggressive,6,7,8,"{'lemma': 'aggressive', 'ix': 8, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'aggressive'}",neg,"{'lemma': 'aggressive', 'ix': 8, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'only', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'aggressive'}",advmod,nyt_eng_201002,6-7-8,immediateNeg
nyt_eng_20100228_0067_94:10-11-12,"The end of this project , Jeremy says , is n't so much up to him .","the end of this project , Jeremy say , be not so much up to he .",,nyt_eng_20100228_0067_94,"His dealer lists it just shy of $ 100,000 .","the end of this project , Jeremy says , is n't so much up to him .","the end of this project , Jeremy say , be not so much up to he .",Hopefully it will make people think .,n't,so,much,n't,so,much,10,11,12,"{'lemma': 'much', 'ix': 12, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 10, 'xpos': 'RB', 'deprel': 'neg', 'head': 'much'}",neg,"{'lemma': 'much', 'ix': 12, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 11, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'much'}",advmod,nyt_eng_201002,10-11-12,immediateNeg
nyt_eng_20100228_0066_2:27-29-30,"That lament of the old-fashioned television viewer -- building in intensity as cable , DVRs and the Internet have played havoc with the traditional schedule -- has never been as justified as this year , when the Winter Olympics were thrown into the mix .","that lament of the old-fashioned television viewer -- build in intensity as cable , dvr and the internet have play havoc with the traditional schedule -- has never be as justified as this year , when the Winter Olympics were throw into the mix .",,nyt_eng_20100228_0066_2,Where are my shows ?,"that lament of the old-fashioned television viewer -- building in intensity as cable , DVRs and the Internet have played havoc with the traditional schedule -- has never been as justified as this year , when the Winter Olympics were thrown into the mix .","that lament of the old-fashioned television viewer -- build in intensity as cable , dvr and the internet have play havoc with the traditional schedule -- has never be as justified as this year , when the Winter Olympics were throw into the mix .","Even though February was a ratings sweeps period , nearly every show on the broadcast networks ' prime-time schedules -LRB- except for midseason starters like  -LBQ-  Lost  -RDQ-  and  -LBQ-  24  -RDQ-  -RRB- has been in reruns or vanished altogether , some for the two weeks of the Olympics and others for months .",never,as,justified,never,as,justified,27,29,30,"{'lemma': 'justified', 'ix': 30, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'never', 'ix': 27, 'xpos': 'RB', 'deprel': 'neg', 'head': 'justified'}",neg,"{'lemma': 'justified', 'ix': 30, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 29, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'justified'}",advmod,nyt_eng_201002,27-29-30,immediateNeg
nyt_eng_20100228_0061_15:4-6-7,"old-fashioned television viewer has never been as justified as this year , when the Winter Olympics were thrown into the mix .","old-fashioned television viewer has never be as justified as this year , when the Winter Olympics were throw into the mix .",,nyt_eng_20100228_0061_15,TV-SEASON -LRB- Undated -RRB- -- Where are my shows ? That lament of the,"old-fashioned television viewer has never been as justified as this year , when the Winter Olympics were thrown into the mix .","old-fashioned television viewer has never be as justified as this year , when the Winter Olympics were throw into the mix .",Nearly every show on the broadcast networks ' prime-time schedules -LRB- except for midseason starters like  -LBQ-  Lost  -RDQ-  and  -LBQ-  24  -RDQ-  -RRB- has been in reruns or vanished altogether .,never,as,justified,never,as,justified,4,6,7,"{'lemma': 'justified', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'never', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'justified'}",neg,"{'lemma': 'justified', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'justified'}",advmod,nyt_eng_201002,4-6-7,immediateNeg
nyt_eng_20100228_0057_1:3-5-6,Maybe we should n't get too giddy about the signs that the San Fernando Valley 's housing market is recovering .,maybe we should not get too giddy about the sign that the San Fernando Valley 's housing market is recover .,,nyt_eng_20100228_0057_1,,maybe we should n't get too giddy about the signs that the San Fernando Valley 's housing market is recovering .,maybe we should not get too giddy about the sign that the San Fernando Valley 's housing market is recover .,"It could be that the market is stuck , and its wheels are just spinning .",n't,too,giddy,n't,too,giddy,3,5,6,"{'lemma': 'giddy', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'giddy'}",neg,"{'lemma': 'giddy', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'too', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'giddy'}",advmod,nyt_eng_201002,3-5-6,immediateNeg
nyt_eng_20100228_0056_22:14-17-18,"It also could explain why star center Sidney Crosby , for example , has n't been nearly as impactful on the Olympic stage as he is night to night when leading his Pittsburgh Penguins .","it also could explain why star center Sidney Crosby , for example , has not be nearly as impactful on the Olympic stage as he be night to night when lead he Pittsburgh penguin .",,nyt_eng_20100228_0056_22,"It could be why Team Maple Leaf was slow to get its game in high gear , and why it lacked finish against the Americans in last Sunday 's meeting .","it also could explain why star center Sidney Crosby , for example , has n't been nearly as impactful on the Olympic stage as he is night to night when leading his Pittsburgh Penguins .","it also could explain why star center Sidney Crosby , for example , has not be nearly as impactful on the Olympic stage as he be night to night when lead he Pittsburgh penguin .","By Friday night , after the Canadians built a 3-0 lead and narrowly escaped with a 3-2 win over Slovakia in the semifinals , coach Mike Babcock labeled the undefeated , job-specific Americans as the favorite headed into today 's game .",n't,as,impactful,n't,as,impactful,14,17,18,"{'lemma': 'impactful', 'ix': 18, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'explain'}","{'lemma': 'not', 'ix': 14, 'xpos': 'RB', 'deprel': 'neg', 'head': 'impactful'}",neg,"{'lemma': 'impactful', 'ix': 18, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'explain'}","{'lemma': 'as', 'ix': 17, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'impactful'}",advmod,nyt_eng_201002,14-17-18,immediateNeg
nyt_eng_20100228_0054_27:4-5-6,"-LBQ-  The Olympics were n't that sweet for me ,  -RDQ-  said Ligety .","`` the Olympics be not that sweet for I , '' say Ligety .",,nyt_eng_20100228_0054_27,"Like Miller , he exited on the first run .","`` The Olympics were n't that sweet for me , '' said Ligety .","`` the Olympics be not that sweet for I , '' say Ligety .",-LBQ-  It was fun to be here and cool to watch the US success .,n't,that,sweet,n't,that,sweet,4,5,6,"{'lemma': 'sweet', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sweet'}",neg,"{'lemma': 'sweet', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'that', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sweet'}",advmod,nyt_eng_201002,4-5-6,immediateNeg
nyt_eng_20100228_0050_59:3-4-5,"-LBQ-  I 'm not really superstitious , I just want something that looks good on your back .","`` I be not really superstitious , I just want something that look good on you back .",,nyt_eng_20100228_0050_59,-LBQ-  It was given to me and I probably would have changed it earlier if I could .,"`` I 'm not really superstitious , I just want something that looks good on your back .","`` I be not really superstitious , I just want something that look good on you back .",That 's all I care about .,not,really,superstitious,not,really,superstitious,3,4,5,"{'lemma': 'superstitious', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'superstitious'}",neg,"{'lemma': 'superstitious', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'really', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'superstitious'}",advmod,nyt_eng_201002,3-4-5,immediateNeg
nyt_eng_20100228_0048_59:3-4-5,"-LBQ-  I 'm not really superstitious , I just want something that looks good on your back .","`` I be not really superstitious , I just want something that look good on you back .",,nyt_eng_20100228_0048_59,-LBQ-  It was given to me and I probably would have changed it earlier if I could .,"`` I 'm not really superstitious , I just want something that looks good on your back .","`` I be not really superstitious , I just want something that look good on you back .",That 's all I care about .,not,really,superstitious,not,really,superstitious,3,4,5,"{'lemma': 'superstitious', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'superstitious'}",neg,"{'lemma': 'superstitious', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'really', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'superstitious'}",advmod,nyt_eng_201002,3-4-5,immediateNeg
nyt_eng_20100228_0043_14:0-1-2,No less final but less gruesome is the fate of a middle-class marriage shown in William McGregor Paxton 's 1911 painting  -LBQ-  The Breakfast .  -RDQ-,. '',,nyt_eng_20100228_0043_14,"With the mast of his boat broken , a black sailor faces certain doom in choppy seas as a storm approaches and sharks driven to frenzy by blood in the water surround his vessel .",no less final but less gruesome is the fate of a middle-class marriage shown in William McGregor Paxton 's 1911 painting `` The Breakfast . '',no less final but less gruesome be the fate of a middle-class marriage show in William McGregor Paxton 's 1911 painting `` The Breakfast . '',The image shows a young woman seated at the table quietly sulking as her husband buries himself in the morning paper .,no,less,final,no,less,final,0,1,2,"{'lemma': 'final', 'ix': 2, 'xpos': 'JJ', 'deprel': 'nsubj', 'head': 'fate'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'final'}",det,"{'lemma': 'final', 'ix': 2, 'xpos': 'JJ', 'deprel': 'nsubj', 'head': 'fate'}","{'lemma': 'less', 'ix': 1, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'final'}",advmod,nyt_eng_201002,0-1-2,immediateNeg
nyt_eng_20100228_0036_22:13-14-15,"-LBQ-  Then you go back and watch the tape , and it 's not as bad as you think .","`` then you go back and watch the tape , and it be not as bad as you think .",,nyt_eng_20100228_0036_22,"-LBQ-  You 're really hard on those guys during the season ,  -RDQ-  Morris said .","`` Then you go back and watch the tape , and it 's not as bad as you think .","`` then you go back and watch the tape , and it be not as bad as you think .","-RDQ-  -LRB- Jeremy -RRB- Zuttah , I 've got to apologize for cussing you out so much .",not,as,bad,not,as,bad,13,14,15,"{'lemma': 'bad', 'ix': 15, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'go'}","{'lemma': 'not', 'ix': 13, 'xpos': 'RB', 'deprel': 'neg', 'head': 'bad'}",neg,"{'lemma': 'bad', 'ix': 15, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'go'}","{'lemma': 'as', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}",advmod,nyt_eng_201002,13-14-15,immediateNeg
nyt_eng_20100228_0035_17:7-8-9,Rays rumblings  -COL-  Manager Joe Maddon is n't particularly pleased that 17 of the Rays ' 32 exhibitions are against AL East teams because of the overexposure of pitchers .,rays rumbling : manager Joe Maddon be not particularly pleased that 17 of the ray ' 32 exhibition be against AL East team because of the overexposure of pitcher .,,nyt_eng_20100228_0035_17,"A Foxsports.com survey of 20 baseball people found the most common estimates were five-year deals for $ 60 million to $ 80 million , though others think he could make more in years and dollars , perhaps into triple digits .",rays rumblings : Manager Joe Maddon is n't particularly pleased that 17 of the Rays ' 32 exhibitions are against AL East teams because of the overexposure of pitchers .,rays rumbling : manager Joe Maddon be not particularly pleased that 17 of the ray ' 32 exhibition be against AL East team because of the overexposure of pitcher .,1B Russell Branyan said picking the Indians over the Rays was  -LBQ-  a very tough decision  -RDQ-  keyed to Cleveland 's promise of being the everyday first baseman .,n't,particularly,pleased,n't,particularly,pleased,7,8,9,"{'lemma': 'pleased', 'ix': 9, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 7, 'xpos': 'RB', 'deprel': 'neg', 'head': 'pleased'}",neg,"{'lemma': 'pleased', 'ix': 9, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'particularly', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'pleased'}",advmod,nyt_eng_201002,7-8-9,immediateNeg
nyt_eng_20100228_0032_19:24-25-26,Joyce -LRB- a lefty swinger -RRB- and Rodriguez -LRB- a righty -RRB- have thunder in their bats ; Brignac -LRB- also a lefty -RRB- not as much .,Joyce -lrb- a lefty swinger -rrb- and Rodriguez -lrb- a righty -rrb- have thunder in they bat ; Brignac -lrb- also a lefty -rrb- not as much .,,nyt_eng_20100228_0032_19,"The Rays consider all three above-average defenders , with Rodriguez probably the smoothest .",Joyce -LRB- a lefty swinger -RRB- and Rodriguez -LRB- a righty -RRB- have thunder in their bats ; Brignac -LRB- also a lefty -RRB- not as much .,Joyce -lrb- a lefty swinger -rrb- and Rodriguez -lrb- a righty -rrb- have thunder in they bat ; Brignac -lrb- also a lefty -rrb- not as much .,All are young and have minor-league options .,not,as,much,not,as,much,24,25,26,"{'lemma': 'much', 'ix': 26, 'xpos': 'JJ', 'deprel': 'parataxis', 'head': 'have'}","{'lemma': 'not', 'ix': 24, 'xpos': 'RB', 'deprel': 'neg', 'head': 'much'}",neg,"{'lemma': 'much', 'ix': 26, 'xpos': 'JJ', 'deprel': 'parataxis', 'head': 'have'}","{'lemma': 'as', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'much'}",advmod,nyt_eng_201002,24-25-26,immediateNeg
nyt_eng_20100228_0029_87:8-10-11,But people trying to replicate the process are not always as successful as those in Silicon Valley .,but people try to replicate the process be not always as successful as those in Silicon Valley .,,nyt_eng_20100228_0029_87,"The Department of Energy started one as well , to try to transform ideas formed at national laboratories into seedlings for companies .",but people trying to replicate the process are not always as successful as those in Silicon Valley .,but people try to replicate the process be not always as successful as those in Silicon Valley .,Bauer worked on the Department of Energy 's EIR project at Oak Ridge National Laboratory in Tennessee .,not,as,successful,not,as,successful,8,10,11,"{'lemma': 'successful', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 8, 'xpos': 'RB', 'deprel': 'neg', 'head': 'successful'}",neg,"{'lemma': 'successful', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'successful'}",advmod,nyt_eng_201002,8-10-11,immediateNeg
