hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,sent_text,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,colloc,category
nyt_eng_20040505_0042_11:27-28-29,explicitly_legal,"What of New York , for example , where Attorney General Eliot Spitzer has said his state would recognize gay marriages performed elsewhere even though they are not explicitly legal in New York ? Is that a  -LBQ-  legal impediment  -RDQ-  \/ r not ?",not,explicitly,legal,they are not explicitly legal in New,nyt_eng_20040505_0042_11,The answer to that can be murky .,"What of New York , for example , where Attorney General Eliot Spitzer has said his state would recognize gay marriages performed elsewhere even though they are not explicitly legal in New York ? Is that a  -LBQ-  legal impediment  -RDQ-  \/ r not ?","what of New York , for example , where Attorney General Eliot Spitzer has said his state would recognize gay marriages performed elsewhere even though they are not explicitly legal in New York ? Is that a `` legal impediment '' \/ r not ?","what of New York , for example , where Attorney General Eliot Spitzer has say he state would recognize gay marriage perform elsewhere even though they be not explicitly legal in New York ? be that a `` legal impediment '' \/ r not ?","At its essence , the 1913 law is discriminatory .",not,explicitly,legal,27,28,29,"{'lemma': 'legal', 'ix': 29, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'perform'}","{'lemma': 'not', 'ix': 27, 'xpos': 'RB', 'deprel': 'neg', 'head': 'legal'}",neg,"{'lemma': 'legal', 'ix': 29, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'perform'}","{'lemma': 'explicitly', 'ix': 28, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'legal'}",advmod,nyt_eng_200405,27-28-29,explicitly_legal,immediateNeg
nyt_eng_20040505_0042_1:18-19-20,enough_clarmty,"Dan Winslow , chief legal counsel to Governor Romney , has brought a modicum of sanity , but not enough clarmty , to the question of how city and town clerks must enforce a 1913 laples is a discrimination suit waiting to happen .",not,enough,clarmty,", but not enough clarmty , to",nyt_eng_20040505_0042_1,,"Dan Winslow , chief legal counsel to Governor Romney , has brought a modicum of sanity , but not enough clarmty , to the question of how city and town clerks must enforce a 1913 laples is a discrimination suit waiting to happen .","Dan Winslow , chief legal counsel to Governor Romney , has brought a modicum of sanity , but not enough clarmty , to the question of how city and town clerks must enforce a 1913 laples is a discrimination suit waiting to happen .","Dan Winslow , chief legal counsel to Governor Romney , has bring a modicum of sanity , but not enough clarmty , to the question of how city and town clerk must enforce a 1913 laple be a discrimination suit wait to happen .",By far the best resolution would be to repeal the law altogether and concentrate on helping gay marpiages procede smoothly vhen they become legal on May 17 .,not,enough,clarmty,18,19,20,"{'lemma': 'clarmty', 'ix': 20, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'bring'}","{'lemma': 'not', 'ix': 18, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clarmty'}",neg,"{'lemma': 'clarmty', 'ix': 20, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'bring'}","{'lemma': 'enough', 'ix': 19, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clarmty'}",advmod,nyt_eng_200405,18-19-20,enough_clarmty,immediateNeg
nyt_eng_20040505_0026_23:4-5-6,too_cloying,"In a nutshell  -COL-  Not too cloying , funny\/sad story of a young boy 's quest to fix his broken family in 1960s Argentina .",Not,too,cloying,"nutshell : Not too cloying , funny\/sad",nyt_eng_20040505_0026_23,Running time  -COL-  1 hr . 35 min .,"In a nutshell  -COL-  Not too cloying , funny\/sad story of a young boy 's quest to fix his broken family in 1960s Argentina .","in a nutshell : Not too cloying , funny\/sad story of a young boy 's quest to fix his broken family in 1960s Argentina .","in a nutshell : not too cloying , funny\/sad story of a young boy 's quest to fix he broken family in 1960s Argentina .",In Spanish with English subtitles .,Not,too,cloying,4,5,6,"{'lemma': 'cloying', 'ix': 6, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'story'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'cloying'}",neg,"{'lemma': 'cloying', 'ix': 6, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'story'}","{'lemma': 'too', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'cloying'}",advmod,nyt_eng_200405,4-5-6,too_cloying,immediateNeg
nyt_eng_20040505_0023_40:24-25-26,very_good,"He was heavily involved in creating the game , mostly because , as he puts it ,  -LBQ-  ` The Mummy ' games were not very good .  -RDQ-",not,very,good,games were not very good . '',nyt_eng_20040505_0023_40,"If anything , Sommers has had to be restrained from participating in all the  -LBQ-  Waj Helsing  -RDQ-  spin-offs .","He was heavily involved in creating the game , mostly because , as he puts it ,  -LBQ-  ` The Mummy ' games were not very good .  -RDQ-","he was heavily involved in creating the game , mostly because , as he puts it , `` ` The Mummy ' games were not very good . ''","he be heavily involve in create the game , mostly because , as he put it , `` ` the Mummy ' game be not very good . ''",-LRB- Sommers says his nephew had an even blunter assessment  -COL-   -LBQ-  They sucked .  -RDQ-  -RRB-,not,very,good,24,25,26,"{'lemma': 'good', 'ix': 26, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'involve'}","{'lemma': 'not', 'ix': 24, 'xpos': 'RB', 'deprel': 'neg', 'head': 'good'}",neg,"{'lemma': 'good', 'ix': 26, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'involve'}","{'lemma': 'very', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}",advmod,nyt_eng_200405,24-25-26,very_good,immediateNeg
nyt_eng_20040505_0023_33:6-7-8,THAT_expensive,-LRB- Jackman  -COL-   -LBQ-  I 'm not THAT expensive .  -RDQ-  -RRB-,not,THAT,expensive,I 'm not THAT expensive . '',nyt_eng_20040505_0023_33,He 's like a kid with a very expensive Barbie and Ken .  -RDQ-,-LRB- Jackman  -COL-   -LBQ-  I 'm not THAT expensive .  -RDQ-  -RRB-,-lrb- Jackman : `` I 'm not THAT expensive . '' -RRB-,-lrb- Jackman : `` I be not that expensive . '' -rrb-,"So when it 's suggested -- as it has been often -- that  -LBQ-  Van Helsing  -RDQ-  is little more than a very expensive , somewhat convoluted way for Universal Pictures to flex its multimedia muscles , Sommers recoils .",not,THAT,expensive,6,7,8,"{'lemma': 'expensive', 'ix': 8, 'xpos': 'JJ', 'deprel': 'dep', 'head': 'Jackman'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'expensive'}",neg,"{'lemma': 'expensive', 'ix': 8, 'xpos': 'JJ', 'deprel': 'dep', 'head': 'Jackman'}","{'lemma': 'that', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'expensive'}",advmod,nyt_eng_200405,6-7-8,THAT_expensive,immediateNeg
nyt_eng_20040505_0021_35:14-16-17,as_formidable,And the network 's once-mighty  -LBQ-  Must See TV  -RDQ-  Thursday night schedule is n't nearly as formidable .,n't,as,formidable,schedule is n't nearly as formidable .,nyt_eng_20040505_0021_35,"With  -LBQ-  Friends  -RDQ-  and  -LBQ-  Frasier  -RDQ-  gone , NBC 's comedy lineup is particularly vulnerable .",And the network 's once-mighty  -LBQ-  Must See TV  -RDQ-  Thursday night schedule is n't nearly as formidable .,and the network 's once-mighty `` Must See TV '' Thursday night schedule is n't nearly as formidable .,and the network 's once-mighty `` must see tv '' Thursday night schedule be not nearly as formidable .,The network also continues to rely heavily on such aging hits as  -LBQ-  ER  -RDQ-  and  -LBQ-  Law & Order .  -RDQ-,n't,as,formidable,14,16,17,"{'lemma': 'formidable', 'ix': 17, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 14, 'xpos': 'RB', 'deprel': 'neg', 'head': 'formidable'}",neg,"{'lemma': 'formidable', 'ix': 17, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 16, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'formidable'}",advmod,nyt_eng_200405,14-16-17,as_formidable,immediateNeg
nyt_eng_20040505_0021_10:6-7-8,as_hot,Does that mean Pamela Anderson is not as hot ?  -RDQ-,not,as,hot,Anderson is not as hot ? '',nyt_eng_20040505_0021_10,"It 's like , now you have Jessica Simpson to talk about .",Does that mean Pamela Anderson is not as hot ?  -RDQ-,does that mean Pamela Anderson is not as hot ? '',do that mean Pamela Anderson be not as hot ? '',"Although Probst says bringing 18 of the show 's most memorable contestants was a  -LBQ-  fun experiment ,  -RDQ-  he would n't want to see it happen again .",not,as,hot,6,7,8,"{'lemma': 'hot', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'mean'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'hot'}",neg,"{'lemma': 'hot', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'mean'}","{'lemma': 'as', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'hot'}",advmod,nyt_eng_200405,6-7-8,as_hot,immediateNeg
nyt_eng_20040505_0009_27:3-5-6,as_unpleasant,But exercise is n't nearly as unpleasant if you do it without thinking about it .,n't,as,unpleasant,exercise is n't nearly as unpleasant if you,nyt_eng_20040505_0009_27,This is one reason two-thirds of Americans are overweight .,But exercise is n't nearly as unpleasant if you do it without thinking about it .,but exercise is n't nearly as unpleasant if you do it without thinking about it .,but exercise be not nearly as unpleasant if you do it without think about it .,"-LBQ-  Is n't it funny that aerobic exercise on a machine is incredibly boring ,  -RDQ-  said Heitzeberg ,  -LBQ-  yet you can play basketball for 45 minutes , and it 's fun ? ...",n't,as,unpleasant,3,5,6,"{'lemma': 'unpleasant', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'unpleasant'}",neg,"{'lemma': 'unpleasant', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'unpleasant'}",advmod,nyt_eng_200405,3-5-6,as_unpleasant,immediateNeg
nyt_eng_20040504_0063_9:3-4-5,as_innocent,-LBQ-  It 's not as innocent as they might expect .  -RDQ-,not,as,innocent,It 's not as innocent as they,nyt_eng_20040504_0063_9,"-LBQ-  People still have a naive approach to marijuana and think of it as a harmless substance ,  -RDQ-  said Dr. William Compton , lead author of the new study and an epidemiologist with the National Institute of Drug Abuse , one of the National Institutes of Health .",-LBQ-  It 's not as innocent as they might expect .  -RDQ-,`` It 's not as innocent as they might expect . '',`` it be not as innocent as they might expect . '',"About 4 percent of Americans age 18 and older say they smoked marijuana in the past year , the same as a decade ago , the study found .",not,as,innocent,3,4,5,"{'lemma': 'innocent', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'innocent'}",neg,"{'lemma': 'innocent', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'as', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'innocent'}",advmod,nyt_eng_200405,3-4-5,as_innocent,immediateNeg
nyt_eng_20040504_0059_58:9-10-11,always_clear,But the legality of taking electricity without permission is not always clear .,not,always,clear,permission is not always clear .,nyt_eng_20040504_0059_58,OPTIONAL MATERIAL FOLLOWS . -RRB-,But the legality of taking electricity without permission is not always clear .,but the legality of taking electricity without permission is not always clear .,but the legality of take electricity without permission be not always clear .,"Matthew Lee , a lawyer with thd Bronx community group , cited abfight that occurred in 1992 between Con Ed and a group of squatters in the Bronx .",not,always,clear,9,10,11,"{'lemma': 'clear', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 9, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'always', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,nyt_eng_200405,9-10-11,always_clear,immediateNeg
nyt_eng_20040504_0056_9:2-3-4,immediately_clear,It was not immediately clear whether the extension would apply .,not,immediately,clear,it was not immediately clear whether the,nyt_eng_20040504_0056_9,"The 10-day deadline could be extended to 60 days , the ruling said , if KPMG 's tax-shelter participants were liable for  -LBQ-  additional taxes  -RDQ-  over the next 60 days .",It was not immediately clear whether the extension would apply .,it was not immediately clear whether the extension would apply .,it be not immediately clear whether the extension would apply .,"KPMG has turned over some documents but withheld others , citing lawyer-client privileges governing confidentiality .",not,immediately,clear,2,3,4,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,nyt_eng_200405,2-3-4,immediately_clear,immediateNeg
nyt_eng_20040504_0054_16:36-37-38,fully_developed,"-LBQ-  They may feel that when they 're teen-agers , they can do anything they want , like they 're adults , and it can be very dangerous to their bodies and brains because they are n't fully developed ,  -RDQ-  she said .",n't,fully,developed,"they are n't fully developed , ''",nyt_eng_20040504_0054_16,Gueorguieva said the lesson is particularly important .,"-LBQ-  They may feel that when they 're teen-agers , they can do anything they want , like they 're adults , and it can be very dangerous to their bodies and brains because they are n't fully developed ,  -RDQ-  she said .","`` They may feel that when they 're teen-agers , they can do anything they want , like they 're adults , and it can be very dangerous to their bodies and brains because they are n't fully developed , '' she said .","`` they may feel that when they be teen-agers , they can do anything they want , like they be adult , and it can be very dangerous to they body and brain because they are not fully developed , '' she say .",MADD President Wendy Hamilton said the group created the program because children are too often tempted to engage in adult behavior .,n't,fully,developed,36,37,38,"{'lemma': 'developed', 'ix': 38, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'dangerous'}","{'lemma': 'not', 'ix': 36, 'xpos': 'RB', 'deprel': 'neg', 'head': 'developed'}",neg,"{'lemma': 'developed', 'ix': 38, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'dangerous'}","{'lemma': 'fully', 'ix': 37, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'developed'}",advmod,nyt_eng_200405,36-37-38,fully_developed,immediateNeg
nyt_eng_20040504_0042_8:19-25-26,more_secure,"-LBQ-  On the other hand , I look forward to making the case that the world is better off without Saddam Hussein and America is more secure and safe ,  -RDQ-  he said .",without,more,secure,better off without Saddam Hussein and America is more secure and safe,nyt_eng_20040504_0042_8,"-LBQ-  With Iraq there 's no question it 's tough right now ,  -RDQ-  he said .","-LBQ-  On the other hand , I look forward to making the case that the world is better off without Saddam Hussein and America is more secure and safe ,  -RDQ-  he said .","`` On the other hand , I look forward to making the case that the world is better off without Saddam Hussein and America is more secure and safe , '' he said .","`` on the other hand , I look forward to make the case that the world be better off without Saddam Hussein and America be more secure and safe , '' he say .",-LBQ-  And I will continue to make the case about the historic nature about what we 're doing .,without,more,secure,19,25,26,"{'lemma': 'secure', 'ix': 26, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'better'}","{'lemma': 'without', 'ix': 19, 'xpos': 'IN', 'deprel': 'mark', 'head': 'secure'}",mark,"{'lemma': 'secure', 'ix': 26, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'better'}","{'lemma': 'more', 'ix': 25, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'secure'}",advmod,nyt_eng_200405,19-25-26,more_secure,immediateNeg
