hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
nyt_eng_19991206_0052_10:9-10-11,that_discerning,"A. Well , maybe your Schnauzer 's schnoz is n't that discerning , but Dr. Larry Myers , of the Veterinary School at Auburn University , says dogs are at the top of the animal kingdom -LRB- along with rats -RRB- when it comes to their ability to smell .",n't,that,discerning,"schnoz is n't that discerning , but",nyt_eng_19991206_0052_10,-LRB- end poetry style -RRB-,"A. Well , maybe your Schnauzer 's schnoz is n't that discerning , but Dr. Larry Myers , of the Veterinary School at Auburn University , says dogs are at the top of the animal kingdom -LRB- along with rats -RRB- when it comes to their ability to smell .","A. Well , maybe you schnauzer 's schnoz be not that discerning , but Dr. Larry Myers , of the veterinary School at Auburn University , say dog be at the top of the animal kingdom -lrb- along with rat -rrb- when it come to they ability to smell .","He says in one test , dogs were 1,000 times better at smelling a test odor than humans .",n't,that,discerning,9,10,11,"{'lemma': 'discerning', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 9, 'xpos': 'RB', 'deprel': 'neg', 'head': 'discerning'}",neg,"{'lemma': 'discerning', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'that', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'discerning'}",advmod,nyt_eng_199912,9-10-11,immediateNeg
nyt_eng_19991206_0047_26:3-4-5,really_interested,But Stern is n't really interested in rants .,n't,really,interested,Stern is n't really interested in rants,nyt_eng_19991206_0047_26,"Stern does not spend a lot of time mixing it up with the antismoking commandos , though she believes their campaign  -LBQ-  operates within an economy of moralism , with a rhetoric of abhorrence that appeals to the ` common good , '  -RDQ-  and that  -LBQ-  smokers are made to feel socially guilty , as though acting criminally against the common good .  -RDQ-",but Stern is n't really interested in rants .,but Stern be not really interested in rant .,"Instead , she has fashioned a book with the dexterity of a jazz riff and the ethereal beauty of a smoke ring .",n't,really,interested,3,4,5,"{'lemma': 'interested', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'interested'}",neg,"{'lemma': 'interested', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'really', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'interested'}",advmod,nyt_eng_199912,3-4-5,immediateNeg
nyt_eng_19991206_0046_35:2-3-4,quite_true,This was n't quite true ; Edison died a millionaire .,n't,quite,true,this was n't quite true ; Edison,nyt_eng_19991206_0046_35,"His friend and admirer , Henry Ford , called Edison  -LBQ-  the world 's greatest inventor and worst businessman .  -RDQ-",this was n't quite true ; Edison died a millionaire .,this be not quite true ; Edison die a millionaire .,"But , as Paul Israel , editor of the Edison papers at Rutgers University , says ,  -LBQ-  He was interested in solving technical problems and bringing them to market ; he was n't interested in running a business .  -RDQ-",n't,quite,true,2,3,4,"{'lemma': 'true', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'true'}",neg,"{'lemma': 'true', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'quite', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'true'}",advmod,nyt_eng_199912,2-3-4,immediateNeg
nyt_eng_19991206_0045_12:4-5-6,as_far-reaching,The proposed standard is not as far-reaching as it could have been .,not,as,far-reaching,standard is not as far-reaching as it,nyt_eng_19991206_0045_12,"Construction , maritime , and agricultural industry workers would be excluded .",the proposed standard is not as far-reaching as it could have been .,the propose standard be not as far-reaching as it could have be .,"Overall , it would apply to only 25 percent of general industry employers ; the other 75 percent would not be affected unless a documented , work-related injury occurred at their work sites .",not,as,far-reaching,4,5,6,"{'lemma': 'far-reaching', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'far-reaching'}",neg,"{'lemma': 'far-reaching', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'far-reaching'}",advmod,nyt_eng_199912,4-5-6,immediateNeg
nyt_eng_19991206_0026_46:10-11-12,so_bad,"Janis has her points , too  -COL-   -LBQ-  Acting is n't so bad as long as you always know the difference , and can drop the act or mask at will .  -RDQ-",n't,so,bad,Acting is n't so bad as long,nyt_eng_19991206_0026_46,"-LBQ-  Gary Cooper Off Camera  -RDQ-  is an affectionate photographic memoir of the American screen icon by his daughter Maria Cooper Janis -LRB- Abrams , $ 35.00 -RRB- , with a quiet and telling introduction about screen acting by Tom Hanks .","Janis has her points , too : `` Acting is n't so bad as long as you always know the difference , and can drop the act or mask at will . ''","Janis have she point , too : `` acting be not so bad as long as you always know the difference , and can drop the act or mask at will . ''",Two other Hollywood books are fun .,n't,so,bad,10,11,12,"{'lemma': 'bad', 'ix': 12, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'have'}","{'lemma': 'not', 'ix': 10, 'xpos': 'RB', 'deprel': 'neg', 'head': 'bad'}",neg,"{'lemma': 'bad', 'ix': 12, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'have'}","{'lemma': 'so', 'ix': 11, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}",advmod,nyt_eng_199912,10-11-12,immediateNeg
nyt_eng_19991206_0018_22:33-35-36,any_easier,"But there 's an excellent chance that they are , because the structural transformations in the world oil market are real , and so too is the fact that running a cartel has not gotten any easier in the past couple of years .",not,any,easier,cartel has not gotten any easier in the,nyt_eng_19991206_0018_22,There 's no guarantee that the oil companies are right .,"but there 's an excellent chance that they are , because the structural transformations in the world oil market are real , and so too is the fact that running a cartel has not gotten any easier in the past couple of years .","but there be a excellent chance that they be , because the structural transformation in the world oil market be real , and so too be the fact that run a cartel has not get any easier in the past couple of year .",Price-fixing cartels can work quite well in the short term .,not,any,easier,33,35,36,"{'lemma': 'easier', 'ix': 36, 'xpos': 'JJR', 'deprel': 'ccomp', 'head': 'fact'}","{'lemma': 'not', 'ix': 33, 'xpos': 'RB', 'deprel': 'neg', 'head': 'easier'}",neg,"{'lemma': 'easier', 'ix': 36, 'xpos': 'JJR', 'deprel': 'ccomp', 'head': 'fact'}","{'lemma': 'any', 'ix': 35, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'easier'}",advmod,nyt_eng_199912,33-35-36,immediateNeg
nyt_eng_19991201_0104_8:12-13-14,too_high,"Jake Winebaum , a co-founder of Ecompanies , said the price was not too high for a brand name , given that Web-based companies are spending more than $ 1 million for a 30-second commercial during the Super Bowl to make their names known .",not,too,high,price was not too high for a,nyt_eng_19991201_0104_8,It will use the name for what it says will be a broad directory of Web services available to businesses that it plans to start next year .,"Jake Winebaum , a co-founder of Ecompanies , said the price was not too high for a brand name , given that Web-based companies are spending more than $ 1 million for a 30-second commercial during the Super Bowl to make their names known .","Jake Winebaum , a co-founder of Ecompanies , say the price be not too high for a brand name , give that web-based company are spend more than $ 1 million for a 30-second commercial during the Super Bowl to make they name know .","-LBQ-  We actually think the name means a lot ,  -RDQ-  said Winebaum , who ran Walt Disney Co. 's Web business before starting Ecompanies earlier this year with Sky Dayton , the founder of Earthlink Network , an Internet service provider .",not,too,high,12,13,14,"{'lemma': 'high', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 12, 'xpos': 'RB', 'deprel': 'neg', 'head': 'high'}",neg,"{'lemma': 'high', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'too', 'ix': 13, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'high'}",advmod,nyt_eng_199912,12-13-14,immediateNeg
nyt_eng_19991201_0088_7:4-6-7,so_insignificant,"But the question may not be so insignificant to investors in the Web sites , which include Launch Media , NetRadio , SonicNet -LRB- owned by Viacom 's MTV -RRB- and Spinner.com -LRB- owned by America Online -RRB- .",not,so,insignificant,question may not be so insignificant to investors,nyt_eng_19991201_0088_7,"Because the sites are permitted to continue playing music until arbitration is completed , the issue may seem insignificant to the growing number of Internet listeners .","but the question may not be so insignificant to investors in the Web sites , which include Launch Media , NetRadio , SonicNet -LRB- owned by Viacom 's MTV -RRB- and Spinner.com -LRB- owned by America Online -RRB- .","but the question may not be so insignificant to investor in the Web site , which include Launch Media , NetRadio , SonicNet -lrb- own by Viacom 's MTV -rrb- and Spinner.com -lrb- own by America Online -rrb- .",The royalty fees paid to the record industry ultimately could become a substantial business expense .,not,so,insignificant,4,6,7,"{'lemma': 'insignificant', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'insignificant'}",neg,"{'lemma': 'insignificant', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'insignificant'}",advmod,nyt_eng_199912,4-6-7,immediateNeg
nyt_eng_19991201_0087_35:4-6-7,completely_ready,"them report they are not yet completely ready ,  -RDQ-  said Edward Yardeni , the Deutsche Bank economist who has predicted that year 2000 computer disruptions are likely to lead to a worldwide recession next year .",not,completely,ready,"they are not yet completely ready , ''",nyt_eng_19991201_0087_35,-LBQ-  Y2K experts remain remarkably optimistic even though many of,"them report they are not yet completely ready , '' said Edward Yardeni , the Deutsche Bank economist who has predicted that year 2000 computer disruptions are likely to lead to a worldwide recession next year .","they report they be not yet completely ready , '' say Edward Yardeni , the Deutsche Bank economist who has predict that year 2000 computer disruption be likely to lead to a worldwide recession next year .","The latest poll results , which will be released today , show the",not,completely,ready,4,6,7,"{'lemma': 'ready', 'ix': 7, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'report'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'ready'}",neg,"{'lemma': 'ready', 'ix': 7, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'report'}","{'lemma': 'completely', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'ready'}",advmod,nyt_eng_199912,4-6-7,immediateNeg
nyt_eng_19991201_0085_5:24-25-26,so_easy,"Right now I 'm at the hotel bar , nursing a glass of the local wine and trying to make friends , which is not so easy where there 's hardly any English spoken .",not,so,easy,which is not so easy where there,nyt_eng_19991201_0085_5,"AIX-EN-PROVENCE , France _ Here I am in a town called Aix , as in  -LBQ-  X  -RDQ-  marks the spot , at a hotel named Le Pigonnet , as in  -LBQ-  Voila ! Here comes another of zee fat pigeons for us to pluck .  -RDQ-","right now I 'm at the hotel bar , nursing a glass of the local wine and trying to make friends , which is not so easy where there 's hardly any English spoken .","right now I be at the hotel bar , nurse a glass of the local wine and try to make friend , which be not so easy where there be hardly any english spoken .","Meanwhile , my wife is in our room , nursing a headache , most likely lying down with a cold washcloth on her forehead and the drapes closed .",not,so,easy,24,25,26,"{'lemma': 'easy', 'ix': 26, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'friend'}","{'lemma': 'not', 'ix': 24, 'xpos': 'RB', 'deprel': 'neg', 'head': 'easy'}",neg,"{'lemma': 'easy', 'ix': 26, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'friend'}","{'lemma': 'so', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'easy'}",advmod,nyt_eng_199912,24-25-26,immediateNeg
nyt_eng_19991201_0072_79:7-13-14,more_correct,Is n't that an oxymoron ? Would n't  -LBQ-  neutral stance  -RDQ-  be more correct ?,n't,more,correct,? Would n't `` neutral stance '' be more correct ?,nyt_eng_19991201_0072_79,Q  -COL-  I read that the Federal Reserve instituted a  -LBQ-  neutral bias  -RDQ-  toward interest rates .,is n't that an oxymoron ? Would n't `` neutral stance '' be more correct ?,be not that a oxymoron ? would not `` neutral stance '' be more correct ?,"A  -COL-  It may sound oxymoronic , but it 's the conventional phrase used to describe the Fed 's deliberate decision not to lean one way or the other on interest rates .",n't,more,correct,7,13,14,"{'lemma': 'correct', 'ix': 14, 'xpos': 'JJ', 'deprel': 'dep', 'head': 'oxymoron'}","{'lemma': 'not', 'ix': 7, 'xpos': 'RB', 'deprel': 'neg', 'head': 'correct'}",neg,"{'lemma': 'correct', 'ix': 14, 'xpos': 'JJ', 'deprel': 'dep', 'head': 'oxymoron'}","{'lemma': 'more', 'ix': 13, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'correct'}",advmod,nyt_eng_199912,7-13-14,immediateNeg
nyt_eng_19991201_0072_20:12-13-14,any_brighter,"While NHTSA confirms that the new headlights meet all requirements and are n't any brighter than old ones , glare can be a problem .",n't,any,brighter,and are n't any brighter than old,nyt_eng_19991201_0072_20,"As explained in the April issue of Consumer Reports , both the National Highway Traffic Safety Administration and the American Automobile Association have reported mounting complaints from motorists who , like you , find the lights distracting , especially head-on .","while NHTSA confirms that the new headlights meet all requirements and are n't any brighter than old ones , glare can be a problem .","while NHTSA confirm that the new headlight meet all requirement and be not any brighter than old one , glare can be a problem .",The sharp contrast between lit and unlit areas also may give oncoming motorists a temporary sense of being blinded .,n't,any,brighter,12,13,14,"{'lemma': 'brighter', 'ix': 14, 'xpos': 'JJR', 'deprel': 'conj', 'head': 'meet'}","{'lemma': 'not', 'ix': 12, 'xpos': 'RB', 'deprel': 'neg', 'head': 'brighter'}",neg,"{'lemma': 'brighter', 'ix': 14, 'xpos': 'JJR', 'deprel': 'conj', 'head': 'meet'}","{'lemma': 'any', 'ix': 13, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'brighter'}",advmod,nyt_eng_199912,12-13-14,immediateNeg
nyt_eng_19991201_0056_43:11-12-13,always_good,"Now , of course what is good for the individual is not always good if everyone else does it too .",not,always,good,individual is not always good if everyone,nyt_eng_19991201_0056_43,"Wearing a suit and working at a computer in an office tower are , believe it or not , preferable to backbreaking work in a rice paddy .","now , of course what is good for the individual is not always good if everyone else does it too .","now , of course what be good for the individual be not always good if everyone else do it too .","Having a big house with a garden is nice , but seeing the countryside covered by suburban sprawl is not , and we might all be better off if we could all agree -LRB- or be convinced by tax incentives -RRB- to take up a bit less space .",not,always,good,11,12,13,"{'lemma': 'good', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 11, 'xpos': 'RB', 'deprel': 'neg', 'head': 'good'}",neg,"{'lemma': 'good', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'always', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}",advmod,nyt_eng_199912,11-12-13,immediateNeg
nyt_eng_19991201_0051_11:2-3-4,too_old,You 're never too old .  -RDQ-,never,too,old,you 're never too old . '',nyt_eng_19991201_0051_11,"Hopefully , it 'll be somewhat of an inspiration to these other aspiring drivers , owners , crew chiefs and crew members alike , that if you work hard and dedicate yourself to what you 're doing , then you can become champions .",you 're never too old . '',you be never too old . '',"Jarrett , driver of the No. 88 Quality Care Service\/Ford Credit Taurus , won four races in 34 starts this year .",never,too,old,2,3,4,"{'lemma': 'old', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'never', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'old'}",neg,"{'lemma': 'old', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'too', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'old'}",advmod,nyt_eng_199912,2-3-4,immediateNeg
