adj_form_lower,very,more,most,so,not,as,too,really,much,pretty,less,n't,even,also,quite,extremely,still,highly,just,always,completely,relatively,particularly,only,far,now,all,almost,truly,incredibly,fairly,increasingly,rather,especially,slightly,absolutely,totally,often,super,entirely,somewhat,already,that,equally,no,fully,potentially,mostly,perfectly,well,nearly,deeply,largely,seemingly,actually,longer,sometimes,significantly,both,probably,politically,generally,never,usually,easily,surprisingly,currently,simply,ever,overly,definitely,certainly,once,immediately,otherwise,yet,real,any,clearly,readily,virtually,utterly,environmentally,mentally,hugely,partly,exceptionally,unusually,about,long,previously,physically,remarkably,terribly,socially,seriously,genuinely,purely,however,reasonably
popular,89434,70577,398955,42950,4558,15226,2153,5022,1305,3214,8844,1788,298,7180,11716,17742,3868,7822,344,2810,20,742,5727,793,14,1101,336,26,246,5721,1435,22338,893,5563,17,15,28,212,1780,40,425,2002,1238,1134,0,4,76,277,5,42,13,72,181,88,207,274,15,83,292,49,1423,329,379,131,8,521,971,28,4492,139,103,196,1324,273,73,91,320,0,119,4,6,10,0,2,15347,3,483,75,40,243,150,0,264,227,45,61,232,19,112,217
easy,125544,5567,1215,88639,95490,73233,40465,29583,816,31788,1832,37638,520,9937,18250,11917,1848,41,1140,27403,246,28856,1935,1538,42,1266,1313,365,397,9309,18018,810,3070,1224,41,258,330,1300,23396,171,602,200,13969,744,49,19,89,213,255,37,22,4,11,594,1020,228,765,27,1287,288,143,910,12139,1416,12,4587,41,99,641,104,289,487,147,53,114,297,2286,1,19,1,4,23,3,5,8,3,896,91,166,15,27,39,1292,293,2,144,54,4,110,933
better,93,1756,66,872,13540,1990,30,1770,295224,16,92,1819,138886,2807,171,63,6143,3,4100,18294,207,709,94,2663,56102,1002,3719,857,464,86,26,437,722,55,16617,164,121,2550,88,54,3125,639,259,14,23348,25,577,186,3,133,24,2,32,158,4108,41,1163,9929,518,8368,11,1961,842,2216,130,152,64,1306,802,4,3527,3329,43,112,37,109,11,35471,1463,0,16,3,33,33,61,5,56,5,673,12,5,197,245,5,9,46,119,2,35,15
high,138155,5218,10402,35697,5769,68042,78087,11041,576,13002,528,2392,284,5023,10239,29146,6076,13,548,1495,56,19657,6510,327,44,387,520,83,360,5383,6322,1222,2257,2838,501,42,68,921,3090,19,492,4080,2459,1084,38,6,893,173,19,74,114,2,8,230,186,84,129,755,271,276,5,1064,174,814,14,2438,321,30,116,443,296,295,170,6,96,164,660,1,138,1,4,8,2,10,36,2,5005,10252,280,33,128,5,1242,409,5,210,76,6,197,1035
common,45763,85760,272787,15145,7175,11388,10439,1531,916,7186,16523,1347,222,6225,14326,4122,1981,228,238,135,67,4546,1971,412,17,2021,338,205,105,1100,11031,10728,1335,1920,15,46,82,211,301,70,680,461,1268,321,14,8,18,150,98,23,12,6,40,154,232,176,50,7,178,122,1,123,54,159,3,1071,49,38,44,87,43,106,1407,2,96,151,111,0,9,0,6,23,0,0,56,7,83,82,138,29,73,1,197,175,2,3,18,12,59,324
bad,50586,8470,703,89547,45132,70769,82159,49477,1675,20388,1743,19968,509,1520,1849,2449,1097,9,3011,2134,308,171,6448,1388,8,92,11175,67,1138,1087,447,275,839,2596,194,111,335,305,567,639,157,1148,23977,1687,23,19,736,717,35,33,25,22,26,150,702,37,369,44,206,341,16,597,384,314,4,232,19,370,89,66,180,157,26,19,142,26,3369,2,235,0,2,62,23,11,20,21,442,279,272,7,25,29,185,645,6,770,219,53,434,12
effective,50857,141978,148925,11156,7561,27812,591,4532,508,2078,17454,2100,303,3941,4780,9038,1680,29751,211,1073,526,299,6763,3358,35,110,308,10,3139,2946,795,651,400,4113,56,101,259,637,1425,216,667,142,841,3730,9,1265,534,172,102,28,19,72,201,67,534,1223,163,103,801,92,308,452,100,414,3,2037,100,61,57,94,123,228,65,338,103,567,187,1,125,3,5,26,85,2,421,86,404,151,74,12,65,20,1202,319,32,82,207,16,151,471
happy,143139,5770,2767,79756,47886,11816,16447,37939,547,12490,3130,20152,602,6716,14214,10022,2982,43,16081,15676,3586,832,2632,1058,22,1151,3792,272,4178,2299,765,58,511,1597,53,433,1428,358,3949,1712,280,451,1125,934,52,302,29,664,6623,98,8,177,130,627,1169,331,107,6,1225,477,1,1330,1570,650,8,156,120,576,319,345,945,833,414,35,284,86,2087,1,455,3,2,87,6,36,35,16,228,93,97,51,52,10,69,392,11,82,1940,47,79,748
interesting,107352,110201,84601,13760,2894,7990,1121,42588,809,11926,6631,1528,462,9552,12682,4434,1724,1179,1087,6553,41,159,12356,1009,8,45,786,65,1337,2243,1109,277,4920,4827,201,60,89,284,1368,26,1068,186,2298,1533,1,4,1114,127,50,21,23,268,15,48,843,164,142,15,749,61,68,124,58,158,5,330,15,105,60,65,833,1254,52,90,251,85,931,0,24,1,1,19,4,10,158,5,214,102,21,14,6,20,121,688,27,130,849,8,166,163
clear,93435,15101,1491,12170,91591,13449,2575,5766,538,29902,10241,19228,1774,7346,20270,1563,1174,14,362,5686,3784,1260,963,374,92,6032,2898,519,133,632,4092,7062,710,846,20,6630,1632,230,758,8351,172,3063,796,1782,37,668,14,1912,8287,1269,164,2,74,151,213,458,70,13,291,149,9,282,1428,381,21,249,134,52,119,39,153,398,339,27066,201,10693,732,0,6,55,68,185,3,79,6,39,511,290,46,23,46,8,475,179,2,8,19,2,118,723
close,109922,1890,369,63945,6760,64263,56710,14008,298,20803,306,3564,24229,4914,6395,6497,2859,13,664,1905,50,4666,3288,371,24,1779,1109,415,231,2537,5238,890,801,1857,81,23,23,496,1615,15,726,1433,1256,292,20,25,98,70,32,80,135,17,6,120,403,150,177,40,266,1355,48,191,700,451,17,895,208,40,251,109,166,205,690,32,66,510,2309,0,118,3,9,10,0,5,8,10,416,612,91,23,70,631,777,177,24,80,82,1,147,1294
little,241731,1688,447,46095,279,72004,61310,1736,79,8094,57,52,606,116,276,582,409,5,1259,35,1,14300,54,967,130,155,124,66,58,113,324,119,300,41,40,34,3,294,120,6,74,20,12,141,102,1,24,69,6,47,4,1,4,735,60,72,55,9,20,68,0,66,13,55,0,3175,13,23,68,29,7,28,174,2,68,116,35,3,14,0,41,1,0,3,1,7,45,23,441,11,241,7,1457,24,0,9,8,0,341,30
enough,18,115,8,359,181791,259,14,1773,118,1620,31,78426,1948,423,6604,7,1760,1563,42458,2031,30,5,8,3765,3544,210,298,2066,93,47,30,2,11,12,6,68,43,3571,14,20,4,812,61,4,3,46,90,13,42,7147,11758,297,7,44,154,3964,264,124,17,1124,0,228,5198,1844,577,359,12,472,405,0,377,847,77,3,3,455,550,0,542,26,1,1,0,3,0,1,0,7,1580,21370,3,10,44,4,2,512,1,1,14,89
expensive,40795,131690,72965,10315,3397,5834,41277,4962,384,3295,57375,887,145,1673,8396,6130,928,797,220,376,4,2475,607,565,24,49,157,6,78,2370,1433,1868,2227,192,322,10,20,1210,1462,4,579,502,1992,188,10,1,815,44,1,38,4,1,6,42,67,39,222,42,462,103,18,213,24,470,9,198,61,26,8,892,82,75,61,4,111,21,183,0,35,0,0,6,17,0,1576,2,164,97,20,6,29,1,52,735,8,127,10,2,52,55
hard,94757,3126,1481,44441,33573,4657,36275,56617,2262,14769,680,11416,822,5043,6592,11104,6912,13,4442,5269,148,583,5572,542,37,806,464,1250,675,5005,742,2424,1745,4483,251,88,68,5931,1642,28,962,2530,10818,920,11,256,61,124,18,28,51,5,6,66,990,102,5160,26,332,644,57,262,355,729,4,784,548,315,140,162,839,489,103,19,357,75,1559,1,58,0,6,11,0,43,9,4,634,201,349,121,116,166,138,781,5,260,165,7,162,70
able,1427,7122,2175,417,107207,491,45,3176,232,31,7784,58610,7143,28229,1551,138,18818,145,1829,5517,193,19,66,19955,36,18575,1875,306,603,44,32,712,14,61,7,81,117,2763,8,96,48,1112,5,294,36,1188,233,146,659,1123,85,4,202,251,4038,11716,435,7,718,296,29,739,10418,1822,3548,53,1124,306,1398,0,266,336,398,1036,163,1545,4,2,293,305,10,4,0,115,8,28,95,20,111,32,205,2293,51,2,22,8,39,2,156,123
simple,92246,9437,6191,35162,4548,90408,6559,12779,273,27981,450,1618,651,1553,20836,5314,381,39,1184,975,135,18281,178,381,14,187,390,64,386,3701,15147,93,5417,82,18,210,143,444,7620,76,485,64,9227,575,67,5,15,169,506,28,8,9,19,4576,484,164,180,13,933,49,8,269,734,415,4,2073,12,68,262,526,59,67,306,6,455,346,1344,1,10,2,2,228,0,5,3,2,198,39,197,8,27,8,1029,92,1,71,67,23,285,420
powerful,43494,97669,148779,23155,1594,14147,6942,5578,226,3557,6552,645,130,635,2485,8736,1159,503,191,230,28,232,2019,342,6,119,1665,12,1084,7567,466,2702,366,1263,7,88,23,172,1314,5,45,649,567,1656,4,16,1214,11,20,6,35,135,5,99,64,51,68,43,566,9,2902,21,23,49,17,642,18,59,76,302,61,125,1048,13,74,490,104,0,41,0,0,29,0,17,644,1,593,348,17,19,23,342,348,92,78,198,89,3,257,122
successful,49564,46542,112288,23803,7615,13759,1493,3310,166,2596,7476,2432,217,1237,4458,6310,356,24582,138,1849,878,1434,2130,1241,164,209,381,159,2243,3429,1610,682,619,602,28,58,243,670,933,1211,730,1828,561,1252,12,476,275,691,69,13,197,7,1904,305,297,26,136,26,251,33,146,461,309,387,13,790,94,23,268,105,59,91,354,743,394,66,135,1,97,0,0,21,6,1,10457,396,373,190,17,32,380,3,1605,221,108,39,78,3,169,773
small,116474,4475,5910,28911,1908,19089,73246,7129,237,7047,127,490,2056,994,8896,6126,4814,9,693,260,12,55845,588,1124,55,184,397,64,165,1836,6287,357,5293,265,212,33,15,826,908,9,577,714,534,364,44,0,48,1197,31,67,13,1,17,2391,198,79,202,72,164,195,1,732,54,1051,17,1419,115,46,64,77,84,76,268,2,85,191,306,0,13,0,2,16,0,3,2,1,300,692,177,16,38,211,475,89,2,41,28,3,3708,383
recent,5601,63688,313185,814,268,1845,681,75,681,341,178,64,53,37,557,83,98,3,67,6,5,7274,44,118,3,4,29,3,3,19,3417,2,296,10,1,1,2,6,19,11,276,1,28,9,1,3,2,38,1,15,0,1,2,18,8,9,5,2,14,12,0,6,1,2,0,84,0,1,2,0,2,4,4,1,0,5,4,0,7,1,2,0,0,0,0,0,3,0,45,1,0,0,12,8,0,16,0,0,21,68
great,13360,13799,1681,67242,22179,26233,22238,63449,1970,14559,489,12518,1057,19387,569,755,3173,26,9699,8484,83,136,2381,1376,80,110,3710,134,11876,455,146,53,265,2693,7,2062,492,294,1065,63,31,1750,14577,1482,52,9,1193,202,132,77,63,5,22,184,962,78,220,17,1007,216,1,255,494,344,10,534,24,837,118,37,493,307,2507,13,726,72,467,1,54,1,1,23,3,2,11,4,300,80,362,25,23,29,59,106,3,342,610,8,785,20
strong,113462,1952,538,34326,9671,43583,23244,15913,227,11052,1378,4581,362,2473,5444,7475,6524,49,495,780,22,4106,10330,633,11,377,464,23,420,5471,3556,959,1141,4086,45,36,29,210,3490,8,168,3191,2032,2904,20,10,533,161,60,27,122,3,13,213,151,207,95,46,665,78,186,606,221,270,40,4529,126,36,94,453,197,187,425,18,491,636,1211,0,111,0,4,6,13,2068,42,23,2651,2721,130,21,132,1981,862,223,22,218,89,3,367,772
excited,79162,23750,10658,82046,1924,9435,11982,47675,651,11045,914,901,268,4477,3961,8398,1655,252,4201,3013,157,11,3104,185,1,399,6786,85,1426,3872,131,172,621,2290,76,141,599,61,15216,22,176,724,550,1177,1,31,4,214,2,25,4,72,4,19,860,51,12,1,1261,146,0,96,27,88,130,24,44,86,30,1935,1193,340,37,125,6,90,1660,1,420,2,2,24,0,8,482,2,57,50,12,4,3,16,4,491,0,141,1459,3,20,8
interested,33300,61116,11277,5701,52969,4686,2289,19103,4435,574,8358,22620,1331,13116,1905,1686,6535,1156,3973,7618,78,17,14826,10628,17,880,3298,16,2552,233,96,2239,191,5577,277,87,121,352,415,44,394,1387,2724,673,16,51,591,1434,2,18,5,2074,110,53,2273,3209,24,17,641,378,121,568,894,337,10,14,507,1037,418,340,1412,614,80,555,112,75,252,2,533,4,0,3,3,3,76,25,20,42,13,158,76,9,9,725,7,1798,5155,69,40,15
possible,10286,4383,1218,267,78515,707,234,4325,1052,43,487,13788,14358,32376,14821,204,15372,1436,1825,12419,1047,14,22,17046,41,9545,4035,324,673,23,84,502,42,54,47,1039,1156,1259,9,14400,73,870,114,744,24,234,129,31,2171,175,38,2,76,54,2632,5189,690,4,446,230,633,213,879,857,568,10,1133,61,1426,1,1819,5520,175,1091,298,843,38,0,231,50,28,16,0,3,8,21,4,0,95,37,1240,1787,7,3,8,17,44,3,418,1507
big,51803,5629,2990,30545,7869,57705,85297,35556,288,29047,241,4419,358,1228,3189,579,891,4,1875,512,9,846,1352,641,19,243,542,110,531,364,2093,165,1241,665,128,16,21,120,723,6,99,536,8864,588,67,2,749,64,18,58,165,1,6,72,149,117,92,20,216,82,1,84,226,194,64,507,23,30,115,146,211,191,107,0,29,122,1808,0,24,0,1,3,1,3,11,0,107,246,282,13,6,84,32,152,0,306,68,4,801,160
true,10857,9842,1463,11435,76360,11654,1730,6841,897,771,2526,20343,1819,24936,4163,154,5288,7,738,4864,2410,128,12804,4016,22,272,5061,304,63,321,259,242,101,39897,57,5207,1318,1590,37,4710,734,284,318,2860,7,111,78,1863,764,32,83,117,704,49,4581,2014,396,23,509,5128,6,1285,648,524,9,77,55,192,504,3,1814,8994,162,9,26,146,114,0,357,1,7,133,2,0,7,1622,41,7,55,8,4,20,158,60,2,14,48,15,267,65
new,10692,14473,8105,8523,28420,3758,2470,3863,4214,3740,526,9971,510,3793,2775,243,4628,8,997,749,37434,42452,1396,566,36,269,4423,1020,1459,140,10606,51,1289,245,562,859,11853,239,236,45536,1156,37,139,153,14,184,722,687,85,152,1011,5,198,246,510,345,63,129,350,196,5,120,99,66,16,89,33,123,887,12,216,162,192,10,40,82,23,0,78,2,162,338,0,1,12,41,26,3,164,4,11,6,48,193,2,36,839,17,47,294
aware,13756,34402,574,1446,50330,1128,3904,1955,3094,345,1317,20148,9303,7278,2526,433,556,638,328,3904,1655,15,585,1356,12,2086,4480,14,344,127,63,3828,22,465,79,154,778,271,108,364,313,5068,177,321,5,24956,5,74,1134,49328,9,695,44,132,487,170,40,9,404,3128,1080,584,560,279,29,15,313,123,410,102,399,1392,141,576,25,942,16,0,1230,43,5,38,1013,78,13,45,28,36,4,108,357,51,8,43,1256,10,23,3,44,57
beautiful,23538,28814,104525,31191,1859,14060,2585,10145,367,344,981,654,487,1757,3762,2075,2016,49,5295,1257,191,7,1465,2022,4,104,1290,190,4571,4266,42,52,704,991,9,8225,271,573,302,68,37,525,439,1352,2,24,58,56,441,18,11,111,1,40,186,231,271,4,1662,20,1,49,47,82,2,322,5,2552,135,19,110,222,861,9,303,210,61,0,31,0,2,512,7,1,10,1,1136,176,48,35,11,290,388,66,4,221,196,63,224,3
worth,1019,1872,644,6092,49543,221,19,15784,2505,290,299,22615,4687,22034,442,89,8939,113,502,6776,1436,8,399,3164,79,5369,7184,826,2446,78,9,12,6,409,5,3005,8210,827,39,381,22,424,33,137,1,96,852,42,30,69071,91,7,15,15,3767,1023,233,7,291,4182,5,275,606,862,621,6,1313,146,300,3,27510,6782,219,29,31,59,69,1,334,0,8,36,0,0,7,0,4,1,69,5,14,1,1,3,2,232,129,0,69,38
nice,113477,776,95,28855,4946,8827,4907,65373,160,12171,247,1503,322,5403,8557,1926,2460,8,3456,13298,36,252,1831,297,3,79,1776,51,284,958,766,5,2645,2375,10,39,91,101,4151,21,71,93,1066,215,5,3,38,138,1142,24,8,4,3,188,658,38,187,4,138,116,10,257,330,153,4,363,3,173,53,157,647,574,86,1,162,22,3806,0,5,0,0,4,4,1,3,1,284,68,62,5,7,1,66,123,3,72,1347,6,123,160
comfortable,43137,114086,26834,10746,15024,14955,6004,6128,345,3948,3236,5456,346,1372,5677,4926,922,403,519,1322,3454,1307,726,879,6,478,675,94,729,1649,1361,840,440,292,24,455,1704,76,3668,1943,355,825,694,1239,1,714,5,117,1932,24,5,51,45,223,241,346,15,3,1047,64,31,250,800,141,13,796,33,61,75,134,174,152,225,210,63,573,924,0,225,3,0,110,2,19,27,0,514,65,14,13,33,193,230,204,57,44,73,2,48,742
low,86079,1798,675,17768,658,13320,31492,5117,223,6947,87,270,272,1501,5343,17552,3201,10,235,307,23,33204,1261,222,35,174,126,27,140,2889,4962,125,1919,450,245,36,20,528,1549,10,488,2586,972,239,9,3,109,188,8,16,20,5,31,247,168,32,76,349,132,304,1,1279,42,552,2,1803,401,35,29,32,52,52,18,2,75,59,333,0,49,0,2,15,8,2,6,2,1753,1963,120,27,51,4,1141,163,2,171,42,1,62,565
serious,59662,89429,43125,8921,7440,9262,7702,8437,493,6323,7906,2601,236,444,3394,4547,440,117,101,413,741,243,1333,432,19,130,746,47,1047,517,1190,802,1041,678,64,277,534,279,667,390,485,306,1648,559,17,34,4207,166,185,12,11,391,11,87,554,39,354,12,215,35,21,64,313,199,3,102,4,13,114,598,100,71,57,20,249,81,814,3,91,0,0,104,2,0,32,36,122,83,111,5,3,4,19,237,4,75,160,4,145,69
large,87382,1855,4252,20591,4228,31337,30248,3395,207,3771,132,1311,544,688,8581,5628,772,10,1156,105,6,8362,3192,524,21,219,132,54,241,1446,8766,2804,10372,1332,222,11,3,530,440,14,327,1054,754,1358,35,1,1287,219,6,61,112,0,0,189,100,67,170,529,199,63,0,278,106,438,53,3294,25,44,77,1230,82,168,151,3,47,121,32,0,28,0,4,2,0,0,3,1,1440,6038,56,5,28,169,344,143,0,123,12,1,626,668
dangerous,37748,49104,60599,7945,4578,11348,15929,3380,134,1438,5960,1314,2988,2221,2889,12607,1541,3190,360,1661,69,102,4538,1013,11,119,179,143,1128,2575,234,2258,613,3431,342,97,47,1534,216,19,428,556,503,1083,4,4,19394,20,3,6,10,139,4,99,533,150,1611,31,323,174,632,69,44,172,4,65,31,117,116,83,129,130,62,160,154,36,171,0,241,2,3,35,100,8,110,3,343,109,25,8,13,350,44,331,135,373,205,6,90,18
few,170268,91,39,26749,246,15613,24101,244,14,98,9,21,110,87,229,415,312,1,2829,24,3,17948,13,3462,160,136,3,9,31,73,122,123,183,6,3,0,1,82,3,1,18,23,14,35,0,1,6,7,1,13,4,0,1,102,38,7,20,3,10,92,0,46,6,43,1,1415,27,39,59,0,21,37,19,1,17,44,0,0,6,0,4,1,0,0,2,0,30,17,187,2,25,1,550,5,0,1,4,1,137,11
higher,158,734,250,176,1633,395,81,126,91284,34,33,420,34379,3209,176,152,3376,0,277,656,13,1631,87,308,13258,942,286,25,30,73,44,870,167,57,25764,10,1,921,4,17,2691,516,12,17,4624,1,996,2299,1,66,4,0,26,69,1342,12,261,24792,128,872,0,1890,179,869,12,70,234,66,2958,0,293,417,40,27,15,167,13,1921,201,0,2,0,0,0,18,1,42,34,362,6,23,12,95,3,10,8,16,2,22,32
complex,21754,105270,22595,7695,1053,7384,10988,1513,155,1303,4069,286,197,434,3645,5128,165,7598,90,230,16,791,1120,116,11,30,88,10,235,3771,1669,9633,1612,356,124,12,11,2002,248,9,731,839,32,544,1,26,260,21,13,14,7,474,5,366,76,14,472,24,306,16,146,45,12,110,4,781,14,43,53,2316,28,64,65,4,129,100,25,0,29,0,0,33,2,19,516,3,210,230,18,5,34,21,278,282,158,48,39,4,207,125
open,16001,48471,4400,4362,12195,4607,1395,1870,1446,2206,1572,3285,1040,5945,1804,614,14714,101,626,11900,4854,1225,271,6598,81,22391,1502,148,1421,341,1053,953,289,116,1438,229,1467,497,122,644,328,2048,172,265,7,3480,186,484,129,84,57,13,273,149,572,821,146,6,368,78,30,794,282,1103,96,275,2962,192,305,19,484,710,630,105,222,804,85,1,176,48,52,34,0,6,21,417,61,222,64,59,205,42,249,17,20,27,244,29,66,109
efficient,14511,140172,45145,2436,1678,7626,275,997,152,667,7475,461,56,610,811,3547,87,11085,129,248,95,332,576,369,9,14,48,2,296,1237,317,408,99,221,6,27,53,20,823,34,32,88,223,311,4,110,25,51,208,20,12,2,20,13,68,96,8,12,349,7,6,67,16,59,0,216,7,22,33,32,12,33,18,0,52,76,46,0,3,0,1,12,253,8,59,2,194,40,11,0,5,11,440,140,68,9,27,10,45,194
concerned,27896,44060,7112,9939,13763,4233,7591,6000,2387,349,7558,5213,355,12293,1526,4333,3227,905,1818,2308,38,8,7528,3915,7,934,4906,20,1187,172,52,6642,233,3197,619,92,46,655,120,118,1009,712,983,1082,1,18,18,1479,0,25,19,14872,453,58,442,476,68,45,235,199,24,295,276,234,4,6,98,283,278,5092,251,297,56,324,52,79,190,1,727,2,1,13,224,1,83,23,24,19,10,91,27,1,6,733,158,1938,2015,42,64,44
useful,60286,30611,26670,4451,4268,7191,546,10658,1423,2019,3536,1382,568,8474,5297,10861,2187,2780,516,1784,100,61,12403,3751,10,75,471,22,1394,4655,277,317,482,11162,42,81,115,971,1105,102,403,81,781,951,2,53,2174,261,133,17,4,24,20,42,1572,1484,459,90,574,217,437,510,67,117,13,407,15,70,126,35,329,378,74,542,156,50,58,0,81,520,2,20,9,1,310,15,489,20,12,2,12,10,189,403,689,88,789,6,172,56
cool,32709,3070,257,21853,8422,8964,6397,56813,404,49436,763,2688,320,1212,2043,1136,2088,17,1649,1356,1271,1417,612,325,8,203,845,149,289,1290,428,58,1006,649,391,146,2867,68,9460,46,230,177,414,284,0,72,67,109,178,32,21,30,8,43,454,295,48,10,199,61,6,200,198,184,4,280,20,119,109,33,428,91,949,33,73,66,1031,1,12,0,4,96,6,4,3,4,181,461,43,23,15,6,96,41,9,788,180,4,55,87
long,103891,2608,611,17531,2905,3144,32817,14322,168,4402,131,4381,135,290,3026,5331,668,6,389,215,13,2932,1641,278,20,228,94,7,112,2456,3101,412,2939,493,184,3,9,599,1662,8,306,976,365,607,62,1,413,74,15,43,100,1,2,155,52,41,174,96,142,56,1,89,136,265,7,931,14,19,52,1425,38,62,50,1,68,14,288,0,11,0,0,2,1,0,68,2,1188,2419,239,125,25,5,385,472,0,177,11,4,273,339
significant,24024,31205,86734,4169,3132,6818,802,2430,196,5719,4195,643,135,2918,2890,1788,1671,3555,90,146,10,226,3640,542,7,43,132,7,804,535,2524,1034,1083,2394,16,44,13,216,30,15,201,533,716,1337,8,1,2315,16,1,20,21,291,17,78,129,149,103,11,135,86,660,81,17,83,0,92,11,8,10,69,85,224,44,20,33,61,102,0,111,0,0,12,144,1,1455,3,114,50,54,1,16,9,31,162,443,27,63,0,74,76
