                l1  l2                     f             E11  r.log.likelihood  r.Poisson.Stirling  r.gmean  r.odds.ratio  r.relative.risk  r.Dice   r.MI2   r.MI3    r.MS  r.t.score  r.z.score.corr  am.log.likelihood  am.Poisson.Stirling        am.gmean   am.odds.ratio  am.relative.risk         am.Dice          am.MI2           am.MI3           am.MS      am.t.score  am.z.score.corr       f1       f2         N  
            enough  most                  66   5.1108662e+00             13642                9927    16123          4675             4552    9832   16123   24933    7356      16976           11044      2.1629978e+02        4.4665826e+01   3.3934124e-03   1.11379203658     1.11257740294   3.3712170e-03   2.93059336190    4.7501373e+00   3.0257186e-03       7.4949343      26.71231614    17342    21813  74015056  
          strictly  female                48   3.7150485e+00             15678               11231    18881          4676             4557   11739   18881   29315    9298      19561           12598      1.5731610e+02        3.2495149e+01   2.8946693e-03   1.11363449607     1.11225565896   2.8528975e-03   2.79251798969    4.4737592e+00   2.4398922e-03       6.3919822      22.71656337    19673    13977  74015056  
            solely  british               22   1.6998395e+00             21332               14609    26918          4677             4549   17412   26918   42545   13364      26638           17134      7.2136152e+01        1.4909846e+01   1.9613662e-03   1.11360040051     1.11271075283   1.9467304e-03   2.45443744051    3.7968601e+00   1.7351526e-03       4.3280088      15.18674671    12679     9923  74015056  
       essentially  christian             69   5.3483628e+00             13364                9733    15774          4678             4567   10129   15774   24356    9239      16641           10855      2.2603898e+02        4.6667028e+01   3.4679963e-03   1.11358200755     1.11161241137   3.2701422e-03   2.94947731890    4.7883264e+00   2.4533333e-03       7.6627566      27.30701208    28125    14075  74015056  
      occasionally  reminiscent           39   3.0171867e+00             17040               12090    20717          4679             4551   12933   20717   32390    9627      21326           13736      1.2782918e+02        2.6409550e+01   2.6097775e-03   1.11356747505     1.11261947443   2.5968837e-03   2.70252702856    4.2935916e+00   2.3623478e-03       5.7618615      20.42758157    13527    16509  74015056  
           heavily  christian             76   5.8964155e+00             12781                9388    15023          4680             4574    9828   15023   23163    9252      15887           10410      2.4887252e+02        5.1370758e+01   3.6379734e-03   1.11337853003     1.11120870480   3.3716339e-03   2.99103910384    4.8718527e+00   2.4510594e-03       8.0414326      28.66405083    31007    14075  74015056  
         instantly  understandable        86   6.6721465e+00             12062                8909    14133          4681             4564    8420   14133   21645    5652      14984            9859      2.8161341e+02        5.8130702e+01   3.8699524e-03   1.11334071671     1.11180747524   3.8696034e-03   3.04473132795    4.9792298e+00   3.8183191e-03       8.5541424      30.51735666    21926    22523  74015056  
      occasionally  mistaken              36   2.7859952e+00             17601               12413    21512          4682             4553   13438   21512   33731    9631      22056           14176      1.1796787e+02        2.4372996e+01   2.5069882e-03   1.11333768701     1.11239003477   2.5025199e-03   2.66762464347    4.2239271e+00   2.3615849e-03       5.5356675      19.59943421    13527    15244  74015056  
          mutually  dependent            547   4.2947175e+01              4549                3592     5206          4683             4583    3130    5206    7188    2803       5314            4182      1.7851173e+03        3.6690476e+02   9.7019714e-03   1.11330758607     1.11051278542   9.1860983e-03   3.84304005389    6.5810274e+00   6.9500032e-03      21.5517425      76.83829820    40388    78705  74015056  
        frequently  tedious               30   2.3211529e+00             18949               13219    23338          4684             4556   14770   23338   36795   10276      23754           15213      9.8307378e+01        2.0313691e+01   2.2888079e-03   1.11325502561     1.11230781143   2.2877188e-03   2.58853875970    4.0656600e+00   2.2192632e-03       5.0534430      17.83935531    13518    12709  74015056  
      occasionally  bizarre               83   6.4461319e+00             12276                9037    14371          4685             4558    9724   14371   22070    9667      15242           10032      2.7168274e+02        5.6065207e+01   3.7998676e-03   1.11318914064     1.11224488050   3.4017788e-03   3.02885699387    4.9479351e+00   2.3532080e-03       8.4028787      29.95516468    13527    35271  74015056  
        enormously  grateful             509   4.0125342e+01              4760                3730     5456          4686             4570    4243    5456    7538    4891       5551            4351      1.6590617e+03        3.4052332e+02   9.3400322e-03   1.11318385695     1.11144399094   7.1301497e-03   3.81001681575    6.5167346e+00   4.3319886e-03      20.7825038      73.94077774    25276   117498  74015056  
              half  right                978   7.8126974e+01              3164                2546     3706          4687             4575    3417    3706    4860    4184       3627            3073      3.1756170e+03        6.4865202e+02   1.2861106e-02   1.11315584515     1.11117222125   8.6065790e-03   4.08787670594    7.0782156e+00   4.9375486e-03      28.7747664     101.75115700    29194   198074  74015056  
            mildly  terrified             33   2.5552140e+00             18243               12801    22364          4688             4565   14680   22364   35238   12891      22841           14687      1.0810363e+02        2.2334142e+01   2.3996078e-03   1.11309420836     1.11180661719   2.3019776e-03   2.62960060904    4.1481145e+00   1.7951368e-03       5.2997570      18.73301061    18383    10288  74015056  
       politically  naive                428   3.3713075e+01              5260                4129     6078          4689             4663    4864    6078    8421    5695       6159            4740      1.3951906e+03        2.8648219e+02   8.5681004e-03   1.11299393746     1.10516600293   6.3428550e-03   3.73508916923    6.3665329e+00   3.7929140e-03      19.0585779      67.82067494   112842    22113  74015056  
          racially  sensitive            222   1.7529784e+01              7595                5835     8645          4690             4554   11294    8645   12750   14741       9122            6486      7.2315581e+02        1.4835859e+02   6.1631772e-03   1.11297765435     1.11234557209   2.9583039e-03   3.44892937889    5.7952824e+00   1.5758539e-03      13.7231423      48.71676823     9210   140876  74015056  
              just  incredible          4331   3.6737089e+02              1102                 893     1414          4691             5079    1838    1414    1525    2536       1149            1283      1.3816344e+04        2.7596654e+03   2.6264902e-02   1.11290846034     1.07448410675   1.3898695e-02   4.70807162868    8.3446598e+00   7.5188492e-03      60.2280660     206.76920202   576019    47205  74015056  
           greatly  instrumental          17   1.3158899e+00             23401               15793    30089          4692             4563   19660   30089   47822   13772      29143           18868      5.5677488e+01        1.1507893e+01   1.7225789e-03   1.11261151393     1.11190460070   1.7221294e-03   2.34167830097    3.5721272e+00   1.6836684e-03       3.8039555      13.23669538    10097     9646  74015056  
        officially  online                31   2.4028190e+00             18724               13074    23010          4693             4566   14899   23010   36238   12410      23418           15043      1.0148679e+02        2.0966731e+01   2.3245620e-03   1.11255164944     1.11180413667   2.2689014e-03   2.60200232498    4.0933640e+00   1.8635407e-03       5.1362053      18.12601009    10691    16635  74015056  
            mildly  depressing            63   4.8916154e+00             13939               10108    16492          4694             4572   10008   16492   25582    6915      17351           11276      2.0614598e+02        4.2562407e+01   3.3109633e-03   1.11254749077     1.11126358829   3.3089973e-03   2.90922879863    4.7085693e+00   3.1987814e-03       7.3209683      26.04711020    18383    19695  74015056  
           perhaps  unfair               214   1.6720487e+01              7741                5910     8751          4695             4613    5345    8751   13016    4642       9300            6563      6.9887416e+02        1.4399426e+02   6.0831606e-03   1.11226677729     1.10898578881   5.8306655e-03   3.43757863668    5.7679924e+00   4.5370704e-03      13.4857499      48.12330294    47167    26238  74015056  
         downright  gross                 53   4.1215048e+00             15052               10820    18051          4696             4598   13829   18051   27872   15237      18776           12123      1.7331646e+02        3.5771055e+01   3.0345055e-03   1.11225806411     1.10983131964   2.4349344e-03   2.83349592436    4.5577718e+00   1.5249166e-03       6.7139777      23.83002225    34756     8777  74015056  
       potentially  unlimited            327   2.5991706e+01              6162                4816     7063          4697             4715    9089    7063   10101   11978       7303            5417      1.0626550e+03        2.1759184e+02   7.4553892e-03   1.11220875997     1.10048353246   3.6102079e-03   3.61426071378    6.1288085e+00   1.9255116e-03      16.6457967      58.94392706   169825    11328  74015056  
        admittedly  odd                   63   4.9033800e+00             13946               10114    16515          4698             4569   12597   16515   25595   13849      17357           11289      2.0595190e+02        4.2496682e+01   3.3069889e-03   1.11214210454     1.11147076152   2.6650310e-03   2.90818554435    4.7075261e+00   1.6739292e-03       7.3194861      26.01053113     9643    37636  74015056  
            fairly  lengthy              779   6.3752291e+01              3680                2949     4285          4699             4889    7659    4285    5755   10416       4257            3534      2.5100678e+03        5.0849005e+02   1.1340430e-02   1.11208818320     1.08791678981   4.2262308e-03   3.97857911664    6.8701166e+00   2.1920692e-03      25.6264086      89.51686669   355372    13278  74015056  
        undeniably  classic               39   3.0275000e+00             17049               12101    20739          4700             4577   12923   20739   32417    9372      21334           13757      1.2758285e+02        2.6351753e+01   2.6053285e-03   1.11207652196     1.11110511360   2.5983544e-03   2.70104505844    4.2921097e+00   2.4213075e-03       5.7602100      20.38683083    13912    16107  74015056  
          patently  inaccurate            22   1.7063856e+00             21344               14619    26981          4701             4571   17584   26981   42586   14129      26646           17170      7.1980540e+01        1.4873123e+01   1.9576005e-03   1.11194052438     1.11128289185   1.9272887e-03   2.45276819014    3.7951909e+00   1.6398330e-03       4.3266131      15.15257772     9414    13416  74015056  
            merely  ok                   107   8.3371586e+00             10917                8121    12686          4702             4585    7669   12686   19167    6213      13414            8997      3.4962608e+02        7.2125622e+01   4.3073951e-03   1.11189405068     1.11047854231   4.2226563e-03   3.13774949397    5.1671333e+00   3.5265812e-03       9.5380969      33.99680391    20338    30341  74015056  
              than  credible              49   3.8084288e+00             15549               11151    18715          4703             4578   11980   18715   29036   10414      19374           12528      1.6022167e+02        3.3082632e+01   2.9185230e-03   1.11188916716     1.11100980072   2.8029631e-03   2.79964631766    4.4898424e+00   2.1921976e-03       6.4559387      22.90090799    12611    22352  74015056  
           legally  equivalent            59   4.5894772e+00             14351               10404    17093          4704             4594   11214   17093   26470   10522      17849           11599      1.9287018e+02        3.9812865e+01   3.2011820e-03   1.11185385454     1.10996027026   2.9752900e-03   2.87994080785    4.6507928e+00   2.1733525e-03       7.0836467      25.16471034    27147    12513  74015056  
       notoriously  reluctant            145   1.1314289e+01              9405                7033    10774          4705             4602    6307   10774   16270    4398      11440            7840      4.7356203e+02        9.7649707e+01   5.0106531e-03   1.11177195466     1.10963773027   5.0020698e-03   3.26910873985    5.4304767e+00   4.7255899e-03      11.1019940      39.59533315    30684    27292  74015056  
        constantly  online                49   3.8088648e+00             15550               11152    18717          4706             4582   11452   18717   29039    7747      19375           12530      1.6020124e+02        3.3080196e+01   2.9183560e-03   1.11174238076     1.11056042177   2.9182300e-03   2.79959659746    4.4897927e+00   2.8913672e-03       6.4558765      22.89937370    16947    16635  74015056  
    overwhelmingly  jewish                55   4.2807473e+00             14788               10678    17714          4707             4601   11957   17714   27374   11634      18431           11955      1.7973258e+02        3.7100174e+01   3.0898889e-03   1.11157171722     1.10963808911   2.8089888e-03   2.84920578774    4.5895685e+00   1.9829109e-03       6.8389826      24.27227311    27737    11423  74015056  
             often  chaotic              585   4.7141558e+01              4389                3477     5073          4708             4798    7109    5073    6936    9528       5099            4093      1.8927213e+03        3.8578261e+02   9.9036176e-03   1.11149807123     1.09470588285   4.5101826e-03   3.86090780222    6.6280637e+00   2.3859827e-03      22.2377097      78.26401275   245182    14231  74015056  
           largely  jewish               199   1.5675187e+01              8019                6126     9112          4709             4673    9343    9112   13604   11764       9683            6817      6.4805193e+02        1.3319983e+02   5.8423380e-03   1.11146228959     1.10442506243   3.5224356e-03   3.40249342327    5.7013465e+00   1.9592978e-03      12.9955514      46.17732522   101567    11423  74015056  
      refreshingly  acidic                17   1.3194947e+00             23411               15801    30128          4710             4581   19674   30128   47842   13540      29147           18887      5.5591579e+01        1.1487695e+01   1.7202242e-03   1.11142084656     1.11073356299   1.7202125e-03   2.34049019312    3.5709391e+00   1.7138824e-03       3.8030812      13.21546361     9846     9919  74015056  
   technologically  primitive             44   3.4223309e+00             16280               11607    19666          4711             4592   12507   19666   30580   10608      20284           13075      1.4379858e+02        2.9692793e+01   2.7645958e-03   1.11141734119     1.10999618192   2.6820274e-03   2.75258335997    4.3960360e+00   2.1584498e-03       6.1173138      21.66414028    20385    12426  74015056  
        profoundly  shocked              152   1.1876632e+01              9185                6875    10503          4712             4603    6226   10503   15850    4884      11182            7682      4.9608905e+02        1.0227408e+02   5.1266882e-03   1.11132618171     1.10958595509   5.0552923e-03   3.28899388904    5.4708375e+00   4.3344360e-03      11.3655060      40.51459180    25067    35068  74015056  
            rarely  bored                 45   3.5016482e+00             16153               11511    19468          4713             4595   12079   19468   30259    9106      20101           12969      1.4702755e+02        3.0359049e+01   2.7952215e-03   1.11119800697     1.10993733718   2.7762354e-03   2.76215252025    4.4153650e+00   2.4868748e-03       6.1862090      21.90938285    18095    14323  74015056  
     traditionally  american              89   6.9417971e+00             11893                8786    13930          4714             4596    8558   13930   21257    7196      14761            9748      2.9058793e+02        5.9952501e+01   3.9263952e-03   1.11116381319     1.10992832263   3.8131962e-03   3.05730809520    5.0066981e+00   3.0791586e-03       8.6981521      30.95506273    17776    28904  74015056  
        especially  vigilant             633   5.1872455e+01              4179                3362     4893          4715             4899    9447    4893    6627   12902       4826            3971      2.0376133e+03        4.1282515e+02   1.0215868e-02   1.11115390922     1.08718247759   3.4788057e-03   3.88787062158    6.6892743e+00   1.7929827e-03      23.0977463      80.61748326   353043    10875  74015056  
           perhaps  unaware              189   1.4797866e+01              8223                6262     9356          4716             4631    5860    9356   14010    5358       9961            6976      6.1641729e+02        1.2700199e+02   5.7108693e-03   1.11114360215     1.10787016012   5.3702336e-03   3.38272450760    5.6591863e+00   4.0070388e-03      12.6713407      45.15497464    47167    23221  74015056  
     strategically  significant          381   3.0695492e+01              5639                4438     6512          4717             4584   11017    6512    9179   14815       6631            5079      1.2324721e+03        2.5129080e+02   7.9933281e-03   1.11112031108     1.11049167997   3.0194720e-03   3.67477535680    6.2557003e+00   1.5678174e-03      17.9466436      63.13760520     9349   243013  74015056  
          formerly  abundant              39   3.0350837e+00             17054               12114    20766          4718             4586   13738   20766   32441   12623      21341           13768      1.2741290e+02        2.6309379e+01   2.6020716e-03   1.11111159354     1.11037683665   2.4498257e-03   2.69995854176    4.2910231e+00   1.8322763e-03       5.7589956      20.35699186    10554    21285  74015056  
          suddenly  brigh                 25   1.9435995e+00             20388               14051    25467          4719             4593   16857   25467   40205   14655      25432           16352      8.1695974e+01        1.6875969e+01   2.0843785e-03   1.11106803675     1.10996893397   2.0088389e-03   2.50727324120    3.9052132e+00   1.5857913e-03       4.6112801      16.17954891    15765     9125  74015056  
          somewhat  disappointing       1704   1.3748824e+02              2180                1780     2608          4720             4775    2002    2608    3275    2378       2421            2264      5.5095744e+03        1.1227819e+03   1.6891833e-02   1.11103223331     1.09638723086   1.3004854e-02   4.32467363513    7.5561432e+00   7.9386155e-03      37.9488714     133.55564430   214647    47409  74015056  
           overall  decent                57   4.4453311e+00             14559               10532    17408          4721             4587   12714   17408   26908   13562      18138           11793      1.8609044e+02        3.8399547e+01   3.1424094e-03   1.11097541059     1.11028951082   2.6391333e-03   2.86384560048    4.6197205e+00   1.7105816e-03       6.9610360      24.68923499     9874    33322  74015056  
          socially  desirable            505   3.9797282e+01              4782                3753     5486          4722             4647    3106    5486    7577    2265       5574            4366      1.6438200e+03        3.3791746e+02   9.3047484e-03   1.11097163184     1.10677897261   9.2460361e-03   3.80672934494    6.5100207e+00   8.3135783e-03      20.7012493      73.66284822    60744    48492  74015056  
        admittedly  naive                 37   2.8809768e+00             17418               12313    21300          4723             4590   14520   21300   33346   13859      21810           14056      1.2084190e+02        2.4951597e+01   2.5337969e-03   1.11087267254     1.11020177717   2.3302683e-03   2.67686368752    4.2450654e+00   1.6732239e-03       5.6091329      19.80684079     9643    22113  74015056  
       deceptively  plain                 43   3.3484310e+00             16442               11719    19907          4724             4597   12395   19907   30963    9615      20481           13222      1.4043182e+02        2.8996303e+01   2.7314153e-03   1.11084111439     1.10989240015   2.7033824e-03   2.74209555887    4.3755640e+00   2.3653666e-03       6.0468076      21.39579830    13633    18179  74015056  
         primarily  religious            144   1.1265552e+01              9443                7064    10837          4725             4612    6445   10837   16351    5164      11490            7873      4.6961753e+02        9.6813439e+01   4.9868491e-03   1.11068378404     1.10902075081   4.9023780e-03   3.26497252439    5.4233350e+00   4.1430503e-03      11.0612040      39.39747405    23990    34757  74015056  
              than  sound                 25   1.9454474e+00             20391               14057    25477          4726             4599   16264   25477   40220   11639      25434           16360      8.1648863e+01        1.6865651e+01   2.0833883e-03   1.11059338602     1.10971531265   2.0808190e-03   2.50686052505    3.9048005e+00   1.9823963e-03       4.6109105      16.17053805    12611    11418  74015056  
         amazingly  adaptable             80   6.2549013e+00             12498                9205    14698          4727             4633   10876   14698   22548   11818      15502           10218      2.6091167e+02        5.3806004e+01   3.7180885e-03   1.11050094378     1.10765082952   3.0582793e-03   3.00995951290    4.9130495e+00   1.9495553e-03       8.2449527      29.28655835    41035    11282  74015056  
        infinitely  precious             139   1.0883119e+01              9609                7193    11064          4728             4611    6993   11064   16661    6503      11699            7982      4.5314543e+02        9.3403403e+01   4.8975409e-03   1.11047073477     1.10911593733   4.5773372e-03   3.24927620815    5.3922910e+00   3.3764909e-03      10.8667320      38.68400482    19567    41167  74015056  
        abnormally  wet                   64   4.9984678e+00             13848               10071    16403          4729             4600   11749   16403   25431   12267      17231           11231      2.0878852e+02        4.3075110e+01   3.3273730e-03   1.11046173845     1.10970768822   2.8505890e-03   2.91352305173    4.7197030e+00   1.8805830e-03       7.3751915      26.16669021    10871    34032  74015056  
             kinda  strange              358   2.8194429e+01              5855                4564     6660          4730             4621    4104    6660    9506    3719       6907            5167      1.1651315e+03        2.3965424e+02   7.8368465e-03   1.11043746497     1.10824172639   7.3548294e-03   3.65760274915    6.2114858e+00   5.4670678e-03      17.4307661      62.01795275    31868    65483  74015056  
        impossibly  romantic              79   6.1718163e+00             12573                9251    14797          4731             4609    9556   14797   22705    8906      15590           10265      2.5769036e+02        5.3160650e+01   3.6962434e-03   1.11039403964     1.10937655398   3.4490286e-03   3.00484119155    4.9024683e+00   2.5368485e-03       8.1938108      29.11394544    14669    31141  74015056  
            fairly  average              889   7.3071707e+01              3376                2726     3981          4732             4911    6611    3981    5259    9039       3888            3266      2.8574042e+03        5.7861279e+02   1.2088352e-02   1.11020551217     1.08615099456   4.7977420e-03   4.03405427051    6.9829560e+00   2.5016040e-03      27.3653566      95.39182345   355372    15219  74015056  
         otherwise  anonymous            128   1.0060416e+01             10004                7489    11599          4733             4662   10478   11599   17472   12717      12202            8284      4.1675480e+02        8.5798341e+01   4.6907464e-03   1.11019314285     1.10532305240   3.1638139e-03   3.21180398700    5.3190140e+00   1.8200691e-03      10.4244849      37.02597699    70327    10588  74015056  
              over  more                3446   3.1190886e+02              1328                1097     1754          4734             4614    4620    1754    1892    6489       1408            1579      1.0758915e+04        2.0985901e+03   2.2679913e-02   1.11016484513     1.10880576644   6.6268657e-03   4.58060283017    8.1179181e+00   3.3873447e-03      53.3892702     177.43057996    22693  1017316  74015056  
              thus  advisable             49   3.8237700e+00             15571               11167    18757          4735             4615   11632   18757   29071    9095      19382           12550      1.5985066e+02        3.2997082e+01   2.9126625e-03   1.11006974154     1.10870239394   2.8771065e-03   2.79790039648    4.4880965e+00   2.4893314e-03       6.4537471      22.84707651    19684    14378  74015056  
        ultimately  arbitrary             48   3.7480044e+00             15702               11254    18949          4736             4626   12959   18949   29370   12820      19574           12646      1.5655559e+02        3.2311040e+01   2.8819149e-03   1.11001143788     1.10816469522   2.5931228e-03   2.78868237886    4.4699236e+00   1.8053936e-03       6.3872254      22.59944732    26587    10434  74015056  
               way  cool                2160   1.7587802e+02              1833                1505     2241          4737             4651    1784    2241    2704    2173       2006            1975      6.9600131e+03        1.4146870e+03   1.8931627e-02   1.10979919026     1.10636218022   1.4199223e-02   4.42369592967    7.7581497e+00   8.5465013e-03      42.6915077     149.57297271    51507   252735  74015056  
      considerably  low                 3294   2.7469311e+02              1349                1088     1715          4738             4649    1778    1715    1897    2370       1437            1534      1.0540209e+04        2.1232509e+03   2.3101473e-02   1.10979666939     1.10659843542   1.4223351e-02   4.59659941733    8.1143230e+00   7.9549461e-03      52.6072331     182.14256401    49100   414082  74015056  
            deeply  pessimistic          326   2.5949744e+01              6181                4824     7080          4739             4723    7754    7080   10126    9942       7319            5424      1.0573106e+03        2.1672155e+02   7.4385970e-03   1.10979118696     1.10000083698   4.1827851e-03   3.61230212762    6.1255197e+00   2.2895188e-03      16.6182467      58.80349771   142388    13489  74015056  
      unbelievably  arrogant              44   3.4358942e+00             16291               11626    19713          4740             4622   12846   19713   30619   11654      20291           13095      1.4348220e+02        2.9617210e+01   2.7591337e-03   1.10974926885     1.10820657815   2.6139908e-03   2.75086557342    4.3943182e+00   1.9801980e-03       6.1152690      21.61402077    22220    11445  74015056  
          entirely  possible           14340   1.2210666e+03               353                 275      577          4741             4812     353     577     508     269        371             555      4.5597624e+04        9.1132895e+03   4.7700116e-02   1.10942166693     1.09301035121   4.7012309e-02   5.22635893728    9.3829081e+00   4.0208726e-02     109.5529182     375.41557887   253414   356639  74015056  
          fiercely  ambitious            198   1.5590809e+01              8047                6142     9132          4742             4627    6483    9132   13652    7012       9706            6832      6.4399851e+02        1.3256141e+02   5.8286882e-03   1.10939719094     1.10813231424   4.8787700e-03   3.40046172234    5.6971269e+00   3.1533684e-03      12.9632567      46.07022282    18378    62790  74015056  
              near  hopeless              21   1.6383601e+00             21749               14853    27600          4743             4618   18211   27600   43561   15208      27108           17506      6.8481263e+01        1.4143825e+01   1.9070171e-03   1.10937662703     1.10842225086   1.8611247e-03   2.43002923582    3.7522485e+00   1.5279395e-03       4.2250562      14.73583579    13744     8823  74015056  
       emotionally  resilient            176   1.3823536e+01              8566                6477     9767          4744             4648    5799    9767   14615    4440      10354            7210      5.7284357e+02        1.1802543e+02   5.5022847e-03   1.10936770141     1.10677703969   5.4336920e-03   3.35040618909    5.5959189e+00   4.6947104e-03      12.2245109      43.48477518    37489    27292  74015056  
        enormously  likable               41   3.2053010e+00             16774               11910    20365          4745             4634   14264   20365   31690   14299      20882           13502      1.3361843e+02        2.7577443e+01   2.6618857e-03   1.10931812254     1.10756499258   2.3657031e-03   2.71969888893    4.3324827e+00   1.6220921e-03       5.9025403      20.83112350    25276     9386  74015056  
           acutely  embarrassing          80   6.2656502e+00             12503                9210    14715          4746             4624    9323   14715   22564    8366      15504           10227      2.6057505e+02        5.3746349e+01   3.7148979e-03   1.10926334542     1.10818623372   3.5277257e-03   3.00921382904    4.9123038e+00   2.6859157e-03       8.2437509      29.25713244    15570    29785  74015056  
       deceptively  innocent              67   5.2452428e+00             13577                9894    16092          4747             4620   10410   16092   24824    9669      16882           11034      2.1825257e+02        4.5024986e+01   3.4004153e-03   1.10922506459     1.10828170156   3.1821420e-03   2.93238400751    4.7584588e+00   2.3527759e-03       7.5445444      26.74588813    13633    28477  74015056  
         primarily  blue                  63   4.9299145e+00             13970               10131    16570          4748             4635   10307   16570   25627    8560      17364           11318      2.0524709e+02        4.2349021e+01   3.2980772e-03   1.10921604354     1.10755390174   3.2142857e-03   2.90584170895    4.7051823e+00   2.6260942e-03       7.3161431      25.92848724    23990    15210  74015056  
          slightly  sweet               5488   4.5465215e+02               902                 723     1178          4749             4873     818    1178    1261     846        948            1070      1.7588096e+04        3.5531528e+03   2.9916752e-02   1.10916848147     1.08908162803   2.6608807e-02   4.82114895955    8.5605631e+00   1.8261801e-02      67.9438096     236.03378931   300518   111977  74015056  
            deeply  conservative        2395   1.9349094e+02              1693                1364     2099          4750             4731    1198    2099    2463     935       1856            1846      7.7311451e+03        1.5767492e+03   2.0013137e-02   1.10906465673     1.09942139227   1.9714611e-02   4.47195040429    7.8512559e+00   1.6820238e-02      44.9849993     158.23097892   142388   100579  74015056  
             often  confusing           1632   1.3277217e+02              2270                1840     2690          4751             4818    2338    2690    3381    2969       2498            2336      5.2568856e+03        1.0694800e+03   1.6462909e-02   1.10889959912     1.09227829916   1.1442073e-02   4.30233324913    7.5150534e+00   6.6562798e-03      37.1114188     130.06763434   245182    40081  74015056  
       dangerously  high                3081   2.7114198e+02              1431                1176     1853          4752             4636    4007    1853    2067    5555       1532            1667      9.6950277e+03        1.9139186e+03   2.1748699e-02   1.10889598654     1.10734124757   7.5117028e-03   4.54418662905    8.0328783e+00   3.8750866e-03      50.6219099     170.61165833    25241   795079  74015056  
           overall  gross                 15   1.1708982e+00             24457               16372    31808          4753             4625   20986   31808   50663   15293      30467           19758      4.8891353e+01        1.0099164e+01   1.6112823e-03   1.10886585236     1.10818086273   1.6084928e-03   2.28366336894    3.4597546e+00   1.5191412e-03       3.5706587      12.31803147     9874     8777  74015056  
       essentially  trivial               66   5.1709074e+00             13691                9959    16209          4754             4644   10486   16209   25023    9687      16986           11108      2.1489803e+02        4.4331058e+01   3.3736538e-03   1.10886445284     1.10691766361   3.1629646e-03   2.92552111142    4.7450650e+00   2.3466667e-03       7.4875437      26.53037651    28125    13608  74015056  
            rather  amusing             1087   8.9008305e+01              2987                2411     3519          4755             4886    4591    3519    4535    6115       3372            2965      3.4945681e+03        7.0927243e+02   1.3392271e-02   1.10882156387     1.08822560168   6.6677299e-03   4.12302855918    7.1592581e+00   3.5708889e-03      30.2699815     105.72897554   304406    21642  74015056  
         sometimes  controversial       1313   1.0514014e+02              2629                2132     3070          4756             4708    1735    3070    3954    1376       2901            2623      4.2482927e+03        8.6947081e+02   1.4884026e-02   1.10873341376     1.10140876945   1.4598053e-02   4.21476089116    7.3330256e+00   1.2215090e-02      33.3337508     117.74770518   107490    72397  74015056  
          sexually  pure                 176   1.3851581e+01              8571                6483     9779          4757             4660    6037    9779   14624    5464      10361            7217      5.7225633e+02        1.1787052e+02   5.4967118e-03   1.10867664559     1.10559155057   5.2037905e-03   3.34952599955    5.5950387e+00   3.9360394e-03      12.2223970      43.43319664    44715    22928  74015056  
       practically  helpless              41   3.2097113e+00             16782               11912    20376          4758             4643   13645   20376   31706   12887      20890           13515      1.3350556e+02        2.7552960e+01   2.6600563e-03   1.10861831713     1.10703740592   2.4671300e-03   2.71910174519    4.3318856e+00   1.7957253e-03       5.9018516      20.81434562    22832    10405  74015056  
      occasionally  breathtaking          28   2.1914765e+00             19520               13549    24230          4759             4638   15406   24230   38180   11085      24408           15693      9.1155064e+01        1.8819548e+01   2.1985158e-03   1.10818681116     1.10725073839   2.1945294e-03   2.55357924174    4.0007373e+00   2.0699342e-03       4.8773525      17.09615310    13527    11991  74015056  
   environmentally  compliant            139   1.0991579e+01              9627                7215    11130          4760             4694   10810   11130   16716   13388      11710            8026      4.5119413e+02        9.2804772e+01   4.8733176e-03   1.10817253352     1.10264827658   3.0762081e-03   3.24496951229    5.3879843e+00   1.7324974e-03      10.8575326      38.45995957    80231    10140  74015056  
        enormously  entertaining         296   2.3428476e+01              6517                5052     7438          4761             4652    4900    7438   10771    4911       7739            5673      9.6044852e+02        1.9750694e+02   7.1082002e-03   1.10799194997     1.10626084357   6.3058553e-03   3.57283937882    6.0441311e+00   4.3145543e-03      15.8428980      56.20967410    25276    68605  74015056  
           vaguely  surreal               37   2.8991575e+00             17440               12337    21353          4762             4641   13370   21353   33393    9890      21828           14090      1.2039879e+02        2.4850511e+01   2.5258397e-03   1.10796389782     1.10704234846   2.5146974e-03   2.67413164410    4.2423334e+00   2.2989934e-03       5.6061440      19.73396099    13333    16094  74015056  
            simply  elegant              501   3.9841879e+01              4826                3789     5552          4763             4704    3654    5552    7627    3634       5609            4405      1.6233346e+03        3.3326692e+02   9.2258796e-03   1.10789591223     1.10173003654   8.1620684e-03   3.79933563562    6.4991734e+00   5.5669141e-03      20.6030254      72.98083423    89996    32767  74015056  
      delightfully  disgusting            22   1.7223692e+00             21391               14655    27073          4764             4639   17706   27073   42701   14338      26657           17227      7.1601935e+01        1.4784043e+01   1.9484960e-03   1.10788529990     1.10723698606   1.9152919e-03   2.44871912047    3.7911418e+00   1.6178850e-03       4.3232054      15.06992690     9375    13598  74015056  
         strangely  elusive               42   3.2934526e+00             16637               11828    20174          4765             4650   12528   20174   31335    9257      20683           13384      1.3662147e+02        2.8194742e+01   2.6900698e-03   1.10776400516     1.10657991767   2.6784006e-03   2.72884716097    4.3520965e+00   2.4504084e-03       5.9725499      21.05290756    17140    14222  74015056  
