prev_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely
services,1,0,0,0,1,0,0,0,0,0,0,0,0
servitude,1,0,0,0,1,0,0,0,0,0,0,0,0
set,1,0,1,0,0,0,0,0,0,0,0,0,0
severely,1,0,0,0,1,0,0,0,0,0,0,0,0
sex,1,0,0,0,1,0,0,0,0,0,0,0,0
shades,1,0,0,0,1,0,0,0,0,0,0,0,0
sphere,1,0,0,0,1,0,0,0,0,0,0,0,0
shareholders,1,0,0,0,1,0,0,0,0,0,0,0,0
speech,1,0,0,0,1,0,0,0,0,0,0,0,0
sharif,1,0,0,0,1,0,0,0,0,0,0,0,0
sharon,1,0,0,0,1,0,0,0,0,0,0,0,0
specifically,1,0,1,0,0,0,0,0,0,0,0,0,0
restrictions,1,0,0,0,1,0,0,0,0,0,0,0,0
resources,1,0,0,0,1,0,0,0,0,0,0,0,0
tis,1,0,0,0,1,0,0,0,0,0,0,0,0
products,1,0,0,0,1,0,0,0,0,0,0,0,0
progress,1,0,0,0,1,0,0,0,0,0,0,0,0
teenagers,1,0,0,0,1,0,0,0,0,0,0,0,0
temperature,1,0,0,0,0,0,0,0,0,1,0,0,0
program,1,0,0,0,1,0,0,0,0,0,0,0,0
profit,1,0,0,0,1,0,0,0,0,0,0,0,0
profession,1,0,0,0,1,0,0,0,0,0,0,0,0
temperatures,1,0,0,0,1,0,0,0,0,0,0,0,0
resolution,1,0,0,0,1,0,0,0,0,0,0,0,0
processes,1,0,0,0,0,0,1,0,0,0,0,0,0
terms,1,0,0,0,1,0,0,0,0,0,0,0,0
procedure,1,0,0,1,0,0,0,0,0,0,0,0,0
problems,1,0,0,0,1,0,0,0,0,0,0,0,0
territory,1,0,0,0,0,0,0,1,0,0,0,0,0
tessler,1,0,0,0,1,0,0,0,0,0,0,0,0
proletariat,1,1,0,0,0,0,0,0,0,0,0,0,0
techniques,1,0,0,0,1,0,0,0,0,0,0,0,0
properly,1,0,0,0,0,1,0,0,0,0,0,0,0
technique,1,0,0,0,1,0,0,0,0,0,0,0,0
proselytizers,1,0,0,0,0,1,0,0,0,0,0,0,0
protection,1,1,0,0,0,0,0,0,0,0,0,0,0
provides,1,0,0,0,1,0,0,0,0,0,0,0,0
province,1,0,1,0,0,0,0,0,0,0,0,0,0
teaching,1,0,0,0,0,0,1,0,0,0,0,0,0
teachers,1,0,0,1,0,0,0,0,0,0,0,0,0
teacher,1,0,0,0,0,0,0,0,0,1,0,0,0
public,1,0,0,0,0,0,1,0,0,0,0,0,0
publicly,1,1,0,0,0,0,0,0,0,0,0,0,0
taylor,1,0,0,0,1,0,0,0,0,0,0,0,0
taurus,1,0,0,0,1,0,0,0,0,0,0,0,0
purpose,1,0,0,0,1,0,0,0,0,0,0,0,0
purposes,1,0,0,0,1,0,0,0,0,0,0,0,0
prisoners,1,0,0,0,1,0,0,0,0,0,0,0,0
tests,1,0,0,0,0,1,0,0,0,0,0,0,0
text,1,0,0,0,0,0,0,0,0,1,0,0,0
thing,1,1,0,0,0,0,0,0,0,0,0,0,0
position,1,0,0,1,0,0,0,0,0,0,0,0,0
positive,1,0,1,0,0,0,0,0,0,0,0,0,0
possibilities,1,0,0,1,0,0,0,0,0,0,0,0,0
possibility,1,0,0,0,1,0,0,0,0,0,0,0,0
timaea,1,0,0,0,1,0,0,0,0,0,0,0,0
till,1,1,0,0,0,0,0,0,0,0,0,0,0
throne,1,0,0,0,1,0,0,0,0,0,0,0,0
thrillingly,1,1,0,0,0,0,0,0,0,0,0,0,0
three,1,0,0,1,0,0,0,0,0,0,0,0,0
thought,1,0,0,0,1,0,0,0,0,0,0,0,0
pound,1,0,0,0,1,0,0,0,0,0,0,0,0
powers,1,0,0,1,0,0,0,0,0,0,0,0,0
thinking,1,0,0,0,1,0,0,0,0,0,0,0,0
prag,1,0,1,0,0,0,0,0,0,0,0,0,0
thief,1,0,0,0,1,0,0,0,0,0,0,0,0
prison,1,0,0,0,1,0,0,0,0,0,0,0,0
precautions,1,0,0,0,1,0,0,0,0,0,0,0,0
predicament,1,1,0,0,0,0,0,0,0,0,0,0,0
predictably,1,0,0,1,0,0,0,0,0,0,0,0,0
prediction,1,1,0,0,0,0,0,0,0,0,0,0,0
presentation,1,0,0,0,1,0,0,0,0,0,0,0,0
president,1,0,0,0,1,0,0,0,0,0,0,0,0
presidents,1,0,0,0,0,0,0,0,0,1,0,0,0
theories,1,0,0,0,1,0,0,0,0,0,0,0,0
theoretically,1,0,0,1,0,0,0,0,0,0,0,0,0
previously,1,1,0,0,0,0,0,0,0,0,0,0,0
theirs,1,0,0,0,1,0,0,0,0,0,0,0,0
primacy,1,0,0,0,1,0,0,0,0,0,0,0,0
theft,1,0,0,0,0,0,0,0,0,1,0,0,0
theatre,1,0,0,0,1,0,0,0,0,0,0,0,0
putin,1,0,0,0,1,0,0,0,0,0,0,0,0
qbs,1,0,0,0,1,0,0,0,0,0,0,0,0
tartus,1,0,0,0,1,0,0,0,0,0,0,0,0
supercomputers,1,0,0,0,1,0,0,0,0,0,0,0,0
support,1,0,0,0,1,0,0,0,0,0,0,0,0
supervisors,1,0,0,1,0,0,0,0,0,0,0,0,0
recordings,1,0,0,0,0,0,1,0,0,0,0,0,0
redeemable,1,0,1,0,0,0,0,0,0,0,0,0,0
reformer,1,0,0,0,1,0,0,0,0,0,0,0,0
superstar,1,1,0,0,0,0,0,0,0,0,0,0,0
reforms,1,0,0,0,1,0,0,0,0,0,0,0,0
region,1,1,0,0,0,0,0,0,0,0,0,0,0
regularly,1,0,0,0,1,0,0,0,0,0,0,0,0
regulation,1,0,0,0,1,0,0,0,0,0,0,0,0
regulations,1,0,0,0,1,0,0,0,0,0,0,0,0
relationships,1,0,0,0,1,0,0,0,0,0,0,0,0
supernatural,1,0,1,0,0,0,0,0,0,0,0,0,0
supermarkets,1,0,0,0,1,0,0,0,0,0,0,0,0
sunrise,1,0,0,0,1,0,0,0,0,0,0,0,0
swimmer,1,0,0,0,1,0,0,0,0,0,0,0,0
reliably,1,0,0,0,1,0,0,0,0,0,0,0,0
summit,1,0,0,0,1,0,0,0,0,0,0,0,0
summers,1,0,0,0,1,0,0,0,0,0,0,0,0
sugar,1,0,0,1,0,0,0,0,0,0,0,0,0
rendered,1,0,0,0,0,1,0,0,0,0,0,0,0
rents,1,0,0,0,1,0,0,0,0,0,0,0,0
report,1,0,0,0,1,0,0,0,0,0,0,0,0
republic,1,0,0,0,1,0,0,0,0,0,0,0,0
republicans,1,0,0,0,1,0,0,0,0,0,0,0,0
suddenly,1,0,0,0,0,0,1,0,0,0,0,0,0
resaca,1,0,0,0,1,0,0,0,0,0,0,0,0
research,1,0,0,1,0,0,0,0,0,0,0,0,0
researchers,1,0,0,0,1,0,0,0,0,0,0,0,0
resistance,1,0,0,0,0,0,0,0,0,1,0,0,0
realm,1,0,1,0,0,0,0,0,0,0,0,0,0
reallyreally,1,0,0,0,0,1,0,0,0,0,0,0,0
quadrants,1,0,0,0,1,0,0,0,0,0,0,0,0
rad,1,0,0,0,1,0,0,0,0,0,0,0,0
targets,1,0,0,0,1,0,0,0,0,0,0,0,0
qualities,1,0,0,0,1,0,0,0,0,0,0,0,0
quarterback,1,1,0,0,0,0,0,0,0,0,0,0,0
target,1,1,0,0,0,0,0,0,0,0,0,0,0
talents,1,1,0,0,0,0,0,0,0,0,0,0,0
talent,1,0,0,0,0,0,0,0,0,1,0,0,0
tactics,1,0,0,0,1,0,0,0,0,0,0,0,0
quiet,1,0,1,0,0,0,0,0,0,0,0,0,0
taboo,1,0,0,0,1,0,0,0,0,0,0,0,0
quit,1,0,1,0,0,0,0,0,0,0,0,0,0
quote,1,1,0,0,0,0,0,0,0,0,0,0,0
table,1,0,0,0,0,0,0,1,0,0,0,0,0
racism,1,0,0,0,1,0,0,0,0,0,0,0,0
systems,1,0,0,0,1,0,0,0,0,0,0,0,0
railroad,1,0,0,0,1,0,0,0,0,0,0,0,0
switchbacks,1,0,0,0,1,0,0,0,0,0,0,0,0
rampart,1,0,1,0,0,0,0,0,0,0,0,0,0
range,1,0,0,0,1,0,0,0,0,0,0,0,0
ranks,1,0,0,1,0,0,0,0,0,0,0,0,0
systematically,1,1,0,0,0,0,0,0,0,0,0,0,0
syntax,1,0,0,0,1,0,0,0,0,0,0,0,0
rates,1,0,0,1,0,0,0,0,0,0,0,0,0
symptoms,1,0,0,0,1,0,0,0,0,0,0,0,0
rationality,1,0,0,1,0,0,0,0,0,0,0,0,0
reaction,1,0,0,0,1,0,0,0,0,0,0,0,0
sword,1,1,0,0,0,0,0,0,0,0,0,0,0
reading,1,0,0,0,1,0,0,0,0,0,0,0,0
real,1,1,0,0,0,0,0,0,0,0,0,0,0
realist,1,0,1,0,0,0,0,0,0,0,0,0,0
switcheroo,1,0,0,0,0,0,1,0,0,0,0,0,0
nhs,1,0,0,0,1,0,0,0,0,0,0,0,0
!--,1,0,0,0,1,0,0,0,0,0,0,0,0
next,1,0,0,0,1,0,0,0,0,0,0,0,0
condition,1,0,0,0,0,0,1,0,0,0,0,0,0
constitution,1,0,1,0,0,0,0,0,0,0,0,0,0
constable,1,0,0,0,1,0,0,0,0,0,0,0,0
conservatives,1,0,0,0,1,0,0,0,0,0,0,0,0
connection,1,1,0,0,0,0,0,0,0,0,0,0,0
conjecture,1,0,0,0,1,0,0,0,0,0,0,0,0
confusing,1,0,1,0,0,0,0,0,0,0,0,0,0
conflict,1,0,0,0,1,0,0,0,0,0,0,0,0
conduct,1,0,0,0,1,0,0,0,0,0,0,0,0
conditions,1,0,0,0,1,0,0,0,0,0,0,0,0
condescension,1,0,0,0,1,0,0,0,0,0,0,0,0
consumption,1,0,0,0,1,0,0,0,0,0,0,0,0
conclusively,1,0,0,0,0,0,1,0,0,0,0,0,0
conclusions,1,0,0,0,1,0,0,0,0,0,0,0,0
concern,1,0,0,0,1,0,0,0,0,0,0,0,0
computer,1,1,0,0,0,0,0,0,0,0,0,0,0
composition,1,0,0,0,1,0,0,0,0,0,0,0,0
composers,1,0,0,0,1,0,0,0,0,0,0,0,0
composer,1,1,0,0,0,0,0,0,0,0,0,0,0
completion,1,0,0,0,1,0,0,0,0,0,0,0,0
complementarities,1,0,0,0,1,0,0,0,0,0,0,0,0
constraints,1,0,0,0,0,0,0,0,0,1,0,0,0
contents,1,0,0,0,1,0,0,0,0,0,0,0,0
companies,1,0,0,1,0,0,0,0,0,0,0,0,0
couldnt,1,1,0,0,0,0,0,0,0,0,0,0,0
cran,1,0,0,1,0,0,0,0,0,0,0,0,0
craft,1,0,1,0,0,0,0,0,0,0,0,0,0
coverage,1,0,0,0,1,0,0,0,0,0,0,0,0
courtship,1,0,0,0,1,0,0,0,0,0,0,0,0
courts,1,0,1,0,0,0,0,0,0,0,0,0,0
court,1,0,0,0,0,0,0,1,0,0,0,0,0
countries,1,0,0,0,1,0,0,0,0,0,0,0,0
countenance,1,0,0,0,1,0,0,0,0,0,0,0,0
councillors,1,0,0,0,1,0,0,0,0,0,0,0,0
cougar,1,0,0,0,1,0,0,0,0,0,0,0,0
contingencies,1,0,0,0,1,0,0,0,0,0,0,0,0
costa,1,0,0,0,1,0,0,0,0,0,0,0,0
cost,1,0,0,1,0,0,0,0,0,0,0,0,0
cornell,1,0,0,0,1,0,0,0,0,0,0,0,0
corman,1,0,0,0,1,0,0,0,0,0,0,0,0
converts,1,0,0,0,1,0,0,0,0,0,0,0,0
conversions,1,0,0,0,1,0,0,0,0,0,0,0,0
converse,1,0,0,0,1,0,0,0,0,0,0,0,0
contributions,1,0,0,0,0,0,1,0,0,0,0,0,0
contract,1,0,0,0,0,1,0,0,0,0,0,0,0
competition,1,0,0,1,0,0,0,0,0,0,0,0,0
communication,1,0,0,1,0,0,0,0,0,0,0,0,0
candidate,1,0,0,0,0,0,0,0,0,1,0,0,0
chain,1,0,0,0,1,0,0,0,0,0,0,0,0
circumstances,1,0,0,0,1,0,0,0,0,0,0,0,0
circle,1,0,0,0,0,0,0,0,0,1,0,0,0
cider,1,0,0,0,1,0,0,0,0,0,0,0,0
chordally,1,1,0,0,0,0,0,0,0,0,0,0,0
chinese,1,0,0,0,1,0,0,0,0,0,0,0,0
chastisement,1,0,0,0,1,0,0,0,0,0,0,0,0
chargers,1,0,0,0,1,0,0,0,0,0,0,0,0
changes,1,0,0,0,1,0,0,0,0,0,0,0,0
chances,1,0,0,0,1,0,0,0,0,0,0,0,0
cd,1,0,0,0,1,0,0,0,0,0,0,0,0
city,1,0,0,0,1,0,0,0,0,0,0,0,0
cbc,1,0,0,0,1,0,0,0,0,0,0,0,0
catholicism,1,0,0,0,1,0,0,0,0,0,0,0,0
catch,1,0,0,0,1,0,0,0,0,0,0,0,0
cash,1,0,0,0,1,0,0,0,0,0,0,0,0
cases,1,0,0,1,0,0,0,0,0,0,0,0,0
carolina,1,0,0,0,1,0,0,0,0,0,0,0,0
card,1,0,1,0,0,0,0,0,0,0,0,0,0
cara,1,0,0,0,0,0,1,0,0,0,0,0,0
canoes,1,1,0,0,0,0,0,0,0,0,0,0,0
citation,1,0,0,0,1,0,0,0,0,0,0,0,0
class,1,1,0,0,0,0,0,0,0,0,0,0,0
commonly,1,0,0,0,0,0,1,0,0,0,0,0,0
coffee,1,1,0,0,0,0,0,0,0,0,0,0,0
committee,1,0,0,0,1,0,0,0,0,0,0,0,0
commitment,1,1,0,0,0,0,0,0,0,0,0,0,0
comics,1,0,0,0,1,0,0,0,0,0,0,0,0
color,1,0,0,0,1,0,0,0,0,0,0,0,0
colony,1,0,1,0,0,0,0,0,0,0,0,0,0
colons,1,0,0,0,1,0,0,0,0,0,0,0,0
collects,1,0,0,0,1,0,0,0,0,0,0,0,0
collaborators,1,0,0,0,1,0,0,0,0,0,0,0,0
coffin,1,0,0,0,1,0,0,0,0,0,0,0,0
code,1,0,0,1,0,0,0,0,0,0,0,0,0
classes,1,0,0,0,1,0,0,0,0,0,0,0,0
cocaine,1,0,0,0,1,0,0,0,0,0,0,0,0
coach,1,0,0,0,1,0,0,0,0,0,0,0,0
clubs,1,0,0,0,0,0,0,0,0,1,0,0,0
closely,1,1,0,0,0,0,0,0,0,0,0,0,0
climate,1,0,0,0,1,0,0,0,0,0,0,0,0
client,1,0,0,0,0,0,0,0,0,1,0,0,0
cliche,1,1,0,0,0,0,0,0,0,0,0,0,0
clerks,1,0,0,0,1,0,0,0,0,0,0,0,0
cleaner,1,1,0,0,0,0,0,0,0,0,0,0,0
creation,1,0,1,0,0,0,0,0,0,0,0,0,0
creed,1,0,1,0,0,0,0,0,0,0,0,0,0
crisis,1,0,0,0,1,0,0,0,0,0,0,0,0
director,1,0,0,1,0,0,0,0,0,0,0,0,0
division,1,1,0,0,0,0,0,0,0,0,0,0,0
divide,1,1,0,0,0,0,0,0,0,0,0,0,0
diversity,1,1,0,0,0,0,0,0,0,0,0,0,0
distractions,1,0,0,1,0,0,0,0,0,0,0,0,0
distinction,1,0,0,0,1,0,0,0,0,0,0,0,0
distances,1,0,0,0,1,0,0,0,0,0,0,0,0
dissent,1,0,0,0,1,0,0,0,0,0,0,0,0
discomfort,1,1,0,0,0,0,0,0,0,0,0,0,0
disability,1,0,0,0,1,0,0,0,0,0,0,0,0
diplomacy,1,0,0,0,1,0,0,0,0,0,0,0,0
doctor,1,0,0,0,1,0,0,0,0,0,0,0,0
dimity,1,0,0,0,1,0,0,0,0,0,0,0,0
dimaggio,1,0,0,0,1,0,0,0,0,0,0,0,0
different,1,0,0,0,0,1,0,0,0,0,0,0,0
differences,1,1,0,0,0,0,0,0,0,0,0,0,0
diet,1,1,0,0,0,0,0,0,0,0,0,0,0
dictators,1,0,0,0,1,0,0,0,0,0,0,0,0
dick,1,0,0,1,0,0,0,0,0,0,0,0,0
dichotomy,1,1,0,0,0,0,0,0,0,0,0,0,0
devil,1,0,0,0,1,0,0,0,0,0,0,0,0
dna,1,0,1,0,0,0,0,0,0,0,0,0,0
doctors,1,0,0,0,1,0,0,0,0,0,0,0,0
critics,1,0,0,0,0,0,0,0,0,0,0,1,0
dream,1,0,0,0,1,0,0,0,0,0,0,0,0
dseem,1,0,0,0,1,0,0,0,0,0,0,0,0
drug,1,0,0,0,1,0,0,0,0,0,0,0,0
drkoop,1,0,0,0,1,0,0,0,0,0,0,0,0
drives,1,0,0,1,0,0,0,0,0,0,0,0,0
drivers,1,0,0,0,1,0,0,0,0,0,0,0,0
driver,1,0,0,1,0,0,0,0,0,0,0,0,0
drills,1,0,0,0,1,0,0,0,0,0,0,0,0
dresses,1,0,0,0,1,0,0,0,0,0,0,0,0
dreams,1,1,0,0,0,0,0,0,0,0,0,0,0
dramatically,1,0,1,0,0,0,0,0,0,0,0,0,0
dog,1,1,0,0,0,0,0,0,0,0,0,0,0
drama,1,0,0,0,1,0,0,0,0,0,0,0,0
down,1,0,1,0,0,0,0,0,0,0,0,0,0
douglas,1,0,0,0,1,0,0,0,0,0,0,0,0
dough,1,0,0,0,1,0,0,0,0,0,0,0,0
doubt,1,0,0,0,0,1,0,0,0,0,0,0,0
dorms,1,0,0,0,1,0,0,0,0,0,0,0,0
donations,1,0,0,0,1,0,0,0,0,0,0,0,0
dollar,1,0,0,1,0,0,0,0,0,0,0,0,0
dole,1,0,0,0,1,0,0,0,0,0,0,0,0
developer,1,0,0,0,0,0,1,0,0,0,0,0,0
detox,1,0,0,0,1,0,0,0,0,0,0,0,0
desires,1,0,0,0,1,0,0,0,0,0,0,0,0
daisy,1,0,0,0,1,0,0,0,0,0,0,0,0
debate,1,0,0,0,1,0,0,0,0,0,0,0,0
deal,1,0,1,0,0,0,0,0,0,0,0,0,0
daughter,1,0,0,0,1,0,0,0,0,0,0,0,0
databases,1,0,0,0,1,0,0,0,0,0,0,0,0
darrell,1,0,0,0,1,0,0,0,0,0,0,0,0
darkness,1,0,0,0,1,0,0,0,0,0,0,0,0
dangerous,1,0,1,0,0,0,0,0,0,0,0,0,0
damn,1,0,0,0,0,0,0,0,1,0,0,0,0
dallas,1,0,1,0,0,0,0,0,0,0,0,0,0
dad,1,0,0,0,1,0,0,0,0,0,0,0,0
designer,1,0,0,0,0,0,0,0,0,1,0,0,0
custom,1,0,0,0,0,0,0,0,0,0,0,1,0
curriculum,1,0,0,0,1,0,0,0,0,0,0,0,0
currencies,1,0,0,0,1,0,0,0,0,0,0,0,0
culture,1,0,0,0,1,0,0,0,0,0,0,0,0
culturally,1,0,1,0,0,0,0,0,0,0,0,0,0
cubanidad,1,1,0,0,0,0,0,0,0,0,0,0,0
cu,1,0,0,0,1,0,0,0,0,0,0,0,0
crunch,1,1,0,0,0,0,0,0,0,0,0,0,0
cronies,1,0,0,0,1,0,0,0,0,0,0,0,0
debts,1,0,1,0,0,0,0,0,0,0,0,0,0
decision,1,0,0,0,0,0,0,0,0,1,0,0,0
decisions,1,0,0,0,0,0,0,0,0,1,0,0,0
defence,1,0,0,0,1,0,0,0,0,0,0,0,0
design,1,0,0,0,0,0,0,0,0,1,0,0,0
description,1,1,0,0,0,0,0,0,0,0,0,0,0
descendants,1,0,0,0,1,0,0,0,0,0,0,0,0
derek,1,0,0,0,0,0,0,0,0,1,0,0,0
depthlessness,1,0,0,0,1,0,0,0,0,0,0,0,0
depraved,1,0,1,0,0,0,0,0,0,0,0,0,0
demonstrably,1,0,0,0,1,0,0,0,0,0,0,0,0
demographic,1,0,0,0,0,1,0,0,0,0,0,0,0
democracy,1,0,0,0,1,0,0,0,0,0,0,0,0
demo,1,0,1,0,0,0,0,0,0,0,0,0,0
demeanor,1,1,0,0,0,0,0,0,0,0,0,0,0
delirium,1,0,0,0,1,0,0,0,0,0,0,0,0
delineation,1,0,0,0,0,0,0,0,0,0,0,1,0
deliberations,1,1,0,0,0,0,0,0,0,0,0,0,0
deliberately,1,1,0,0,0,0,0,0,0,0,0,0,0
definitive,1,0,0,0,0,1,0,0,0,0,0,0,0
defenses,1,0,0,1,0,0,0,0,0,0,0,0,0
defense,1,0,0,0,0,0,0,1,0,0,0,0,0
defender,1,0,0,0,1,0,0,0,0,0,0,0,0
candy,1,0,1,0,0,0,0,0,0,0,0,0,0
canadiens,1,0,0,1,0,0,0,0,0,0,0,0,0
newspaper,1,0,0,0,1,0,0,0,0,0,0,0,0
ambitions,1,0,0,0,1,0,0,0,0,0,0,0,0
animals,1,0,0,0,1,0,0,0,0,0,0,0,0
angling,1,0,0,0,1,0,0,0,0,0,0,0,0
angles,1,0,0,1,0,0,0,0,0,0,0,0,0
anderson,1,0,0,0,1,0,0,0,0,0,0,0,0
analysis,1,0,0,0,0,0,1,0,0,0,0,0,0
analogies,1,0,0,0,1,0,0,0,0,0,0,0,0
amtrak,1,0,0,0,1,0,0,0,0,0,0,0,0
amenities,1,0,1,0,0,0,0,0,0,0,0,0,0
amenabar,1,0,0,0,1,0,0,0,0,0,0,0,0
alternative,1,0,0,0,1,0,0,0,0,0,0,0,0
ankles,1,0,1,0,0,0,0,0,0,0,0,0,0
alt,1,0,0,0,0,0,1,0,0,0,0,0,0
alone,1,1,0,0,0,0,0,0,0,0,0,0,0
allowances,1,0,0,0,1,0,0,0,0,0,0,0,0
allies,1,0,0,1,0,0,0,0,0,0,0,0,0
allah,1,0,1,0,0,0,0,0,0,0,0,0,0
all-,1,0,0,0,1,0,0,0,0,0,0,0,0
alien,1,0,0,0,1,0,0,0,0,0,0,0,0
albeit,1,0,1,0,0,0,0,0,0,0,0,0,0
aim,1,0,0,0,1,0,0,0,0,0,0,0,0
animosity,1,1,0,0,0,0,0,0,0,0,0,0,0
annoyingly,1,1,0,0,0,0,0,0,0,0,0,0,0
aftab,1,0,0,0,1,0,0,0,0,0,0,0,0
ar,1,0,0,1,0,0,0,0,0,0,0,0,0
arm,1,0,0,0,1,0,0,0,0,0,0,0,0
arians,1,0,0,0,0,0,0,0,0,1,0,0,0
argument,1,0,0,0,1,0,0,0,0,0,0,0,0
ares,1,0,0,1,0,0,0,0,0,0,0,0,0
area,1,0,0,1,0,0,0,0,0,0,0,0,0
architects,1,0,0,0,1,0,0,0,0,0,0,0,0
archilochus,1,0,0,0,1,0,0,0,0,0,0,0,0
arafat,1,0,0,0,1,0,0,0,0,0,0,0,0
arabic,1,0,0,0,1,0,0,0,0,0,0,0,0
approaches,1,0,0,0,1,0,0,0,0,0,0,0,0
answers,1,0,0,1,0,0,0,0,0,0,0,0,0
appreciably,1,0,0,0,1,0,0,0,0,0,0,0,0
applications,1,0,0,0,1,0,0,0,0,0,0,0,0
appeal,1,0,0,0,1,0,0,0,0,0,0,0,0
apparatchik,1,0,1,0,0,0,0,0,0,0,0,0,0
apathy,1,1,0,0,0,0,0,0,0,0,0,0,0
anywhen,1,0,1,0,0,0,0,0,0,0,0,0,0
anyway,1,1,0,0,0,0,0,0,0,0,0,0,0
anymore,1,0,1,0,0,0,0,0,0,0,0,0,0
antagonist,1,0,0,0,1,0,0,0,0,0,0,0,0
age,1,0,1,0,0,0,0,0,0,0,0,0,0
african-americans,1,0,0,0,1,0,0,0,0,0,0,0,0
campaign,1,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0,0,0,0
2013,1,0,0,0,1,0,0,0,0,0,0,0,0
200,1,0,0,1,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,1,0,0,0,0,0,0,0
1st,1,1,0,0,0,0,0,0,0,0,0,0,0
1994,1,0,0,0,1,0,0,0,0,0,0,0,0
1980s,1,0,1,0,0,0,0,0,0,0,0,0,0
1941,1,0,0,0,1,0,0,0,0,0,0,0,0
18,1,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,0,1,0,0,0,0,0,0,0
3rd,1,0,0,0,0,0,0,0,0,0,1,0,0
100,1,0,0,0,0,0,1,0,0,0,0,0,0
10,1,0,0,1,0,0,0,0,0,0,0,0,0
....,1,0,1,0,0,0,0,0,0,0,0,0,0
..,1,0,1,0,0,0,0,0,0,0,0,0,0
-y,1,1,0,0,0,0,0,0,0,0,0,0,0
-mostly,1,0,1,0,0,0,0,0,0,0,0,0,0
"--""",1,0,1,0,0,0,0,0,0,0,0,0,0
'is,1,0,0,0,0,0,0,1,0,0,0,0,0
&,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,0,0,0,1,0,0,0,0,0,0,0,0
africa,1,0,0,0,1,0,0,0,0,0,0,0,0
actors,1,0,0,1,0,0,0,0,0,0,0,0,0
aforementioned,1,0,0,0,1,0,0,0,0,0,0,0,0
advice,1,0,0,0,1,0,0,0,0,0,0,0,0
advance,1,0,0,0,1,0,0,0,0,0,0,0,0
admittedly,1,0,0,0,0,0,1,0,0,0,0,0,0
adequately,1,0,0,0,1,0,0,0,0,0,0,0,0
address,1,1,0,0,0,0,0,0,0,0,0,0,0
addict,1,0,0,0,0,0,0,0,0,1,0,0,0
adage,1,1,0,0,0,0,0,0,0,0,0,0,0
ad-space,1,1,0,0,0,0,0,0,0,0,0,0,0
activity,1,0,0,0,0,0,0,0,0,1,0,0,0
5:11,1,0,0,0,1,0,0,0,0,0,0,0,0
ace,1,1,0,0,0,0,0,0,0,0,0,0,0
accusation,1,0,1,0,0,0,0,0,0,0,0,0,0
abuse,1,0,0,0,1,0,0,0,0,0,0,0,0
abroad,1,0,0,1,0,0,0,0,0,0,0,0,0
abreast,1,0,0,0,0,1,0,0,0,0,0,0,0
abdul,1,0,0,0,1,0,0,0,0,0,0,0,0
\/,1,0,1,0,0,0,0,0,0,0,0,0,0
\'s,1,0,0,1,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,1,0,0,0,0,0,0,0
arms,1,0,0,0,1,0,0,0,0,0,0,0,0
arps,1,0,0,0,1,0,0,0,0,0,0,0,0
artificial,1,0,1,0,0,0,0,0,0,0,0,0,0
blandly,1,0,0,0,1,0,0,0,0,0,0,0,0
boats,1,0,0,0,1,0,0,0,0,0,0,0,0
boards,1,0,0,0,1,0,0,0,0,0,0,0,0
blue,1,0,0,0,1,0,0,0,0,0,0,0,0
blow,1,0,1,0,0,0,0,0,0,0,0,0,0
bloom,1,0,0,0,0,0,0,0,0,1,0,0,0
bloodsuckers,1,0,0,0,1,0,0,0,0,0,0,0,0
blogger,1,0,0,0,0,0,1,0,0,0,0,0,0
blocks,1,0,0,1,0,0,0,0,0,0,0,0,0
blatantly,1,0,0,0,0,0,1,0,0,0,0,0,0
blacks,1,0,0,0,1,0,0,0,0,0,0,0,0
book,1,1,0,0,0,0,0,0,0,0,0,0,0
biscuit,1,0,0,0,1,0,0,0,0,0,0,0,0
birds,1,0,0,0,1,0,0,0,0,0,0,0,0
bird,1,0,0,0,0,0,0,0,0,1,0,0,0
bin,1,1,0,0,0,0,0,0,0,0,0,0,0
biller,1,0,0,0,1,0,0,0,0,0,0,0,0
bill,1,0,1,0,0,0,0,0,0,0,0,0,0
big,1,0,1,0,0,0,0,0,0,0,0,0,0
biddle,1,0,0,0,1,0,0,0,0,0,0,0,0
bias,1,1,0,0,0,0,0,0,0,0,0,0,0
bombs,1,0,0,0,1,0,0,0,0,0,0,0,0
booth,1,0,1,0,0,0,0,0,0,0,0,0,0
artists,1,0,0,0,1,0,0,0,0,0,0,0,0
britain,1,0,0,0,1,0,0,0,0,0,0,0,0
camp,1,0,0,0,1,0,0,0,0,0,0,0,0
cain,1,0,0,0,1,0,0,0,0,0,0,0,0
ca,1,0,1,0,0,0,0,0,0,0,0,0,0
c.,1,0,0,0,0,1,0,0,0,0,0,0,0
businesses,1,0,0,0,1,0,0,0,0,0,0,0,0
burglaries,1,0,0,0,0,0,0,0,0,1,0,0,0
bullying,1,0,0,0,1,0,0,0,0,0,0,0,0
