sentences,mask_type,pred_pos,scale_type
He was kinda sad. He wasn't ridiculously [MASK].,predicate,adj,rel
 He wasn't ridiculously [MASK].,predicate,adj,rel
He was kinda [MASK]. He wasn't happy.,predicate,adj,rel
He was kinda sad. He wasn't [MASK].,predicate,adj,rel
 He wasn't [MASK].,predicate,adj,rel
He was sorta [MASK]. He was not extremely happy.,predicate,adj,rel
He was sorta [MASK].,predicate,adj,rel
He was sorta sad. He was not extremely [MASK].,predicate,adj,rel
He was sorta [MASK]. He was not ridiculously happy.,predicate,adj,rel
He was sorta sad. He was not ridiculously [MASK].,predicate,adj,rel
He was sorta [MASK]. He was not happy.,predicate,adj,rel
He was sorta sad. He was not [MASK].,predicate,adj,rel
He was sorta [MASK]. He wasn't extremely happy.,predicate,adj,rel
He was sorta sad. He wasn't extremely [MASK].,predicate,adj,rel
He was sorta [MASK]. He wasn't ridiculously happy.,predicate,adj,rel
He was sorta sad. He wasn't ridiculously [MASK].,predicate,adj,rel
He was sorta [MASK]. He wasn't happy.,predicate,adj,rel
He was sorta sad. He wasn't [MASK].,predicate,adj,rel
He was extremely [MASK]. He was not extremely happy.,predicate,adj,rel
He was extremely [MASK].,predicate,adj,rel
He was extremely sad. He was not extremely [MASK].,predicate,adj,rel
He was extremely [MASK]. He was not ridiculously happy.,predicate,adj,rel
He was extremely sad. He was not ridiculously [MASK].,predicate,adj,rel
He was extremely [MASK]. He was not happy.,predicate,adj,rel
He was extremely sad. He was not [MASK].,predicate,adj,rel
He was extremely [MASK]. He wasn't extremely happy.,predicate,adj,rel
He was extremely sad. He wasn't extremely [MASK].,predicate,adj,rel
He was extremely [MASK]. He wasn't ridiculously happy.,predicate,adj,rel
He was extremely sad. He wasn't ridiculously [MASK].,predicate,adj,rel
He was extremely [MASK]. He wasn't happy.,predicate,adj,rel
He was extremely sad. He wasn't [MASK].,predicate,adj,rel
He was ridiculously [MASK]. He was not extremely happy.,predicate,adj,rel
He was ridiculously [MASK].,predicate,adj,rel
He was ridiculously sad. He was not extremely [MASK].,predicate,adj,rel
He was ridiculously [MASK]. He was not ridiculously happy.,predicate,adj,rel
He was ridiculously sad. He was not ridiculously [MASK].,predicate,adj,rel
He was ridiculously [MASK]. He was not happy.,predicate,adj,rel
He was ridiculously sad. He was not [MASK].,predicate,adj,rel
He was ridiculously [MASK]. He wasn't extremely happy.,predicate,adj,rel
He was ridiculously sad. He wasn't extremely [MASK].,predicate,adj,rel
He was ridiculously [MASK]. He wasn't ridiculously happy.,predicate,adj,rel
He was ridiculously sad. He wasn't ridiculously [MASK].,predicate,adj,rel
He was ridiculously [MASK]. He wasn't happy.,predicate,adj,rel
He was ridiculously sad. He wasn't [MASK].,predicate,adj,rel
He was [MASK]. He was not extremely happy.,predicate,adj,rel
He was [MASK].,predicate,adj,rel
He was sad. He was not extremely [MASK].,predicate,adj,rel
He was [MASK]. He was not ridiculously happy.,predicate,adj,rel
He was sad. He was not ridiculously [MASK].,predicate,adj,rel
He was [MASK]. He was not happy.,predicate,adj,rel
He was sad. He was not [MASK].,predicate,adj,rel
He was [MASK]. He wasn't extremely happy.,predicate,adj,rel
He was sad. He wasn't extremely [MASK].,predicate,adj,rel
He was [MASK]. He wasn't ridiculously happy.,predicate,adj,rel
He was sad. He wasn't ridiculously [MASK].,predicate,adj,rel
He was [MASK]. He wasn't happy.,predicate,adj,rel
He was sad. He wasn't [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was not extremely sad.,predicate,adj,rel
He was not extremely happy. He was not extremely [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was not ridiculously sad.,predicate,adj,rel
He was not extremely happy. He was not ridiculously [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was not sad.,predicate,adj,rel
He was not extremely happy. He was not [MASK].,predicate,adj,rel
He was not extremely [MASK]. He wasn't extremely sad.,predicate,adj,rel
He was not extremely happy. He wasn't extremely [MASK].,predicate,adj,rel
He was not extremely [MASK]. He wasn't ridiculously sad.,predicate,adj,rel
He was not extremely happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He was not extremely [MASK]. He wasn't sad.,predicate,adj,rel
He was not extremely happy. He wasn't [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was not extremely sad.,predicate,adj,rel
He was not ridiculously happy. He was not extremely [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was not ridiculously sad.,predicate,adj,rel
He was not ridiculously happy. He was not ridiculously [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was not sad.,predicate,adj,rel
He was not ridiculously happy. He was not [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He wasn't extremely sad.,predicate,adj,rel
He was not ridiculously happy. He wasn't extremely [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He wasn't ridiculously sad.,predicate,adj,rel
He was not ridiculously happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He wasn't sad.,predicate,adj,rel
He was not ridiculously happy. He wasn't [MASK].,predicate,adj,rel
He was not [MASK]. He was not extremely sad.,predicate,adj,rel
He was not happy. He was not extremely [MASK].,predicate,adj,rel
He was not [MASK]. He was not ridiculously sad.,predicate,adj,rel
He was not happy. He was not ridiculously [MASK].,predicate,adj,rel
He was not [MASK]. He was not sad.,predicate,adj,rel
He was not happy. He was not [MASK].,predicate,adj,rel
He was not [MASK]. He wasn't extremely sad.,predicate,adj,rel
He was not happy. He wasn't extremely [MASK].,predicate,adj,rel
He was not [MASK]. He wasn't ridiculously sad.,predicate,adj,rel
He was not happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He was not [MASK]. He wasn't sad.,predicate,adj,rel
He was not happy. He wasn't [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was not extremely sad.,predicate,adj,rel
He wasn't extremely happy. He was not extremely [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was not ridiculously sad.,predicate,adj,rel
He wasn't extremely happy. He was not ridiculously [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was not sad.,predicate,adj,rel
He wasn't extremely happy. He was not [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He wasn't extremely sad.,predicate,adj,rel
He wasn't extremely happy. He wasn't extremely [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He wasn't ridiculously sad.,predicate,adj,rel
He wasn't extremely happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He wasn't sad.,predicate,adj,rel
He wasn't extremely happy. He wasn't [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was not extremely sad.,predicate,adj,rel
He wasn't ridiculously happy. He was not extremely [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was not ridiculously sad.,predicate,adj,rel
He wasn't ridiculously happy. He was not ridiculously [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was not sad.,predicate,adj,rel
He wasn't ridiculously happy. He was not [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He wasn't extremely sad.,predicate,adj,rel
He wasn't ridiculously happy. He wasn't extremely [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He wasn't ridiculously sad.,predicate,adj,rel
He wasn't ridiculously happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He wasn't sad.,predicate,adj,rel
He wasn't ridiculously happy. He wasn't [MASK].,predicate,adj,rel
He wasn't [MASK]. He was not extremely sad.,predicate,adj,rel
He wasn't happy. He was not extremely [MASK].,predicate,adj,rel
He wasn't [MASK]. He was not ridiculously sad.,predicate,adj,rel
He wasn't happy. He was not ridiculously [MASK].,predicate,adj,rel
He wasn't [MASK]. He was not sad.,predicate,adj,rel
He wasn't happy. He was not [MASK].,predicate,adj,rel
He wasn't [MASK]. He wasn't extremely sad.,predicate,adj,rel
He wasn't happy. He wasn't extremely [MASK].,predicate,adj,rel
He wasn't [MASK]. He wasn't ridiculously sad.,predicate,adj,rel
He wasn't happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He wasn't [MASK]. He wasn't sad.,predicate,adj,rel
He wasn't happy. He wasn't [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was kinda happy.,predicate,adj,rel
He was not extremely [MASK]. He was sorta happy.,predicate,adj,rel
He was not ridiculously [MASK]. He was kinda happy.,predicate,adj,rel
He was not ridiculously [MASK]. He was sorta happy.,predicate,adj,rel
He wasn't extremely [MASK]. He was kinda happy.,predicate,adj,rel
He wasn't extremely [MASK]. He was sorta happy.,predicate,adj,rel
He wasn't ridiculously [MASK]. He was kinda happy.,predicate,adj,rel
He wasn't ridiculously [MASK]. He was sorta happy.,predicate,adj,rel
He was kinda happy. He was not extremely [MASK].,predicate,adj,rel
He was kinda happy. He was not ridiculously [MASK].,predicate,adj,rel
He was kinda happy. He wasn't extremely [MASK].,predicate,adj,rel
He was kinda happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He was sorta happy. He was not extremely [MASK].,predicate,adj,rel
He was sorta happy. He was not ridiculously [MASK].,predicate,adj,rel
He was sorta happy. He wasn't extremely [MASK].,predicate,adj,rel
He was sorta happy. He wasn't ridiculously [MASK].,predicate,adj,rel
He was kinda [MASK]. He was not extremely happy but he was not sad either.,predicate,adj,rel
He was kinda happy. He was not extremely [MASK] but he was not sad either.,predicate,adj,rel
 He was not extremely [MASK] but he was not sad either.,predicate,adj,rel
He was kinda happy. He was not extremely happy but he was not [MASK] either.,predicate,adj,rel
 He was not extremely happy but he was not [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not extremely happy but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He was not extremely [MASK] but he wasn't sad either.,predicate,adj,rel
 He was not extremely [MASK] but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He was not extremely happy but he wasn't [MASK] either.,predicate,adj,rel
 He was not extremely happy but he wasn't [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not ridiculously happy but he was not sad either.,predicate,adj,rel
He was kinda happy. He was not ridiculously [MASK] but he was not sad either.,predicate,adj,rel
 He was not ridiculously [MASK] but he was not sad either.,predicate,adj,rel
He was kinda happy. He was not ridiculously happy but he was not [MASK] either.,predicate,adj,rel
 He was not ridiculously happy but he was not [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not ridiculously happy but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He was not ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
 He was not ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He was not ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
 He was not ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't extremely happy but he was not sad either.,predicate,adj,rel
He was kinda happy. He wasn't extremely [MASK] but he was not sad either.,predicate,adj,rel
 He wasn't extremely [MASK] but he was not sad either.,predicate,adj,rel
He was kinda happy. He wasn't extremely happy but he was not [MASK] either.,predicate,adj,rel
 He wasn't extremely happy but he was not [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't extremely happy but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He wasn't extremely [MASK] but he wasn't sad either.,predicate,adj,rel
 He wasn't extremely [MASK] but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He wasn't extremely happy but he wasn't [MASK] either.,predicate,adj,rel
 He wasn't extremely happy but he wasn't [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't ridiculously happy but he was not sad either.,predicate,adj,rel
He was kinda happy. He wasn't ridiculously [MASK] but he was not sad either.,predicate,adj,rel
 He wasn't ridiculously [MASK] but he was not sad either.,predicate,adj,rel
He was kinda happy. He wasn't ridiculously happy but he was not [MASK] either.,predicate,adj,rel
 He wasn't ridiculously happy but he was not [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't ridiculously happy but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He wasn't ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
 He wasn't ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
He was kinda happy. He wasn't ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
 He wasn't ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not sad but he was not extremely happy either.,predicate,adj,rel
He was kinda happy. He was not [MASK] but he was not extremely happy either.,predicate,adj,rel
 He was not [MASK] but he was not extremely happy either.,predicate,adj,rel
He was kinda happy. He was not sad but he was not extremely [MASK] either.,predicate,adj,rel
 He was not sad but he was not extremely [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not sad but he was not ridiculously happy either.,predicate,adj,rel
He was kinda happy. He was not [MASK] but he was not ridiculously happy either.,predicate,adj,rel
 He was not [MASK] but he was not ridiculously happy either.,predicate,adj,rel
He was kinda happy. He was not sad but he was not ridiculously [MASK] either.,predicate,adj,rel
 He was not sad but he was not ridiculously [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not sad but he wasn't extremely happy either.,predicate,adj,rel
He was kinda happy. He was not [MASK] but he wasn't extremely happy either.,predicate,adj,rel
 He was not [MASK] but he wasn't extremely happy either.,predicate,adj,rel
He was kinda happy. He was not sad but he wasn't extremely [MASK] either.,predicate,adj,rel
 He was not sad but he wasn't extremely [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He was not sad but he wasn't ridiculously happy either.,predicate,adj,rel
He was kinda happy. He was not [MASK] but he wasn't ridiculously happy either.,predicate,adj,rel
 He was not [MASK] but he wasn't ridiculously happy either.,predicate,adj,rel
He was kinda happy. He was not sad but he wasn't ridiculously [MASK] either.,predicate,adj,rel
 He was not sad but he wasn't ridiculously [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't sad but he was not extremely happy either.,predicate,adj,rel
He was kinda happy. He wasn't [MASK] but he was not extremely happy either.,predicate,adj,rel
 He wasn't [MASK] but he was not extremely happy either.,predicate,adj,rel
He was kinda happy. He wasn't sad but he was not extremely [MASK] either.,predicate,adj,rel
 He wasn't sad but he was not extremely [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't sad but he was not ridiculously happy either.,predicate,adj,rel
He was kinda happy. He wasn't [MASK] but he was not ridiculously happy either.,predicate,adj,rel
 He wasn't [MASK] but he was not ridiculously happy either.,predicate,adj,rel
He was kinda happy. He wasn't sad but he was not ridiculously [MASK] either.,predicate,adj,rel
 He wasn't sad but he was not ridiculously [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't sad but he wasn't extremely happy either.,predicate,adj,rel
He was kinda happy. He wasn't [MASK] but he wasn't extremely happy either.,predicate,adj,rel
 He wasn't [MASK] but he wasn't extremely happy either.,predicate,adj,rel
He was kinda happy. He wasn't sad but he wasn't extremely [MASK] either.,predicate,adj,rel
 He wasn't sad but he wasn't extremely [MASK] either.,predicate,adj,rel
He was kinda [MASK]. He wasn't sad but he wasn't ridiculously happy either.,predicate,adj,rel
He was kinda happy. He wasn't [MASK] but he wasn't ridiculously happy either.,predicate,adj,rel
 He wasn't [MASK] but he wasn't ridiculously happy either.,predicate,adj,rel
He was kinda happy. He wasn't sad but he wasn't ridiculously [MASK] either.,predicate,adj,rel
 He wasn't sad but he wasn't ridiculously [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not extremely happy but he was not sad either.,predicate,adj,rel
He was sorta happy. He was not extremely [MASK] but he was not sad either.,predicate,adj,rel
He was sorta happy. He was not extremely happy but he was not [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not extremely happy but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He was not extremely [MASK] but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He was not extremely happy but he wasn't [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not ridiculously happy but he was not sad either.,predicate,adj,rel
He was sorta happy. He was not ridiculously [MASK] but he was not sad either.,predicate,adj,rel
He was sorta happy. He was not ridiculously happy but he was not [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not ridiculously happy but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He was not ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He was not ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't extremely happy but he was not sad either.,predicate,adj,rel
He was sorta happy. He wasn't extremely [MASK] but he was not sad either.,predicate,adj,rel
He was sorta happy. He wasn't extremely happy but he was not [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't extremely happy but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He wasn't extremely [MASK] but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He wasn't extremely happy but he wasn't [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't ridiculously happy but he was not sad either.,predicate,adj,rel
He was sorta happy. He wasn't ridiculously [MASK] but he was not sad either.,predicate,adj,rel
He was sorta happy. He wasn't ridiculously happy but he was not [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't ridiculously happy but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He wasn't ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
He was sorta happy. He wasn't ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not sad but he was not extremely happy either.,predicate,adj,rel
He was sorta happy. He was not [MASK] but he was not extremely happy either.,predicate,adj,rel
He was sorta happy. He was not sad but he was not extremely [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not sad but he was not ridiculously happy either.,predicate,adj,rel
He was sorta happy. He was not [MASK] but he was not ridiculously happy either.,predicate,adj,rel
He was sorta happy. He was not sad but he was not ridiculously [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not sad but he wasn't extremely happy either.,predicate,adj,rel
He was sorta happy. He was not [MASK] but he wasn't extremely happy either.,predicate,adj,rel
He was sorta happy. He was not sad but he wasn't extremely [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He was not sad but he wasn't ridiculously happy either.,predicate,adj,rel
He was sorta happy. He was not [MASK] but he wasn't ridiculously happy either.,predicate,adj,rel
He was sorta happy. He was not sad but he wasn't ridiculously [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't sad but he was not extremely happy either.,predicate,adj,rel
He was sorta happy. He wasn't [MASK] but he was not extremely happy either.,predicate,adj,rel
He was sorta happy. He wasn't sad but he was not extremely [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't sad but he was not ridiculously happy either.,predicate,adj,rel
He was sorta happy. He wasn't [MASK] but he was not ridiculously happy either.,predicate,adj,rel
He was sorta happy. He wasn't sad but he was not ridiculously [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't sad but he wasn't extremely happy either.,predicate,adj,rel
He was sorta happy. He wasn't [MASK] but he wasn't extremely happy either.,predicate,adj,rel
He was sorta happy. He wasn't sad but he wasn't extremely [MASK] either.,predicate,adj,rel
He was sorta [MASK]. He wasn't sad but he wasn't ridiculously happy either.,predicate,adj,rel
He was sorta happy. He wasn't [MASK] but he wasn't ridiculously happy either.,predicate,adj,rel
He was sorta happy. He wasn't sad but he wasn't ridiculously [MASK] either.,predicate,adj,rel
He was not extremely [MASK] but he was not sad either. He was kinda happy.,predicate,adj,rel
He was not extremely [MASK] but he was not sad either.,predicate,adj,rel
He was not extremely happy but he was not [MASK] either. He was kinda happy.,predicate,adj,rel
He was not extremely happy but he was not [MASK] either.,predicate,adj,rel
He was not extremely happy but he was not sad either. He was kinda [MASK].,predicate,adj,rel
He was not extremely [MASK] but he was not sad either. He was sorta happy.,predicate,adj,rel
He was not extremely happy but he was not [MASK] either. He was sorta happy.,predicate,adj,rel
He was not extremely happy but he was not sad either. He was sorta [MASK].,predicate,adj,rel
He was not extremely [MASK] but he wasn't sad either. He was kinda happy.,predicate,adj,rel
He was not extremely [MASK] but he wasn't sad either.,predicate,adj,rel
He was not extremely happy but he wasn't [MASK] either. He was kinda happy.,predicate,adj,rel
He was not extremely happy but he wasn't [MASK] either.,predicate,adj,rel
He was not extremely happy but he wasn't sad either. He was kinda [MASK].,predicate,adj,rel
He was not extremely [MASK] but he wasn't sad either. He was sorta happy.,predicate,adj,rel
He was not extremely happy but he wasn't [MASK] either. He was sorta happy.,predicate,adj,rel
He was not extremely happy but he wasn't sad either. He was sorta [MASK].,predicate,adj,rel
He was not ridiculously [MASK] but he was not sad either. He was kinda happy.,predicate,adj,rel
He was not ridiculously [MASK] but he was not sad either.,predicate,adj,rel
He was not ridiculously happy but he was not [MASK] either. He was kinda happy.,predicate,adj,rel
He was not ridiculously happy but he was not [MASK] either.,predicate,adj,rel
He was not ridiculously happy but he was not sad either. He was kinda [MASK].,predicate,adj,rel
He was not ridiculously [MASK] but he was not sad either. He was sorta happy.,predicate,adj,rel
He was not ridiculously happy but he was not [MASK] either. He was sorta happy.,predicate,adj,rel
He was not ridiculously happy but he was not sad either. He was sorta [MASK].,predicate,adj,rel
He was not ridiculously [MASK] but he wasn't sad either. He was kinda happy.,predicate,adj,rel
He was not ridiculously [MASK] but he wasn't sad either.,predicate,adj,rel
He was not ridiculously happy but he wasn't [MASK] either. He was kinda happy.,predicate,adj,rel
He was not ridiculously happy but he wasn't [MASK] either.,predicate,adj,rel
He was not ridiculously happy but he wasn't sad either. He was kinda [MASK].,predicate,adj,rel
He was not ridiculously [MASK] but he wasn't sad either. He was sorta happy.,predicate,adj,rel
He was not ridiculously happy but he wasn't [MASK] either. He was sorta happy.,predicate,adj,rel
He was not ridiculously happy but he wasn't sad either. He was sorta [MASK].,predicate,adj,rel
He wasn't extremely [MASK] but he was not sad either. He was kinda happy.,predicate,adj,rel
He wasn't extremely [MASK] but he was not sad either.,predicate,adj,rel
He wasn't extremely happy but he was not [MASK] either. He was kinda happy.,predicate,adj,rel
He wasn't extremely happy but he was not [MASK] either.,predicate,adj,rel
He wasn't extremely happy but he was not sad either. He was kinda [MASK].,predicate,adj,rel
He wasn't extremely [MASK] but he was not sad either. He was sorta happy.,predicate,adj,rel
He wasn't extremely happy but he was not [MASK] either. He was sorta happy.,predicate,adj,rel
He wasn't extremely happy but he was not sad either. He was sorta [MASK].,predicate,adj,rel
He wasn't extremely [MASK] but he wasn't sad either. He was kinda happy.,predicate,adj,rel
He wasn't extremely [MASK] but he wasn't sad either.,predicate,adj,rel
He wasn't extremely happy but he wasn't [MASK] either. He was kinda happy.,predicate,adj,rel
He wasn't extremely happy but he wasn't [MASK] either.,predicate,adj,rel
He wasn't extremely happy but he wasn't sad either. He was kinda [MASK].,predicate,adj,rel
He wasn't extremely [MASK] but he wasn't sad either. He was sorta happy.,predicate,adj,rel
He wasn't extremely happy but he wasn't [MASK] either. He was sorta happy.,predicate,adj,rel
He wasn't extremely happy but he wasn't sad either. He was sorta [MASK].,predicate,adj,rel
