,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability
6312,privately,run,84,0.018,1267.039,3.744,0.063,0.076,12.314,11.255,83.982,1.0,0.005
1026,structurally,deficient,1765,0.829,24342.818,3.539,0.247,0.183,11.465,11.23,1764.171,1.0,0.045
2363,developmentally,disabled,619,0.232,8710.943,3.558,0.143,0.138,11.603,11.225,618.768,1.0,0.02
8640,lovingly,handmade,172,0.047,2519.151,3.666,0.046,0.164,11.916,11.207,171.953,1.0,0.008
140,personally,identifiable,13128,10.897,174048.22,3.6,0.526,0.361,11.313,11.206,13117.103,0.999,0.19
1349,lightly,golden,1366,0.626,18827.705,3.522,0.207,0.173,11.426,11.165,1365.374,1.0,0.036
5933,divinely,inspired,117,0.03,1721.405,3.665,0.067,0.082,12.045,11.162,116.97,1.0,0.006
3628,poorly,run,138,0.038,2006.587,3.63,0.103,0.058,11.969,11.15,137.962,1.0,0.006
35,previously,undisclosed,1889,2.348,23410.855,3.452,0.708,0.026,11.43,11.075,1886.652,0.999,0.018
6653,compulsively,watchable,256,0.085,3645.744,3.578,0.06,0.154,11.643,11.066,255.915,1.0,0.009
1744,fast,asleep,2095,1.081,28557.988,3.511,0.178,0.274,11.202,10.996,2093.919,0.999,0.049
8264,compulsively,readable,770,0.318,10929.169,3.676,0.048,0.463,11.315,10.993,769.682,1.0,0.022
7711,rabidly,anti-gay,58,0.012,870.636,3.723,0.052,0.062,12.264,10.963,57.988,1.0,0.003
8108,evenly,moist,518,0.214,7238.512,3.563,0.049,0.304,11.313,10.917,517.786,1.0,0.015
9,seemingly,never-ending,1865,4.332,21337.52,3.431,0.837,0.011,11.381,10.911,1860.668,0.998,0.01
2239,rapidly,emerging,374,0.164,5121.432,3.46,0.15,0.068,11.39,10.897,373.836,1.0,0.01
2407,twice,monthly,283,0.118,3898.77,3.473,0.141,0.058,11.45,10.882,282.882,1.0,0.008
50,previously,unpublished,2127,2.785,25989.998,3.38,0.672,0.029,11.186,10.87,2124.215,0.999,0.019
1219,structurally,unsound,587,0.305,7881.262,3.421,0.223,0.061,11.272,10.866,586.695,0.999,0.014
8135,irrationally,exuberant,151,0.051,2139.452,3.549,0.049,0.11,11.617,10.855,150.949,1.0,0.005
1167,richly,textured,429,0.216,5784.164,3.431,0.229,0.045,11.331,10.852,428.784,0.999,0.01
4094,tightly,interwoven,199,0.075,2771.829,3.497,0.094,0.067,11.512,10.843,198.925,1.0,0.006
2097,functionally,illiterate,726,0.369,9765.418,3.419,0.158,0.109,11.191,10.84,725.631,0.999,0.017
1094,intrinsically,disordered,289,0.137,3928.676,3.455,0.237,0.031,11.43,10.839,288.863,1.0,0.007
120,visually,impaired,1582,1.565,19871.357,3.363,0.546,0.035,11.121,10.807,1580.435,0.999,0.019
201,heavily,armed,8567,8.642,108060.69,3.385,0.482,0.211,10.902,10.776,8558.358,0.999,0.102
3697,nominally,civilian,202,0.081,2789.338,3.471,0.102,0.059,11.439,10.772,201.919,1.0,0.006
6578,next,closest,86,0.025,1236.33,3.585,0.061,0.058,11.816,10.772,85.975,1.0,0.003
144,openly,lesbian,831,0.749,10549.527,3.376,0.523,0.021,11.183,10.759,830.251,0.999,0.011
57,mentally,retarded,5832,8.626,69931.46,3.327,0.657,0.072,10.945,10.758,5823.374,0.999,0.047
3197,continuously,variable,1395,0.769,18718.322,3.445,0.115,0.264,11.001,10.756,1394.231,0.999,0.03
710,roughly,equivalent,4265,3.185,55380.566,3.395,0.303,0.226,10.907,10.751,4261.815,0.999,0.068
10306,ruggedly,handsome,728,0.35,10117.399,3.616,0.038,0.476,11.079,10.749,727.65,1.0,0.018
179,critically,acclaimed,1952,1.885,24484.834,3.334,0.495,0.049,11.004,10.735,1950.115,0.999,0.024
3579,fatally,injured,212,0.089,2907.1,3.45,0.105,0.058,11.372,10.722,211.911,1.0,0.006
5861,above,average,1148,0.618,15566.602,3.505,0.068,0.377,10.96,10.695,1147.382,0.999,0.026
6145,rightfully,ours,330,0.151,4483.008,3.431,0.065,0.133,11.19,10.684,329.849,1.0,0.009
10698,backwards,compatible,1292,0.69,18453.418,3.969,0.037,0.791,10.925,10.68,1291.31,0.999,0.029
2957,finely,woven,173,0.073,2373.044,3.452,0.122,0.04,11.403,10.672,172.927,1.0,0.005
6576,vibrantly,hued,73,0.022,1048.499,3.58,0.061,0.049,11.813,10.668,72.978,1.0,0.003
138,heavily,armored,606,0.558,7668.421,3.368,0.528,0.015,11.168,10.668,605.442,0.999,0.008
16142,backward,compatible,829,0.447,11798.82,3.944,0.024,0.784,10.892,10.586,828.553,0.999,0.018
864,non,refundable,1262,0.937,16142.239,3.302,0.274,0.074,10.856,10.574,1261.063,0.999,0.02
6261,third,highest,461,0.247,6133.684,3.378,0.064,0.163,10.963,10.54,460.753,0.999,0.01
4344,sorely,lacking,1143,0.702,15040.705,3.378,0.089,0.251,10.804,10.536,1142.298,0.999,0.022
2018,nationally,representative,4044,3.008,52785.086,3.43,0.161,0.404,10.646,10.5,4040.992,0.999,0.065
1118,racially,insensitive,1740,1.34,22124.73,3.283,0.235,0.115,10.73,10.495,1738.66,0.999,0.027
733,medically,underserved,1084,0.87,13709.009,3.274,0.299,0.054,10.796,10.485,1083.13,0.999,0.016
686,constantly,evolving,967,0.777,12229.317,3.276,0.308,0.047,10.812,10.48,966.223,0.999,0.014
6343,hard,hearted,95,0.036,1317.925,3.474,0.063,0.048,11.461,10.473,94.964,1.0,0.003
8638,rigidly,hierarchical,89,0.032,1241.045,3.489,0.046,0.063,11.489,10.47,88.968,1.0,0.003
3540,comfortably,numb,536,0.321,6998.968,3.318,0.106,0.101,10.868,10.468,535.679,0.999,0.011
8723,computationally,intensive,600,0.345,7963.936,3.4,0.046,0.273,10.833,10.467,599.655,0.999,0.013
8002,softly,undulating,48,0.013,696.061,3.608,0.05,0.042,11.909,10.46,47.987,1.0,0.002
3267,conspicuously,absent,3710,2.704,49139.055,3.527,0.113,0.541,10.595,10.446,3707.296,0.999,0.061
6540,poorly,lit,179,0.084,2409.146,3.389,0.061,0.075,11.141,10.443,178.916,1.0,0.005
5900,unfairly,prejudicial,110,0.045,1507.749,3.438,0.067,0.048,11.346,10.432,109.955,1.0,0.003
1069,grossly,negligent,1333,1.065,16813.854,3.255,0.241,0.083,10.687,10.418,1331.935,0.999,0.02
5802,inversely,proportionate,118,0.05,1608.857,3.423,0.068,0.048,11.293,10.414,117.95,1.0,0.003
11447,bitingly,satirical,72,0.025,1010.294,3.508,0.034,0.072,11.536,10.394,71.975,1.0,0.002
5410,firmly,entrenched,201,0.103,2673.471,3.355,0.073,0.065,11.044,10.384,200.897,0.999,0.005
1670,internationally,renowned,607,0.426,7757.218,3.267,0.183,0.057,10.769,10.379,606.574,0.999,0.01
244,openly,transgender,777,0.809,9557.135,3.253,0.453,0.02,10.779,10.366,776.191,0.999,0.009
6341,double,minor,2360,1.69,31583.436,3.606,0.063,0.631,10.541,10.359,2358.31,0.999,0.04
9020,counter,intuitive,1029,0.678,13578.273,3.44,0.044,0.424,10.632,10.356,1028.322,0.999,0.019
1478,woefully,inadequate,3541,3.017,44708.543,3.292,0.197,0.253,10.514,10.354,3537.983,0.999,0.05
970,officially,atheist,226,0.145,2937.853,3.328,0.254,0.017,11.029,10.35,225.855,0.999,0.004
4517,slowly,unfolding,321,0.188,4189.748,3.306,0.086,0.076,10.867,10.349,320.812,0.999,0.007
4706,independently,verifiable,172,0.088,2286.862,3.352,0.084,0.048,11.061,10.34,171.912,0.999,0.004
6262,poorly,soluble,119,0.054,1608.4,3.396,0.064,0.05,11.203,10.33,118.946,1.0,0.003
3219,blissfully,unaware,3112,2.44,40186.145,3.393,0.114,0.417,10.492,10.329,3109.56,0.999,0.048
117,long,lasting,13366,21.439,157180.73,3.229,0.55,0.182,10.437,10.328,13344.561,0.998,0.1
15390,prematurely,aged,201,0.103,2689.01,3.393,0.025,0.189,10.965,10.318,200.897,0.999,0.005
347,critically,endangered,8091,9.738,98134.62,3.238,0.398,0.203,10.43,10.309,8081.262,0.999,0.081
13048,differently,themed,86,0.034,1184.921,3.455,0.03,0.087,11.338,10.306,85.966,1.0,0.003
133,sexually,abused,856,1.077,10301.948,3.235,0.53,0.015,10.726,10.305,854.923,0.999,0.008
13148,unconstitutionally,vague,828,0.55,11003.267,3.498,0.029,0.507,10.599,10.291,827.45,0.999,0.015
6721,fatally,flawed,1833,1.356,23998.832,3.458,0.06,0.499,10.489,10.282,1831.644,0.999,0.03
1630,richly,hued,222,0.139,2880.689,3.303,0.185,0.023,10.938,10.278,221.861,0.999,0.004
6273,densely,woven,90,0.038,1227.104,3.42,0.063,0.04,11.296,10.277,89.962,1.0,0.003
3792,happily,unmarried,89,0.039,1209.716,3.416,0.1,0.024,11.306,10.266,88.961,1.0,0.002
15664,north,indian,105,0.047,1425.465,3.416,0.024,0.116,11.166,10.245,104.953,1.0,0.003
365,legally,enforceable,1578,1.776,19067.473,3.185,0.394,0.043,10.518,10.243,1576.224,0.999,0.017
15136,prematurely,gray,143,0.072,1910.15,3.374,0.025,0.135,10.994,10.217,142.928,0.999,0.003
578,traditionally,male-dominated,570,0.531,7042.796,3.215,0.33,0.022,10.646,10.206,569.469,0.999,0.007
2130,second,biggest,207,0.131,2676.156,3.286,0.156,0.025,10.875,10.2,206.869,0.999,0.004
1378,racially,discriminatory,1169,1.033,14453.322,3.188,0.205,0.077,10.475,10.193,1167.967,0.999,0.016
10187,rabidly,anti-israel,39,0.011,560.534,3.578,0.039,0.042,11.808,10.176,38.989,1.0,0.002
798,instantly,recognisable,2642,2.82,31998.84,3.165,0.285,0.104,10.356,10.16,2639.18,0.999,0.03
219,better,equipped,570,0.667,6885.714,3.211,0.467,0.013,10.648,10.16,569.333,0.999,0.006
5805,unfairly,targeted,66,0.027,905.217,3.437,0.068,0.029,11.367,10.151,65.973,1.0,0.002
4034,violently,anti-israel,96,0.047,1283.306,3.366,0.095,0.025,11.14,10.144,95.953,1.0,0.002
4923,staunchly,pro-israel,117,0.061,1548.566,3.336,0.081,0.033,11.027,10.139,116.939,0.999,0.003
13510,accurately,forecast,64,0.025,882.052,3.452,0.029,0.068,11.354,10.136,63.975,1.0,0.002
181,directly,overhead,694,0.891,8281.969,3.193,0.493,0.013,10.586,10.134,693.109,0.999,0.006
15588,insufferably,smug,90,0.041,1214.991,3.395,0.024,0.096,11.126,10.123,89.959,1.0,0.002
4677,solidly,republican,976,0.784,12225.525,3.216,0.084,0.173,10.409,10.119,975.216,0.999,0.015
2227,darkly,comedic,509,0.404,6357.51,3.194,0.151,0.051,10.535,10.115,508.596,0.999,0.008
3677,temporarily,unavailable,1581,1.358,19699.342,3.218,0.103,0.215,10.342,10.113,1579.642,0.999,0.022
5947,secretly,canadian,314,0.214,3999.871,3.235,0.067,0.082,10.62,10.101,313.786,0.999,0.006
224,barely,perceptible,1164,1.571,13735.014,3.151,0.464,0.022,10.433,10.094,1162.429,0.999,0.01
22148,past,due,371,0.251,4857.348,3.404,0.016,0.406,10.555,10.09,370.749,0.999,0.007
903,further,afield,542,0.507,6650.094,3.175,0.267,0.026,10.509,10.075,541.493,0.999,0.007
1661,chronically,homeless,1975,1.941,24064.6,3.157,0.183,0.132,10.282,10.069,1973.059,0.999,0.024
273,sexually,explicit,13106,20.177,153677.95,3.176,0.434,0.235,10.164,10.066,13085.823,0.998,0.102
12763,educationally,backward,112,0.058,1482.989,3.337,0.03,0.085,10.953,10.062,111.942,0.999,0.003
6661,federally,run,80,0.038,1072.266,3.368,0.06,0.034,11.131,10.044,79.962,1.0,0.002
267,directly,proportional,2905,4.225,33821.777,3.111,0.436,0.055,10.251,10.042,2900.775,0.999,0.024
348,critically,injured,806,0.97,9616.213,3.148,0.397,0.02,10.429,10.042,805.03,0.999,0.008
1110,allegedly,defamatory,253,0.203,3169.484,3.219,0.236,0.016,10.669,10.036,252.797,0.999,0.004
6496,proudly,australian,212,0.14,2709.464,3.238,0.061,0.063,10.661,10.023,211.86,0.999,0.004
4792,finely,textured,154,0.096,1984.34,3.26,0.082,0.036,10.773,10.008,153.904,0.999,0.003
172,reasonably,foreseeable,1120,1.708,12996.504,3.125,0.499,0.018,10.355,9.998,1118.292,0.998,0.009
15693,north,east,68,0.03,919.831,3.397,0.024,0.075,11.162,9.986,67.97,1.0,0.002
32,seemingly,unending,1007,2.664,10999.8,3.158,0.735,0.006,10.484,9.978,1004.336,0.997,0.005
9272,unconstitutionally,coercive,68,0.031,916.003,3.381,0.043,0.042,11.16,9.977,67.969,1.0,0.002
307,predominantly,shiite,1932,2.768,22461.352,3.094,0.414,0.039,10.22,9.967,1929.232,0.999,0.016
1074,severely,autistic,436,0.412,5326.018,3.154,0.24,0.023,10.443,9.965,435.588,0.999,0.006
8222,pleasingly,plump,101,0.055,1324.973,3.306,0.049,0.045,10.908,9.958,100.945,0.999,0.002
5529,proudly,south,105,0.059,1371.513,3.296,0.072,0.031,10.896,9.957,104.941,0.999,0.002
7814,intricately,interwoven,109,0.062,1422.649,3.292,0.051,0.045,10.862,9.95,108.938,0.999,0.002
413,openly,homosexual,841,1.056,9938.772,3.115,0.375,0.021,10.317,9.944,839.944,0.999,0.008
7908,cognitively,dissonant,62,0.028,836.877,3.387,0.051,0.033,11.193,9.942,61.972,1.0,0.002
6246,poorly,supervised,61,0.028,823.236,3.388,0.064,0.025,11.207,9.938,60.972,1.0,0.002
772,newly,emerging,727,0.809,8690.973,3.115,0.291,0.027,10.308,9.929,726.191,0.999,0.008
16168,north,eastern,67,0.031,901.624,3.381,0.023,0.074,11.112,9.927,66.969,1.0,0.002
3511,second,highest,774,0.714,9433.368,3.128,0.107,0.094,10.246,9.915,773.286,0.999,0.01
128,long,winded,844,1.396,9696.341,3.117,0.533,0.011,10.339,9.914,842.604,0.998,0.006
4515,effortlessly,chic,803,0.731,9814.171,3.137,0.086,0.123,10.231,9.911,802.269,0.999,0.011
13061,exact,same,1664,1.537,21687.941,3.614,0.03,0.728,10.124,9.909,1662.463,0.999,0.022
56,easily,transportable,863,1.89,9617.154,3.13,0.658,0.007,10.386,9.901,861.11,0.998,0.005
6820,third,lowest,102,0.059,1326.666,3.282,0.059,0.036,10.842,9.893,101.941,0.999,0.002
10010,halfway,decent,1380,1.288,17296.588,3.307,0.039,0.45,10.123,9.886,1378.712,0.999,0.018
8816,independently,wealthy,1456,1.374,18140.691,3.274,0.045,0.409,10.117,9.885,1454.626,0.999,0.019
25886,interminably,social,417,0.331,5363.789,3.384,0.013,0.472,10.318,9.882,416.669,0.999,0.006
3264,structurally,sound,1660,1.703,20029.031,3.123,0.113,0.172,10.102,9.878,1658.297,0.999,0.019
9370,loosely,connected,128,0.08,1645.443,3.25,0.042,0.058,10.704,9.872,127.92,0.999,0.002
13280,biblically,illiterate,134,0.084,1723.438,3.255,0.029,0.088,10.676,9.869,133.916,0.999,0.003
4063,religiously,observant,567,0.516,6908.416,3.12,0.094,0.079,10.245,9.859,566.484,0.999,0.007
430,heavily,indebted,764,1.0,8959.211,3.093,0.371,0.019,10.247,9.857,763.0,0.999,0.007
2867,second,lowest,217,0.171,2702.131,3.174,0.125,0.026,10.503,9.854,216.829,0.999,0.003
9080,firmly,committed,473,0.402,5839.186,3.162,0.044,0.152,10.264,9.85,472.598,0.999,0.007
3144,cautiously,optimistic,9442,10.936,122297.91,3.793,0.116,0.842,9.932,9.839,9431.064,0.999,0.098
14580,rabidly,anti-american,50,0.021,680.597,3.412,0.026,0.054,11.241,9.837,49.979,1.0,0.001
6177,quintessentially,british,756,0.705,9210.021,3.131,0.065,0.151,10.163,9.836,755.295,0.999,0.01
322,predominantly,hindu,1043,1.525,12052.454,3.071,0.406,0.021,10.17,9.828,1041.475,0.999,0.009
1099,roughly,chronological,287,0.274,3495.974,3.144,0.236,0.015,10.421,9.828,286.726,0.999,0.004
8889,willfully,ignorant,1025,0.978,12582.409,3.187,0.045,0.287,10.1,9.822,1024.022,0.999,0.013
5451,continually,evolving,228,0.179,2831.92,3.159,0.073,0.048,10.421,9.804,227.821,0.999,0.003
2249,recently,expired,214,0.179,2643.801,3.158,0.15,0.021,10.458,9.797,213.821,0.999,0.003
3666,lightly,regarded,441,0.407,5354.547,3.107,0.103,0.056,10.239,9.797,440.593,0.999,0.006
4695,functionally,obsolete,638,0.61,7713.927,3.101,0.084,0.095,10.156,9.795,637.39,0.999,0.008
360,naturally,curly,1008,1.476,11628.198,3.062,0.395,0.021,10.14,9.795,1006.524,0.999,0.008
23718,pearly,white,947,0.889,12487.618,3.761,0.015,0.812,10.079,9.795,946.111,0.999,0.012
462,predominantly,muslim,8072,13.212,92197.8,3.059,0.363,0.163,9.905,9.787,8058.788,0.998,0.059
24530,democratically,accountable,286,0.228,3610.217,3.261,0.014,0.301,10.314,9.782,285.772,0.999,0.004
5082,factually,incorrect,1623,1.724,19530.38,3.126,0.078,0.236,9.996,9.773,1621.276,0.999,0.018
1360,freely,downloadable,356,0.357,4290.712,3.108,0.206,0.021,10.294,9.773,355.643,0.999,0.004
3061,intimately,acquainted,232,0.195,2856.829,3.143,0.118,0.028,10.397,9.772,231.805,0.999,0.003
8114,loosely,woven,70,0.038,919.752,3.308,0.049,0.032,10.934,9.767,69.962,0.999,0.002
8794,digitally,savvy,703,0.675,8542.591,3.131,0.045,0.193,10.091,9.754,702.325,0.999,0.009
15633,virulently,homophobic,75,0.041,982.081,3.301,0.024,0.067,10.856,9.744,74.959,0.999,0.002
10540,heretofore,unseen,273,0.226,3369.798,3.148,0.037,0.106,10.294,9.742,272.774,0.999,0.004
400,barely,audible,2547,4.175,28836.508,3.016,0.382,0.049,9.947,9.733,2542.825,0.998,0.019
20597,north,african,96,0.059,1240.715,3.271,0.018,0.106,10.698,9.733,95.941,0.999,0.002
4950,professionally,run,107,0.072,1360.392,3.22,0.08,0.024,10.657,9.725,106.928,0.999,0.002
1882,intellectually,dishonest,1380,1.656,16168.382,3.038,0.169,0.082,9.97,9.716,1378.344,0.999,0.014
5637,carefully,wrought,64,0.035,840.088,3.308,0.07,0.02,10.949,9.712,63.965,0.999,0.001
8188,digitally,literate,336,0.3,4096.288,3.114,0.049,0.092,10.203,9.707,335.7,0.999,0.005
9638,compulsively,listenable,53,0.026,706.603,3.349,0.041,0.032,11.066,9.702,52.974,1.0,0.001
19962,spotlessly,clean,1520,1.598,20341.527,4.219,0.018,0.941,9.921,9.697,1518.402,0.999,0.017
1335,formerly,state-owned,234,0.227,2834.873,3.121,0.209,0.014,10.346,9.696,233.773,0.999,0.003
2956,lightly,armored,140,0.109,1744.818,3.174,0.122,0.018,10.515,9.695,139.891,0.999,0.002
28,potentially,libelous,897,2.96,9424.442,3.082,0.746,0.004,10.233,9.685,894.04,0.997,0.003
12362,miraculously,unharmed,61,0.032,803.606,3.315,0.032,0.044,10.936,9.682,60.968,0.999,0.001
22568,athletically,gifted,113,0.076,1441.773,3.24,0.016,0.127,10.561,9.68,112.924,0.999,0.002
10829,loosely,autobiographical,138,0.101,1730.625,3.181,0.036,0.062,10.469,9.672,137.899,0.999,0.002
26575,institutionally,racist,293,0.254,3653.585,3.232,0.013,0.314,10.191,9.665,292.746,0.999,0.004
14,now,defunct,7932,50.02,74862.266,2.986,0.829,0.018,9.893,9.664,7881.98,0.994,0.015
1172,severely,malnourished,210,0.208,2540.413,3.123,0.229,0.011,10.355,9.66,209.792,0.999,0.003
