adj_lemma,SUM,very,more,most,so,too,as,not,how,much,really,less,pretty,even,still,also,extremely,quite,relatively,highly,particularly,increasingly,just,far,partly,always,especially,immediately,completely,almost,now,only,slightly,fairly,mostly,that,already,no,politically,all,absolutely,totally,often,potentially,truly,largely,incredibly,rather,equally,entirely,deeply,somewhat,fully,well,real,little,nearly,unusually,generally,predominantly,perfectly,sometimes,mentally,long,super,yet,surprisingly,significantly,virtually,probably,overly,seemingly,of,usually,once,least,than,clearly,ever,actually,any,certainly,sharply,longer,otherwise,environmentally,currently,remarkably,mainly,hugely,financially,simply,terribly,sexually,definitely,economically,heavily,physically,seriously,apparently,exceptionally,legally,considerably,readily,reasonably,widely,about,easily,socially,hardly,extraordinarily,wildly,historically,bit,previously,however,both,critically,never,barely,traditionally,obviously,openly,substantially,unexpectedly,overwhelmingly,when,utterly,notoriously,technically,genuinely,wide,purely,fundamentally,sufficiently,vastly,necessarily,exactly,perhaps,dangerously,immensely,newly,mutually,terminally,consistently,similarly,enormously,emotionally,better,then,essentially,finally,normally,moderately,directly,painfully,comparatively,commercially,damn,typically,awfully,inherently,morally,personally,intensely,fiercely,downright,profoundly,way,exceedingly,indeed,double,possibly,desperately,plain,therefore,amazingly,wholly,primarily,thoroughly,ultimately,naturally,best,tremendously,racially,publicly,cautiously,wonderfully,decidedly,uniquely,basically,likely,marginally,visually,formerly,half,reportedly,dramatically,statistically,initially,visibly,strictly,roughly,practically,ridiculously,severely,culturally,extra,allegedly,brand,up,strikingly,ethnically,merely,radically,mildly,supposedly,technologically,broadly,again,back,unbelievably,eerily,suddenly,fiscally,where,internationally,psychologically,chronically,acutely,distinctly,medically,closely,dead,enough,partially,strongly,somehow,altogether,strategically,pleasantly,second,artificially,excessively,rarely,kinda,keenly,modestly,occasionally,instantly,brutally,further,strangely,vitally,remotely,noticeably,narrowly,officially,bitterly,notably,near,infinitely,deceptively,abundantly,oddly,famously,markedly,gravely,doubly,minimally,impossibly,thus,vaguely,woefully,solely,abnormally,frequently,lot,maybe,stunningly,over,unseasonably,horribly,insanely,crystal,grossly,constantly,supremely,whenever,but,darn,prohibitively,deliberately,disproportionately,intellectually,down,freely,criminally,plenty,bone,conspicuously,forever,patently,undeniably,understandably,exclusively,astonishingly,universally,there,locally,shockingly,right,greatly,nationally,scantily,progressively,kind,mighty,firmly,out,beautifully,aesthetically,hiv,genetically,though,quietly,sparsely,home,globally,stubbornly,clinically,overtly,unnecessarily
grateful,6714,1857,185,181,1336,6,36,26,115,8,261,12,10,12,51,131,370,13,0,4,63,2,197,0,1,64,115,4,3,14,9,7,1,0,4,2,1,0,1,28,5,6,2,1,166,0,142,9,14,8,290,2,1,1,2,0,0,1,0,0,3,1,0,0,19,2,1,0,0,8,1,1,1,3,0,1,3,10,25,18,0,14,0,0,0,0,0,0,0,31,0,21,3,0,6,0,0,0,2,5,10,0,0,0,0,0,0,0,0,3,12,2,0,0,0,2,8,0,0,0,0,8,2,0,0,4,0,4,0,0,16,0,0,0,3,0,2,3,1,0,73,0,0,0,1,1,68,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,12,8,0,2,102,0,14,11,0,0,4,2,2,3,0,0,2,1,4,0,14,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,283,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0
modest,6708,631,2767,153,118,188,78,12,28,1,7,13,45,32,58,21,70,110,1072,1,3,5,7,1,0,16,1,0,2,11,2,353,0,156,23,2,21,0,0,2,2,0,3,0,2,2,0,88,19,0,2,21,0,0,4,0,0,3,19,0,3,0,0,0,0,5,34,0,0,1,11,21,3,17,7,4,9,0,11,3,0,2,0,0,12,0,1,7,0,0,6,0,1,1,0,0,0,2,0,8,5,0,1,0,10,0,1,0,1,0,3,0,4,0,0,49,0,0,2,1,3,0,0,0,1,0,0,1,1,1,6,0,0,0,5,0,0,3,1,0,1,2,0,0,1,15,1,0,0,1,3,0,1,0,0,5,99,1,0,16,0,0,1,6,0,0,4,1,0,12,2,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,2,14,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,1,0,0,2,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,4,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0
flexible,6666,570,4202,267,92,39,219,57,59,2,26,175,46,3,21,46,103,48,19,136,8,15,4,0,0,10,3,0,28,0,0,4,9,20,1,13,5,0,5,1,1,20,1,2,6,1,42,12,5,5,0,21,30,1,3,0,0,13,2,0,2,0,0,0,23,17,6,0,0,0,6,0,2,1,1,1,1,0,0,0,0,2,0,1,0,0,0,9,0,2,10,0,1,0,0,0,0,0,1,0,8,0,2,0,7,0,1,0,0,0,11,1,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,28,0,0,0,0,0,1,3,0,0,0,2,0,2,0,0,0,0,3,2,0,0,0,0,0,4,0,3,7,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,1,6,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
volatile,6570,491,1066,732,197,186,157,3,81,1,12,672,26,8,76,11,318,76,20,494,105,163,0,0,0,14,49,1,0,0,0,1,1,36,0,2,239,0,275,0,0,1,269,179,1,1,21,16,12,0,1,29,0,0,1,0,0,22,9,0,0,70,0,1,2,1,2,0,0,0,0,0,6,12,5,19,0,3,7,0,0,0,0,0,12,1,6,0,0,2,4,0,2,0,0,2,0,0,0,0,18,0,1,0,3,1,0,1,1,0,17,14,21,4,0,0,2,0,1,0,11,0,1,0,1,0,0,0,76,0,0,0,0,0,1,0,0,1,0,19,0,4,0,1,1,2,1,33,0,0,0,0,11,1,0,0,0,0,0,14,1,5,0,0,5,0,0,0,0,3,2,0,5,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
independent,6486,222,1127,138,58,117,147,59,60,8,43,33,19,9,32,16,17,35,40,21,4,91,4,1,9,18,0,0,315,9,89,14,1,22,23,5,14,5,166,10,11,167,9,0,361,113,4,2,3,65,0,18,356,1,0,0,20,18,9,4,5,4,0,6,3,3,2,0,93,1,2,18,7,5,18,0,2,8,4,1,0,1,0,7,8,0,2,2,2,0,237,0,0,2,0,49,0,2,0,3,0,33,0,0,5,0,0,0,0,4,1,1,3,0,13,0,3,0,3,0,23,1,0,0,0,0,0,3,15,18,25,0,5,1,27,0,0,1,1,3,1,797,5,0,0,3,0,3,0,5,21,2,2,1,0,0,0,0,0,3,1,0,0,0,0,458,0,0,0,1,3,0,2,0,0,2,0,56,0,3,0,0,1,0,0,1,1,1,6,2,4,0,1,0,40,1,0,0,3,1,0,7,1,9,0,0,2,0,6,0,0,2,0,1,2,0,59,1,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,7,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,31,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,16,0,0,0
sweet,6440,933,130,21,852,511,564,67,201,106,300,131,300,109,26,30,33,57,6,4,105,1,32,2,0,32,180,0,3,25,2,7,290,18,12,18,10,0,0,34,5,14,9,2,15,0,71,48,10,2,1,22,0,1,29,6,2,8,4,1,20,20,0,0,133,8,32,0,0,3,109,12,27,8,11,5,5,0,2,4,8,5,0,2,9,0,0,7,2,0,0,5,7,0,5,0,0,0,7,2,11,0,1,0,0,0,2,0,0,3,6,0,1,2,0,4,18,0,2,7,0,1,0,0,12,5,0,1,0,2,17,1,1,0,2,0,3,2,2,1,1,0,0,0,3,3,1,0,0,9,0,1,6,10,0,1,1,0,10,6,10,1,0,0,23,0,9,1,2,5,4,0,0,0,3,1,3,4,1,0,4,96,0,2,0,1,0,17,3,2,4,0,1,0,1,3,0,0,0,1,0,1,0,0,4,0,0,19,0,0,1,2,0,2,0,32,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,18,0,0,6,0,7,0,0,1,0,0,1,7,0,0,0,0,0,0,2,0,1,6,0,5,3,1,0,30,1,4,1,4,0,0,1,0,0,1,0,1,0,1,1,0,0,0,4,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,1,1,4,0,2,7,0,0,0,0,0,0,2,0,1,0,1,1
emotional,6394,1881,808,624,315,288,117,17,37,71,122,122,151,20,15,28,87,79,1,406,46,13,17,0,1,15,30,2,3,5,0,2,2,8,2,20,14,0,0,26,1,4,73,5,12,6,42,18,14,1,108,20,2,7,50,4,0,29,1,0,0,62,0,0,6,2,25,0,0,0,68,1,16,2,0,2,0,14,1,0,0,3,0,0,0,0,0,3,4,7,0,2,8,0,4,0,1,2,2,0,1,0,1,0,1,0,1,1,0,0,7,5,0,13,0,0,7,0,0,0,0,5,8,0,4,6,0,1,0,0,7,0,25,2,0,1,0,1,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,5,0,0,1,1,0,4,0,1,51,7,4,17,0,2,1,0,0,0,0,1,2,1,6,0,1,1,0,7,0,0,0,4,1,2,1,1,0,0,0,0,0,0,0,1,55,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,8,0,7,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,11,3
normal,6370,383,972,125,130,28,500,383,36,24,36,7,282,12,30,28,14,307,192,0,1,3,105,0,0,8,0,0,388,139,17,104,0,195,26,1,2,4,0,22,134,175,1,0,5,13,7,20,2,45,0,43,26,2,2,3,71,1,4,0,596,3,5,3,10,1,18,0,17,13,0,93,20,9,4,0,6,1,1,14,0,5,0,3,76,0,4,9,0,0,1,8,0,2,2,0,0,10,0,44,2,0,0,0,22,0,51,0,2,5,0,0,16,2,4,1,4,0,5,0,0,2,0,0,1,1,2,13,0,0,0,0,2,2,0,0,2,8,1,0,0,0,0,0,3,1,0,0,0,14,7,3,0,0,0,0,4,0,0,2,2,0,0,0,0,0,4,1,0,2,1,3,1,0,4,1,2,1,0,0,0,0,0,0,0,0,0,3,1,0,7,1,0,1,0,0,1,0,1,1,0,0,3,3,0,0,2,1,1,0,2,0,0,1,0,0,10,0,0,2,2,0,1,3,0,0,0,9,0,0,0,1,0,0,1,1,0,4,1,0,0,0,0,1,0,4,0,0,0,0,1,0,4,0,3,0,0,0,0,0,18,0,6,1,3,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0
solid,6348,1562,947,249,171,66,449,46,66,9,358,50,843,4,100,33,52,67,46,0,14,13,29,0,0,21,9,0,24,13,11,13,1,123,39,13,46,0,1,31,20,4,1,9,16,10,20,12,20,2,2,3,2,0,48,0,19,6,41,1,6,3,2,1,19,4,49,0,0,2,0,19,1,40,22,0,1,0,2,1,0,2,0,0,61,2,1,15,0,0,26,4,1,0,8,2,0,3,4,6,3,2,0,0,44,0,1,1,0,1,4,0,3,0,10,1,5,0,1,0,10,2,0,0,8,0,2,0,0,11,4,0,0,13,8,0,0,2,1,0,0,0,0,0,29,3,2,1,0,1,2,2,10,0,0,1,0,2,5,7,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,0,0,2,0,0,0,3,0,0,5,2,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,8,2,2,0,1,4,0,0,1,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0
traditional,6252,415,4239,546,35,31,64,42,7,3,12,179,34,5,14,12,6,23,17,17,2,0,10,1,0,1,0,0,7,10,12,27,1,71,19,3,2,0,1,3,2,3,4,0,5,25,4,30,3,4,45,7,2,0,1,0,0,1,2,0,1,1,0,5,5,2,6,0,0,0,4,4,2,1,10,2,2,0,1,1,0,0,0,0,10,0,1,1,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,12,1,0,0,3,6,0,0,0,2,0,0,0,0,0,0,1,3,5,0,0,1,0,0,0,0,0,3,2,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,3,3,3,0,0,39,0,0,0,0,2,7,2,0,1,0,0,3,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,2,0,0,0
black,6192,119,237,71,104,67,195,170,18,30,32,30,36,35,40,151,4,9,0,0,13,16,67,0,7,41,14,0,85,147,19,88,1,4,659,11,8,19,0,185,15,47,23,0,6,304,2,3,5,50,3,1,13,1,4,6,54,3,9,1201,4,11,0,9,7,1,0,0,3,4,1,1,0,31,7,0,0,3,11,17,1,0,0,5,9,0,1,1,104,0,0,8,1,0,1,0,69,0,1,0,0,1,0,0,0,0,25,0,0,1,0,0,843,0,1,2,11,0,11,0,76,3,0,0,2,72,1,4,0,1,1,0,5,0,0,0,1,4,2,0,0,1,0,0,1,2,0,0,0,12,2,1,2,0,0,0,0,0,1,11,1,0,0,0,5,3,0,0,0,0,2,2,5,0,10,0,1,0,66,1,0,10,0,1,1,0,0,2,2,1,8,1,0,0,3,37,0,0,0,0,0,14,0,2,0,0,1,1,0,0,3,3,1,4,0,0,0,0,0,2,0,1,0,4,0,4,0,0,0,0,3,0,0,2,2,2,0,0,1,0,0,0,0,2,3,0,0,0,2,0,1,0,0,0,1,1,0,1,0,4,0,1,0,0,0,1,0,0,2,0,6,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,1,0,22,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
satisfied,6153,1133,375,86,39,24,44,1154,80,25,124,97,80,4,29,42,121,246,21,76,14,6,19,3,6,23,14,1,526,1,27,18,1,15,21,1,24,0,1,12,22,122,3,0,33,18,6,4,10,109,29,29,281,40,5,0,3,0,114,0,50,1,0,22,6,36,1,0,0,1,3,7,1,12,9,9,40,11,7,7,0,7,0,15,4,0,5,0,0,1,2,4,2,31,6,0,0,0,1,33,3,0,0,2,25,0,0,39,0,4,3,1,0,0,1,1,5,0,123,0,0,7,0,1,0,2,0,6,0,0,1,0,0,0,3,0,4,4,0,0,11,0,1,0,1,4,0,1,3,3,1,14,1,10,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,2,1,14,0,25,4,1,0,1,0,0,0,1,0,1,16,0,1,0,0,1,5,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,2,0,0,0,11,0,0,0,1,1,0,0,4,0,3,0,0,0,0,0,3,0,0,2,4,0,0,0,3,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0
moderate,6149,163,3839,180,17,164,56,14,10,2,2,10,17,51,21,8,9,28,298,2,0,9,3,0,0,2,7,0,0,2,6,101,2,38,61,1,2,2,588,0,0,0,3,3,4,22,0,11,0,1,0,8,0,3,0,0,0,9,32,11,0,3,0,1,0,0,12,0,0,1,1,6,3,15,0,6,1,3,0,3,1,1,0,0,8,0,1,4,2,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,1,0,0,0,71,0,1,0,2,0,2,5,0,0,1,3,21,0,0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,1,0,0,4,0,0,0,27,0,0,2,1,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,4,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,7,0,1,1,1,0,0,0,5,0,0,0,0,0,1,0,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
generous,6122,886,1508,936,301,442,222,15,57,2,29,335,49,15,12,34,135,61,45,4,39,10,4,0,0,26,27,0,1,1,1,5,1,32,1,26,22,0,1,3,0,1,9,2,7,1,94,17,22,0,2,7,0,0,3,0,0,57,0,0,0,4,0,0,11,1,7,0,0,5,168,5,0,3,4,4,31,0,1,0,0,4,0,0,2,0,0,17,0,10,7,1,2,1,1,0,0,0,0,2,18,0,0,0,6,0,0,0,1,7,48,1,1,6,1,1,1,0,0,0,14,1,0,0,5,1,0,0,2,0,0,0,2,0,6,0,0,6,0,0,7,1,0,0,3,3,9,10,0,1,1,0,2,0,0,0,4,1,0,8,3,1,0,2,0,0,0,2,0,15,3,0,0,0,0,0,10,0,0,0,1,6,0,7,0,0,0,11,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2
sorry,6122,1846,46,16,1263,50,29,178,193,6,501,3,44,1,16,35,129,7,0,0,15,2,141,0,0,21,11,1,2,17,7,45,3,1,1,5,2,0,0,11,4,4,3,0,355,0,17,14,4,1,516,18,0,1,37,0,0,0,3,0,0,2,0,0,4,1,0,0,0,10,0,0,19,1,0,1,1,3,6,6,0,15,0,0,3,0,0,0,1,2,0,1,140,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,1,6,0,1,2,0,9,0,0,4,0,0,0,0,0,0,0,0,48,0,0,1,0,0,1,2,0,1,3,0,0,0,0,1,1,0,0,15,0,0,1,0,0,0,0,0,3,0,11,0,0,7,2,0,0,86,0,1,1,0,0,26,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warm,6102,1150,86,9,298,385,335,49,42,114,106,25,58,45,380,32,74,133,173,0,61,75,49,8,0,52,38,3,3,6,17,7,95,34,23,14,23,11,0,60,1,1,6,3,6,3,35,47,23,0,1,14,0,11,7,5,1,500,45,1,8,7,0,5,24,7,36,11,0,3,8,4,9,25,15,1,1,1,6,4,5,3,1,1,32,0,0,7,3,0,0,1,4,0,5,0,0,2,2,2,55,0,4,0,14,0,1,0,0,0,20,0,21,4,4,2,10,0,3,17,28,4,2,0,14,1,6,0,0,0,12,0,0,1,6,0,2,11,2,2,2,14,1,1,13,8,2,2,0,9,2,9,10,8,0,0,6,0,1,9,1,1,0,1,0,0,2,0,1,4,2,0,0,0,0,2,7,0,0,4,1,8,0,2,0,1,0,32,4,3,1,0,2,0,1,0,0,2,0,3,0,0,0,0,3,0,0,7,0,0,0,1,0,2,0,2,0,0,0,4,0,7,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,39,2,0,7,2,2,0,2,1,2,0,2,9,0,2,6,0,1,0,3,2,0,1,0,1,4,0,0,0,0,2,0,1,0,0,45,1,0,1,1,1,437,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,3,0,0,1,1,0,0,4,1,0,0,0,2,0,2,0,0,7,0,0,0,0,0,0,1,1,0,0,0,1
appealing,6098,600,1875,477,430,48,214,65,17,1,74,443,30,5,23,56,38,48,1,32,163,22,6,0,0,16,127,18,3,2,18,13,0,3,0,35,5,0,51,9,3,4,3,11,12,0,22,14,43,6,5,4,0,1,5,0,0,3,5,0,1,1,0,4,6,1,11,0,0,3,1,1,2,3,0,22,3,3,1,2,0,8,0,2,4,0,2,2,1,6,6,4,12,10,7,5,0,8,1,2,4,0,0,0,4,11,3,0,0,4,1,6,0,1,0,4,7,0,2,0,1,4,0,0,1,0,0,5,0,0,3,0,0,0,6,3,3,2,1,0,33,0,0,0,1,3,24,8,0,1,0,0,1,1,3,0,0,9,3,1,5,7,1,10,1,0,3,1,0,0,0,0,1,0,0,3,1,0,2,8,1,4,0,4,0,1,0,9,0,6,1,1,0,374,0,0,0,1,0,6,1,0,0,0,1,0,0,3,0,0,0,0,1,2,0,2,0,0,16,4,1,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,1,3,0,1,0,0,0,0,0,1,0,5,0,12,0,0,9,0,5,0,0,0,0,0,0,2,1,0,8,0,0,0,4,0,0,1,5,0,0,0,2,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,9,1,0,0,28,1,0,0,1,3,0,0,1,0,5,0,0,1,69,0,0,0,0,0,0,0,1,1,0,0
dead,6098,49,368,11,66,19,207,598,9,66,191,17,38,59,90,78,2,60,5,0,3,3,56,0,2,11,0,3,87,142,548,25,1,2,49,0,871,12,43,197,30,40,6,5,60,8,0,2,3,14,0,1,5,7,2,0,139,0,1,1,1,4,1,264,0,46,0,0,66,167,0,32,11,16,9,0,0,10,4,51,0,36,0,2,2,1,4,0,2,0,1,5,0,1,16,2,0,5,1,76,0,109,0,0,0,0,34,0,2,9,0,0,0,0,2,0,41,0,14,2,0,16,0,1,0,0,13,1,0,18,0,0,0,0,2,0,11,12,2,1,0,36,0,1,0,1,0,5,10,13,27,25,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,23,0,17,0,1,1,0,1,1,2,1,0,1,0,0,0,0,0,4,0,28,66,0,0,1,53,9,0,2,0,1,0,0,23,0,0,1,0,6,0,2,0,0,2,0,1,19,0,0,0,2,0,0,15,0,2,0,0,0,0,0,0,0,3,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,89,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,0,113,0,0
