hit_id,status,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940706_0219_2:21,keep,generally_inclined,generally,inclined,"On the eve of the Group of Seven 's economic summit meeting in Naples this weekend , the leaders are generally inclined to offer the Russians something to offset their loss of face in being excluded from the meeting .",nyt_eng_19940706_0219_2,21
nyt_eng_19940707_0128_22:7,discard,really_nice,really,nice,"-LBQ-  One minute I 'd be really nice to him ,  -RDQ-  Diana said ,  -LBQ-  and the next I 'd be yelling and swearing at him .",nyt_eng_19940707_0128_22,7
nyt_eng_19940707_0128_22:7,keep,really_nice,really,nice,"-LBQ-  One minute I 'd be really nice to him ,  -RDQ-  Diana said ,  -LBQ-  and the next I 'd be yelling and swearing at him .",nyt_eng_19940707_0128_22,7
nyt_eng_19940710_0138_9:20,discard,no_secret,no,secret,"But it was left to French newspapers to point out that , displays of outrage notwithstanding , it is no secret that domestic political espionage in this country is routine .",nyt_eng_19940710_0138_9,20
nyt_eng_19940710_0138_9:20,keep,no_secret,no,secret,"But it was left to French newspapers to point out that , displays of outrage notwithstanding , it is no secret that domestic political espionage in this country is routine .",nyt_eng_19940710_0138_9,20
nyt_eng_19940711_0104_8:9,discard,as_loose,as,loose,"All the while , our Constitution has been as loose as a rope on the one hand and has possessed the tensile strength of steel on the other .",nyt_eng_19940711_0104_8,9
nyt_eng_19940711_0104_8:9,keep,as_loose,as,loose,"All the while , our Constitution has been as loose as a rope on the one hand and has possessed the tensile strength of steel on the other .",nyt_eng_19940711_0104_8,9
nyt_eng_19940711_0113_8:19,discard,too_responsible,too,responsible,"Victor worries , perhaps unnecessarily , that Prong will never make it big because the band is  -LBQ-  too responsible and sensible .  -RDQ-",nyt_eng_19940711_0113_8,19
nyt_eng_19940711_0113_8:19,keep,too_responsible,too,responsible,"Victor worries , perhaps unnecessarily , that Prong will never make it big because the band is  -LBQ-  too responsible and sensible .  -RDQ-",nyt_eng_19940711_0113_8,19
nyt_eng_19940712_0301_17:13,discard,almost_certain,almost,certain,"This time , Dahlin , who has scored four goals , is almost certain to play despite a strained right calf that forced him to exit in overtime last Sunday 's quarterfinal game against Romania .",nyt_eng_19940712_0301_17,13
nyt_eng_19940712_0301_17:13,keep,almost_certain,almost,certain,"This time , Dahlin , who has scored four goals , is almost certain to play despite a strained right calf that forced him to exit in overtime last Sunday 's quarterfinal game against Romania .",nyt_eng_19940712_0301_17,13
nyt_eng_19940712_0402_40:8,discard,very_enthusiastic,very,enthusiastic,Cliburn 's audiences this year have been very enthusiastic .,nyt_eng_19940712_0402_40,8
nyt_eng_19940712_0402_40:8,keep,very_enthusiastic,very,enthusiastic,Cliburn 's audiences this year have been very enthusiastic .,nyt_eng_19940712_0402_40,8
nyt_eng_19940713_0012_28:10,discard,so_upset,so,upset,"You know , a lot of people today are so upset they can barely get out of bed .  -RDQ-",nyt_eng_19940713_0012_28,10
nyt_eng_19940713_0012_28:10,keep,so_upset,so,upset,"You know , a lot of people today are so upset they can barely get out of bed .  -RDQ-",nyt_eng_19940713_0012_28,10
nyt_eng_19940713_0442_3:8,discard,as_helpful,as,helpful,"This time , the media is being as helpful as it was hostile -- at least , in his view -- to  -LBQ-  Last Action Hero .  -RDQ-",nyt_eng_19940713_0442_3,8
nyt_eng_19940713_0442_3:8,keep,as_helpful,as,helpful,"This time , the media is being as helpful as it was hostile -- at least , in his view -- to  -LBQ-  Last Action Hero .  -RDQ-",nyt_eng_19940713_0442_3,8
nyt_eng_19940714_0176_21:30,discard,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30
nyt_eng_19940714_0176_21:30,keep,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30
nyt_eng_19940714_0358_12:18,discard,similarly_shy,similarly,shy,"Northeastern New Mexico and the northern Panhandle of Texas are , from a practitioner 's perspective , similarly shy of clients and , consequently , of lawyers .",nyt_eng_19940714_0358_12,18
nyt_eng_19940714_0358_12:18,keep,similarly_shy,similarly,shy,"Northeastern New Mexico and the northern Panhandle of Texas are , from a practitioner 's perspective , similarly shy of clients and , consequently , of lawyers .",nyt_eng_19940714_0358_12,18
nyt_eng_19940714_0451_1:8,discard,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8
nyt_eng_19940714_0451_1:8,keep,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8
nyt_eng_19940716_0030_38:10,discard,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10
nyt_eng_19940716_0030_38:10,keep,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10
nyt_eng_19940717_0175_31:12,discard,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12
nyt_eng_19940717_0175_31:12,keep,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12
nyt_eng_19940718_0025_32:10,discard,pretty_disappointed,pretty,disappointed,"-LBQ-  The way we played today , I was pretty disappointed ,  -RDQ-  said Lachemann .",nyt_eng_19940718_0025_32,10
nyt_eng_19940718_0025_32:10,keep,pretty_disappointed,pretty,disappointed,"-LBQ-  The way we played today , I was pretty disappointed ,  -RDQ-  said Lachemann .",nyt_eng_19940718_0025_32,10
nyt_eng_19940719_0080_13:28,discard,fully_aware,fully,aware,"While the whereabouts of the washstand were unknown to scholars for 60 years , its owner during that period , Audrey Bain , a Canadian , was fully aware of its importance .",nyt_eng_19940719_0080_13,28
nyt_eng_19940719_0080_13:28,keep,fully_aware,fully,aware,"While the whereabouts of the washstand were unknown to scholars for 60 years , its owner during that period , Audrey Bain , a Canadian , was fully aware of its importance .",nyt_eng_19940719_0080_13,28
nyt_eng_19940720_0119_15:19,discard,too_mature,too,mature,"AGES 12 and up Even though this film received a PG-13 rating , its theme and content are too mature for younger children .",nyt_eng_19940720_0119_15,19
nyt_eng_19940720_0119_15:19,keep,too_mature,too,mature,"AGES 12 and up Even though this film received a PG-13 rating , its theme and content are too mature for younger children .",nyt_eng_19940720_0119_15,19
nyt_eng_19940721_0372_9:15,discard,so_many,so,many,"-LBQ-  I was n't out there thinking , ` My God , I 'm so many under . '",nyt_eng_19940721_0372_9,15
nyt_eng_19940721_0372_9:15,keep,so_many,so,many,"-LBQ-  I was n't out there thinking , ` My God , I 'm so many under . '",nyt_eng_19940721_0372_9,15
nyt_eng_19940722_0355_2:43,discard,painfully_obvious,painfully,obvious,"-LBQ-  Dear Abe ,  -RDQ-  Pat Robertson recently wrote Abraham H. Foxman , director of the Anti-Defamation League of B ` nai B ` rith , which in June had issued a 193-page report condemning the religious right ,  -LBQ-  it is painfully obvious that you are a deeply troubled individual who has somewhere along the way lost your Judaic roots only to seek in radical secularism what only God can give you .",nyt_eng_19940722_0355_2,43
nyt_eng_19940722_0355_2:43,keep,painfully_obvious,painfully,obvious,"-LBQ-  Dear Abe ,  -RDQ-  Pat Robertson recently wrote Abraham H. Foxman , director of the Anti-Defamation League of B ` nai B ` rith , which in June had issued a 193-page report condemning the religious right ,  -LBQ-  it is painfully obvious that you are a deeply troubled individual who has somewhere along the way lost your Judaic roots only to seek in radical secularism what only God can give you .",nyt_eng_19940722_0355_2,43
nyt_eng_19940723_0235_3:22,discard,also_useful,also,useful,"Moreover , rather than detract from the appeal of the home the changes could make it more valuable because they are also useful for families with young children .",nyt_eng_19940723_0235_3,22
nyt_eng_19940723_0235_3:22,keep,also_useful,also,useful,"Moreover , rather than detract from the appeal of the home the changes could make it more valuable because they are also useful for families with young children .",nyt_eng_19940723_0235_3,22
nyt_eng_19940725_0163_2:43,discard,painfully_obvious,painfully,obvious,"-LBQ-  Dear Abe ,  -RDQ-  Pat Robertson recently wrote Abraham H. Foxman , director of the Anti-Defamation League of B ` nai B ` rith , which in June had issued a 193-page report condemning the religious right ,  -LBQ-  it is painfully obvious that you are a deeply troubled individual who has somewhere along the way lost your Judaic roots only to seek in radical secularism what only God can give you .",nyt_eng_19940725_0163_2,43
nyt_eng_19940725_0163_2:43,keep,painfully_obvious,painfully,obvious,"-LBQ-  Dear Abe ,  -RDQ-  Pat Robertson recently wrote Abraham H. Foxman , director of the Anti-Defamation League of B ` nai B ` rith , which in June had issued a 193-page report condemning the religious right ,  -LBQ-  it is painfully obvious that you are a deeply troubled individual who has somewhere along the way lost your Judaic roots only to seek in radical secularism what only God can give you .",nyt_eng_19940725_0163_2,43
nyt_eng_19940727_0236_68:10,discard,really_jazzed,really,jazzed,"-LBQ-  She says , ` Al , I 'm really jazzed .",nyt_eng_19940727_0236_68,10
nyt_eng_19940727_0236_68:10,keep,really_jazzed,really,jazzed,"-LBQ-  She says , ` Al , I 'm really jazzed .",nyt_eng_19940727_0236_68,10
nyt_eng_19940728_0019_64:24,discard,much_synonymous,much,synonymous,"These guys , these great athletes -- the Nitschkes , the Butkuses , the Browns , the Staubachs -- these guys are pretty much synonymous with football .",nyt_eng_19940728_0019_64,24
nyt_eng_19940728_0019_64:24,keep,much_synonymous,much,synonymous,"These guys , these great athletes -- the Nitschkes , the Butkuses , the Browns , the Staubachs -- these guys are pretty much synonymous with football .",nyt_eng_19940728_0019_64,24
nyt_eng_19940728_0051_18:8,discard,so_competent,so,competent,"Heck , at 32 , I was so competent and confident that I was still trying to master parallel parking and trying to get up enough nerve to ask women for dates without resorting to cue cards and hand puppets .",nyt_eng_19940728_0051_18,8
nyt_eng_19940728_0051_18:8,keep,so_competent,so,competent,"Heck , at 32 , I was so competent and confident that I was still trying to master parallel parking and trying to get up enough nerve to ask women for dates without resorting to cue cards and hand puppets .",nyt_eng_19940728_0051_18,8
nyt_eng_19940728_0230_18:5,discard,quite_good,quite,good,"Technically the film is quite good , with some lovely cinematography by Alex Thompson -LRB- for horse lovers , needless to say , it 's a virtual orgy of equine grace and exuberance -RRB- and a lushly haunting musical score by the prolific Danny Elfman that is a tribute to such pastoral British composers as Vaughan Williams and Butterworth .",nyt_eng_19940728_0230_18,5
nyt_eng_19940728_0230_18:5,keep,quite_good,quite,good,"Technically the film is quite good , with some lovely cinematography by Alex Thompson -LRB- for horse lovers , needless to say , it 's a virtual orgy of equine grace and exuberance -RRB- and a lushly haunting musical score by the prolific Danny Elfman that is a tribute to such pastoral British composers as Vaughan Williams and Butterworth .",nyt_eng_19940728_0230_18,5
nyt_eng_19940728_0271_13:18,discard,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18
nyt_eng_19940728_0271_13:18,keep,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18
nyt_eng_19940728_0351_18:15,discard,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15
nyt_eng_19940728_0351_18:15,keep,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15
nyt_eng_19940729_0240_32:11,discard,as_bad,as,bad,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .",nyt_eng_19940729_0240_32,11
nyt_eng_19940729_0240_32:11,keep,as_bad,as,bad,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .",nyt_eng_19940729_0240_32,11
nyt_eng_19940729_0364_17:6,discard,unusually_succinct,unusually,succinct,The 45-minute hearing Friday was unusually succinct and strangely jovial .,nyt_eng_19940729_0364_17,6
nyt_eng_19940729_0364_17:6,keep,unusually_succinct,unusually,succinct,The 45-minute hearing Friday was unusually succinct and strangely jovial .,nyt_eng_19940729_0364_17,6
nyt_eng_19940730_0158_49:10,discard,too_happy,too,happy,And what of the Colts teammates who were not too happy with him ?,nyt_eng_19940730_0158_49,10
nyt_eng_19940730_0158_49:10,keep,too_happy,too,happy,And what of the Colts teammates who were not too happy with him ?,nyt_eng_19940730_0158_49,10
nyt_eng_19940731_0227_17:11,discard,incredibly_stupid,incredibly,stupid,Persuaded George that firing him -LRB- Stephens -RRB- would be incredibly stupid and improper .  -RDQ-,nyt_eng_19940731_0227_17,11
nyt_eng_19940731_0227_17:11,keep,incredibly_stupid,incredibly,stupid,Persuaded George that firing him -LRB- Stephens -RRB- would be incredibly stupid and improper .  -RDQ-,nyt_eng_19940731_0227_17,11
nyt_eng_19940801_0481_25:45,discard,so_personal,so,personal,"The eerie choral music , the images of rain falling , children 's drawings , a woman walking into the sea carrying a suitcase  -COL-  all are meant to suggest the ethereal agony of depression , which the women 's stories tell us are so personal and individualized that they are n't representable by moody symbols .",nyt_eng_19940801_0481_25,45
nyt_eng_19940801_0481_25:45,keep,so_personal,so,personal,"The eerie choral music , the images of rain falling , children 's drawings , a woman walking into the sea carrying a suitcase  -COL-  all are meant to suggest the ethereal agony of depression , which the women 's stories tell us are so personal and individualized that they are n't representable by moody symbols .",nyt_eng_19940801_0481_25,45
nyt_eng_19940803_0304_35:16,discard,solely_responsible,solely,responsible,The state 's lawsuit said Congress has made it clear that the federal government is solely responsible for setting and enforcing immigration policy and that federal officials have admitted they have not adequately enforced the laws .,nyt_eng_19940803_0304_35,16
nyt_eng_19940803_0304_35:16,keep,solely_responsible,solely,responsible,The state 's lawsuit said Congress has made it clear that the federal government is solely responsible for setting and enforcing immigration policy and that federal officials have admitted they have not adequately enforced the laws .,nyt_eng_19940803_0304_35,16
nyt_eng_19940804_0098_38:11,discard,even_aware,even,aware,"-LBQ-  At least half the time , they 're not even aware they 're doing something wrong .  -RDQ-",nyt_eng_19940804_0098_38,11
nyt_eng_19940804_0098_38:11,keep,even_aware,even,aware,"-LBQ-  At least half the time , they 're not even aware they 're doing something wrong .  -RDQ-",nyt_eng_19940804_0098_38,11
nyt_eng_19940804_0109_8:18,discard,as_pretentious,as,pretentious,"This week 's contender for stupidest name of the year , Tennessee 's Judybats band is just as pretentious as that opening line .",nyt_eng_19940804_0109_8,18
nyt_eng_19940804_0109_8:18,keep,as_pretentious,as,pretentious,"This week 's contender for stupidest name of the year , Tennessee 's Judybats band is just as pretentious as that opening line .",nyt_eng_19940804_0109_8,18
nyt_eng_19940804_0230_20:7,discard,always_available,always,available,"That way , it would be always available as a reserve , capable of providing power within seconds if a conventional plant shut down .",nyt_eng_19940804_0230_20,7
nyt_eng_19940804_0230_20:7,keep,always_available,always,available,"That way , it would be always available as a reserve , capable of providing power within seconds if a conventional plant shut down .",nyt_eng_19940804_0230_20,7
nyt_eng_19940804_0359_4:9,discard,that_fortunate,that,fortunate,-LBQ-  But this time we have n't been that fortunate .  -RDQ-,nyt_eng_19940804_0359_4,9
nyt_eng_19940804_0359_4:9,keep,that_fortunate,that,fortunate,-LBQ-  But this time we have n't been that fortunate .  -RDQ-,nyt_eng_19940804_0359_4,9
nyt_eng_19940804_0396_31:13,discard,especially_prolific,especially,prolific,"A realist whose work often dealt with social themes , he was especially prolific as a printmaker .",nyt_eng_19940804_0396_31,13
nyt_eng_19940804_0396_31:13,keep,especially_prolific,especially,prolific,"A realist whose work often dealt with social themes , he was especially prolific as a printmaker .",nyt_eng_19940804_0396_31,13
nyt_eng_19940807_0007_2:7,discard,doubly_tough,doubly,tough,"The apparent strike Friday will be doubly tough on a veteran like Owen , who is enjoying a fine season as the Angels ' starting third baseman .",nyt_eng_19940807_0007_2,7
nyt_eng_19940807_0007_2:7,keep,doubly_tough,doubly,tough,"The apparent strike Friday will be doubly tough on a veteran like Owen , who is enjoying a fine season as the Angels ' starting third baseman .",nyt_eng_19940807_0007_2,7
nyt_eng_19940808_0169_45:7,discard,sure_glad,sure,glad,"Just the same , I 'm sure glad she did n't say raspberry .",nyt_eng_19940808_0169_45,7
nyt_eng_19940808_0169_45:7,keep,sure_glad,sure,glad,"Just the same , I 'm sure glad she did n't say raspberry .",nyt_eng_19940808_0169_45,7
nyt_eng_19940808_0464_5:57,discard,immediately_available,immediately,available,"In the statement announcing that his company would not make the required $ 3.5 million down payment on $ 40 million worth of licenses , Hartley complained that the government had not made it clear before the auction that the technology needed to build interactive television services , like home shopping and banking , was not immediately available .",nyt_eng_19940808_0464_5,57
nyt_eng_19940808_0464_5:57,keep,immediately_available,immediately,available,"In the statement announcing that his company would not make the required $ 3.5 million down payment on $ 40 million worth of licenses , Hartley complained that the government had not made it clear before the auction that the technology needed to build interactive television services , like home shopping and banking , was not immediately available .",nyt_eng_19940808_0464_5,57
nyt_eng_19940811_0072_15:46,discard,so_evil,so,evil,"-LBQ-  Then said the Lord unto me , ` What seest thou , Jeremiah ? ` And I said , ` Figs , the good figs , very good ; and the evil , very evil , that can not be eaten , they are so evil . '",nyt_eng_19940811_0072_15,46
nyt_eng_19940811_0072_15:46,keep,so_evil,so,evil,"-LBQ-  Then said the Lord unto me , ` What seest thou , Jeremiah ? ` And I said , ` Figs , the good figs , very good ; and the evil , very evil , that can not be eaten , they are so evil . '",nyt_eng_19940811_0072_15,46
nyt_eng_19940812_0215_2:10,discard,too_many,too,many,Last Monday afternoon at the Ballroom she was just too many .,nyt_eng_19940812_0215_2,10
nyt_eng_19940812_0215_2:10,keep,too_many,too,many,Last Monday afternoon at the Ballroom she was just too many .,nyt_eng_19940812_0215_2,10
nyt_eng_19940812_0256_16:14,discard,pretty_amazing,pretty,amazing,"-LBQ-  The last couple of times at the Scott , it 's been pretty amazing , the people that 've come up to buy tickets ,  -RDQ-  Chandler said .",nyt_eng_19940812_0256_16,14
nyt_eng_19940812_0256_16:14,keep,pretty_amazing,pretty,amazing,"-LBQ-  The last couple of times at the Scott , it 's been pretty amazing , the people that 've come up to buy tickets ,  -RDQ-  Chandler said .",nyt_eng_19940812_0256_16,14
nyt_eng_19940812_0339_24:5,discard,particularly_appealing,particularly,appealing,-LRB- Words that are particularly appealing in a jittery pre-election period . -RRB-,nyt_eng_19940812_0339_24,5
nyt_eng_19940812_0339_24:5,keep,particularly_appealing,particularly,appealing,-LRB- Words that are particularly appealing in a jittery pre-election period . -RRB-,nyt_eng_19940812_0339_24,5
nyt_eng_19940812_0374_12:5,discard,somewhat_analogous,somewhat,analogous,"The action Friday is somewhat analogous since the federal indictment charges Hill not with murder or assault , but with interfering with Britton 's and the Barretts ' ability to provide  -LBQ-  reproductive health services  -RDQ-  with the shootings cited as the underlying act .",nyt_eng_19940812_0374_12,5
nyt_eng_19940812_0374_12:5,keep,somewhat_analogous,somewhat,analogous,"The action Friday is somewhat analogous since the federal indictment charges Hill not with murder or assault , but with interfering with Britton 's and the Barretts ' ability to provide  -LBQ-  reproductive health services  -RDQ-  with the shootings cited as the underlying act .",nyt_eng_19940812_0374_12,5
nyt_eng_19940812_0427_5:19,discard,very_smole,very,smole,"The chances of someone stopping him from gobbling down the PGA Championship -- they , too , are very smole .",nyt_eng_19940812_0427_5,19
nyt_eng_19940812_0427_5:19,keep,very_smole,very,smole,"The chances of someone stopping him from gobbling down the PGA Championship -- they , too , are very smole .",nyt_eng_19940812_0427_5,19
nyt_eng_19940814_0195_19:35,discard,just_glad,just,glad,"-LBQ-  The way he ran -LRB- Saturday -RRB- ,  -RDQ-  Jory said , referring to Best Pal 's second-place finish to Tinners Way in the $ 1 million Pacific Classic ,  -LBQ-  I 'm just glad to have been associated with the horse .  -RDQ-",nyt_eng_19940814_0195_19,35
nyt_eng_19940814_0195_19:35,keep,just_glad,just,glad,"-LBQ-  The way he ran -LRB- Saturday -RRB- ,  -RDQ-  Jory said , referring to Best Pal 's second-place finish to Tinners Way in the $ 1 million Pacific Classic ,  -LBQ-  I 'm just glad to have been associated with the horse .  -RDQ-",nyt_eng_19940814_0195_19,35
nyt_eng_19940815_0286_5:6,discard,cleanly_focused,cleanly,focused,"The collection this time is cleanly focused , with an emphasis on the Middle East .",nyt_eng_19940815_0286_5,6
nyt_eng_19940815_0286_5:6,keep,cleanly_focused,cleanly,focused,"The collection this time is cleanly focused , with an emphasis on the Middle East .",nyt_eng_19940815_0286_5,6
nyt_eng_19940815_0337_34:17,discard,too_short,too,short,-LBQ-  Anything approaching this kind of high-profile case before it 's adjudicated ... life 's clearly too short .,nyt_eng_19940815_0337_34,17
nyt_eng_19940815_0337_34:17,keep,too_short,too,short,-LBQ-  Anything approaching this kind of high-profile case before it 's adjudicated ... life 's clearly too short .,nyt_eng_19940815_0337_34,17
nyt_eng_19940816_0005_4:13,discard,plain_large,plain,large,"In fact , at 6-foot-4 , 290 pounds , he is just plain large .",nyt_eng_19940816_0005_4,13
nyt_eng_19940816_0005_4:13,keep,plain_large,plain,large,"In fact , at 6-foot-4 , 290 pounds , he is just plain large .",nyt_eng_19940816_0005_4,13
nyt_eng_19940816_0079_13:5,discard,still_upset,still,upset,"Conservative United Methodists are still upset about a November ecumenical woman 's conference in Minneapolis , called the  -LBQ-  Re-Imagining Conference .  -RDQ-",nyt_eng_19940816_0079_13,5
nyt_eng_19940816_0079_13:5,keep,still_upset,still,upset,"Conservative United Methodists are still upset about a November ecumenical woman 's conference in Minneapolis , called the  -LBQ-  Re-Imagining Conference .  -RDQ-",nyt_eng_19940816_0079_13,5
nyt_eng_19940816_0272_29:8,discard,very_afraid,very,afraid,"Well , Mr. President , I am very afraid for this country if we continue to denigrate Government as we have heard over and over again .",nyt_eng_19940816_0272_29,8
nyt_eng_19940816_0272_29:8,keep,very_afraid,very,afraid,"Well , Mr. President , I am very afraid for this country if we continue to denigrate Government as we have heard over and over again .",nyt_eng_19940816_0272_29,8
nyt_eng_19940816_0274_1:10,discard,only_voluminous,only,voluminous,"The ramifications in that legislation -- It is not only voluminous , but there are ramifications that reach right into everyone 's home .",nyt_eng_19940816_0274_1,10
nyt_eng_19940816_0274_1:10,keep,only_voluminous,only,voluminous,"The ramifications in that legislation -- It is not only voluminous , but there are ramifications that reach right into everyone 's home .",nyt_eng_19940816_0274_1,10
nyt_eng_19940817_0279_21:10,discard,so_nice,so,nice,"-LBQ-  I said , ` Man , it 's so nice to hear your voice ...",nyt_eng_19940817_0279_21,10
nyt_eng_19940817_0279_21:10,keep,so_nice,so,nice,"-LBQ-  I said , ` Man , it 's so nice to hear your voice ...",nyt_eng_19940817_0279_21,10
nyt_eng_19940817_0335_10:29,discard,probably_safe,probably,safe,"Most independent biologists are hesitant to hazard a guess on the state 's lion population , although one said that a figure  -LBQ-  between 2,000 and 4,000 is probably safe .  -RDQ-",nyt_eng_19940817_0335_10,29
nyt_eng_19940817_0335_10:29,keep,probably_safe,probably,safe,"Most independent biologists are hesitant to hazard a guess on the state 's lion population , although one said that a figure  -LBQ-  between 2,000 and 4,000 is probably safe .  -RDQ-",nyt_eng_19940817_0335_10,29
nyt_eng_19940818_0126_17:20,discard,as_persuasive,as,persuasive,"As are Willis ' halfhearted efforts to convince us he 's a shrink , a role he 's about as persuasive at as he was as the Easter Bunny in  -LBQ-  North .  -RDQ-",nyt_eng_19940818_0126_17,20
nyt_eng_19940818_0126_17:20,keep,as_persuasive,as,persuasive,"As are Willis ' halfhearted efforts to convince us he 's a shrink , a role he 's about as persuasive at as he was as the Easter Bunny in  -LBQ-  North .  -RDQ-",nyt_eng_19940818_0126_17,20
nyt_eng_19940818_0268_19:8,discard,absolutely_smitten,absolutely,smitten,"Normally an undemonstrative type , Chu is absolutely smitten with a little girl -- the child of one of his daughter 's friends -- and in one of the film 's funniest sequences sneaks her elaborate gourmet box lunches that make her the hit of her school .",nyt_eng_19940818_0268_19,8
nyt_eng_19940818_0268_19:8,keep,absolutely_smitten,absolutely,smitten,"Normally an undemonstrative type , Chu is absolutely smitten with a little girl -- the child of one of his daughter 's friends -- and in one of the film 's funniest sequences sneaks her elaborate gourmet box lunches that make her the hit of her school .",nyt_eng_19940818_0268_19,8
nyt_eng_19940818_0396_16:15,discard,as_good,as,good,"-LBQ-  Biomechanically ,  -RDQ-  said his coach , Eric Hansen ,  -LBQ-  he 's as good as you 'll ever see .  -RDQ-",nyt_eng_19940818_0396_16,15
nyt_eng_19940818_0396_16:15,keep,as_good,as,good,"-LBQ-  Biomechanically ,  -RDQ-  said his coach , Eric Hansen ,  -LBQ-  he 's as good as you 'll ever see .  -RDQ-",nyt_eng_19940818_0396_16,15
nyt_eng_19940819_0252_37:10,discard,so_stupid,so,stupid,"-LBQ-  They said  -COL-  ` God , you 're so stupid .",nyt_eng_19940819_0252_37,10
