prev_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every
turmoil,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
turn,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
turner,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tweet,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tweets,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
twelve,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
twilight,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twitch,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
twitter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twoi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typeface,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyranny,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
u.s.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ua,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uber-liberals,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
816,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unfailingly,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
705,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unhappy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upgrades,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upstairs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uptake,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
upwardly,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
urge,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
usage,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usare,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
use,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
useful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usual,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
usualy,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
utilitarianism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utilities,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vagina,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valley,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valuation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
updates,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
upbringing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
universities,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unified,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
uniformly,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
uninhabited,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unintelligently,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unintelligible,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
union,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unit,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"65,000",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unjustifiably,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unwittingly,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5x,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unnecessarily,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unpacked,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
unpleasantly,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unremarkable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unspeakably,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unusual,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unwearably,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
turkey,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tulips,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seasonally,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tips,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
titles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abatement,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abang,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
toddler,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toddlers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaand,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ton,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tonally,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tongue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tonight,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tony,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tool,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tools,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tooltips,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tooth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top-simply,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
topic,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
\'s,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
title,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timid,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timescale,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
academic,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
thoroughfares,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
abut,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abuse,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
thoughts,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
thread,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threats,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
abstract,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thrones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
absence,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
thumbs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
abortion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tide,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ties,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abjudicated,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timber,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
timeis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abdomens,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[...],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tough,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tourists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toward,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
trials,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tricks,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
trimis,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triples,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
trips,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
trite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triumph,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trolls,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
troops,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tropics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trouble,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trousers,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
trudeau,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
truely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
;m,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
;),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
truthers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truthfully,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
trial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
;t,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
treat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trails,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
towler,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toys,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tracking,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
trade,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
trademark,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
<,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
traffic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traffickers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tragic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trainees,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
travelers,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
training,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traits,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
transaction,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
transactions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
translation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transport,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
transportation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trapdoors,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travel,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
value,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
value-seeking,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valves,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wild,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
williams,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wilson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wines,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wingers,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wingnuts,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
winks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
winning,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wins,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
winter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
winters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wisconsin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10p,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
witnesses,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wmnhgb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100th,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woefully,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wombs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wildlife,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wikipedia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanilla,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
width,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1\/2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1942,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whereas,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1880s,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whichwere,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whit,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
whitener,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155th,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wholeheartidly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wholesome,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11th,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wickedly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wicket,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
wide,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wonderful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/44th,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
workaholics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-rcb-,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yellow,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yesterday,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-perhaps,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yields,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yolks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-out,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
younger,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
youngsters,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-cycle,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"--""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yuh,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yurachek,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zealously,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zellers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zero,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zomg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zoroark,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zuckerberg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
~,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-s,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ye,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yarn,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
....(,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workings,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
workmanlike,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workplace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worldprofit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.was,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.are,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
worship,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wright,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yap,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
writ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
writers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
writings,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
written,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wrk,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wunderkinder,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
y'all,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yankees,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whatis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whale,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vote,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
villa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
village,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
villains,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
violence,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virality,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virgin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
visionaries,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visitors,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vix,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vocals,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voiceless,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
volcano,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
volcanoes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
volunteers,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
314th,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viewpoint,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viewer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vertical,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variances,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vase,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vcast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetables,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vehicles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
veil,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venues,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
versa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3x,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3g,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vettel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vi.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
via,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
viagra,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vibration,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victim,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victory,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
video,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voogle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
votes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wet,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voting,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weak,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weaklings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weaknesses,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wealthy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wearable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weare,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weaver,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
webre,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
websiteare,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
weddings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weeknight,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wellingtons,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
welsh,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
wer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
werewolves,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
western,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wcbm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wayyyyyyy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wayyyy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
want,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vulnerable,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
w,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
waaaaaaaaaaay,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
waaaaaay,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waas,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wages,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wagon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkthroughs,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
war,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ward,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ware,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
warming,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
washington,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wass,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
waterboarding,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watt-hours,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waves,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thirteenth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thinking,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
