adj_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every,somethings,somethin,everythings,everyones,alls,someones,everybodys,somebodies,somes,oftens,everbody,someon,someing,ors,oftenleft,manies,everythiing,eather
dangerous,6311,2158,1343,575,587,453,224,449,184,148,34,8,120,3,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
possible,6276,2265,541,752,99,646,68,1115,107,72,562,9,12,0,22,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clear,6156,930,471,2138,228,430,693,403,109,87,485,113,26,33,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exciting,5906,426,2163,2024,168,158,558,118,99,22,126,7,25,3,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,5796,2562,697,192,1085,464,73,324,103,210,27,1,31,2,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
real,5780,634,902,3378,172,78,83,106,76,48,242,16,28,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worth,5678,1485,765,1272,389,352,216,525,274,163,120,10,77,0,12,7,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
great,5484,907,1221,1070,425,208,326,348,176,71,357,160,137,50,13,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sure,5471,2906,78,283,327,279,173,566,78,350,16,242,89,35,39,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complicated,5449,1436,1119,758,325,550,377,417,80,78,277,11,5,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helpful,5205,627,236,966,305,474,1012,316,226,94,30,764,59,86,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cool,5198,720,2064,845,442,55,320,88,148,23,143,190,71,62,15,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
friendly,5188,433,93,1243,114,55,719,66,181,45,36,1947,38,205,5,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
funny,5080,668,686,538,896,1054,206,551,241,84,63,28,35,10,11,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
proud,5078,342,279,2440,82,60,786,49,301,82,9,482,46,102,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concerned,5078,1111,104,659,463,481,486,133,165,665,4,481,160,145,7,10,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
obvious,5001,634,924,1222,940,338,139,575,52,81,60,3,21,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun,4964,627,913,671,307,259,1174,540,183,44,192,21,13,7,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willing,4935,1281,34,1328,380,411,235,133,72,460,4,200,300,48,11,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
useful,4837,994,1399,589,565,440,142,292,178,138,50,6,27,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
old,4774,2047,333,329,1042,94,37,80,154,326,60,33,149,7,69,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comfortable,4722,1204,580,585,264,330,520,180,219,216,75,303,135,81,11,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free,4666,1847,169,1080,358,103,212,131,134,227,233,100,32,26,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impressive,4620,201,586,2942,351,97,123,44,149,43,53,8,15,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valuable,4579,601,2066,601,262,334,177,205,137,73,36,13,54,1,12,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ready,4489,1610,56,837,373,151,221,204,113,290,195,186,158,47,25,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
low,4432,3045,53,162,187,416,171,179,83,71,16,3,20,3,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
personal,4380,452,2377,332,320,282,146,190,116,77,73,6,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
successful,4339,902,140,579,819,524,268,170,369,249,37,44,194,11,20,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bigger,4319,297,3269,93,185,96,70,65,18,65,92,8,50,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strong,4314,1209,468,470,317,301,456,448,292,78,41,46,141,12,15,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
popular,4299,951,264,534,569,227,899,108,404,193,21,8,100,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stupid,4250,1665,1510,271,215,55,30,101,53,37,31,66,141,16,42,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
related,4228,1285,487,665,569,342,107,82,149,275,149,32,66,7,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impossible,4215,2502,421,156,178,238,44,497,50,77,25,2,16,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
positive,4121,555,1270,815,182,69,476,58,78,76,235,184,44,70,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
short,3868,1582,223,540,389,284,247,233,120,134,31,14,36,4,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
open,3834,928,133,462,491,189,586,99,148,262,240,145,95,36,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazing,3814,147,1457,1064,347,50,132,76,119,31,219,64,87,13,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
many,3778,2116,28,601,194,89,29,457,6,234,1,2,3,3,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
significant,3756,789,1679,578,204,158,57,73,96,61,17,4,30,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
specific,3679,854,1893,93,287,185,69,113,45,64,29,4,30,1,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active,3523,1114,191,327,412,152,455,65,282,354,6,60,75,13,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fine,3478,367,115,662,135,72,68,106,124,67,1603,85,17,33,20,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cold,3461,2518,98,119,50,166,185,175,35,12,41,17,28,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relevant,3436,1095,433,804,406,127,58,49,94,260,78,4,21,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tired,3421,1494,15,471,98,199,146,266,268,73,3,255,26,74,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
challenging,3372,640,671,438,365,503,200,342,111,55,27,5,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necessary,3366,1188,228,728,145,294,45,461,122,78,53,5,11,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perfect,3358,493,406,667,110,32,103,107,50,26,1208,52,74,11,10,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accessible,3319,703,225,982,241,210,182,32,200,194,313,22,8,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supportive,3290,260,31,654,96,53,999,20,136,91,6,751,27,158,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rare,3204,454,983,899,392,62,56,44,110,168,9,0,21,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
higher,3143,1843,129,148,108,417,146,169,88,28,10,5,40,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,3116,1384,272,232,183,172,239,258,126,24,61,47,68,11,30,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sinister,3087,106,2822,53,31,13,10,13,3,6,7,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accurate,3046,1334,138,357,230,295,157,131,142,55,188,4,6,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remarkable,2984,63,757,2011,65,12,17,13,10,17,3,3,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alive,2945,604,130,506,478,66,53,51,247,414,54,118,163,22,19,16,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curious,2924,1698,111,356,141,47,260,38,37,71,3,89,39,26,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ill,2859,1614,6,124,218,99,16,45,85,239,1,27,326,7,23,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
late,2852,1083,16,298,36,798,222,254,18,23,42,15,23,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basic,2819,196,2017,136,235,68,17,51,19,32,39,1,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitive,2799,1001,197,204,313,298,278,116,92,103,21,64,82,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afraid,2797,963,19,248,219,197,201,131,52,296,5,252,113,76,14,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
larger,2786,525,1446,73,215,199,57,60,62,87,13,2,40,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
painful,2761,684,330,485,216,407,84,441,50,30,22,0,8,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satisfying,2761,206,1614,469,28,80,175,87,78,3,12,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
present,2731,847,146,431,301,179,189,85,127,242,69,34,66,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appropriate,2694,1064,611,315,189,152,35,160,44,53,26,3,34,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
innovative,2682,182,332,1894,89,63,29,18,24,27,8,2,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strange,2678,249,1362,559,201,52,47,103,17,18,42,8,13,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subtle,2651,383,843,105,394,378,46,371,32,64,26,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sweet,2633,416,662,583,137,104,250,103,155,28,44,68,47,20,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sad,2599,477,434,804,167,68,167,146,67,31,27,130,25,46,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greater,2578,533,1580,47,27,162,86,73,14,6,6,1,38,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucky,2576,701,14,763,121,16,105,98,87,98,6,435,37,53,34,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slow,2569,1273,42,161,106,363,128,260,33,42,92,16,20,4,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attractive,2527,525,487,530,174,198,170,44,124,55,18,16,162,8,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eager,2478,254,10,1183,134,123,180,93,61,152,2,166,58,49,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critical,2469,452,312,382,256,360,178,117,115,207,13,32,35,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visible,2467,498,128,419,406,351,102,200,84,153,89,11,20,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wonderful,2457,105,1113,547,105,18,94,31,59,19,185,72,68,26,5,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
human,2446,398,636,1071,85,20,41,27,53,19,15,26,46,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
easier,2437,422,152,347,107,365,217,467,32,23,274,13,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,2384,1034,50,360,184,23,23,43,150,213,38,124,103,20,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appealing,2370,279,885,573,88,116,140,62,137,29,28,2,27,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capable,2359,837,90,342,150,142,59,50,207,143,5,66,221,13,17,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poor,2352,1109,11,157,228,259,61,65,38,253,9,71,37,31,20,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
full,2347,884,66,245,115,120,450,114,100,83,29,53,66,8,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
satisfied,2342,1064,13,331,106,96,260,24,121,95,5,131,38,34,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleased,2333,162,20,897,120,31,324,17,220,103,4,333,22,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
talented,2306,408,4,553,156,46,74,20,348,76,1,131,416,34,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awesome,2287,275,775,499,153,26,107,48,93,10,202,39,40,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
safe,2275,877,118,446,117,92,116,67,107,74,128,75,27,22,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enjoyable,2262,341,353,906,90,102,187,82,119,21,43,9,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark,2235,802,379,168,231,192,88,149,32,38,135,3,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worried,2228,605,30,330,233,78,162,40,45,246,2,306,34,96,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
severe,2223,745,342,62,270,364,38,341,16,35,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intense,2221,466,388,311,211,232,144,229,66,26,112,12,14,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
meaningful,2220,269,1362,302,45,78,45,53,19,12,25,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,2189,557,382,598,70,24,41,38,33,22,366,24,22,6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impressed,2178,130,6,641,86,45,519,24,161,69,1,401,22,64,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weird,2150,596,587,297,277,43,70,151,30,23,46,11,13,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprising,2133,187,322,1023,280,82,62,102,23,31,10,0,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vulnerable,2125,503,86,317,177,474,129,39,67,177,5,44,92,7,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
unusual,2123,338,1302,157,166,28,15,29,34,20,11,3,17,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creative,2114,422,627,177,259,144,172,57,70,51,12,56,49,6,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efficient,2105,777,169,193,126,245,200,101,152,26,63,24,17,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
substantial,2100,92,1826,20,59,56,7,20,4,5,6,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheap,2082,723,161,197,193,320,50,60,69,134,149,5,12,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grateful,2069,124,22,800,34,38,652,30,146,66,7,117,17,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lower,2044,1183,41,93,68,345,99,89,67,28,5,3,13,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crazy,2042,760,417,217,213,24,45,106,35,25,49,75,50,16,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scared,2036,774,14,231,120,112,141,83,45,122,3,246,40,67,33,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smart,2029,593,169,257,119,38,101,101,135,57,10,98,253,33,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sick,2001,781,84,207,164,89,31,70,58,118,3,122,195,35,22,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confusing,1975,298,57,1040,89,159,44,188,13,17,66,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggressive,1972,826,162,70,240,207,105,185,66,25,14,16,35,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quick,1952,173,90,423,133,261,281,158,73,119,55,130,22,22,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
correct,1934,876,140,198,137,75,80,58,102,28,170,31,13,11,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
negative,1933,975,275,138,98,94,91,65,19,44,57,33,28,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unexpected,1913,118,1349,110,96,53,14,61,16,19,24,0,49,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
few,1912,1528,47,98,77,31,25,90,1,9,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qualified,1909,471,9,494,106,70,24,13,117,94,3,37,422,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy,1879,682,341,125,244,133,62,142,35,42,51,2,8,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dramatic,1878,346,770,270,130,126,55,101,18,23,28,1,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entertaining,1868,311,264,481,150,203,193,92,120,33,10,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confident,1846,770,28,221,63,62,235,51,87,51,1,124,75,48,25,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lazy,1839,1193,17,92,75,73,57,140,24,41,1,26,61,6,27,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
angry,1837,725,24,124,249,55,71,128,32,185,1,102,93,32,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
responsible,1835,721,54,269,82,97,100,35,141,53,10,70,155,14,16,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
boring,1832,692,235,237,123,115,58,172,44,30,76,15,21,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best,1822,480,22,867,31,48,128,138,26,7,24,42,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delicious,1820,205,485,515,58,30,88,33,179,18,203,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silly,1817,429,555,287,238,73,30,129,22,29,14,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disturbing,1803,202,694,405,231,72,24,95,32,34,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
