bigram_lower,SUM,ADJ,NEG
necessarily_true,3238,3231,7
more_wrong,3162,3131,31
very_effective,3135,3130,5
quite_enough,3135,3128,7
completely_satisfied,3122,3116,6
so_happy,3081,3072,9
as_powerful,2993,2895,98
always_true,2941,2937,4
only_possible,2909,2908,1
as_sharp,2866,2856,10
as_close,2854,2835,19
overly_concerned,2851,2815,36
as_fun,2809,2776,33
very_nice,2801,2786,15
too_excited,2800,2773,27
too_pleased,2772,1535,1237
so_quick,2769,2754,15
only_important,2764,2764,0
too_heavy,2758,2628,130
very_easy,2736,2732,4
as_exciting,2710,2627,83
as_severe,2692,2639,53
so_fortunate,2683,2683,0
very_high,2660,2655,5
as_impressive,2657,2617,40
statistically_significant,2645,2635,10
too_busy,2642,2620,22
very_clear,2641,2634,7
more_likely,2618,2538,80
so_difficult,2608,2580,28
too_expensive,2593,2552,41
as_obvious,2556,2536,20
very_popular,2545,2539,6
fully_aware,2525,2518,7
really_good,2521,2448,73
too_small,2476,2411,65
as_interesting,2466,2433,33
very_big,2462,2450,12
even_worth,2443,2435,8
very_difficult,2439,2423,16
that_interested,2435,2435,0
as_dramatic,2434,2355,79
too_cold,2425,2408,17
very_helpful,2422,2411,11
as_lucky,2380,2373,7
as_nice,2379,2332,47
particularly_good,2376,2338,38
always_better,2374,2372,2
so_hot,2368,2358,10
just_good,2367,2354,13
too_different,2363,2314,49
always_available,2359,2359,0
completely_sure,2356,2355,1
politically_correct,2344,2319,25
very_likely,2330,2299,31
very_useful,2328,2314,14
quite_clear,2307,2305,2
very_common,2294,2289,5
particularly_interested,2278,2275,3
immediately_obvious,2258,2255,3
too_surprised,2246,2233,13
very_interesting,2240,2162,78
yet_complete,2220,2217,3
as_serious,2212,2135,77
always_necessary,2201,2201,0
really_necessary,2185,2178,7
as_straightforward,2184,2175,9
as_fortunate,2179,2178,1
widely_available,2156,2151,5
very_successful,2137,2132,5
so_many,2128,2090,38
so_big,2113,2075,38
entirely_accurate,2103,2098,5
very_long,2100,2099,1
as_likely,2087,2084,3
too_serious,2083,1403,680
so_high,2079,2070,9
as_expensive,2067,2057,10
necessarily_bad,2065,2057,8
very_strong,2065,2050,15
as_funny,2065,2035,30
so_surprising,2059,2049,10
really_worth,2054,1998,56
long_enough,2047,2045,2
as_cool,2031,1995,36
immediately_apparent,2031,2023,8
as_smart,2030,2025,5
so_distant,2020,2016,4
always_obvious,2020,2020,0
as_familiar,2005,2003,2
yet_sure,1990,1990,0
too_tight,1984,1961,23
more_true,1969,1939,30
as_efficient,1960,1952,8
that_interesting,1950,1947,3
so_nice,1937,1913,24
so_keen,1930,1930,0
very_many,1925,1888,37
as_scary,1925,1896,29
more_frustrating,1917,712,1205
always_right,1903,1898,5
as_deep,1896,1878,18
too_young,1896,1886,10
necessarily_better,1893,1890,3
even_able,1885,1885,0
half_bad,1879,1846,33
as_comfortable,1872,1859,13
quite_true,1864,1852,12
very_important,1856,1813,43
more_thrilled,1844,1843,1
too_close,1833,1815,18
only_beautiful,1833,1833,0
only_able,1818,1818,0
more_perfect,1810,1761,49
too_strong,1804,1753,51
that_expensive,1800,1798,2
easily_accessible,1790,1787,3
as_smooth,1777,1764,13
as_interested,1765,1764,1
as_happy,1764,1757,7
totally_sure,1762,1762,0
exactly_clear,1759,1759,0
too_fond,1755,1683,72
as_tough,1739,1719,20
as_safe,1720,1713,7
always_good,1709,1707,2
more_exciting,1709,828,881
really_worried,1706,1700,6
as_sweet,1704,1652,52
more_difficult,1699,1442,257
very_interested,1694,1693,1
any_worse,1693,1687,6
always_able,1682,1682,0
very_hard,1682,1668,14
as_concerned,1678,1677,1
very_comfortable,1673,1668,5
really_true,1661,1659,2
inherently_wrong,1648,170,1478
as_hot,1645,1618,27
as_complicated,1638,1630,8
as_accurate,1633,1633,0
very_familiar,1618,1618,0
even_clear,1615,1615,0
any_easier,1607,1599,8
significantly_different,1604,1597,7
as_dangerous,1597,1571,26
always_enough,1575,1575,0
so_common,1572,1559,13
as_intense,1572,1550,22
so_fast,1551,1377,174
so_strong,1550,1537,13
more_expensive,1547,1514,33
so_close,1537,1521,16
readily_apparent,1531,1522,9
more_specific,1531,1354,177
more_popular,1529,1493,36
too_large,1529,1486,43
more_effective,1529,1408,121
entirely_surprising,1528,1521,7
too_impressed,1528,1427,101
too_careful,1527,1521,6
much_bigger,1521,1509,12
as_bright,1511,1505,6
so_popular,1507,1497,10
as_robust,1505,1496,9
really_clear,1497,1495,2
as_significant,1477,1442,35
entirely_new,1477,1445,32
more_evident,1475,1423,52
more_powerful,1470,894,576
as_active,1468,1465,3
so_subtle,1466,1457,9
much_good,1464,1432,32
much_interested,1462,1461,1
as_useful,1457,1450,7
exactly_true,1455,1445,10
very_smart,1453,1444,9
too_thick,1446,1437,9
more_fun,1439,1047,392
very_exciting,1438,1370,68
even_funny,1433,1432,1
so_serious,1430,1394,36
only_fun,1411,1411,0
always_successful,1408,1407,1
necessarily_indicative,1406,1405,1
too_crazy,1402,981,421
too_familiar,1401,1392,9
really_happy,1399,1394,5
absolutely_necessary,1394,1388,6
really_new,1390,870,520
more_satisfying,1389,468,921
more_dangerous,1387,1000,387
much_worse,1386,1355,31
more_beautiful,1385,669,716
very_expensive,1384,1382,2
exactly_new,1378,1366,12
more_clear,1369,1356,13
that_strong,1368,1367,1
as_productive,1363,1360,3
completely_clear,1353,1352,1
only_easy,1349,1349,0
too_bright,1339,1217,122
all_good,1339,1334,5
quite_good,1332,1327,5
yet_able,1331,1331,0
very_bright,1327,1325,2
too_complicated,1323,1112,211
very_large,1321,1316,5
really_possible,1313,1313,0
that_high,1312,1309,3
really_important,1309,1250,59
as_crazy,1300,1282,18
as_aggressive,1298,1294,4
too_great,1294,1233,61
as_attractive,1275,1266,9
as_heavy,1269,1254,15
publicly_available,1256,1254,2
too_quick,1252,1247,5
really_much,1243,1227,16
as_healthy,1242,1242,0
really_able,1241,1241,0
so_funny,1239,1230,9
overly_sweet,1234,1231,3
really_surprising,1234,1185,49
as_prevalent,1233,1231,2
that_impressive,1230,1228,2
more_grateful,1226,1224,2
entirely_certain,1218,1218,0
as_famous,1217,1196,21
really_concerned,1217,1210,7
as_hard,1217,1208,9
that_common,1216,1215,1
completely_happy,1210,1208,2
that_complicated,1208,1208,0
too_easy,1207,1181,26
always_accurate,1205,1204,1
just_important,1204,1204,0
that_funny,1203,1194,9
necessarily_good,1196,1190,6
much_older,1195,1190,5
too_thrilled,1192,1081,111
too_dissimilar,1188,1187,1
very_much,1175,1087,88
entirely_happy,1174,1172,2
easily_available,1173,1171,2
always_sure,1168,1167,1
as_valuable,1161,1144,17
very_active,1159,1157,2
as_reliable,1159,1149,10
as_glamorous,1153,1143,10
more_happy,1151,1148,3
too_upset,1150,1142,8
particularly_fond,1150,1149,1
as_clean,1148,1144,4
so_concerned,1147,1146,1
so_fun,1147,1136,11
so_young,1146,1133,13
that_surprising,1141,1139,2
well_enough,1140,1139,1
as_extreme,1135,1107,28
too_proud,1133,1118,15
that_familiar,1129,1129,0
as_rich,1126,1115,11
always_perfect,1126,1126,0
that_serious,1120,1114,6
as_excited,1115,1111,4
so_successful,1114,1110,4
fully_satisfied,1109,1106,3
more_serious,1106,662,444
very_pleasant,1106,1102,4
only_wrong,1103,1102,1
as_thick,1101,1098,3
as_cold,1101,1096,5
really_ready,1101,1098,3
too_short,1100,1087,13
more_valuable,1098,722,376
as_complex,1097,1073,24
more_apparent,1091,1071,20
as_sexy,1089,1063,26
particularly_surprising,1076,1018,58
only_great,1075,1075,0
as_fast,1073,1064,9
very_accurate,1071,1070,1
exactly_easy,1069,1065,4
as_dominant,1066,1060,6
as_quick,1063,1056,7
as_secure,1061,1059,2
quite_able,1056,1056,0
really_aware,1055,1055,0
so_large,1053,1021,32
very_funny,1051,1038,13
so_certain,1050,1040,10
as_beautiful,1047,956,91
as_consistent,1047,1039,8
very_efficient,1043,1042,1
as_dark,1030,1022,8
really_fair,1029,1029,0
immediately_possible,1027,1027,0
very_close,1025,1007,18
as_old,1023,1003,20
as_cheap,1017,1011,6
as_busy,1007,1005,2
as_confident,1004,1002,2
too_interested,1003,990,13
medically_necessary,1003,994,9
too_little,1001,971,30
much_easier,999,994,5
entirely_unexpected,995,981,14
very_impressive,989,978,11
that_unusual,983,981,2
entirely_comfortable,976,973,3
only_useful,972,972,0
as_perfect,972,961,11
too_disappointed,970,965,5
even_possible,967,964,3
most_important,963,945,18
that_popular,961,961,0
as_dire,960,954,6
much_higher,952,948,4
terribly_surprising,951,923,28
so_busy,946,944,2
too_harsh,945,910,35
so_smart,940,935,5
so_interested,938,936,2
as_helpful,938,933,5
so_crazy,937,929,8
too_low,937,925,12
as_visible,934,931,3
very_attractive,934,927,7
less_important,926,896,30
particularly_interesting,925,813,112
very_surprising,918,886,32
even_enough,917,917,0
quite_accurate,916,912,4
always_bad,916,916,0
necessarily_easy,914,908,6
very_fond,913,913,0
so_naive,910,909,1
any_different,910,906,4
as_tall,909,903,6
even_necessary,905,904,1
very_deep,901,890,11
as_extensive,897,882,15
too_loud,897,876,21
economically_viable,894,893,1
already_familiar,893,892,1
so_unusual,884,864,20
so_worried,883,880,3
more_obvious,883,849,34
as_durable,880,878,2
more_helpful,880,847,33
more_relevant,879,866,13
more_complicated,878,643,235
more_timely,875,873,2
so_new,874,863,11
yet_certain,874,872,2
so_excited,871,869,2
as_painful,870,841,29
only_necessary,869,869,0
as_tight,868,866,2
so_familiar,868,863,5
too_exciting,867,461,406
always_fun,867,867,0
as_open,866,865,1
as_critical,866,861,5
very_friendly,865,862,3
very_practical,865,863,2
more_rewarding,865,316,549
only_safe,864,864,0
physically_present,864,858,6
too_tough,862,846,16
as_young,861,843,18
so_small,861,845,16
only_delicious,859,859,0
very_impressed,859,859,0
too_thin,859,854,5
as_talented,857,854,3
particularly_concerned,856,851,5
yet_aware,855,854,1
as_advanced,853,844,9
so_sweet,852,817,35
very_fun,850,847,3
completely_accurate,847,846,1
more_appropriate,843,798,45
particularly_difficult,839,813,26
particularly_happy,837,836,1
always_aware,833,833,0
entirely_successful,832,825,7
as_widespread,832,824,8
any_happier,830,828,2
so_long,829,818,11
too_soft,827,818,9
as_flexible,826,822,4
as_profitable,825,820,5
entirely_wrong,824,815,9
too_fancy,823,305,518
that_concerned,821,818,3
as_prominent,821,810,11
too_deep,820,737,83
closely_related,819,817,2
so_bright,819,806,13
so_cool,819,809,10
as_loud,815,806,9
commercially_available,815,809,6
really_relevant,815,813,2
overly_impressed,813,812,1
as_satisfying,810,732,78
so_scary,809,805,4
more_interesting,808,629,179
so_expensive,808,801,7
more_accurate,807,796,11
that_exciting,805,802,3
that_uncommon,804,802,2
strictly_necessary,801,799,2
that_stupid,795,792,3
aesthetically_pleasing,794,784,10
inherently_bad,794,713,81
always_practical,792,792,0
that_nice,792,790,2
as_wide,792,788,4
much_larger,790,778,12
that_smart,790,788,2
consciously_aware,790,788,2
so_little,787,780,7
even_available,787,786,1
as_enthusiastic,787,784,3
more_annoying,787,257,530
as_spectacular,786,748,38
that_happy,780,776,4
completely_true,779,774,5
entirely_fair,779,776,3
as_warm,778,766,12
just_wrong,774,774,0
as_rare,773,768,5
as_worried,773,772,1
as_strict,770,766,4
yet_possible,769,769,0
strictly_true,767,766,1
only_beneficial,766,766,0
actually_true,766,763,3
as_optimistic,765,764,1
necessarily_wrong,765,572,193
totally_clear,764,764,0
just_bad,763,761,2
so_perfect,763,753,10
really_surprised,763,756,7
always_reliable,762,762,0
so_pleasant,760,746,14
so_eager,759,756,3
so_straightforward,758,754,4
absolutely_sure,757,756,1
really_enough,757,757,0
so_friendly,756,755,1
mentally_ill,755,753,2
particularly_new,752,433,319
so_confident,748,747,1
always_fair,748,748,0
quite_certain,747,747,0
too_obvious,747,708,39
so_stupid,747,737,10
more_critical,746,685,61
just_interested,746,746,0
very_productive,746,745,1
as_noticeable,745,743,2
necessarily_related,742,742,0
as_harsh,742,738,4
always_effective,741,740,1
all_happy,737,737,0
very_serious,736,688,48
particularly_helpful,734,729,5
as_steep,732,724,8
too_crowded,731,728,3
as_black,731,724,7
too_dark,730,713,17
only_dangerous,728,728,0
so_strange,728,685,43
as_flashy,726,721,5
economically_feasible,726,726,0
too_comfortable,720,702,18
as_sophisticated,719,712,7
very_appealing,718,716,2
really_bad,718,561,157
as_solid,716,710,6
particularly_useful,715,702,13
very_confident,714,714,0
as_sure,714,712,2
more_efficient,712,691,21
criminally_responsible,712,712,0
as_rosy,708,707,1
as_convenient,708,698,10
so_tough,706,700,6
too_dry,704,697,7
as_compelling,703,690,13
as_impressed,703,703,0
as_stable,700,699,1
environmentally_friendly,697,686,11
remotely_close,696,558,138
as_memorable,695,668,27
actually_sure,693,693,0
exactly_cheap,693,691,2
more_convenient,691,629,62
very_healthy,687,683,4
that_tough,686,685,1
as_willing,685,685,0
that_impressed,684,682,2
too_important,683,644,39
even_good,682,680,2
all_interested,681,681,0
only_interested,680,676,4
so_kind,679,679,0
particularly_strong,679,675,4
only_bad,678,678,0
that_lucky,676,676,0
very_sure,675,674,1
even_certain,672,672,0
as_friendly,670,667,3
as_detailed,668,656,12
so_comfortable,667,664,3
as_clear-cut,667,664,3
so_terrible,666,631,35
that_effective,663,663,0
just_enough,663,614,49
more_thankful,662,661,1
as_relevant,661,660,1
much_concerned,660,657,3
as_competitive,660,658,2
yet_familiar,660,660,0
yet_final,659,654,5
most_popular,658,644,14
as_enjoyable,657,634,23
all_right,655,654,1
more_successful,652,639,13
currently_active,652,651,1
very_optimistic,651,651,0
more_comfortable,647,566,81
very_convincing,646,642,4
so_far-fetched,645,644,1
as_positive,645,644,1
always_comfortable,644,643,1
just_great,642,641,1
immediately_able,639,639,0
as_precise,639,635,4
yet_open,639,637,2
exactly_right,638,637,1
really_wrong,637,211,426
always_apparent,637,636,1
that_useful,637,637,0
legally_binding,637,613,24
even_interested,636,636,0
particularly_close,636,632,4
as_comprehensive,635,613,22
previously_available,633,630,3
too_warm,630,618,12
always_simple,629,629,0
as_crisp,628,626,2
particularly_effective,628,628,0
as_sensitive,628,627,1
really_comfortable,627,625,2
so_interesting,627,602,25
only_effective,626,626,0
so_special,625,556,69
always_happy,624,622,2
directly_responsible,622,618,4
so_old,620,614,6
so_cold,618,617,1
that_helpful,618,617,1
so_positive,617,616,1
really_free,617,617,0
as_different,616,614,2
only_true,615,614,1
sexually_active,615,615,0
directly_comparable,615,608,7
that_keen,615,614,1
as_appealing,615,615,0
always_great,613,610,3
too_tired,613,606,7
too_picky,610,606,4
very_keen,605,605,0
so_complicated,604,589,15
commercially_viable,602,601,1
as_stupid,602,598,4
as_soft,601,596,5
entirely_satisfied,601,600,1
only_comfortable,601,601,0
terribly_difficult,601,595,6
readily_accessible,599,599,0
so_black,599,599,0
very_complicated,598,576,22
as_cute,597,581,16
always_feasible,596,596,0
much_fun,596,596,0
just_physical,595,595,0
very_realistic,593,590,3
only_illegal,591,591,0
so_fond,591,586,5
very_reliable,590,590,0
socially_acceptable,589,588,1
too_severe,587,534,53
completely_free,586,584,2
as_clever,585,581,4
solely_responsible,585,583,2
as_drastic,584,561,23
as_daunting,584,579,5
quite_perfect,584,581,3
so_secret,583,581,2
as_generous,583,575,8
too_spicy,583,567,16
so_beautiful,582,528,54
that_close,582,582,0
already_aware,580,580,0
really_big,579,536,43
as_far-fetched,577,577,0
really_dead,577,577,0
too_complex,575,503,72
that_scary,574,572,2
so_proud,573,571,2
so_dramatic,573,488,85
always_straightforward,572,572,0
as_special,572,520,52
so_sad,570,563,7
only_available,569,568,1
just_fun,567,562,5
that_worried,566,566,0
very_specific,564,549,15
even_willing,563,563,0
so_famous,561,552,9
so_afraid,561,560,1
as_potent,560,548,12
very_tall,559,559,0
very_pleased,559,558,1
as_keen,558,558,0
any_closer,558,557,1
particularly_impressive,557,537,20
very_fast,557,557,0
as_crowded,556,555,1
always_visible,556,555,1
entirely_correct,555,553,2
only_essential,555,555,0
too_confident,554,540,14
that_significant,554,553,1
as_terrible,554,535,19
really_close,552,546,6
always_consistent,552,552,0
too_loose,552,544,8
so_healthy,552,551,1
as_full,551,549,2
really_hard,548,546,2
generally_available,547,546,1
only_responsible,546,546,0
always_pleasant,546,545,1
too_special,545,96,449
really_serious,545,483,62
pretty_enough,544,543,1
absolutely_certain,543,535,8
really_easy,543,542,1
as_fresh,543,536,7
often_enough,543,543,0
too_optimistic,542,538,4
just_possible,541,541,0
financially_viable,540,540,0
overly_complicated,540,511,29
that_obvious,539,539,0
particularly_easy,539,529,10
as_lucrative,538,531,7
so_scared,537,536,1
so_innocent,536,534,2
very_old,536,534,2
as_innocent,536,530,6
more_significant,535,345,190
completely_honest,535,535,0
so_willing,534,531,3
only_difficult,534,534,0
as_complete,533,522,11
so_impressed,531,530,1
so_rosy,531,530,1
particularly_memorable,531,473,58
really_familiar,530,530,0
so_heavy,530,517,13
as_skilled,529,526,3
only_willing,529,527,2
fully_functional,527,527,0
entirely_free,526,523,3
more_right,526,521,5
even_true,525,525,0
so_cute,525,523,2
only_concerned,524,524,0
far_enough,524,524,0
quite_dead,524,523,1
always_present,524,524,0
that_comfortable,523,522,1
more_urgent,523,486,37
as_apparent,521,519,2
always_best,520,520,0
only_better,520,519,1
most_likely,517,491,26
real_happy,517,515,2
that_clear,516,515,1
only_functional,515,515,0
as_awesome,514,490,24
only_popular,514,514,0
only_healthy,513,513,0
only_capable,512,512,0
particularly_high,510,508,2
just_beautiful,510,509,1
so_optimistic,509,507,2
very_excited,508,503,5
as_dumb,507,500,7
so_dangerous,507,472,35
real_sure,506,506,0
more_common,505,469,36
as_necessary,503,502,1
so_useful,503,497,6
as_entertaining,503,494,9
too_smart,501,486,15
more_impressive,500,353,147
as_bleak,500,499,1
particularly_worried,499,495,4
so_true,499,491,8
as_beneficial,498,489,9
too_light,498,487,11
too_eager,498,448,50
as_small,498,491,7
too_shy,497,472,25
yet_public,496,495,1
necessarily_representative,496,496,0
terribly_interested,496,496,0
as_accessible,495,493,2
as_frequent,495,494,1
most_effective,495,487,8
so_exciting,495,449,46
quite_satisfied,495,491,4
only_interesting,494,494,0
so_effective,494,489,5
only_unnecessary,493,493,0
so_tight,493,490,3
very_original,492,473,19
only_unique,491,491,0
particularly_special,490,171,319
even_real,489,488,1
particularly_religious,488,480,8
altogether_surprising,487,486,1
too_wet,487,484,3
as_plentiful,487,486,1
as_tasty,485,466,19
overly_worried,484,480,4
necessarily_new,483,470,13
too_far-fetched,482,472,10
only_expensive,482,482,0
only_unfair,481,481,0
as_explosive,481,478,3
so_severe,480,465,15
too_challenging,479,411,68
only_helpful,479,479,0
more_delighted,479,474,5
particularly_popular,478,476,2
that_large,478,478,0
too_slow,477,467,10
only_acceptable,476,476,0
more_precious,476,238,238
particularly_exciting,475,396,79
physically_able,475,475,0
too_clear,473,450,23
quite_correct,473,473,0
very_busy,473,470,3
completely_comfortable,472,471,1
so_low,472,467,5
historically_accurate,472,470,2
as_certain,471,465,6
always_popular,470,470,0
so_loud,469,465,4
too_aggressive,468,451,17
always_safe,468,467,1
so_surprised,468,467,1
so_deep,467,461,6
too_common,467,457,10
too_fast,467,459,8
as_prolific,467,467,0
more_attractive,466,317,149
only_affordable,465,465,0
as_huge,464,444,20
as_weak,464,459,5
more_complex,463,363,100
even_present,463,463,0
so_impressive,462,453,9
less_likely,462,455,7
that_fast,461,461,0
very_powerful,461,461,0
only_easier,460,460,0
all_concerned,459,459,0
yet_eligible,459,458,1
as_low,458,449,9
quite_complete,457,451,6
very_safe,456,453,3
more_simple,456,408,48
only_relevant,456,456,0
as_amazing,456,426,30
very_concerned,456,452,4
as_free,455,451,4
fully_operational,455,455,0
too_popular,454,415,39
more_impressed,453,452,1
previously_possible,453,453,0
only_free,453,453,0
so_wonderful,452,407,45
as_aware,452,452,0
too_cool,451,443,8
always_correct,451,451,0
so_powerful,450,390,60
as_capable,450,449,1
always_ideal,450,450,0
very_satisfying,448,437,11
most_expensive,448,445,3
as_challenging,447,445,2
as_pleasant,446,432,14
always_appropriate,445,445,0
so_rare,444,436,8
even_alive,443,441,2
even_human,443,442,1
so_helpful,442,436,6
as_true,442,434,8
always_positive,441,441,0
exactly_surprising,441,441,0
exactly_happy,441,440,1
very_clean,440,438,2
very_convenient,440,439,1
always_smooth,440,439,1
particularly_unusual,440,289,151
very_best,438,414,24
too_scary,438,384,54
so_apparent,438,434,4
so_enthusiastic,438,434,4
so_clear-cut,437,436,1
only_famous,437,437,0
more_vital,437,344,93
as_vulnerable,436,433,3
always_convenient,436,436,0
politically_active,436,434,2
immediately_visible,436,429,7
too_rich,435,428,7
as_crucial,435,427,8
mobile_friendly,435,435,0
really_accurate,435,434,1
too_steep,434,419,15
very_noticeable,434,430,4
as_unique,433,401,32
currently_possible,433,433,0
as_harmful,432,431,1
that_excited,432,432,0
more_affordable,432,428,4
so_pleased,431,427,4
very_visible,431,429,2
ever_easy,430,422,8
radically_different,430,409,21
as_weird,430,415,15
financially_feasible,430,430,0
more_satisfied,429,427,2
as_intimidating,429,424,5
fully_clear,429,429,0
that_rare,429,429,0
less_expensive,428,425,3
immediately_evident,428,427,1
really_special,427,72,355
particularly_attractive,427,419,8
so_full,426,418,8
particularly_successful,426,423,3
always_greener,426,426,0
as_costly,425,425,0
overly_fond,424,424,0
too_overwhelming,423,408,15
more_enjoyable,423,245,178
just_right,423,421,2
necessarily_interested,422,422,0
too_overpowering,422,408,14
best_pleased,422,420,2
particularly_important,422,407,15
completely_wrong,420,389,31
more_surprised,420,418,2
as_fancy,420,410,10
as_responsive,419,418,1
as_dense,418,416,2
exactly_ideal,418,417,1
so_foolish,418,412,6
too_terrible,418,354,64
totally_satisfied,418,414,4
as_ambitious,417,398,19
as_grand,417,400,17
real_good,416,410,6
terribly_concerned,416,412,4
as_strange,416,395,21
very_significant,415,402,13
overly_optimistic,415,414,1
yet_willing,414,413,1
very_careful,413,411,2
all_positive,413,409,4
overly_impressive,412,401,11
too_specific,412,368,44
more_special,412,226,186
more_stark,411,408,3
as_surprising,411,409,2
as_awful,410,394,16
as_ready,410,408,2
as_involved,409,408,1
as_radical,409,401,8
far_wrong,409,409,0
only_alive,409,408,1
quite_happy,409,409,0
very_creative,408,405,3
yet_dead,407,407,0
physically_possible,407,406,1
just_true,406,406,0
completely_new,405,390,15
very_flattering,405,403,2
as_supportive,404,404,0
only_physical,404,403,1
always_helpful,404,403,1
yet_old,404,404,0
so_short,403,402,1
too_impressive,401,337,64
overly_excited,400,394,6
so_attractive,400,394,6
even_old,400,400,0
all_inclusive,399,399,0
even_ready,399,399,0
more_challenging,399,323,76
quite_human,398,398,0
only_practical,398,398,0
as_light,398,397,1
still_alive,397,378,19
particularly_impressed,396,395,1
very_great,396,390,6
completely_safe,396,394,2
that_straightforward,395,395,0
quite_comfortable,394,394,0
morally_wrong,394,304,90
more_relaxing,394,129,265
that_sweet,393,393,0
totally_happy,392,392,0
so_bold,392,384,8
really_limited,391,391,0
so_tragic,391,380,11
really_great,389,363,26
too_extreme,389,279,110
otherwise_available,388,383,5
too_wide,388,382,6
soon_enough,388,388,0
as_pure,387,378,9
that_wonderful,387,387,0
so_appealing,386,376,10
so_rich,386,378,8
yet_ripe,386,386,0
only_attractive,386,386,0
too_hasty,385,385,0
most_exciting,384,380,4
as_shocking,384,377,7
particularly_great,383,362,21
any_more,383,371,12
physically_active,383,383,0
as_predictable,383,380,3
as_intuitive,382,382,0
terribly_exciting,382,313,69
so_cheap,382,380,2
completely_certain,382,380,2
overly_complex,382,367,15
very_positive,381,373,8
only_related,381,381,0
as_wonderful,379,335,44
so_dark,379,374,5
as_dependent,378,377,1
too_salty,378,375,3
as_eager,378,377,1
more_american,378,151,227
more_crucial,378,332,46
really_related,377,375,2
that_amazing,377,377,0
as_thorough,377,374,3
that_successful,377,376,1
as_risky,376,374,2
so_thrilled,376,376,0
more_productive,376,356,20
more_aggressive,376,368,8
nearly_good,375,373,2
particularly_funny,375,355,20
totally_unexpected,375,367,8
so_open,374,372,2
all_rosy,374,373,1
so_safe,374,370,4
as_diverse,373,370,3
as_wild,373,361,12
especially_good,373,361,12
terminally_ill,373,370,3
as_dynamic,372,366,6
more_apt,372,356,16
long_lasting,372,367,5
as_violent,372,365,7
so_tired,372,371,1
as_broad,372,368,4
too_bulky,371,365,6
as_devastating,371,357,14
just_concerned,371,371,0
as_nervous,370,368,2
terribly_different,370,365,5
too_fussy,369,341,28
more_secure,368,356,12
so_extreme,368,349,19
even_better,368,366,2
much_new,368,259,109
very_stable,368,365,3
just_useful,368,367,1
entirely_necessary,368,366,2
really_funny,368,355,13
very_sweet,367,367,0
brand_new,367,364,3
really_different,366,324,42
most_comfortable,365,364,1
more_painful,365,192,173
too_painful,364,352,12
as_romantic,364,333,31
terribly_interesting,364,336,28
truly_free,364,363,1
very_consistent,363,363,0
particularly_original,363,311,52
particularly_keen,363,362,1
as_bold,362,352,10
too_flashy,362,286,76
really_suitable,362,361,1
always_evident,361,360,1
as_influential,361,352,9
so_critical,361,356,5
always_welcome,360,358,2
