prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
spineboard,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sherman,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spill,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spikes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sneakers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snout,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spiders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spices,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spicer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sportsman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
smidge,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spots,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sro,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squares,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squads,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeve,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spurs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spritz,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sprint,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spray,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slighly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slightest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sprawl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
slot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sloth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smaller,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smalls,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smartest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smarts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spratlys,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
snow-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowflakes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sphere,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
speakers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spark,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somebody,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
spans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spanners,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soybeans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sovereign,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4gb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southerners,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
songwriter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sony,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soud,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speaker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solitary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snyder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speciation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speeds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soap,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soccer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speedo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spectrum,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
socio-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sockets,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spectre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
socks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soda,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sodding,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spectacularly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sofas,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
soft-selling,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
softgarden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solar-energy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleaze,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3rd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
showdown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stone,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shredders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stomachs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shrek,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrub,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shunts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
si,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stoltenberg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sidecars,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sidewalks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stoke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sids,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sign,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stipulation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stinker,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
signi-ficantly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stinger,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stimpy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shower,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stillness,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stoppage,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shields,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
streams,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
straws,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strawberries,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shiplap,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shitonface,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shoot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
straps,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strangely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shopping,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shore,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shores,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
straightforwardly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
straightforward,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stowed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shortage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shortbus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shorts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stores,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shoulder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shout,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stills,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slaves,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sixth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
startups,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skeletons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skill,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starter,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stares,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skins,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
standards,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stalin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skirts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skull,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stains,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skunks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stain,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
skyguards,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staffers,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slaveholders,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slavery,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
statehouses,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stiegler,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silverware,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stern,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stephen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simonides,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
step,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stems,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steelers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
singularly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sinicization,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sink,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sisi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
statistic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sisters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sails,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sail,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sadly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tingles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recession,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
todd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toby,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toastmasters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tis,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
recipient,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tinnitus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recommendation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thighs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timeshare,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recommerce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recorder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recording,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timelines,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recruits,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timaea,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
toffee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recalls,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toliver,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rebecca,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topping,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reagan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toppers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topics,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tooo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realist,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realistically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reallly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tonsils,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
reallyabsolutely,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tongue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reallyreally,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
realm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reaper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tonganoxie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
toll,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reasons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recurrence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redeemable,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redknapp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thousandfold,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thought,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128b,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abdul,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
relatives,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thoroughly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thorium,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relativities,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thoreau,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
releases,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
third,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relief,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thinkers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
religious,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abdomen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150,000",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relaly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thread,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reduction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reindeer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reeealllly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tile,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reels,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reena,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reformer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thshould,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
throw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
throughout,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refractometer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refrigerators,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refugees,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regime,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regimen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thrones,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
throne,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thrillingly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regulation,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
thrice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threshold,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threading,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reilly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
torah,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tornados,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reactions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quesadillas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transitions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transformation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transfers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quiet,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quietly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quilting,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quilts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quit,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transfer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transactions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreast,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
trans-humanists,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
quoting,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trammell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rabies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traits,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trains,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rachael,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racially,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qubes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
training,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarterback,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puppy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purchase,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
treadmills,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purifier,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travelling,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purpose,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
traveller,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pursuit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pussy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
putin,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
puzzle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pvc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyramid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qbs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qdm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quadrants,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
travail,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
transportation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transponder,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transmission,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transmisogyny,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rad,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
torture,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rapini,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abranches,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traceur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
towers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratification,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tower,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
towels,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
