adj,PosVers,Pos%ofPossible,PosTrivialVers,Pos%ofTrivial,VersDiffPos,PercDiffPos,NegVers,Neg%ofPossible,NegTrivialVers,Neg%ofTrivial,VersDiffNeg,PercDiffNeg,NegVersOdds,AllVers,PosVersRatioAll,NegVersRatioAll
bad-looking,1,0.023218017181332713,9,0.015943595103544792,8,-0.007274422077787921,1.0,0.023218017181332713,6.0,0.010629063402363194,5.0,-0.012588953778969519,1.0,2,0.5,0.5
reproach,1,0.023218017181332713,14,0.024801147938847457,13,0.001583130757514744,1.0,0.023218017181332713,5.0,0.008857552835302663,4.0,-0.01436046434603005,1.0,1,1.0,1.0
rigueur,1,0.023218017181332713,3,0.005314531701181597,2,-0.017903485480151117,1.0,0.023218017181332713,1.0,0.0017715105670605324,0.0,-0.021446506614272182,1.0,1,1.0,1.0
accompli,1,0.023218017181332713,5,0.008857552835302663,4,-0.01436046434603005,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
trippin,2,0.046436034362665427,13,0.023029637371786923,11,-0.023406396990878504,2.0,0.046436034362665427,4.0,0.00708604226824213,2.0,-0.039349992094423296,1.0,4,0.5,0.5
unbelievers,2,0.046436034362665427,23,0.04074474304239225,21,-0.005691291320273177,2.0,0.046436034362665427,5.0,0.008857552835302663,3.0,-0.03757848152736276,1.0,4,0.5,0.5
coterminous,1,0.023218017181332713,30,0.053145317011815976,29,0.029927299830483263,1.0,0.023218017181332713,7.0,0.012400573969423729,6.0,-0.010817443211908985,1.0,2,0.5,0.5
cost-cutting,1,0.023218017181332713,16,0.02834416907296852,15,0.005126151891635806,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,2,0.5,0.5
specified,1,0.023218017181332713,4,0.00708604226824213,3,-0.016131974913090583,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,1,1.0,1.0
spam,1,0.023218017181332713,19,0.03365870077415012,18,0.010440683592817405,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,1.0,3,0.3333333333333333,0.3333333333333333
enumerable,1,0.023218017181332713,6,0.010629063402363194,5,-0.012588953778969519,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
prologue,1,0.023218017181332713,11,0.019486616237665857,10,-0.0037314009436668558,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,3,0.3333333333333333,0.3333333333333333
payback,1,0.023218017181332713,13,0.023029637371786923,12,-0.00018837980954579045,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,1.0,1,1.0,1.0
guessable,1,0.023218017181332713,22,0.038973232475331715,21,0.015755215293999,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,1.0,1,1.0,1.0
sight,1,0.023218017181332713,36,0.06377438041417917,35,0.040556363232846455,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
resectable,2,0.046436034362665427,11,0.019486616237665857,9,-0.02694941812499957,2.0,0.046436034362665427,4.0,0.00708604226824213,2.0,-0.039349992094423296,1.0,3,0.6666666666666666,0.6666666666666666
dispositive,2,0.046436034362665427,37,0.0655458909812397,35,0.01910985661857427,2.0,0.046436034362665427,11.0,0.019486616237665857,9.0,-0.02694941812499957,1.0,4,0.5,0.5
approvable,1,0.023218017181332713,17,0.03011567964002905,16,0.006897662458696337,1.0,0.023218017181332713,5.0,0.008857552835302663,4.0,-0.01436046434603005,1.0,3,0.3333333333333333,0.3333333333333333
anime,1,0.023218017181332713,25,0.04428776417651331,24,0.021069746995180598,1.0,0.023218017181332713,7.0,0.012400573969423729,6.0,-0.010817443211908985,1.0,2,0.5,0.5
realisable,2,0.046436034362665427,26,0.046059274743573846,24,-0.0003767596190915809,2.0,0.046436034362665427,6.0,0.010629063402363194,4.0,-0.035806970960302234,1.0,3,0.6666666666666666,0.6666666666666666
earth-shattering,2,0.046436034362665427,18,0.031887190207089584,16,-0.014548844155575842,2.0,0.046436034362665427,17.0,0.03011567964002905,15.0,-0.016320354722636377,1.0,5,0.4,0.4
ivorian,1,0.023218017181332713,8,0.01417208453648426,7,-0.009045932644848454,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,1,1.0,1.0
up-to-speed,1,0.023218017181332713,11,0.019486616237665857,10,-0.0037314009436668558,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,1.0,2,0.5,0.5
licit,3,0.06965405154399815,34,0.0602313592800581,31,-0.009422692263940047,2.0,0.046436034362665427,7.0,0.012400573969423729,5.0,-0.0340354603932417,0.6666666666666666,4,0.75,0.5
matchy,3,0.06965405154399815,18,0.031887190207089584,15,-0.03776686133690856,2.0,0.046436034362665427,12.0,0.02125812680472639,10.0,-0.025177907557939038,0.6666666666666666,5,0.6,0.4
joking,3,0.06965405154399815,10,0.017715105670605327,7,-0.05193894587339282,2.0,0.046436034362665427,4.0,0.00708604226824213,2.0,-0.039349992094423296,0.6666666666666666,5,0.6,0.4
oaked,3,0.06965405154399815,30,0.053145317011815976,27,-0.01650873453218217,2.0,0.046436034362665427,3.0,0.005314531701181597,1.0,-0.04112150266148383,0.6666666666666666,4,0.75,0.5
clearcut,5,0.11609008590666356,37,0.0655458909812397,32,-0.05054419492542386,3.0,0.06965405154399815,7.0,0.012400573969423729,4.0,-0.05725347757457442,0.6,7,0.7142857142857143,0.42857142857142855
bluegrass,5,0.11609008590666356,45,0.07971797551772396,40,-0.0363721103889396,3.0,0.06965405154399815,10.0,0.017715105670605327,7.0,-0.05193894587339282,0.6,8,0.625,0.375
conclusive,37,0.8590666357093104,161,0.2852132012967457,124,-0.5738534344125648,22.0,0.5107963779893196,60.0,0.10629063402363195,38.0,-0.4045057439656877,0.5945945945945946,49,0.7551020408163265,0.4489795918367347
coextensive,2,0.046436034362665427,36,0.06377438041417917,34,0.017338346051513742,1.0,0.023218017181332713,8.0,0.01417208453648426,7.0,-0.009045932644848454,0.5,4,0.5,0.25
cut-and-dried,2,0.046436034362665427,14,0.024801147938847457,12,-0.02163488642381797,1.0,0.023218017181332713,5.0,0.008857552835302663,4.0,-0.01436046434603005,0.5,3,0.6666666666666666,0.3333333333333333
blue-eyed,2,0.046436034362665427,54,0.09566157062126876,52,0.049225536258603333,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,3,0.6666666666666666,0.3333333333333333
bloodshed,2,0.046436034362665427,15,0.026572658505907988,13,-0.01986337585675744,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,2,1.0,0.5
choosey,2,0.046436034362665427,17,0.03011567964002905,15,-0.016320354722636377,1.0,0.023218017181332713,7.0,0.012400573969423729,6.0,-0.010817443211908985,0.5,4,0.5,0.25
rhetoric,2,0.046436034362665427,16,0.02834416907296852,14,-0.018091865289696907,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,0.5,2,1.0,0.5
condusive,2,0.046436034362665427,11,0.019486616237665857,9,-0.02694941812499957,1.0,0.023218017181332713,8.0,0.01417208453648426,7.0,-0.009045932644848454,0.5,2,1.0,0.5
crashworthy,2,0.046436034362665427,6,0.010629063402363194,4,-0.035806970960302234,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,3,0.6666666666666666,0.3333333333333333
semitic,2,0.046436034362665427,41,0.07263193324948183,39,0.026195898886816407,1.0,0.023218017181332713,9.0,0.015943595103544792,8.0,-0.007274422077787921,0.5,3,0.6666666666666666,0.3333333333333333
eye-candy,2,0.046436034362665427,20,0.03543021134121065,18,-0.011005823021454773,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,0.5,2,1.0,0.5
bummer,2,0.046436034362665427,12,0.02125812680472639,10,-0.025177907557939038,1.0,0.023218017181332713,1.0,0.0017715105670605324,0.0,-0.021446506614272182,0.5,2,1.0,0.5
yours,2,0.046436034362665427,25,0.04428776417651331,23,-0.0021482701861521153,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,3,0.6666666666666666,0.3333333333333333
boomy,2,0.046436034362665427,30,0.053145317011815976,28,0.00670928264915055,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,0.5,4,0.5,0.25
suprising,8,0.1857441374506617,33,0.05845984871299758,25,-0.12728428873766412,4.0,0.09287206872533085,20.0,0.03543021134121065,16.0,-0.0574418573841202,0.5,10,0.8,0.4
hearted,8,0.1857441374506617,45,0.07971797551772396,37,-0.10602616193293775,4.0,0.09287206872533085,8.0,0.01417208453648426,4.0,-0.07869998418884659,0.5,8,1.0,0.5
have,2,0.046436034362665427,14,0.024801147938847457,12,-0.02163488642381797,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,3,0.6666666666666666,0.3333333333333333
unalike,4,0.09287206872533085,29,0.05137380644475544,25,-0.04149826228057541,2.0,0.046436034362665427,3.0,0.005314531701181597,1.0,-0.04112150266148383,0.5,5,0.8,0.4
skin-deep,4,0.09287206872533085,25,0.04428776417651331,21,-0.04858430454881754,2.0,0.046436034362665427,6.0,0.010629063402363194,4.0,-0.035806970960302234,0.5,5,0.8,0.4
determinable,6,0.1393081030879963,49,0.0868040177859661,43,-0.0525040853020302,3.0,0.06965405154399815,15.0,0.026572658505907988,12.0,-0.04308139303809016,0.5,7,0.8571428571428571,0.42857142857142855
ascertainable,6,0.1393081030879963,36,0.06377438041417917,30,-0.07553372267381712,3.0,0.06965405154399815,21.0,0.03720172190827118,18.0,-0.032452329635726966,0.5,6,1.0,0.5
techie,4,0.09287206872533085,44,0.07794646495066343,40,-0.014925603774667423,2.0,0.046436034362665427,12.0,0.02125812680472639,10.0,-0.025177907557939038,0.5,8,0.5,0.25
sign-posted,2,0.046436034362665427,18,0.031887190207089584,16,-0.014548844155575842,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,2,1.0,0.5
rid,10,0.23218017181332712,66,0.11691969742599516,56,-0.11526047438733196,5.0,0.11609008590666356,15.0,0.026572658505907988,10.0,-0.08951742740075558,0.5,13,0.7692307692307693,0.38461538461538464
afterthought,4,0.09287206872533085,29,0.05137380644475544,25,-0.04149826228057541,2.0,0.046436034362665427,4.0,0.00708604226824213,2.0,-0.039349992094423296,0.5,5,0.8,0.4
germane,18,0.4179243092639889,103,0.18246558840723484,85,-0.23545872085675404,9.0,0.20896215463199444,37.0,0.0655458909812397,28.0,-0.14341626365075474,0.5,25,0.72,0.36
refrigerated,2,0.046436034362665427,15,0.026572658505907988,13,-0.01986337585675744,1.0,0.023218017181332713,5.0,0.008857552835302663,4.0,-0.01436046434603005,0.5,3,0.6666666666666666,0.3333333333333333
congruous,2,0.046436034362665427,41,0.07263193324948183,39,0.026195898886816407,1.0,0.023218017181332713,8.0,0.01417208453648426,7.0,-0.009045932644848454,0.5,4,0.5,0.25
overboard,2,0.046436034362665427,23,0.04074474304239225,21,-0.005691291320273177,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,2,1.0,0.5
hygenic,2,0.046436034362665427,15,0.026572658505907988,13,-0.01986337585675744,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,0.5,2,1.0,0.5
earthshaking,4,0.09287206872533085,23,0.04074474304239225,19,-0.052127325682938604,2.0,0.046436034362665427,11.0,0.019486616237665857,9.0,-0.02694941812499957,0.5,6,0.6666666666666666,0.3333333333333333
voidable,2,0.046436034362665427,19,0.03365870077415012,17,-0.012777333588515308,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,0.5,2,1.0,0.5
gloopy,2,0.046436034362665427,25,0.04428776417651331,23,-0.0021482701861521153,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,2,1.0,0.5
appealable,2,0.046436034362665427,30,0.053145317011815976,28,0.00670928264915055,1.0,0.023218017181332713,6.0,0.010629063402363194,5.0,-0.012588953778969519,0.5,2,1.0,0.5
describable,2,0.046436034362665427,35,0.06200286984711864,33,0.015566835484453215,1.0,0.023218017181332713,21.0,0.03720172190827118,20.0,0.013983704726938467,0.5,4,0.5,0.25
salesy,4,0.09287206872533085,14,0.024801147938847457,10,-0.0680709207864834,2.0,0.046436034362665427,7.0,0.012400573969423729,5.0,-0.0340354603932417,0.5,5,0.8,0.4
anesthetized,2,0.046436034362665427,34,0.0602313592800581,32,0.013795324917392673,1.0,0.023218017181332713,4.0,0.00708604226824213,3.0,-0.016131974913090583,0.5,3,0.6666666666666666,0.3333333333333333
untoward,6,0.1393081030879963,60,0.10629063402363195,54,-0.03301746906436434,3.0,0.06965405154399815,20.0,0.03543021134121065,17.0,-0.034223840202787494,0.5,9,0.6666666666666666,0.3333333333333333
newlywed,2,0.046436034362665427,19,0.03365870077415012,17,-0.012777333588515308,1.0,0.023218017181332713,2.0,0.003543021134121065,1.0,-0.019674996047211648,0.5,3,0.6666666666666666,0.3333333333333333
reconcilable,2,0.046436034362665427,35,0.06200286984711864,33,0.015566835484453215,1.0,0.023218017181332713,18.0,0.031887190207089584,17.0,0.008669173025756871,0.5,4,0.5,0.25
ado,2,0.046436034362665427,4,0.00708604226824213,2,-0.039349992094423296,1.0,0.023218017181332713,3.0,0.005314531701181597,2.0,-0.017903485480151117,0.5,2,1.0,0.5
kosher,19,0.4411423264453216,94,0.16652199330369005,75,-0.27462033314163153,9.0,0.20896215463199444,37.0,0.0655458909812397,28.0,-0.14341626365075474,0.47368421052631576,26,0.7307692307692307,0.34615384615384615
forthcoming,66,1.5323891339679592,211,0.37378872964977233,145,-1.1586004043181868,31.0,0.7197585326213141,91.0,0.16120746160250846,60.0,-0.5585510710188056,0.4696969696969697,79,0.8354430379746836,0.3924050632911392
noticable,15,0.3482702577199907,60,0.10629063402363195,45,-0.24197962369635875,7.0,0.162526120269329,20.0,0.03543021134121065,13.0,-0.12709590892811834,0.4666666666666667,20,0.75,0.35
glamourous,11,0.2553981889946598,67,0.11869120799305567,56,-0.13670698100160417,5.0,0.11609008590666356,17.0,0.03011567964002905,12.0,-0.08597440626663451,0.45454545454545453,13,0.8461538461538461,0.38461538461538464
conducive,64,1.4859530996052936,221,0.3915038353203777,157,-1.094449264284916,29.0,0.6733224982586488,74.0,0.1310917819624794,45.0,-0.5422307162961694,0.453125,80,0.8,0.3625
definite,29,0.6733224982586488,158,0.27989866959556414,129,-0.3934238286630846,13.0,0.3018342233573253,36.0,0.06377438041417917,23.0,-0.23805984294314614,0.4482758620689655,33,0.8787878787878788,0.3939393939393939
reducible,9,0.20896215463199444,78,0.13817782423072153,69,-0.07078433040127291,4.0,0.09287206872533085,39.0,0.06908891211536076,35.0,-0.023783156609970088,0.4444444444444444,14,0.6428571428571429,0.2857142857142857
quantifiable,25,0.5804504295333178,129,0.2285248631508087,104,-0.35192556638250916,11.0,0.2553981889946598,46.0,0.0814894860847845,35.0,-0.1739087029098753,0.44,35,0.7142857142857143,0.3142857142857143
demonstrative,23,0.5340143951706524,136,0.2409254371202324,113,-0.29308895805042,10.0,0.23218017181332712,34.0,0.0602313592800581,24.0,-0.17194881253326902,0.43478260869565216,26,0.8846153846153846,0.38461538461538464
trustful,7,0.162526120269329,38,0.06731740154830024,31,-0.09520871872102876,3.0,0.06965405154399815,16.0,0.02834416907296852,13.0,-0.041309882471029624,0.42857142857142855,9,0.7777777777777778,0.3333333333333333
newsworthy,47,1.0912468075226376,180,0.31887190207089583,133,-0.7723749054517417,20.0,0.46436034362665424,49.0,0.0868040177859661,29.0,-0.37755632584068816,0.425531914893617,54,0.8703703703703703,0.37037037037037035
appetizing,31,0.7197585326213141,137,0.24269694768729294,106,-0.4770615849340211,13.0,0.3018342233573253,38.0,0.06731740154830024,25.0,-0.23451682180902506,0.41935483870967744,38,0.8157894736842105,0.34210526315789475
farfetched,22,0.5107963779893196,90,0.15943595103544791,68,-0.3513604269538717,9.0,0.20896215463199444,24.0,0.04251625360945278,15.0,-0.16644590102254167,0.4090909090909091,24,0.9166666666666666,0.375
auspicious,27,0.6268864638959832,158,0.27989866959556414,131,-0.3469877943004191,11.0,0.2553981889946598,22.0,0.038973232475331715,11.0,-0.2164249565193281,0.4074074074074074,32,0.84375,0.34375
feasible,123,2.855816113303924,356,0.6306577618735496,233,-2.225158351430374,50.0,1.1609008590666356,134.0,0.23738241598611134,84.0,-0.9235184430805243,0.4065040650406504,132,0.9318181818181818,0.3787878787878788
flashy,47,1.0912468075226376,205,0.36315966624740914,158,-0.7280871412752284,19.0,0.4411423264453216,63.0,0.11160516572481355,44.0,-0.32953716072050804,0.40425531914893614,56,0.8392857142857143,0.3392857142857143
guiltless,5,0.11609008590666356,42,0.07440344381654236,37,-0.0416866420901212,2.0,0.046436034362665427,7.0,0.012400573969423729,5.0,-0.0340354603932417,0.4,6,0.8333333333333334,0.3333333333333333
techno,5,0.11609008590666356,60,0.10629063402363195,55,-0.009799451883031607,2.0,0.046436034362665427,10.0,0.017715105670605327,8.0,-0.0287209286920601,0.4,8,0.625,0.25
familar,10,0.23218017181332712,45,0.07971797551772396,35,-0.15246219629560315,4.0,0.09287206872533085,17.0,0.03011567964002905,13.0,-0.0627563890853018,0.4,13,0.7692307692307693,0.3076923076923077
aerodynamic,15,0.3482702577199907,91,0.16120746160250846,76,-0.18706279611748225,6.0,0.1393081030879963,14.0,0.024801147938847457,8.0,-0.11450695514914884,0.4,17,0.8823529411764706,0.35294117647058826
clear-cut,30,0.6965405154399814,123,0.21789579974844547,93,-0.47864471569153594,12.0,0.2786162061759926,34.0,0.0602313592800581,22.0,-0.2183848468959345,0.4,39,0.7692307692307693,0.3076923076923077
separable,15,0.3482702577199907,83,0.1470353770660242,68,-0.2012348806539665,6.0,0.1393081030879963,30.0,0.053145317011815976,24.0,-0.08616278607618032,0.4,19,0.7894736842105263,0.3157894736842105
extinguished,5,0.11609008590666356,20,0.03543021134121065,15,-0.0806598745654529,2.0,0.046436034362665427,10.0,0.017715105670605327,8.0,-0.0287209286920601,0.4,5,1.0,0.4
exaggerating,5,0.11609008590666356,45,0.07971797551772396,40,-0.0363721103889396,2.0,0.046436034362665427,10.0,0.017715105670605327,8.0,-0.0287209286920601,0.4,7,0.7142857142857143,0.2857142857142857
peachy,15,0.3482702577199907,76,0.13463480309660047,61,-0.21363545462339023,6.0,0.1393081030879963,17.0,0.03011567964002905,11.0,-0.10919242344796724,0.4,17,0.8823529411764706,0.35294117647058826
canon,10,0.23218017181332712,53,0.09389006005420822,43,-0.1382901117591189,4.0,0.09287206872533085,16.0,0.02834416907296852,12.0,-0.06452789965236233,0.4,13,0.7692307692307693,0.3076923076923077
sure,177,4.10958904109589,813,1.440238091020213,636,-2.669350950075677,69.0,1.6020431855119575,199.0,0.35253060284504595,130.0,-1.2495125826669116,0.3898305084745763,196,0.9030612244897959,0.3520408163265306
enthused,31,0.7197585326213141,103,0.18246558840723484,72,-0.5372929442140792,12.0,0.2786162061759926,29.0,0.05137380644475544,17.0,-0.22724239973123714,0.3870967741935484,35,0.8857142857142857,0.34285714285714286
foolproof,31,0.7197585326213141,100,0.17715105670605324,69,-0.5426074759152608,12.0,0.2786162061759926,25.0,0.04428776417651331,13.0,-0.23432844199947928,0.3870967741935484,39,0.7948717948717948,0.3076923076923077
groundbreaking,37,0.8590666357093104,131,0.23206788428492978,94,-0.6269987514243807,14.0,0.325052240538658,34.0,0.0602313592800581,20.0,-0.2648208812585999,0.3783783783783784,45,0.8222222222222222,0.3111111111111111
doom,8,0.1857441374506617,44,0.07794646495066343,36,-0.10779767249999828,3.0,0.06965405154399815,15.0,0.026572658505907988,12.0,-0.04308139303809016,0.375,10,0.8,0.3
felicitous,8,0.1857441374506617,54,0.09566157062126876,46,-0.09008256682939295,3.0,0.06965405154399815,14.0,0.024801147938847457,11.0,-0.04485290360515069,0.375,10,0.8,0.3
tactful,16,0.3714882749013234,82,0.14526386649896367,66,-0.22622440840235974,6.0,0.1393081030879963,17.0,0.03011567964002905,11.0,-0.10919242344796724,0.375,18,0.8888888888888888,0.3333333333333333
gonna,16,0.3714882749013234,60,0.10629063402363195,44,-0.2651976408776915,6.0,0.1393081030879963,12.0,0.02125812680472639,6.0,-0.11804997628326991,0.375,21,0.7619047619047619,0.2857142857142857
advisable,59,1.36986301369863,172,0.3046998175344116,113,-1.0651631961642185,22.0,0.5107963779893196,60.0,0.10629063402363195,38.0,-0.4045057439656877,0.3728813559322034,67,0.8805970149253731,0.3283582089552239
altruistic,49,1.137682841885303,212,0.3755602402168329,163,-0.7621226016684702,18.0,0.4179243092639889,48.0,0.08503250721890555,30.0,-0.33289180204508334,0.3673469387755102,61,0.8032786885245902,0.29508196721311475
determinative,11,0.2553981889946598,66,0.11691969742599516,55,-0.13847849156866465,4.0,0.09287206872533085,26.0,0.046059274743573846,22.0,-0.04681279398175701,0.36363636363636365,12,0.9166666666666666,0.3333333333333333
translatable,14,0.325052240538658,62,0.10983365515775301,48,-0.215218585380905,5.0,0.11609008590666356,24.0,0.04251625360945278,19.0,-0.07357383229721079,0.35714285714285715,18,0.7777777777777778,0.2777777777777778
enamored,31,0.7197585326213141,102,0.18069407784017433,71,-0.5390644547811397,11.0,0.2553981889946598,25.0,0.04428776417651331,14.0,-0.2111104248181465,0.3548387096774194,34,0.9117647058823529,0.3235294117647059
sanguine,34,0.7894125841653122,152,0.26926960619320095,118,-0.5201429779721113,12.0,0.2786162061759926,37.0,0.0655458909812397,25.0,-0.2130703151947529,0.35294117647058826,43,0.7906976744186046,0.27906976744186046
dissimilar,58,1.3466449965172975,235,0.41630498325922516,177,-0.9303400132580724,20.0,0.46436034362665424,59.0,0.10451912345657141,39.0,-0.3598412201700828,0.3448275862068966,67,0.8656716417910447,0.29850746268656714
well-liked,6,0.1393081030879963,32,0.05668833814593704,26,-0.08261976494205925,2.0,0.046436034362665427,6.0,0.010629063402363194,4.0,-0.035806970960302234,0.3333333333333333,8,0.75,0.25
noticeable,120,2.7861620617599256,395,0.6997466739889103,275,-2.0864153877710154,40.0,0.9287206872533085,118.0,0.20903824691314282,78.0,-0.7196824403401656,0.3333333333333333,132,0.9090909090909091,0.30303030303030304
politic,6,0.1393081030879963,51,0.09034703892008716,45,-0.04896106416790913,2.0,0.046436034362665427,17.0,0.03011567964002905,15.0,-0.016320354722636377,0.3333333333333333,10,0.6,0.2
hatred,3,0.06965405154399815,18,0.031887190207089584,15,-0.03776686133690856,1.0,0.023218017181332713,5.0,0.008857552835302663,4.0,-0.01436046434603005,0.3333333333333333,3,1.0,0.3333333333333333
decipherable,6,0.1393081030879963,62,0.10983365515775301,56,-0.029474447930243286,2.0,0.046436034362665427,12.0,0.02125812680472639,10.0,-0.025177907557939038,0.3333333333333333,8,0.75,0.25
erotica,3,0.06965405154399815,41,0.07263193324948183,38,0.002977881705483687,1.0,0.023218017181332713,6.0,0.010629063402363194,5.0,-0.012588953778969519,0.3333333333333333,3,1.0,0.3333333333333333
brotherly,6,0.1393081030879963,43,0.0761749543836029,37,-0.06313314870439339,2.0,0.046436034362665427,7.0,0.012400573969423729,5.0,-0.0340354603932417,0.3333333333333333,6,1.0,0.3333333333333333
far-off,6,0.1393081030879963,57,0.10097610232245036,51,-0.03833200076554594,2.0,0.046436034362665427,6.0,0.010629063402363194,4.0,-0.035806970960302234,0.3333333333333333,8,0.75,0.25
grabby,9,0.20896215463199444,40,0.0708604226824213,31,-0.13810173194957315,3.0,0.06965405154399815,9.0,0.015943595103544792,6.0,-0.05371045644045336,0.3333333333333333,10,0.9,0.3
prouder,6,0.1393081030879963,26,0.046059274743573846,20,-0.09324882834442244,2.0,0.046436034362665427,4.0,0.00708604226824213,2.0,-0.039349992094423296,0.3333333333333333,7,0.8571428571428571,0.2857142857142857
