key,l1,exp_f,adv,f1,l2,P1,unexp_f,f2,dP1,odds_r_disc,G2,LRC,adv_total,MI,adj_total,N,t,f,adj
NEGany~necessarily_reliable,NEGATED,3.5292135,necessarily,3173660,necessarily_reliable,1.0,77.4707865,81,0.95643055,3.5536587,507.60858,6.3504863,48947,1.3608071,90598,72839589,8.607865,81,reliable
NEGany~any_happier,NEGATED,41.958427,any,3173660,any_happier,0.8598131,786.041573,963,0.81625336,2.1279256,4420.4862,6.3395596,34382,1.2952112,16606,72839589,27.316833,828,happier
NEGany~terribly_different,NEGATED,17.82035,terribly,3173660,terribly_different,0.8948655,348.17965,409,0.85129976,2.2670946,2022.4728,6.3272467,58964,1.3125648,825838,72839589,18.199642,366,different
NEGany~terribly_uncommon,NEGATED,4.5749064,terribly,3173660,terribly_uncommon,0.9809524,98.4250936,105,0.9373832,2.9584744,625.85154,6.3270283,58964,1.352455,11312,72839589,9.6981125,103,uncommon
NEGany~terribly_likely,NEGATED,4.8363296,terribly,3173660,terribly_likely,0.972973,103.1636704,111,0.92940384,2.8328364,649.49592,6.2602434,58964,1.3489078,890421,72839589,9.9269285,108,likely
NEGany~terribly_unusual,NEGATED,6.7534332,terribly,3173660,terribly_unusual,0.9419355,139.2465668,155,0.89836687,2.529594,847.05489,6.1736403,58964,1.3348283,71234,72839589,11.524128,146,unusual
NEGany~necessarily_proud,NEGATED,3.0935081,necessarily,3173660,necessarily_proud,1.0,67.9064919,71,0.9564304,3.4968057,444.94064,6.135151,48947,1.3608071,207536,72839589,8.059018,71,proud
NEGany~particularly_religious,NEGATED,24.617353,particularly,3173660,particularly_religious,0.8584071,460.382647,565,0.8148429,2.1219192,2585.7061,6.1155305,513668,1.2945004,28028,72839589,20.9049,485,religious
NEGany~yet_mainstream,NEGATED,3.0499376,yet,3173660,yet_mainstream,1.0,66.95006240000001,70,0.9564304,3.4906886,438.67385,6.111758,95763,1.3608071,17792,72839589,8.002063,70,mainstream
NEGany~particularly_new,NEGATED,39.213483,particularly,3173660,particularly_new,0.83,707.786517,900,0.7864392,2.0290642,3874.4626,6.0375867,513668,1.2798852,253862,72839589,25.896555,747,new
NEGany~terribly_impressive,NEGATED,9.498377,terribly,3173660,terribly_impressive,0.89908254,186.501623,218,0.8555146,2.2826667,1087.6412,5.9689946,58964,1.3146067,178051,72839589,13.321545,196,impressive
NEGmir~particularly_new,NEGMIR,70.279148,particularly,291732,particularly_new,0.98536587,333.7208557128906,410,0.81414944,2.4789002,1365.1679092,5.9209847,13003,0.75955486,12836,1701929,16.603233,404,new
NEGany~particularly_original,NEGATED,18.561049,particularly,3173660,particularly_original,0.8450704,341.438951,426,0.80150455,2.0755925,1894.5951,5.862825,513668,1.2876999,37594,72839589,17.995413,360,original
NEGany~that_far-fetched,NEGATED,2.5706617,that,3173660,that_far-fetched,1.0,56.4293383,59,0.95643026,3.417015,369.73919,5.8261833,208262,1.3608071,5185,72839589,7.346474,59,far-fetched
NEGany~that_thrilled,NEGATED,2.5706617,that,3173660,that_thrilled,1.0,56.4293383,59,0.95643026,3.417015,369.73919,5.8261833,208262,1.3608071,24182,72839589,7.346474,59,thrilled
NEGmir~ever_simple,NEGMIR,35.3109865,ever,291732,ever_simple,1.0,170.6890106201172,206,0.8286877,3.300552,726.7575537,5.8155127,5060,0.76595736,25408,1701929,11.8924675,206,simple
NEGany~immediately_available,NEGATED,1278.8388,immediately,3173660,immediately_available,0.71813565,19799.1612,29351,0.67483705,1.7504529,98046.667,5.698082,96973,1.2170136,666909,72839589,136.37416,21078,available
NEGmir~ever_good,NEGMIR,51.9380045,ever,291732,ever_good,0.9867987,247.06199645996094,303,0.8155313,2.5079236,1013.8722607,5.6786933,5060,0.76018596,31585,1701929,14.287964,299,good
NEGany~any_younger,NEGATED,13.376155,any,3173660,any_younger,0.8306189,241.623845,307,0.7870517,2.028726,1323.3623,5.571493,34382,1.280209,26216,72839589,15.131072,255,younger
NEGmir~ever_perfect,NEGMIR,35.4823991,ever,291732,ever_perfect,0.9951691,170.51759338378906,207,0.8238567,2.8234303,714.4727787,5.5701528,5060,0.76385427,3134,1701929,11.880525,206,perfect
NEGany~immediately_reachable,NEGATED,5.2284644,immediately,3173660,immediately_reachable,0.90833336,103.77153559999999,120,0.8647642,2.3201911,610.52868,5.562258,96973,1.3190523,2672,72839589,9.93951,109,reachable
NEGany~ever_simple,NEGATED,10.892634,ever,3173660,ever_simple,0.844,200.107366,250,0.8004322,2.0702019,1109.2833,5.559586,114075,1.2871495,396749,72839589,13.775959,211,simple
NEGany~particularly_likable,NEGATED,5.7948814,particularly,3173660,particularly_likable,0.8947368,113.2051186,133,0.85116786,2.257476,657.48674,5.529105,513668,1.3125024,8160,72839589,10.377496,119,likable
NEGany~ever_easy,NEGATED,24.181648,ever,3173660,ever_easy,0.772973,404.818352,555,0.72940797,1.8723905,2105.1336,5.4127684,114075,1.2489713,579827,72839589,19.544815,429,easy
NEGany~immediately_sure,NEGATED,6.9712859,immediately,3173660,immediately_sure,0.8625,131.0287141,160,0.8189313,2.130746,738.6493,5.4022436,96973,1.2965662,262825,72839589,11.153905,138,sure
NEGany~terribly_productive,NEGATED,2.919226,terribly,3173660,terribly_productive,0.95522386,61.080774,67,0.9116542,2.6069603,376.8403,5.388945,58964,1.3409122,102361,72839589,7.6350965,64,productive
NEGany~inherently_wrong,NEGATED,100.86579,inherently,3173660,inherently_wrong,0.70799136,1538.13421,2315,0.66444194,1.7261237,7535.9651,5.3587675,47803,1.2108351,149064,72839589,37.993103,1639,wrong
NEGany~particularly_likeable,NEGATED,5.2284644,particularly,3173660,particularly_likeable,0.8833333,100.77153559999999,120,0.8397642,2.207456,579.07068,5.336488,513668,1.3069317,5902,72839589,9.787797,106,likeable
NEGmir~exactly_sure,NEGMIR,25.3690583,exactly,291732,exactly_sure,1.0,122.63094329833984,148,0.8286595,3.1572719,522.1121028,5.314805,1041,0.76595736,6761,1701929,10.080201,148,sure
NEGmir~ever_enough,NEGMIR,25.1976457,ever,291732,ever_enough,1.0,121.80235290527344,147,0.828659,3.154336,518.5839006,5.3044505,5060,0.76595736,2596,1701929,10.046089,147,enough
NEGmir~ever_certain,NEGMIR,24.5119955,ever,291732,ever_certain,1.0,118.48800659179688,143,0.8286571,3.14239,504.4711488,5.2622757,5060,0.76595736,1800,1701929,9.908464,143,certain
NEGany~terribly_sure,NEGATED,3.3113608,terribly,3173660,terribly_sure,0.90789473,65.6886392,76,0.8643251,2.308393,386.3087,5.084559,58964,1.3188425,262825,72839589,7.907983,69,sure
NEGany~any_easier,NEGATED,104.78714,any,3173660,any_easier,0.6627859,1489.21286,2405,0.61923575,1.635009,6987.7755,5.075541,34382,1.1821803,209940,72839589,37.300323,1594,easier
NEGany~remotely_surprising,NEGATED,3.6599251,remotely,3173660,remotely_surprising,0.89285713,71.3400749,84,0.84928757,2.2416935,413.6057,5.066927,16426,1.3115891,70540,72839589,8.237642,75,surprising
NEGmir~particularly_surprising,NEGMIR,28.7973094,particularly,291732,particularly_surprising,0.9880952,137.20269775390625,168,0.8167633,2.5080159,564.6730929,5.0601926,13003,0.7607562,2662,1701929,10.648994,166,surprising
NEGmir~particularly_wrong,NEGMIR,37.1965246,particularly,291732,particularly_wrong,0.9769585,174.80348205566406,217,0.8056487,2.2716055,702.2194587,5.0488544,13003,0.7558335,20880,1701929,12.005552,212,wrong
NEGmir~necessarily_wrong,NEGMIR,37.0251121,necessarily,291732,necessarily_wrong,0.9768519,173.97488403320312,216,0.8055415,2.2695556,698.7376298,5.0416393,1107,0.75578606,20880,1701929,11.976925,211,wrong
NEGany~any_simpler,NEGATED,13.071161,any,3173660,any_simpler,0.75333333,212.928839,300,0.70976573,1.8244023,1087.7071,5.00012,34382,1.2377943,23480,72839589,14.1638155,226,simpler
NEGany~terribly_reliable,NEGATED,2.352809,terribly,3173660,terribly_reliable,0.9444444,48.647191,54,0.90087456,2.509206,296.69984,4.98763,58964,1.3359835,90598,72839589,6.8119693,51,reliable
NEGany~particularly_forthcoming,NEGATED,3.6163546,particularly,3173660,particularly_forthcoming,0.8674699,68.3836454,83,0.8239003,2.14111,387.25355,4.8530226,513668,1.2990615,7473,72839589,8.05909,72,forthcoming
NEGany~ever_certain,NEGATED,8.4091136,ever,3173660,ever_certain,0.761658,138.5908864,193,0.7180894,1.8428189,713.34053,4.801235,114075,1.2425671,74952,72839589,11.430783,147,certain
NEGany~particularly_athletic,NEGATED,5.925593,particularly,3173660,particularly_athletic,0.7941176,102.074407,136,0.7505485,1.9220594,541.00861,4.7709584,513668,1.2606919,17142,72839589,9.822114,108,athletic
NEGany~any_nicer,NEGATED,5.1848939,any,3173660,any_nicer,0.8067227,90.8151061,119,0.7631534,1.9549325,486.81596,4.7498446,34382,1.2675314,9955,72839589,9.268778,96,nicer
NEGany~particularly_surprising,NEGATED,75.943446,particularly,3173660,particularly_surprising,0.6133104,993.056554,1743,0.56975347,1.5418009,4433.5163,4.714746,513668,1.1484874,70540,72839589,30.372822,1069,surprising
NEGany~immediately_able,NEGATED,43.091261,immediately,3173660,immediately_able,0.6329626,582.908739,989,0.58940005,1.57796,2655.1801,4.6984696,96973,1.1621851,223196,72839589,23.297718,626,able
NEGany~inherently_bad,NEGATED,56.946692,inherently,3173660,inherently_bad,0.6074981,737.053308,1307,0.56393766,1.5311189,3270.685,4.6176786,47803,1.144352,429537,72839589,26.157043,794,bad
NEGany~remotely_true,NEGATED,16.121099,remotely,3173660,remotely_true,0.6756757,233.87890099999998,370,0.63210833,1.6593142,1111.1329,4.6101465,16426,1.1905453,231639,72839589,14.7918005,250,true
NEGany~immediately_obvious,NEGATED,173.80287,immediately,3173660,immediately_obvious,0.56104285,2064.19713,3989,0.5175007,1.4483024,8712.0707,4.5451183,96973,1.1098031,165439,72839589,43.63361,2238,obvious
NEGany~particularly_revolutionary,NEGATED,4.2263421,particularly,3173660,particularly_revolutionary,0.7938144,72.7736579,97,0.7502449,1.9190183,385.60468,4.486269,513668,1.2605261,10338,72839589,8.293328,77,revolutionary
NEGany~ever_boring,NEGATED,3.9213483,ever,3173660,ever_boring,0.8,68.0786517,90,0.7564304,1.934636,362.7387,4.4578605,114075,1.2638971,45891,72839589,8.023146,72,boring
NEGmir~any_better,NEGMIR,71.821861,any,291732,any_better,0.90692127,308.1781311035156,419,0.7356898,1.6686068,1096.0101371,4.3756804,1197,0.72352695,14013,1701929,15.809205,380,better
NEGmir~that_simple,NEGMIR,90.6772421,that,291732,that_simple,0.89603025,383.32275390625,529,0.72484297,1.6169276,1340.1878697,4.3628592,5494,0.71828,25408,1701929,17.606598,474,simple
NEGany~any_clearer,NEGATED,26.490886,any,3173660,any_clearer,0.58388156,328.509114,608,0.54031557,1.4883686,1421.5986,4.262103,34382,1.1271318,11680,72839589,17.435453,355,clearer
NEGmir~particularly_remarkable,NEGMIR,19.0267937,particularly,291732,particularly_remarkable,0.972973,88.97320556640625,111,0.8016127,2.1758168,354.5325815,4.2393956,13003,0.7540581,3238,1701929,8.561451,108,remarkable
NEGmir~that_easy,NEGMIR,87.0775784,that,291732,that_easy,0.88582677,362.92242431640625,508,0.7146275,1.5714866,1248.8359252,4.2281227,5494,0.7133062,18610,1701929,17.108328,450,easy
NEGany~immediately_certain,NEGATED,4.0520599,immediately,3173660,immediately_certain,0.75268817,65.9479401,93,0.70911855,1.8185906,336.68159,4.185826,96973,1.2374222,74952,72839589,7.8822865,70,certain
NEGmir~ever_able,NEGMIR,24.5119955,ever,291732,ever_able,0.951049,111.48800659179688,143,0.7797019,1.9445668,426.5167066,4.1690893,5060,0.74416023,3704,1701929,9.560018,136,able
NEGany~remotely_ready,NEGATED,3.2242197,remotely,3173660,remotely_ready,0.7837838,54.7757803,74,0.740214,1.8911397,287.63052,4.160484,16426,1.2550033,141590,72839589,7.1924124,58,ready
NEGany~remotely_funny,NEGATED,9.2369538,remotely,3173660,remotely_funny,0.6462264,127.7630462,212,0.6026576,1.6018339,589.73753,4.148924,16426,1.1711918,122927,72839589,10.915534,137,funny
NEGmir~inherently_wrong,NEGMIR,312.9993272,inherently,291732,inherently_wrong,0.82858706,1200.000732421875,1826,0.65788037,1.3702018,3787.527964,4.0799613,5133,0.68429554,20880,1701929,30.850487,1513,wrong
NEGany~particularly_flashy,NEGATED,3.2242197,particularly,3173660,particularly_flashy,0.7702703,53.7757803,74,0.7267005,1.8580974,278.95571,4.075204,513668,1.2474502,4494,72839589,7.122776,57,flashy
NEGmir~terribly_surprising,NEGMIR,11.4846413,terribly,291732,terribly_surprising,1.0,55.515357971191406,67,0.8286201,2.8147287,236.3461416,4.0684233,4610,0.76595736,2662,1701929,6.7822804,67,surprising
NEGany~any_cheaper,NEGATED,8.9755306,any,3173660,any_cheaper,0.6262136,120.0244694,206,0.5826447,1.5644453,542.96835,4.0144844,34382,1.1575296,46055,72839589,10.567565,129,cheaper
NEGmir~particularly_close,NEGMIR,24.8548206,particularly,291732,particularly_close,0.93793106,111.14517974853516,145,0.7665838,1.8419039,415.6966017,4.006704,13003,0.7381283,13874,1701929,9.530621,136,close
NEGany~any_smarter,NEGATED,5.7513109,any,3173660,any_smarter,0.67424244,83.2486891,132,0.63067305,1.6548057,394.9548,3.9996097,34382,1.1896231,8501,72839589,8.824344,89,smarter
NEGany~any_worse,NEGATED,160.03458,any,3173660,any_worse,0.45902532,1525.96542,3673,0.41547573,1.2703576,5676.3748,3.9423192,34382,1.0226437,179012,72839589,37.16344,1686,worse
NEGany~any_brighter,NEGATED,3.8342072,any,3173660,any_brighter,0.71590906,59.1657928,88,0.6723394,1.737702,292.00119,3.9102716,34382,1.215665,9280,72839589,7.4541893,63,brighter
NEGany~immediately_forthcoming,NEGATED,9.7162297,immediately,3173660,immediately_forthcoming,0.59641254,123.2837703,223,0.5528437,1.5103103,540.7012,3.88667,96973,1.1363539,7473,72839589,10.690059,133,forthcoming
NEGany~ever_good,NEGATED,28.756554,ever,3173660,ever_good,0.50151515,302.243446,660,0.45794877,1.3441314,1188.6883,3.8110826,114075,1.0610912,1681795,72839589,16.612803,331,good
NEGmir~ever_boring,NEGMIR,9.7705157,ever,291732,ever_boring,1.0,47.22948455810547,57,0.8286152,2.7450778,201.0689789,3.801714,5060,0.76595736,1961,1701929,6.255698,57,boring
NEGmir~ever_black,NEGMIR,9.5991031,ever,291732,ever_black,1.0,46.40089797973633,56,0.8286147,2.737457,197.5412939,3.7721539,5060,0.76595736,1412,1701929,6.2005806,56,black
NEGmir~particularly_novel,NEGMIR,9.256278,particularly,291732,particularly_novel,1.0,44.74372100830078,54,0.82861376,2.721802,190.4859409,3.7111778,13003,0.76595736,320,1701929,6.0888495,54,novel
NEGmir~terribly_new,NEGMIR,12.1702915,terribly,291732,terribly_new,0.97183096,56.829708099365234,71,0.8004518,2.128442,225.9323561,3.6647363,4610,0.7535481,12836,1701929,6.841493,69,new
NEGany~remotely_close,NEGATED,69.582147,remotely,3173660,remotely_close,0.4345648,624.417853,1597,0.39100283,1.2272934,2243.2243,3.6516712,16426,0.9988617,411329,72839589,23.702578,694,close
NEGmir~that_great,NEGMIR,58.6230941,that,291732,that_great,0.83625734,227.3769073486328,342,0.6649784,1.38978,725.1559287,3.5665345,5494,0.6882973,5568,1701929,13.445078,286,great
NEGany~ever_enough,NEGATED,15.118976,ever,3173660,ever_enough,0.4985591,157.881024,347,0.4549907,1.3389866,618.61718,3.5401251,114075,1.0585238,152020,72839589,12.003472,173,enough
COM~ever_closer,COMPLEMENT,6031.9241,ever,69662736,ever_closer,0.9996829,273.0758999999998,6307,0.043301016,2.060815,538.66082,3.5134614,114075,0.019229218,61475,72839589,3.4390678,6305,closer
NEGany~inherently_illegal,NEGATED,4.0084894,inherently,3173660,inherently_illegal,0.6413044,54.9915106,92,0.5977346,1.59094,252.58914,3.5065575,47803,1.1678712,30194,72839589,7.159285,59,illegal
NEGmir~terribly_original,NEGMIR,7.713565,terribly,291732,terribly_original,1.0,37.286434173583984,45,0.82860935,2.6434035,158.7371336,3.400218,4610,0.76595736,1555,1701929,5.5583334,45,original
NEGmir~exactly_clear,NEGMIR,9.0848655,exactly,291732,exactly_clear,0.9811321,42.91513442993164,53,0.8097447,2.2284403,173.8850193,3.3806543,1041,0.7576848,6722,1701929,5.951258,52,clear
NEGmir~particularly_comfortable,NEGMIR,7.5421525,particularly,291732,particularly_comfortable,1.0,36.457847595214844,44,0.8286089,2.6337507,155.2095168,3.3612247,13003,0.76595736,4642,1701929,5.4962273,44,comfortable
NEGany~ever_perfect,NEGATED,21.305993,ever,3173660,ever_perfect,0.4417178,194.694007,489,0.39814994,1.2399884,706.7148,3.3436074,114075,1.005952,104659,72839589,13.24725,216,perfect
NEGany~ever_sure,NEGATED,7.058427,ever,3173660,ever_sure,0.537037,79.941573,162,0.4934676,1.4055325,328.20145,3.3360412,114075,1.0908114,262825,72839589,8.570636,87,sure
NEGmir~remotely_close,NEGMIR,45.7671524,remotely,291732,remotely_close,0.8164794,172.23284912109375,267,0.64516807,1.329451,532.962795,3.27924,2341,0.6779026,13874,1701929,11.66508,218,close
NEGmir~any_different,NEGMIR,8.3992152,any,291732,any_different,0.97959185,39.60078430175781,49,0.80820256,2.1940167,159.9329356,3.2420387,1197,0.75700253,36166,1701929,5.715881,48,different
NEGany~immediately_intuitive,NEGATED,3.9649189,immediately,3173660,immediately_intuitive,0.5934066,50.0350811,91,0.54983675,1.5038323,218.74357,3.21096,96973,1.1341594,20664,72839589,6.8089123,54,intuitive
NEGmir~that_big,NEGMIR,22.4550448,that,291732,that_big,0.86259544,90.54495239257812,131,0.6912361,1.4722819,300.5365742,3.1734624,5494,0.7017645,8177,1701929,8.517753,113,big
NEGmir~that_popular,NEGMIR,11.9988789,that,291732,that_popular,0.9285714,53.001121520996094,70,0.75719,1.7602689,195.1460041,3.1539142,5494,0.7337727,5668,1701929,6.57398,65,popular
NEGmir~ever_sick,NEGMIR,6.6850897,ever,291732,ever_sick,1.0,32.314910888671875,39,0.8286064,2.5819802,137.5715178,3.1491098,5060,0.76595736,1895,1701929,5.1745267,39,sick
NEGmir~particularly_revolutionary,NEGMIR,6.6850897,particularly,291732,particularly_revolutionary,1.0,32.314910888671875,39,0.8286064,2.5819802,137.5715178,3.1491098,13003,0.76595736,485,1701929,5.1745267,39,revolutionary
NEGany~remotely_qualified,NEGATED,4.4006242,remotely,3173660,remotely_qualified,0.56435645,52.5993758,101,0.52078664,1.4527754,222.78799,3.1302128,16426,1.1123606,74643,72839589,6.9669576,57,qualified
NEGmir~any_easier,NEGMIR,11.3132287,any,291732,any_easier,0.92424244,49.686771392822266,66,0.75285906,1.7328968,181.6463141,3.044219,1197,0.7317433,2386,1701929,6.361739,61,easier
NEGmir~remotely_true,NEGMIR,11.3132287,remotely,291732,remotely_true,0.92424244,49.686771392822266,66,0.75285906,1.7328968,181.6463141,3.044219,2341,0.7317433,6191,1701929,6.361739,61,true
NEGany~remotely_comparable,NEGATED,12.069039,remotely,3173660,remotely_comparable,0.4259928,105.930961,277,0.3824237,1.2124327,375.73374,2.9778113,16426,0.99020934,12252,72839589,9.751736,118,comparable
NEGmir~necessarily_bad,NEGMIR,9.0848655,necessarily,291732,necessarily_bad,0.9433962,40.91513442993164,53,0.7720077,1.8435919,154.4463567,2.9530244,1107,0.7406515,10261,1701929,5.786274,50,bad
NEGmir~inherently_bad,NEGMIR,32.2255605,inherently,291732,inherently_bad,0.78723407,115.7744369506836,188,0.61588955,1.2487746,342.5309836,2.863217,5133,0.6620612,10261,1701929,9.516601,148,bad
