hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
nyt_eng_19970506_0618_5:4,outdated_input_file,almost_certain,almost,certain,"-LBQ-  It is almost certain that Mobutu will leave tomorrow ,  -RDQ-  said a senior presidential aide .",nyt_eng_19970506_0618_5,4,,,,nyt_eng_19970506,Nyt1,1997-05-06,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,314656,1997,False
nyt_eng_19950113_0066_25:13,outdated_input_file,almost_impossible,almost,impossible,"-LBQ-  Once the inertia of incumbency kicks in , it will be almost impossible to achieve these reforms .  -RDQ-",nyt_eng_19950113_0066_25,13,,,,nyt_eng_19950113,Nyt1,1995-01-13,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,42418,1995,False
nyt_eng_19940825_0217_19:16,outdated_input_file,almost_impossible,almost,impossible,"-LBQ-  We scrimmaged last Friday and we had so many guys missing that it was almost impossible to have any idea if you had a team ,  -RDQ-  Nehlen said .",nyt_eng_19940825_0217_19,16,,,,nyt_eng_19940825,Nyt1,1994-08-25,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,12256,1994,False
nyt_eng_19970119_0210_8:8,outdated_input_file,almost_nonexistent,almost,nonexistent,Research on the effectiveness of shaming is almost nonexistent .,nyt_eng_19970119_0210_8,8,,,,nyt_eng_19970119,Nyt1,1997-01-19,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,277905,1997,False
nyt_eng_19980121_0789_27:25,outdated_input_file,almost_over,almost,over,"He continues ,  -LBQ-  Teddy did take Kettle Hill , but by the time he got to the San Juan Heights the battle was almost over .  -RDQ-",nyt_eng_19980121_0789_27,25,,,,nyt_eng_19980121,Nyt1,1998-01-21,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,405107,1998,False
nyt_eng_19950329_0557_1:36,outdated_input_file,almost_ready,almost,ready,"After more than two years of work on the equipment at Indian Point 3 and on the attitudes of the people who work there , the New York Power Authority says it believes it is almost ready to reopen its hard-luck nuclear reactor .",nyt_eng_19950329_0557_1,36,,,,nyt_eng_19950329,Nyt1,1995-03-29,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,62327,1995,False
nyt_eng_19980105_0126_2:11,outdated_input_file,almost_sure,almost,sure,"It 's entertaining , and the sounds and sights are almost sure to overload your senses .",nyt_eng_19980105_0126_2,11,,,,nyt_eng_19980105,Nyt1,1998-01-05,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,398993,1998,False
nyt_eng_19951214_0394_20:8,outdated_input_file,already_aglow,already,aglow,"The lights on the magnificent tree were already aglow , but in the morning glare -LRB- it was cloudy and cold , the sky nearly white -RRB- it did n't appear as dramatic as it would later on .",nyt_eng_19951214_0394_20,8,,,,nyt_eng_19951214,Nyt1,1995-12-14,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,145993,1995,False
nyt_eng_19970128_0697_20:21,outdated_input_file,already_aware,already,aware,"Thomas Dietz , an analyst for the San Francisco brokerage firm Pacific Growth Equities , said the investment community was already aware of the results of the animal studies , which were first reported at a scientific conference in September .",nyt_eng_19970128_0697_20,21,,,,nyt_eng_19970128,Nyt1,1997-01-28,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,281139,1997,False
nyt_eng_19941004_0061_2:6,outdated_input_file,already_awash,already,awash,"Britain 's royal clan was already awash in sexual scandal before this week 's publication of  -LBQ-  Princess in Love ,  -RDQ-  an account of an alleged five-year liaison between the estranged wife of the heir apparent to the throne and ex-Captain James Hewitt , written with his full cooperation .",nyt_eng_19941004_0061_2,6,,,,nyt_eng_19941004,Nyt1,1994-10-04,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,20922,1994,False
nyt_eng_19961007_0779_62:17,outdated_input_file,already_good,already,good,"What they were talking about today , how to enhance it , makes something that is already good even better .",nyt_eng_19961007_0779_62,17,,,,nyt_eng_19961007,Nyt1,1996-10-07,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,243576,1996,False
nyt_eng_19970424_0225_33:9,outdated_input_file,already_good,already,good,"-LBQ-  Our performance on the fixed-income side is already good , and the numbers on the equity side are improving and will continue to improve ,  -RDQ-  Pozen said .",nyt_eng_19970424_0225_33,9,,,,nyt_eng_19970424,Nyt1,1997-04-24,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,310422,1997,False
nyt_eng_19970812_0691_42:4,outdated_input_file,already_low,already,low,The fund was already low because the union had voted in 1991 to raise strike benefits to $ 200 a week but refused to increase dues .,nyt_eng_19970812_0691_42,4,,,,nyt_eng_19970812,Nyt1,1997-08-12,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,347989,1997,False
nyt_eng_19941013_0282_4:25,outdated_input_file,already_oversubscribed,already,oversubscribed,"NEW YORK , Oct. 13 -- P.T. Indonesian Satellite Corp. dominates the new offerings market next week , as investors say the deal is already oversubscribed .",nyt_eng_19941013_0282_4,25,,,,nyt_eng_19941013,Nyt1,1994-10-13,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,23120,1994,False
nyt_eng_19950906_0231_1:22,outdated_input_file,already_present,already,present,"Computer users who have trouble installing the floppy-disk version of Windows 95 may be the victims of a virus that 's already present on their computers , a Microsoft spokeswoman said Wednesday .",nyt_eng_19950906_0231_1,22,,,,nyt_eng_19950906,Nyt1,1995-09-06,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,112367,1995,False
nyt_eng_19970807_0664_30:9,outdated_input_file,already_profitable,already,profitable,"Escher said the new Red &amp; White is already profitable , though he declines to disclose revenues .",nyt_eng_19970807_0664_30,9,,,,nyt_eng_19970807,Nyt1,1997-08-07,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,346493,1997,False
nyt_eng_19980504_0144_44:29,outdated_input_file,already_sick,already,sick,"Unlike regular vaccines that prevent disease , these vaccines , under intense study for the last five years , are designed to boost immunity in people who are already sick .",nyt_eng_19980504_0144_44,29,,,,nyt_eng_19980504,Nyt1,1998-05-04,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,435234,1998,False
nyt_eng_19950326_0155_52:3,outdated_input_file,also_23-1,also,23-1,They are also 23-1 when their opponents score fewer than 70 points .,nyt_eng_19950326_0155_52,3,,,,nyt_eng_19950326,Nyt1,1995-03-26,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,61295,1995,False
nyt_eng_19950403_0519_28:13,outdated_input_file,also_available,also,available,"Straight life insurance , without interest or loans or refunds , is also available , as are accident insurance and travel insurance .",nyt_eng_19950403_0519_28,13,,,,nyt_eng_19950403,Nyt1,1995-04-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,63619,1995,False
nyt_eng_19971222_0745_11:3,outdated_input_file,also_available,also,available,It is also available at the Fed 's Web site at www.bog.frb.fed.us/pubs/leasing .,nyt_eng_19971222_0745_11,3,,,,nyt_eng_19971222,Nyt1,1997-12-22,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,395284,1997,False
nyt_eng_19950531_0460_11:22,outdated_input_file,also_available,also,available,"But  -LBQ-  exotic  -RDQ-  does n't have to mean  -LBQ-  outrageous  -RDQ-  for those seeking active vacations  -COL-  Running-related trips are also available to such destinations as Honolulu , Bermuda , New York City , Stockholm , Switzerland , Italy , Greece , Ireland and dozens of other more civilized places .",nyt_eng_19950531_0460_11,22,,,,nyt_eng_19950531,Nyt1,1995-05-31,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,80845,1995,False
nyt_eng_19980515_0489_25:9,outdated_input_file,also_cautious,also,cautious,"Polished , poised and articulate , he is also cautious and reserved .",nyt_eng_19980515_0489_25,9,,,,nyt_eng_19980515,Nyt1,1998-05-15,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,439148,1998,False
nyt_eng_19970625_1037_5:17,outdated_input_file,also_close,also,close,"All but the Times Square and the Selwyn have signed leases , and the Selwyn is also close to an agreement with the Roundabout Theater company , officials said .",nyt_eng_19970625_1037_5,17,,,,nyt_eng_19970625,Nyt1,1997-06-25,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,331847,1997,False
nyt_eng_19960822_0685_25:5,outdated_input_file,also_concerned,also,concerned,"Many state officials are also concerned about the law 's work requirements because the economy could fall into a recession , making jobs harder to get , and because employers often are not eager to hire long-term welfare recipients who never learned the disciplines of work .",nyt_eng_19960822_0685_25,5,,,,nyt_eng_19960822,Nyt1,1996-08-22,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,227995,1996,False
nyt_eng_19960203_0174_3:3,outdated_input_file,also_concerned,also,concerned,"They are also concerned that it is a recipe for disaster at Rochester , a university respected for its strength in science and technology .",nyt_eng_19960203_0174_3,3,,,,nyt_eng_19960203,Nyt1,1996-02-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,163016,1996,False
nyt_eng_19970622_0161_34:4,outdated_input_file,also_delighted,also,delighted,"The world was also delighted , for it was n't merely a victory of Holyfield over Tyson , it was a victory of good over evil .",nyt_eng_19970622_0161_34,4,,,,nyt_eng_19970622,Nyt1,1997-06-22,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,330349,1997,False
nyt_eng_19970607_0119_12:3,outdated_input_file,also_different,also,different,It is also different from when the Kemper Open was last played at Congressional in 1986 and Greg Norman won it for the second time .,nyt_eng_19970607_0119_12,3,,,,nyt_eng_19970607,Nyt1,1997-06-07,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,325749,1997,False
nyt_eng_19970531_0130_7:4,outdated_input_file,also_glad,also,glad,"The league is also glad the team did not change its name to the Utah Saints , that it removed an etching of the Louisiana Superdome from its uniforms and that most of the team 's employees sign on for life .",nyt_eng_19970531_0130_7,4,,,,nyt_eng_19970531,Nyt1,1997-05-31,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,323322,1997,False
nyt_eng_19960525_0249_25:4,outdated_input_file,also_great,also,great,"-LBQ-  It 's also great that in this region where everything was falling apart , so much is being done to rebuild schools and roads and other things we need .",nyt_eng_19960525_0249_25,4,,,,nyt_eng_19960525,Nyt1,1996-05-25,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,202399,1996,False
nyt_eng_19941029_0249_61:4,outdated_input_file,also_happy,also,happy,Mayor Hand is also happy about Starbucks ' plans to relandscape the front of the store .,nyt_eng_19941029_0249_61,4,,,,nyt_eng_19941029,Nyt1,1994-10-29,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,26868,1994,False
nyt_eng_19970220_0440_65:9,outdated_input_file,also_important,also,important,"He goes on  -COL-   -LBQ-  De Kooning was also important when I was young and trying to learn about structure and line and because he was what was going on _ him , Barnett Newman .",nyt_eng_19970220_0440_65,9,,,,nyt_eng_19970220,Nyt1,1997-02-20,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,288946,1997,False
nyt_eng_19980501_0133_80:4,outdated_input_file,also_indicative,also,indicative,Maggiano 's is also indicative of another big trend .,nyt_eng_19980501_0133_80,4,,,,nyt_eng_19980501,Nyt1,1998-05-01,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,434400,1998,False
nyt_eng_19980501_0048_27:5,outdated_input_file,also_like,also,like,Taylor said he 's also like to add speed .,nyt_eng_19980501_0048_27,5,,,,nyt_eng_19980501,Nyt1,1998-05-01,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,434359,1998,False
nyt_eng_19970801_0434_34:10,outdated_input_file,also_likely,also,likely,"Foreign affairs , another potentially divisive topic , is also likely to move to center-stage this fall as Congress considers legislation expanding the North American Free Trade Agreement to other Caribbean countries and the status of the peacekeeping mission in Bosnia .",nyt_eng_19970801_0434_34,10,,,,nyt_eng_19970801,Nyt1,1997-08-01,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,344372,1997,False
nyt_eng_19971109_0151_16:4,outdated_input_file,also_likely,also,likely,"This year is also likely to set a record for the number of bankruptcies over all , more than 15,000 .",nyt_eng_19971109_0151_16,4,,,,nyt_eng_19971109,Nyt1,1997-11-09,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,379834,1997,False
nyt_eng_19960228_0751_14:6,outdated_input_file,also_mixed,also,mixed,Prices of Treasury securities were also mixed . The 30-year bond,nyt_eng_19960228_0751_14,6,,,,nyt_eng_19960228,Nyt1,1996-02-28,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,171538,1996,False
nyt_eng_19950725_0015_15:3,outdated_input_file,also_possible,also,possible,"It is also possible that in spite of the lower pay , people are not quitting .",nyt_eng_19950725_0015_15,3,,,,nyt_eng_19950725,Nyt1,1995-07-25,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,98604,1995,False
nyt_eng_19970709_0805_21:9,outdated_input_file,also_possible,also,possible,"But McSween and other geologists said it was also possible that the rock might not be homogeneous , but a combination of different fragments melted and fused by a meteorite impact or deposited in as water-borne sediments .",nyt_eng_19970709_0805_21,9,,,,nyt_eng_19970709,Nyt1,1997-07-09,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,336646,1997,False
nyt_eng_19950802_0151_6:11,outdated_input_file,also_skeptical,also,skeptical,"Callahan , like many of his Republican colleagues , is also skeptical about whether the government should be assisting American companies in finding business abroad .",nyt_eng_19950802_0151_6,11,,,,nyt_eng_19950802,Nyt1,1995-08-02,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,101448,1995,False
nyt_eng_19950913_0374_30:6,outdated_input_file,also_supportive,also,supportive,Other smaller poultry processors are also supportive of the new rules .,nyt_eng_19950913_0374_30,6,,,,nyt_eng_19950913,Nyt1,1995-09-13,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,114867,1995,False
nyt_eng_19950111_0413_19:41,outdated_input_file,also_true,also,true,"However , Sir Tim Bell , a leading British public relations executive who is Saatchi 's spokesman , said the ensuing dislocations prove that if  -LBQ-  you ca n't have a successful company without financial men ,  -RDQ-  it is also true that  -LBQ-  you ca n't have an advertising business without advertising men .  -RDQ-",nyt_eng_19950111_0413_19,41,,,,nyt_eng_19950111,Nyt1,1995-01-11,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,42036,1995,False
nyt_eng_19960807_0164_4:4,outdated_input_file,also_true,also,true,"And it 's also true that it would have been polite for Howard to wait until arbiters ruled on his deal with the Heat , signed last month , before jumping back into bed Monday with the Bullets .",nyt_eng_19960807_0164_4,4,,,,nyt_eng_19960807,Nyt1,1996-08-07,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,222912,1996,False
nyt_eng_19960423_0498_10:3,outdated_input_file,also_wary,also,wary,Investors are also wary of bonds with an additional $ 31.75 of new notes and bills being sold in the next two days .,nyt_eng_19960423_0498_10,3,,,,nyt_eng_19960423,Nyt1,1996-04-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,191030,1996,False
nyt_eng_19970620_0408_20:5,outdated_input_file,also_whining,also,whining,The bleeding hearts are also whining about the record-setting pace of executions in Texas .,nyt_eng_19970620_0408_20,5,,,,nyt_eng_19970620,Nyt1,1997-06-20,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,329739,1997,False
nyt_eng_19950328_0484_31:3,outdated_input_file,always_active,always,active,He 's always active .  -RDQ-,nyt_eng_19950328_0484_31,3,,,,nyt_eng_19950328,Nyt1,1995-03-28,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,61991,1995,False
nyt_eng_19990901_0068_72:20,neg-ext-nonsubj,always_attractive,always,attractive,"But Fender said growing grass in deep shade is hard , and the grasses that grow there are n't always attractive .",nyt_eng_19990901_0068_72,20,nyt_eng_199909,"Fine fescue may grow in the shade , as will bentgrass and rough bluegrass .",Consider trimming branches of shade trees or replacing them with smaller plants in areas where you want grass .,nyt_eng_19990901,Nyt1,1999-09-01,negative,not_VP-adv,not,VP-adv,False,46884,1999,False
nyt_eng_19980520_0573_10:19,outdated_input_file,always_confident,always,confident,"Despite the long odds against overturning Suharto , many students here said on Thursday morning that they were always confident their movement would succeed .",nyt_eng_19980520_0573_10,19,,,,nyt_eng_19980520,Nyt1,1998-05-20,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,440686,1998,False
apw_eng_20070805_0580_4:7,neg-ext-nonsubj,always_easy,always,easy,But yesterdays ' news is not always easy to explain today .,apw_eng_20070805_0580_4,7,apw_eng_200708,"-LBQ-  Yesterday 's news was pretty good ,  -RDQ-  Bill Clinton said last month in Iowa while campaigning with his wife .","A San Francisco blogger made that painfully clear to Sen. Clinton during the Yearly Kos Convention of liberal bloggers this weekend , when he asked whether she would support or repeal four major pieces of legislation enacted during the Clinton administration -- the Defense of Marriage Act , the Telecommunications Act , the North American Free Trade Agreement and welfare reform .",apw_eng_20070805,Apw,2007-08-05,negative,not_VP-adv,not,VP-adv,False,20160,2007,False
nyt_eng_19961202_0140_9:9,neg-ext-nonsubj,always_easy,always,easy,"So , frankly , the texts are n't always easy on the eye or otherwise easy to read .",nyt_eng_19961202_0140_9,9,nyt_eng_199612,One reason why the books are so fairly priced is that old plates _ often very old plates _ were employed for the texts proper .,Twain volumes in the Library of America series are far superior typographically .,nyt_eng_19961202,Nyt1,1996-12-02,negative,not_VP-adv,not,VP-adv,False,55463,1996,False
nyt_eng_19950521_0138_59:3,outdated_input_file,always_engrossing,always,engrossing,It was always engrossing .,nyt_eng_19950521_0138_59,3,,,,nyt_eng_19950521,Nyt1,1995-05-21,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,77803,1995,False
nyt_eng_19970205_0152_12:23,outdated_input_file,always_fatal,always,fatal,"Many are n't treated because the risks of traditional surgery are greater than the risk of a rupture , which is almost always fatal .",nyt_eng_19970205_0152_12,23,,,,nyt_eng_19970205,Nyt1,1997-02-05,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,283628,1997,False
nyt_eng_19970924_0933_9:5,neg-ext-nonsubj,always_fatal,always,fatal,The disease is n't always fatal .,nyt_eng_19970924_0933_9,5,nyt_eng_199709,The tails of infected fish often turn black .,The lifecycle of the parasite a number of stages and requires two hosts _ a Tubifex -LRB- sludge worm -RRB- and either a trout or salmon .,nyt_eng_19970924,Nyt1,1997-09-24,negative,not_VP-adv,not,VP-adv,True,6723,1997,False
nyt_eng_19971004_0115_8:4,outdated_input_file,always_good,always,good,"-LBQ-  It is always good to get your 3 points at home ,  -RDQ-  said Hank Steinbrecher , the executive director of the U.S. Soccer Federation , coming close to sounding like fire and brimstone in his implication .",nyt_eng_19971004_0115_8,4,,,,nyt_eng_19971004,Nyt1,1997-10-04,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,366698,1997,False
nyt_eng_19971229_0022_1:8,outdated_input_file,always_good,always,good,A fledgling woman woodworker _ it 's always good to see more women taking up the craft _ asked recently on rec . woodworking for help in finding places that sell woodworking benches .,nyt_eng_19971229_0022_1,8,,,,nyt_eng_19971229,Nyt1,1997-12-29,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,396968,1997,False
nyt_eng_19950822_0503_19:12,outdated_input_file,always_good,always,good,He 's familiar with what happened and why and it 's always good to have someone who has the background .  -RDQ-,nyt_eng_19950822_0503_19,12,,,,nyt_eng_19950822,Nyt1,1995-08-22,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,108418,1995,False
nyt_eng_19991022_0003_9:18,neg-ext-nonsubj,always_good,always,good,He has relied solely on his considerable power to get the job done and that 's not always good enough .,nyt_eng_19991022_0003_9,18,nyt_eng_199910,"He has n't thrown combinations as he once did , he has n't jabbed , he has n't punched to the body , he has n't bobbed his head and moved his feet to avoid taking punishment .",Brooks could attest to this first hand  -COL-  He was in the corner of Evander Holyfield as an assistant trainer for both victories over Tyson .,nyt_eng_19991022,Nyt1,1999-10-22,negative,not_VP-adv,not,VP-adv,False,24875,1999,False
