colloc,be-ADV-ADJ_positive
perhaps_unusual,1
politically_terrible,1
positively_visionary,1
practically_predestined,1
practically_sublime,1
predominately_shiite,1
pretty_competitive,10
pretty_cut-and-dried,1
pretty_horrific,3
pretty_huge,5
pretty_tidy,1
pretty_uneventful,3
primarily_scientific,1
probably_drunk,1
probably_mvp,1
probably_nearby,1
purely_serendipitous,1
quintessentially_dead,1
quite_gray,1
quite_meager,1
quite_patchy,1
radically_anti-tory,1
rather_brisk,1
rather_tedious,1
rather_traumatic,2
rather_unlikely,1
real_sexist,1
really_capitalists,1
really_crucified,1
really_hungry,16
really_oversold,1
really_pessimistic,1
really_undocumented,1
relatively_cleaner-burning,1
relatively_toothless,1
relentlessly_unlikable,1
rightfully_worried,2
rightly_anxious,1
routinely_disappointed,1
satisfyingly_emotional,1
scholastically_retarded,1
scientifically_valid,10
serviceable_mix-and-match,1
severely_dependent,1
sexually_mature,5
similarly_ambivalent,2
similarly_easy,1
simply_extraordinary,2
simultaneously_policemen,1
sleekly_classical,1
sleekly_efficient,1
slightly_curved,1
slightly_strident,1
so_alone\/why,1
so_blue,7
so_cunning,1
so_fetid,1
so_freaky,1
so_heavy,106
so_personable,1
so_stagnant,4
so_stress-inducing,1
so_teed,1
so_tyrannical,1
so_unncessary,1
sometimes_over,1
somewhat_deranged,1
somewhat_surly,1
somewhat_tricky,1
somewhat_wowed,1
still_awesome,3
still_herschel,1
still_inoperable,1
still_loose-fitting,1
still_prevalent,6
still_smooth,3
street-smart_cool,1
substantially_outperforming,1
suddenly_clear,2
suddenly_upbeat,1
sufficiently_fatigued,1
sufficiently_uncritical,1
suitably_brooding,1
supposedly_able,6
that_laid-back,1
too_cloudy,9
too_frugal,4
too_light,51
too_mechanistic,1
too_seductive,2
totally_bleak,1
totally_committed,50
totally_unwilling,2
traditionally_hard,3
truly_secret,2
truly_unselfish,1
ultimately_preferable,1
ultimately_useful,1
unattractively_dry,1
unbearably_pretentious,1
unbelievably_malleable,1
uncharacteristically_bland,1
uncharacteristically_interested,1
unmistakably_conservative,1
unmistakably_rolls-royce,1
unofficially_segregated,1
unusually_optimistic,3
unusually_upbeat,3
uproariously_ironic,1
usually_paralyzed,1
utterly_secure,3
very_allergic,5
very_analytic,1
very_content-grounded,1
very_countercultural,1
very_disappointed,472
very_disconcerting,21
very_embarrassing,40
very_excessive,1
very_honest,43
very_insulting,2
very_latin,2
very_optioned,1
very_resentful,3
very_self-absorbed,1
very_stuffy,1
very_tenacious,5
very_underwhelming,1
very_unpersuasive,1
very_well-maintained,1
wildly_controversial,1
woefully_under-exploited,1
yet_straightforward,1
