sentences, pos, scale_type
She was slightly short. She was not tall., adj, rel
She was not tall. She was extremely short., adj, rel
She was extremely short. She was not tall., adj, rel
She was not tall. She was short., adj, rel
She was short. She was not tall., adj, rel
She was not tall. She was not extremely short., adj, rel
She was not tall. She was not short., adj, rel
She was not extremely tall. She was slightly tall., adj, rel
She was slightly tall. She was not extremely tall., adj, rel
She was slightly tall. She was not extremely tall but she was not short either., adj, rel
She was slightly tall. She was not short but she was not extremely tall either., adj, rel
She was not extremely tall but she was not short either. She was slightly tall., adj, rel
She was not short but she was not extremely tall either. She was slightly tall., adj, rel
She was not extremely short. She was slightly tall., adj, rel
She was slightly tall. She was not extremely short., adj, rel
She was not extremely short. She was extremely tall., adj, rel
She was extremely tall. She was not extremely short., adj, rel
She was not extremely short. She was tall., adj, rel
She was tall. She was not extremely short., adj, rel
She was not extremely short. She was not extremely tall., adj, rel
She was not extremely short. She was not tall., adj, rel
She was not short. She was slightly tall., adj, rel
She was slightly tall. She was not short., adj, rel
She was not short. She was extremely tall., adj, rel
She was extremely tall. She was not short., adj, rel
She was not short. She was tall., adj, rel
She was tall. She was not short., adj, rel
She was not short. She was not extremely tall., adj, rel
She was not short. She was not tall., adj, rel
She was not extremely short. She was slightly short., adj, rel
She was slightly short. She was not extremely short., adj, rel
She was slightly short. She was not extremely short but she was not tall either., adj, rel
She was slightly short. She was not tall but she was not extremely short either., adj, rel
She was not extremely short but she was not tall either. She was slightly short., adj, rel
She was not tall but she was not extremely short either. She was slightly short., adj, rel
She was not extremely expensive. She was slightly inexpensive., adj, rel
She was slightly inexpensive. She was not extremely expensive., adj, rel
She was not extremely expensive. She was extremely inexpensive., adj, rel
She was extremely inexpensive. She was not extremely expensive., adj, rel
She was not extremely expensive. She was inexpensive., adj, rel
She was inexpensive. She was not extremely expensive., adj, rel
She was not extremely expensive. She was not extremely inexpensive., adj, rel
She was not extremely expensive. She was not inexpensive., adj, rel
She was not expensive. She was slightly inexpensive., adj, rel
She was slightly inexpensive. She was not expensive., adj, rel
She was not expensive. She was extremely inexpensive., adj, rel
She was extremely inexpensive. She was not expensive., adj, rel
She was not expensive. She was inexpensive., adj, rel
She was inexpensive. She was not expensive., adj, rel
She was not expensive. She was not extremely inexpensive., adj, rel
She was not expensive. She was not inexpensive., adj, rel
She was not extremely expensive. She was slightly expensive., adj, rel
She was slightly expensive. She was not extremely expensive., adj, rel
She was slightly expensive. She was not extremely expensive but she was not inexpensive either., adj, rel
She was slightly expensive. She was not inexpensive but she was not extremely expensive either., adj, rel
She was not extremely expensive but she was not inexpensive either. She was slightly expensive., adj, rel
She was not inexpensive but she was not extremely expensive either. She was slightly expensive., adj, rel
She was not extremely inexpensive. She was slightly expensive., adj, rel
She was slightly expensive. She was not extremely inexpensive., adj, rel
She was not extremely inexpensive. She was extremely expensive., adj, rel
She was extremely expensive. She was not extremely inexpensive., adj, rel
She was not extremely inexpensive. She was expensive., adj, rel
She was expensive. She was not extremely inexpensive., adj, rel
She was not extremely inexpensive. She was not extremely expensive., adj, rel
She was not extremely inexpensive. She was not expensive., adj, rel
She was not inexpensive. She was slightly expensive., adj, rel
She was slightly expensive. She was not inexpensive., adj, rel
She was not inexpensive. She was extremely expensive., adj, rel
She was extremely expensive. She was not inexpensive., adj, rel
She was not inexpensive. She was expensive., adj, rel
She was expensive. She was not inexpensive., adj, rel
She was not inexpensive. She was not extremely expensive., adj, rel
She was not inexpensive. She was not expensive., adj, rel
She was not extremely inexpensive. She was slightly inexpensive., adj, rel
She was slightly inexpensive. She was not extremely inexpensive., adj, rel
She was slightly inexpensive. She was not extremely inexpensive but she was not expensive either., adj, rel
She was slightly inexpensive. She was not expensive but she was not extremely inexpensive either., adj, rel
She was not extremely inexpensive but she was not expensive either. She was slightly inexpensive., adj, rel
She was not expensive but she was not extremely inexpensive either. She was slightly inexpensive., adj, rel
She was not extremely big. She was slightly small., adj, rel
She was slightly small. She was not extremely big., adj, rel
She was not extremely big. She was extremely small., adj, rel
She was extremely small. She was not extremely big., adj, rel
She was not extremely big. She was small., adj, rel
She was small. She was not extremely big., adj, rel
She was not extremely big. She was not extremely small., adj, rel
She was not extremely big. She was not small., adj, rel
She was not big. She was slightly small., adj, rel
She was slightly small. She was not big., adj, rel
She was not big. She was extremely small., adj, rel
She was extremely small. She was not big., adj, rel
She was not big. She was small., adj, rel
She was small. She was not big., adj, rel
She was not big. She was not extremely small., adj, rel
She was not big. She was not small., adj, rel
She was not extremely big. She was slightly big., adj, rel
She was slightly big. She was not extremely big., adj, rel
She was slightly big. She was not extremely big but she was not small either., adj, rel
She was slightly big. She was not small but she was not extremely big either., adj, rel
She was not extremely big but she was not small either. She was slightly big., adj, rel
She was not small but she was not extremely big either. She was slightly big., adj, rel
She was not extremely small. She was slightly big., adj, rel
She was slightly big. She was not extremely small., adj, rel
She was not extremely small. She was extremely big., adj, rel
She was extremely big. She was not extremely small., adj, rel
She was not extremely small. She was big., adj, rel
She was big. She was not extremely small., adj, rel
She was not extremely small. She was not extremely big., adj, rel
She was not extremely small. She was not big., adj, rel
She was not small. She was slightly big., adj, rel
She was slightly big. She was not small., adj, rel
She was not small. She was extremely big., adj, rel
She was extremely big. She was not small., adj, rel
She was not small. She was big., adj, rel
She was big. She was not small., adj, rel
She was not small. She was not extremely big., adj, rel
She was not small. She was not big., adj, rel
She was not extremely small. She was slightly small., adj, rel
She was slightly small. She was not extremely small., adj, rel
She was slightly small. She was not extremely small but she was not big either., adj, rel
She was slightly small. She was not big but she was not extremely small either., adj, rel
She was not extremely small but she was not big either. She was slightly small., adj, rel
She was not big but she was not extremely small either. She was slightly small., adj, rel
She was not extremely strong. She was slightly weak., adj, rel
She was slightly weak. She was not extremely strong., adj, rel
She was not extremely strong. She was extremely weak., adj, rel
She was extremely weak. She was not extremely strong., adj, rel
She was not extremely strong. She was weak., adj, rel
She was weak. She was not extremely strong., adj, rel
She was not extremely strong. She was not extremely weak., adj, rel
She was not extremely strong. She was not weak., adj, rel
She was not strong. She was slightly weak., adj, rel
She was slightly weak. She was not strong., adj, rel
She was not strong. She was extremely weak., adj, rel
She was extremely weak. She was not strong., adj, rel
She was not strong. She was weak., adj, rel
She was weak. She was not strong., adj, rel
She was not strong. She was not extremely weak., adj, rel
She was not strong. She was not weak., adj, rel
She was not extremely strong. She was slightly strong., adj, rel
She was slightly strong. She was not extremely strong., adj, rel
She was slightly strong. She was not extremely strong but she was not weak either., adj, rel
She was slightly strong. She was not weak but she was not extremely strong either., adj, rel
She was not extremely strong but she was not weak either. She was slightly strong., adj, rel
She was not weak but she was not extremely strong either. She was slightly strong., adj, rel
She was not extremely weak. She was slightly strong., adj, rel
She was slightly strong. She was not extremely weak., adj, rel
She was not extremely weak. She was extremely strong., adj, rel
She was extremely strong. She was not extremely weak., adj, rel
She was not extremely weak. She was strong., adj, rel
She was strong. She was not extremely weak., adj, rel
She was not extremely weak. She was not extremely strong., adj, rel
She was not extremely weak. She was not strong., adj, rel
She was not weak. She was slightly strong., adj, rel
She was slightly strong. She was not weak., adj, rel
She was not weak. She was extremely strong., adj, rel
She was extremely strong. She was not weak., adj, rel
She was not weak. She was strong., adj, rel
She was strong. She was not weak., adj, rel
She was not weak. She was not extremely strong., adj, rel
She was not weak. She was not strong., adj, rel
She was not extremely weak. She was slightly weak., adj, rel
She was slightly weak. She was not extremely weak., adj, rel
She was slightly weak. She was not extremely weak but she was not strong either., adj, rel
She was slightly weak. She was not strong but she was not extremely weak either., adj, rel
She was not extremely weak but she was not strong either. She was slightly weak., adj, rel
She was not strong but she was not extremely weak either. She was slightly weak., adj, rel
She was not extremely fast. She was slightly slow., adj, rel
She was slightly slow. She was not extremely fast., adj, rel
She was not extremely fast. She was extremely slow., adj, rel
She was extremely slow. She was not extremely fast., adj, rel
She was not extremely fast. She was slow., adj, rel
She was slow. She was not extremely fast., adj, rel
She was not extremely fast. She was not extremely slow., adj, rel
She was not extremely fast. She was not slow., adj, rel
She was not fast. She was slightly slow., adj, rel
She was slightly slow. She was not fast., adj, rel
She was not fast. She was extremely slow., adj, rel
She was extremely slow. She was not fast., adj, rel
She was not fast. She was slow., adj, rel
She was slow. She was not fast., adj, rel
She was not fast. She was not extremely slow., adj, rel
She was not fast. She was not slow., adj, rel
She was not extremely fast. She was slightly fast., adj, rel
She was slightly fast. She was not extremely fast., adj, rel
She was slightly fast. She was not extremely fast but she was not slow either., adj, rel
She was slightly fast. She was not slow but she was not extremely fast either., adj, rel
She was not extremely fast but she was not slow either. She was slightly fast., adj, rel
She was not slow but she was not extremely fast either. She was slightly fast., adj, rel
She was not extremely slow. She was slightly fast., adj, rel
She was slightly fast. She was not extremely slow., adj, rel
She was not extremely slow. She was extremely fast., adj, rel
She was extremely fast. She was not extremely slow., adj, rel
She was not extremely slow. She was fast., adj, rel
She was fast. She was not extremely slow., adj, rel
She was not extremely slow. She was not extremely fast., adj, rel
She was not extremely slow. She was not fast., adj, rel
She was not slow. She was slightly fast., adj, rel
She was slightly fast. She was not slow., adj, rel
She was not slow. She was extremely fast., adj, rel
She was extremely fast. She was not slow., adj, rel
She was not slow. She was fast., adj, rel
She was fast. She was not slow., adj, rel
She was not slow. She was not extremely fast., adj, rel
She was not slow. She was not fast., adj, rel
She was not extremely slow. She was slightly slow., adj, rel
She was slightly slow. She was not extremely slow., adj, rel
She was slightly slow. She was not extremely slow but she was not fast either., adj, rel
She was slightly slow. She was not fast but she was not extremely slow either., adj, rel
She was not extremely slow but she was not fast either. She was slightly slow., adj, rel
She was not fast but she was not extremely slow either. She was slightly slow., adj, rel
She was not extremely smart. She was slightly dumb., adj, rel
She was slightly dumb. She was not extremely smart., adj, rel
She was not extremely smart. She was extremely dumb., adj, rel
She was extremely dumb. She was not extremely smart., adj, rel
She was not extremely smart. She was dumb., adj, rel
She was dumb. She was not extremely smart., adj, rel
She was not extremely smart. She was not extremely dumb., adj, rel
She was not extremely smart. She was not dumb., adj, rel
She was not smart. She was slightly dumb., adj, rel
She was slightly dumb. She was not smart., adj, rel
She was not smart. She was extremely dumb., adj, rel
She was extremely dumb. She was not smart., adj, rel
She was not smart. She was dumb., adj, rel
She was dumb. She was not smart., adj, rel
She was not smart. She was not extremely dumb., adj, rel
She was not smart. She was not dumb., adj, rel
She was not extremely smart. She was slightly smart., adj, rel
She was slightly smart. She was not extremely smart., adj, rel
She was slightly smart. She was not extremely smart but she was not dumb either., adj, rel
She was slightly smart. She was not dumb but she was not extremely smart either., adj, rel
She was not extremely smart but she was not dumb either. She was slightly smart., adj, rel
She was not dumb but she was not extremely smart either. She was slightly smart., adj, rel
She was not extremely dumb. She was slightly smart., adj, rel
She was slightly smart. She was not extremely dumb., adj, rel
She was not extremely dumb. She was extremely smart., adj, rel
She was extremely smart. She was not extremely dumb., adj, rel
She was not extremely dumb. She was smart., adj, rel
She was smart. She was not extremely dumb., adj, rel
She was not extremely dumb. She was not extremely smart., adj, rel
She was not extremely dumb. She was not smart., adj, rel
She was not dumb. She was slightly smart., adj, rel
She was slightly smart. She was not dumb., adj, rel
She was not dumb. She was extremely smart., adj, rel
She was extremely smart. She was not dumb., adj, rel
She was not dumb. She was smart., adj, rel
She was smart. She was not dumb., adj, rel
She was not dumb. She was not extremely smart., adj, rel
She was not dumb. She was not smart., adj, rel
She was not extremely dumb. She was slightly dumb., adj, rel
She was slightly dumb. She was not extremely dumb., adj, rel
She was slightly dumb. She was not extremely dumb but she was not smart either., adj, rel
She was slightly dumb. She was not smart but she was not extremely dumb either., adj, rel
She was not extremely dumb but she was not smart either. She was slightly dumb., adj, rel
She was not smart but she was not extremely dumb either. She was slightly dumb., adj, rel
She was not extremely brilliant. She was slightly idiotic., adj, rel
She was slightly idiotic. She was not extremely brilliant., adj, rel
She was not extremely brilliant. She was extremely idiotic., adj, rel
She was extremely idiotic. She was not extremely brilliant., adj, rel
She was not extremely brilliant. She was idiotic., adj, rel
She was idiotic. She was not extremely brilliant., adj, rel
She was not extremely brilliant. She was not extremely idiotic., adj, rel
She was not extremely brilliant. She was not idiotic., adj, rel
She was not brilliant. She was slightly idiotic., adj, rel
She was slightly idiotic. She was not brilliant., adj, rel
She was not brilliant. She was extremely idiotic., adj, rel
She was extremely idiotic. She was not brilliant., adj, rel
She was not brilliant. She was idiotic., adj, rel
She was idiotic. She was not brilliant., adj, rel
She was not brilliant. She was not extremely idiotic., adj, rel
She was not brilliant. She was not idiotic., adj, rel
She was not extremely brilliant. She was slightly brilliant., adj, rel
She was slightly brilliant. She was not extremely brilliant., adj, rel
She was slightly brilliant. She was not extremely brilliant but she was not idiotic either., adj, rel
She was slightly brilliant. She was not idiotic but she was not extremely brilliant either., adj, rel
She was not extremely brilliant but she was not idiotic either. She was slightly brilliant., adj, rel
She was not idiotic but she was not extremely brilliant either. She was slightly brilliant., adj, rel
She was not extremely idiotic. She was slightly brilliant., adj, rel
She was slightly brilliant. She was not extremely idiotic., adj, rel
She was not extremely idiotic. She was extremely brilliant., adj, rel
She was extremely brilliant. She was not extremely idiotic., adj, rel
She was not extremely idiotic. She was brilliant., adj, rel
She was brilliant. She was not extremely idiotic., adj, rel
She was not extremely idiotic. She was not extremely brilliant., adj, rel
She was not extremely idiotic. She was not brilliant., adj, rel
She was not idiotic. She was slightly brilliant., adj, rel
She was slightly brilliant. She was not idiotic., adj, rel
She was not idiotic. She was extremely brilliant., adj, rel
She was extremely brilliant. She was not idiotic., adj, rel
She was not idiotic. She was brilliant., adj, rel
She was brilliant. She was not idiotic., adj, rel
She was not idiotic. She was not extremely brilliant., adj, rel
She was not idiotic. She was not brilliant., adj, rel
She was not extremely idiotic. She was slightly idiotic., adj, rel
She was slightly idiotic. She was not extremely idiotic., adj, rel
She was slightly idiotic. She was not extremely idiotic but she was not brilliant either., adj, rel
She was slightly idiotic. She was not brilliant but she was not extremely idiotic either., adj, rel
She was not extremely idiotic but she was not brilliant either. She was slightly idiotic., adj, rel
She was not brilliant but she was not extremely idiotic either. She was slightly idiotic., adj, rel
She was not extremely interesting. She was slightly boring., adj, rel
She was slightly boring. She was not extremely interesting., adj, rel
She was not extremely interesting. She was extremely boring., adj, rel
She was extremely boring. She was not extremely interesting., adj, rel
She was not extremely interesting. She was boring., adj, rel
She was boring. She was not extremely interesting., adj, rel
She was not extremely interesting. She was not extremely boring., adj, rel
She was not extremely interesting. She was not boring., adj, rel
She was not interesting. She was slightly boring., adj, rel
She was slightly boring. She was not interesting., adj, rel
She was not interesting. She was extremely boring., adj, rel
She was extremely boring. She was not interesting., adj, rel
She was not interesting. She was boring., adj, rel
She was boring. She was not interesting., adj, rel
She was not interesting. She was not extremely boring., adj, rel
She was not interesting. She was not boring., adj, rel
She was not extremely interesting. She was slightly interesting., adj, rel
She was slightly interesting. She was not extremely interesting., adj, rel
She was slightly interesting. She was not extremely interesting but she was not boring either., adj, rel
She was slightly interesting. She was not boring but she was not extremely interesting either., adj, rel
She was not extremely interesting but she was not boring either. She was slightly interesting., adj, rel
She was not boring but she was not extremely interesting either. She was slightly interesting., adj, rel
She was not extremely boring. She was slightly interesting., adj, rel
She was slightly interesting. She was not extremely boring., adj, rel
She was not extremely boring. She was extremely interesting., adj, rel
She was extremely interesting. She was not extremely boring., adj, rel
She was not extremely boring. She was interesting., adj, rel
She was interesting. She was not extremely boring., adj, rel
She was not extremely boring. She was not extremely interesting., adj, rel
She was not extremely boring. She was not interesting., adj, rel
She was not boring. She was slightly interesting., adj, rel
She was slightly interesting. She was not boring., adj, rel
She was not boring. She was extremely interesting., adj, rel
She was extremely interesting. She was not boring., adj, rel
She was not boring. She was interesting., adj, rel
She was interesting. She was not boring., adj, rel
She was not boring. She was not extremely interesting., adj, rel
She was not boring. She was not interesting., adj, rel
She was not extremely boring. She was slightly boring., adj, rel
She was slightly boring. She was not extremely boring., adj, rel
She was slightly boring. She was not extremely boring but she was not interesting either., adj, rel
She was slightly boring. She was not interesting but she was not extremely boring either., adj, rel
She was not extremely boring but she was not interesting either. She was slightly boring., adj, rel
She was not interesting but she was not extremely boring either. She was slightly boring., adj, rel
She was not extremely rich. She was slightly poor., adj, rel
She was slightly poor. She was not extremely rich., adj, rel
She was not extremely rich. She was extremely poor., adj, rel
She was extremely poor. She was not extremely rich., adj, rel
She was not extremely rich. She was poor., adj, rel
She was poor. She was not extremely rich., adj, rel
She was not extremely rich. She was not extremely poor., adj, rel
She was not extremely rich. She was not poor., adj, rel
She was not rich. She was slightly poor., adj, rel
She was slightly poor. She was not rich., adj, rel
She was not rich. She was extremely poor., adj, rel
She was extremely poor. She was not rich., adj, rel
She was not rich. She was poor., adj, rel
She was poor. She was not rich., adj, rel
She was not rich. She was not extremely poor., adj, rel
She was not rich. She was not poor., adj, rel
She was not extremely rich. She was slightly rich., adj, rel
She was slightly rich. She was not extremely rich., adj, rel
She was slightly rich. She was not extremely rich but she was not poor either., adj, rel
She was slightly rich. She was not poor but she was not extremely rich either., adj, rel
She was not extremely rich but she was not poor either. She was slightly rich., adj, rel
She was not poor but she was not extremely rich either. She was slightly rich., adj, rel
She was not extremely poor. She was slightly rich., adj, rel
She was slightly rich. She was not extremely poor., adj, rel
She was not extremely poor. She was extremely rich., adj, rel
She was extremely rich. She was not extremely poor., adj, rel
She was not extremely poor. She was rich., adj, rel
She was rich. She was not extremely poor., adj, rel
She was not extremely poor. She was not extremely rich., adj, rel
She was not extremely poor. She was not rich., adj, rel
She was not poor. She was slightly rich., adj, rel
She was slightly rich. She was not poor., adj, rel
She was not poor. She was extremely rich., adj, rel
She was extremely rich. She was not poor., adj, rel
She was not poor. She was rich., adj, rel
She was rich. She was not poor., adj, rel
She was not poor. She was not extremely rich., adj, rel
She was not poor. She was not rich., adj, rel
She was not extremely poor. She was slightly poor., adj, rel
She was slightly poor. She was not extremely poor., adj, rel
She was slightly poor. She was not extremely poor but she was not rich either., adj, rel
She was slightly poor. She was not rich but she was not extremely poor either., adj, rel
She was not extremely poor but she was not rich either. She was slightly poor., adj, rel
She was not rich but she was not extremely poor either. She was slightly poor., adj, rel
She was not extremely beautiful. She was slightly ugly., adj, rel
She was slightly ugly. She was not extremely beautiful., adj, rel
She was not extremely beautiful. She was extremely ugly., adj, rel
She was extremely ugly. She was not extremely beautiful., adj, rel
She was not extremely beautiful. She was ugly., adj, rel
She was ugly. She was not extremely beautiful., adj, rel
She was not extremely beautiful. She was not extremely ugly., adj, rel
She was not extremely beautiful. She was not ugly., adj, rel
She was not beautiful. She was slightly ugly., adj, rel
She was slightly ugly. She was not beautiful., adj, rel
She was not beautiful. She was extremely ugly., adj, rel
She was extremely ugly. She was not beautiful., adj, rel
She was not beautiful. She was ugly., adj, rel
She was ugly. She was not beautiful., adj, rel
She was not beautiful. She was not extremely ugly., adj, rel
She was not beautiful. She was not ugly., adj, rel
She was not extremely beautiful. She was slightly beautiful., adj, rel
She was slightly beautiful. She was not extremely beautiful., adj, rel
She was slightly beautiful. She was not extremely beautiful but she was not ugly either., adj, rel
She was slightly beautiful. She was not ugly but she was not extremely beautiful either., adj, rel
She was not extremely beautiful but she was not ugly either. She was slightly beautiful., adj, rel
She was not ugly but she was not extremely beautiful either. She was slightly beautiful., adj, rel
She was not extremely ugly. She was slightly beautiful., adj, rel
She was slightly beautiful. She was not extremely ugly., adj, rel
She was not extremely ugly. She was extremely beautiful., adj, rel
She was extremely beautiful. She was not extremely ugly., adj, rel
She was not extremely ugly. She was beautiful., adj, rel
She was beautiful. She was not extremely ugly., adj, rel
She was not extremely ugly. She was not extremely beautiful., adj, rel
She was not extremely ugly. She was not beautiful., adj, rel
She was not ugly. She was slightly beautiful., adj, rel
She was slightly beautiful. She was not ugly., adj, rel
She was not ugly. She was extremely beautiful., adj, rel
She was extremely beautiful. She was not ugly., adj, rel
She was not ugly. She was beautiful., adj, rel
She was beautiful. She was not ugly., adj, rel
She was not ugly. She was not extremely beautiful., adj, rel
She was not ugly. She was not beautiful., adj, rel
She was not extremely ugly. She was slightly ugly., adj, rel
She was slightly ugly. She was not extremely ugly., adj, rel
She was slightly ugly. She was not extremely ugly but she was not beautiful either., adj, rel
She was slightly ugly. She was not beautiful but she was not extremely ugly either., adj, rel
She was not extremely ugly but she was not beautiful either. She was slightly ugly., adj, rel
She was not beautiful but she was not extremely ugly either. She was slightly ugly., adj, rel
She was not extremely old. She was slightly young., adj, rel
She was slightly young. She was not extremely old., adj, rel
She was not extremely old. She was extremely young., adj, rel
She was extremely young. She was not extremely old., adj, rel
She was not extremely old. She was young., adj, rel
She was young. She was not extremely old., adj, rel
She was not extremely old. She was not extremely young., adj, rel
She was not extremely old. She was not young., adj, rel
She was not old. She was slightly young., adj, rel
She was slightly young. She was not old., adj, rel
She was not old. She was extremely young., adj, rel
She was extremely young. She was not old., adj, rel
She was not old. She was young., adj, rel
She was young. She was not old., adj, rel
She was not old. She was not extremely young., adj, rel
She was not old. She was not young., adj, rel
She was not extremely old. She was slightly old., adj, rel
She was slightly old. She was not extremely old., adj, rel
She was slightly old. She was not extremely old but she was not young either., adj, rel
She was slightly old. She was not young but she was not extremely old either., adj, rel
She was not extremely old but she was not young either. She was slightly old., adj, rel
She was not young but she was not extremely old either. She was slightly old., adj, rel
She was not extremely young. She was slightly old., adj, rel
She was slightly old. She was not extremely young., adj, rel
She was not extremely young. She was extremely old., adj, rel
She was extremely old. She was not extremely young., adj, rel
She was not extremely young. She was old., adj, rel
She was old. She was not extremely young., adj, rel
She was not extremely young. She was not extremely old., adj, rel
She was not extremely young. She was not old., adj, rel
She was not young. She was slightly old., adj, rel
She was slightly old. She was not young., adj, rel
She was not young. She was extremely old., adj, rel
She was extremely old. She was not young., adj, rel
She was not young. She was old., adj, rel
She was old. She was not young., adj, rel
She was not young. She was not extremely old., adj, rel
She was not young. She was not old., adj, rel
She was not extremely young. She was slightly young., adj, rel
She was slightly young. She was not extremely young., adj, rel
She was slightly young. She was not extremely young but she was not old either., adj, rel
She was slightly young. She was not old but she was not extremely young either., adj, rel
She was not extremely young but she was not old either. She was slightly young., adj, rel
She was not old but she was not extremely young either. She was slightly young., adj, rel
She was not extremely kind. She was slightly cruel., adj, rel
She was slightly cruel. She was not extremely kind., adj, rel
She was not extremely kind. She was extremely cruel., adj, rel
She was extremely cruel. She was not extremely kind., adj, rel
She was not extremely kind. She was cruel., adj, rel
She was cruel. She was not extremely kind., adj, rel
She was not extremely kind. She was not extremely cruel., adj, rel
She was not extremely kind. She was not cruel., adj, rel
She was not kind. She was slightly cruel., adj, rel
She was slightly cruel. She was not kind., adj, rel
She was not kind. She was extremely cruel., adj, rel
She was extremely cruel. She was not kind., adj, rel
She was not kind. She was cruel., adj, rel
She was cruel. She was not kind., adj, rel
She was not kind. She was not extremely cruel., adj, rel
She was not kind. She was not cruel., adj, rel
She was not extremely kind. She was slightly kind., adj, rel
She was slightly kind. She was not extremely kind., adj, rel
She was slightly kind. She was not extremely kind but she was not cruel either., adj, rel
She was slightly kind. She was not cruel but she was not extremely kind either., adj, rel
She was not extremely kind but she was not cruel either. She was slightly kind., adj, rel
She was not cruel but she was not extremely kind either. She was slightly kind., adj, rel
She was not extremely cruel. She was slightly kind., adj, rel
She was slightly kind. She was not extremely cruel., adj, rel
She was not extremely cruel. She was extremely kind., adj, rel
She was extremely kind. She was not extremely cruel., adj, rel
She was not extremely cruel. She was kind., adj, rel
She was kind. She was not extremely cruel., adj, rel
She was not extremely cruel. She was not extremely kind., adj, rel
She was not extremely cruel. She was not kind., adj, rel
She was not cruel. She was slightly kind., adj, rel
She was slightly kind. She was not cruel., adj, rel
She was not cruel. She was extremely kind., adj, rel
She was extremely kind. She was not cruel., adj, rel
She was not cruel. She was kind., adj, rel
She was kind. She was not cruel., adj, rel
She was not cruel. She was not extremely kind., adj, rel
She was not cruel. She was not kind., adj, rel
She was not extremely cruel. She was slightly cruel., adj, rel
She was slightly cruel. She was not extremely cruel., adj, rel
She was slightly cruel. She was not extremely cruel but she was not kind either., adj, rel
She was slightly cruel. She was not kind but she was not extremely cruel either., adj, rel
She was not extremely cruel but she was not kind either. She was slightly cruel., adj, rel
She was not kind but she was not extremely cruel either. She was slightly cruel., adj, rel
She was not extremely polite. She was slightly rude., adj, rel
She was slightly rude. She was not extremely polite., adj, rel
She was not extremely polite. She was extremely rude., adj, rel
She was extremely rude. She was not extremely polite., adj, rel
She was not extremely polite. She was rude., adj, rel
She was rude. She was not extremely polite., adj, rel
She was not extremely polite. She was not extremely rude., adj, rel
She was not extremely polite. She was not rude., adj, rel
She was not polite. She was slightly rude., adj, rel
She was slightly rude. She was not polite., adj, rel
She was not polite. She was extremely rude., adj, rel
She was extremely rude. She was not polite., adj, rel
She was not polite. She was rude., adj, rel
She was rude. She was not polite., adj, rel
She was not polite. She was not extremely rude., adj, rel
She was not polite. She was not rude., adj, rel
She was not extremely polite. She was slightly polite., adj, rel
She was slightly polite. She was not extremely polite., adj, rel
She was slightly polite. She was not extremely polite but she was not rude either., adj, rel
She was slightly polite. She was not rude but she was not extremely polite either., adj, rel
She was not extremely polite but she was not rude either. She was slightly polite., adj, rel
She was not rude but she was not extremely polite either. She was slightly polite., adj, rel
She was not extremely rude. She was slightly polite., adj, rel
She was slightly polite. She was not extremely rude., adj, rel
She was not extremely rude. She was extremely polite., adj, rel
She was extremely polite. She was not extremely rude., adj, rel
She was not extremely rude. She was polite., adj, rel
She was polite. She was not extremely rude., adj, rel
