                l1  l2                  f     E11  r.log.likelihood  r.Poisson.Stirling  r.odds.ratio  r.Dice  r.dPEX  r.dPXE  am.log.likelihood  am.Poisson.Stirling  am.odds.ratio  am.Dice  am.dPEX  am.dPXE      f1      f2         N  
       genetically  predisposed      1084    0.39              1115                 885            85      95     379     885           15587.17              3259.16           3.69    0.151    0.376    0.094   11474    2879  84106274  
          divinely  inspired          117    0.03              6713                5414            86     288    5804     968            1734.62               372.65           3.69    0.075    0.066    0.087    1338    1767  84106274  
              well  intentioned      1830    6.18               875                 783            87    2862       5   14451           20168.38              3727.96           3.68    0.014    0.935    0.007  266435    1951  84106274  
      compulsively  readable          767    0.31              1540                1255            88     223    8048     105           10899.11              2265.81           3.68    0.087    0.048    0.462    1660   15889  84106274  
              kind  hearted          1009    0.45              1219                 978            89     194     151    1687           14217.69              2939.91           3.68    0.096    0.503    0.053   18985    2006  84106274  
          lovingly  handmade          172    0.05              4991                4069            90     310    8463     445            2519.60               538.87           3.67    0.072    0.046    0.164    1048    3739  84106274  
            poorly  run               138    0.04              5950                4829            91     294    3533    1551            2007.87               431.03           3.63    0.074    0.103    0.057    2400    1339  84106274  
         distantly  related          1645    3.01               898                 773            92    1344   27137      20           19754.44              3788.54           3.63    0.024    0.012    0.868    1891  133951  84106274  
          ruggedly  handsome          728    0.35              1638                1325            93     321   10043     102           10126.64              2101.54           3.62    0.071    0.038    0.476    1529   19122  84106274  
          anywhere  else              207    0.06              4408                3584            94     318    8759     400            2980.45               636.53           3.62    0.071    0.044    0.180    1149    4690  84106274  
             exact  same             1661    1.53               817                 676            95     399   12724      43           21653.83              4322.49           3.61    0.057    0.030    0.725    2289   56094  84106274  
            softly  undulating         48    0.01             12703               10235            96     540    7775    2208             696.81               150.33           3.61    0.046    0.050    0.042    1143     959  84106274  
        criminally  negligent        1666    0.71               766                 608            97      58     673     487           23365.75              4892.89           3.60    0.205    0.300    0.155   10742    5549  84106274  
         vibrantly  hued               73    0.02              9582                7735            98     425    6375    1860            1049.26               226.07           3.58    0.054    0.060    0.049    1496    1208  84106274  
      compulsively  watchable         256    0.08              3795                3083            99     230    6470     490            3648.28               779.75           3.58    0.086    0.060    0.154    1660    4293  84106274  
           rabidly  anti-israel        39    0.01             14732               11862           100     667    9937    2220             561.14               121.16           3.58    0.040    0.038    0.042     932    1013  84106274  
            darkly  comic            1609    0.70               791                 629           101      61     819     454           22426.90              4705.49           3.57    0.202    0.271    0.161    9978    5937  84106274  
        chemically  inert             431    0.15              2495                2031           102     146    1769     990            6106.48              1300.83           3.57    0.114    0.170    0.086    5039    2538  84106274  
   developmentally  disabled          619    0.23              1847                1490           103     109    2267     556            8719.68              1853.68           3.56    0.141    0.143    0.138    4473    4335  84106274  
              wide  open            32807  110.74                39                  34           104      49    2677      16          361748.90             66839.49           3.56    0.224    0.127    0.904   36195  257334  84106274  
            evenly  moist             507    0.21              2183                1781           105     246    8058     211            7075.84              1493.99           3.56    0.083    0.048    0.301    1685   10525  84106274  
        personally  identifiable    11685    9.77                98                  86           106      15     161     181          153809.94             30889.57           3.55    0.400    0.497    0.334   34957   23502  84106274  
      irrationally  exuberant         151    0.05              5658                4599           107     338    7917     726            2141.24               459.56           3.55    0.068    0.049    0.110    1372    3081  84106274  
      structurally  deficient        1762    0.82               727                 580           108      55     954     391           24328.12              5105.00           3.54    0.210    0.246    0.183    9642    7163  84106274  
     conspicuously  absent           3705    2.67               338                 262           109      67    3157      81           49148.69             10030.92           3.53    0.187    0.113    0.541    6840   32875  84106274  
           lightly  golden           1366    0.63               944                 740           110      66    1296     421           18817.64              3966.20           3.52    0.187    0.205    0.172    7919    6665  84106274  
          bitingly  satirical          72    0.02              9813                7933           111     527   11101    1204            1012.13               218.07           3.51    0.047    0.034    0.072     993    2100  84106274  
             above  average          1162    0.63              1106                 875           112     144    5679     149           15740.67              3290.33           3.50    0.115    0.068    0.377    3080   17202  84106274  
unconstitutionally  vague             828    0.55              1524                1251           113     412   12796      92           11016.88              2274.27           3.50    0.056    0.029    0.508    1630   28163  84106274  
             north  eastern            92    0.03              8279                6727           114     519   12258     845            1286.41               276.68           3.50    0.047    0.031    0.098     940    2977  84106274  
           tightly  interwoven        199    0.07              4649                3763           115     266    3961    1315            2775.20               595.44           3.50    0.078    0.094    0.067    2949    2126  84106274  
           rigidly  hierarchical       89    0.03              8489                6880           116     438    8398    1414            1242.41               267.62           3.49    0.053    0.046    0.063    1410    1922  84106274  
            double  minor            2366    1.88               555                 453           117     149    6148      73           30894.78              6305.82           3.49    0.113    0.062    0.565    4181   37852  84106274  
               red  hot              1188    2.89              1264                1110           118    2958   42942      22           13562.80              2588.82           3.48    0.013    0.007    0.863    1374  177102  84106274  
            finely  wove              171    0.07              5245                4249           119     365    2820    2212            2367.09               507.65           3.48    0.063    0.123    0.042    4076    1395  84106274  
          unfairly  targeted           66    0.02             10518                8531           120     632    5173    3272             917.35               197.69           3.48    0.041    0.074    0.029    2309     894  84106274  
           rapidly  emerge            373    0.16              2888                2354           121     199    2065    1303            5129.18              1095.02           3.47    0.094    0.153    0.068    5489    2438  84106274  
         nominally  civilian          202    0.08              4619                3748           122     292    3598    1517            2790.48               598.65           3.47    0.075    0.102    0.059    3422    1986  84106274  
             twice  monthly           282    0.12              3643                2954           123     254    2436    1534            3869.66               827.93           3.46    0.081    0.135    0.058    4855    2083  84106274  
             sixth  overall           143    0.06              6054                4897           124     472   12158     585            1966.66               421.77           3.46    0.050    0.031    0.132    1084    4586  84106274  
     intrinsically  disordered        288    0.14              3604                2934           125     424    1018    3066            3918.18               832.71           3.46    0.054    0.237    0.031    9403    1217  84106274  
        previously  undisclosed      1889    2.32               762                 633           126     476      37    3647           23448.00              4676.39           3.46    0.050    0.708    0.026   73336    2666  84106274  
       differently  themed             86    0.03              8789                7115           127     566   12683     971            1186.24               255.34           3.46    0.044    0.030    0.087     988    2892  84106274  
           fatally  injured           212    0.09              4474                3628           128     291    3516    1520            2913.33               624.90           3.46    0.075    0.103    0.059    3608    2051  84106274  
           fatally  flawed           1786    1.32               765                 615           129     170    6671      98           23373.05              4817.13           3.45    0.104    0.058    0.495    3608   30760  84106274  
        accurately  forecast           64    0.02             10807                8779           130     660   13164    1293             882.94               190.35           3.45    0.040    0.029    0.068     937    2243  84106274  
      continuously  variable         1392    0.76               950                 747           131      87    3111     245           18686.34              3933.60           3.45    0.159    0.114    0.264    5267   12211  84106274  
             north  east               68    0.03             10371                8398           132     651   13361    1211             935.80               201.68           3.45    0.040    0.028    0.072     940    2421  84106274  
           counter  intuitive        1037    0.68              1253                1005           133     261    8721     121           13700.02              2851.61           3.44    0.080    0.044    0.424    2443   23363  84106274  
         seemingly  never-ending     1865    4.28               835                 714           134    1472      10    8564           21385.01              4111.40           3.44    0.023    0.838    0.011  162313    2220  84106274  
          unfairly  prejudicial       110    0.05              7433                6012           135     407    5734    1927            1509.05               324.87           3.44    0.056    0.067    0.048    2309    1641  84106274  
        rightfully  ours              330    0.15              3232                2623           136     224    5929     573            4489.62               960.09           3.43    0.087    0.065    0.133    2474    5085  84106274  
            richly  textured          429    0.21              2607                2144           137     293    1083    2068            5791.09              1230.03           3.43    0.075    0.229    0.045    9632    1871  84106274  
        nationally  representative   4044    2.98               315                 243           138      43    1913     133           52848.32             10909.35           3.43    0.230    0.161    0.404    9993   25118  84106274  
           densely  wove               90    0.04              8533                6919           139     479    5965    2328            1231.91               265.41           3.43    0.049    0.064    0.040    2245    1395  84106274  
              fast  asleep           2105    1.25               629                 499           140      60    1681     275           28002.48              5875.45           3.43    0.203    0.176    0.239    8788   11987  84106274  
      structurally  unsound           587    0.30              1991                1611           141     197    1139    1470            7895.80              1675.72           3.43    0.096    0.223    0.061    9642    2632  84106274  
         inversely  proportionate     118    0.05              7087                5732           142     402    5620    1882            1610.51               346.65           3.42    0.057    0.068    0.048    2436    1730  84106274  
      functionally  illiterate        726    0.36              1681                1334           143     122    1987     737            9780.51              2079.59           3.42    0.129    0.157    0.109    6659    4609  84106274  
      athletically  gifted             72    0.03             10031                8120           144     720   15179    1053             979.76               211.05           3.41    0.038    0.024    0.081     888    2939  84106274  
           rabidly  anti-american      50    0.02             12917               10392           145     795   14179    1668             681.47               147.09           3.41    0.035    0.026    0.054     932    1898  84106274  
           happily  unmarried          87    0.04              8805                7143           146     706    3777    3938            1180.46               253.96           3.41    0.038    0.097    0.024    3636     892  84106274  
   computationally  intensive         600    0.34              1980                1603           147     268    8519     236            7968.72              1684.86           3.40    0.078    0.046    0.273    2195   13157  84106274  
           loosely  structured         82    0.04              9180                7432           148     535    6455    2510            1111.79               239.65           3.40    0.046    0.060    0.037    2210    1372  84106274  
             north  indian            106    0.05              7719                6258           149     672   15345     710            1431.48               307.56           3.40    0.040    0.024    0.113     940    4377  84106274  
            sorely  lack             1128    0.66              1164                 913           150     115    4049     264           14947.45              3155.52           3.40    0.134    0.092    0.249    4524   12299  84106274  
        blissfully  unaware          3112    2.42               411                 315           151      70    3109     125           40242.36              8325.36           3.40    0.179    0.114    0.417    7454   27286  84106274  
            poorly  soluble           119    0.05              7093                5736           152     413    6082    1826            1608.93               346.38           3.40    0.056    0.063    0.050    2400    1884  84106274  
           roughly  equivalent       4265    3.18               295                 234           153      33     670     291           55392.67             11488.35           3.39    0.258    0.301    0.226   18872   14158  84106274  
            mobile  friendly         2221    4.40               690                 592           154     872   21067      35           25865.13              5040.09           3.39    0.033    0.017    0.791    2801  131972  84106274  
      insufferably  smug               90    0.04              8626                6992           155     698   15296     861            1215.33               261.47           3.39    0.039    0.024    0.096     935    3705  84106274  
      tangentially  related          1071    2.14              1374                1182           156    2362   37764      33           12449.15              2425.45           3.39    0.016    0.008    0.795    1345  133951  84106274  
            poorly  supervised         61    0.03             11384                9198           157     761    6040    3703             824.38               177.80           3.39    0.036    0.064    0.025    2400     957  84106274  
       cognitively  dissonant          62    0.03             11243                9081           158     676    7684    2858             838.06               180.83           3.39    0.040    0.051    0.033    1902    1222  84106274  
           heavily  armed            8557    8.56               154                 120           159      27     185     316          108052.74             21951.43           3.39    0.294    0.481    0.211   40514   17780  84106274  
              past  due               537    0.37              2206                1823           160     577   15962     138            6993.13              1461.94           3.39    0.044    0.023    0.395    1358   23184  84106274  
        previously  unpublished      2123    2.76               684                 569           161     414      51    3236           25969.50              5205.74           3.38    0.056    0.670    0.029   73336    3163  84106274  
unconstitutionally  coercive           68    0.03             10525                8534           162     613    9046    2233             916.20               197.68           3.38    0.042    0.043    0.042    1630    1599  84106274  
            openly  lesbian           831    0.75              1583                1290           163     645     135    4538           10549.75              2170.64           3.37    0.041    0.519    0.021   39258    1600  84106274  
           heavily  armored           606    0.55              2043                1708           164    1042     127    6544            7680.71              1579.14           3.37    0.029    0.528    0.015   40514    1147  84106274  
         violently  anti-israel        96    0.05              8287                6730           165     681    3904    3783            1285.24               276.51           3.37    0.039    0.095    0.025    3863    1013  84106274  
         federally  run                80    0.04              9433                7613           166     594    6456    2753            1073.10               231.35           3.37    0.043    0.060    0.034    2371    1339  84106274  
          visually  impaired         1579    1.54               894                 722           167     346     115    2627           19863.78              4066.21           3.37    0.066    0.544    0.035   44806    2900  84106274  
              last  fiscal             66    0.03             10791                8750           168     661    8019    2704             884.85               190.93           3.36    0.040    0.048    0.034    1919    1362  84106274  
          lawfully  resident           28    0.01             19011               15272           169    1174   14832    3245             376.01                81.31           3.36    0.027    0.025    0.029     970    1114  84106274  
             fifth  dimensional        44    0.02             14221               11473           170     940    7868    4202             589.99               127.41           3.36    0.031    0.049    0.023    1943     891  84106274  
       differently  gendered           34    0.02             16835               13517           171    1045   14865    2702             455.36                98.43           3.36    0.029    0.025    0.034     988    1356  84106274  
     independently  verifiable        172    0.09              5375                4367           172     374    4531    1888            2289.56               492.10           3.35    0.061    0.083    0.048    3556    2061  84106274  
           funnily  enough            834    4.83              1921                1775           173   14613  101611      14            8239.20              1503.48           3.35    0.004    0.002    0.918     903  450063  84106274  
      compulsively  listenable         53    0.03             12566               10138           174     778    9416    2930             706.98               152.66           3.35    0.036    0.041    0.032    1660    1301  84106274  
            firmly  entrenched        201    0.10              4761                3879           175     337    5354    1373            2667.34               573.09           3.35    0.068    0.071    0.065    3111    2816  84106274  
        everywhere  else              171    0.09              5422                4405           176     423   10468     763            2265.45               486.45           3.34    0.054    0.036    0.106    1613    4690  84106274  
       prematurely  gray              143    0.08              6263                5085           177     642   15407     589            1891.07               405.59           3.34    0.041    0.024    0.131    1088    5929  84106274  
        critically  acclaimed        1952    1.86               721                 589           178     214     164    1853           24532.26              5048.04           3.34    0.089    0.496    0.049   39809    3935  84106274  
         staunchly  pro-israel        117    0.06              7290                5904           179     514    4736    2772            1550.76               333.76           3.34    0.047    0.080    0.033    3498    1453  84106274  
     educationally  backward          112    0.06              7531                6082           180     558   12482    1001            1484.26               319.41           3.34    0.045    0.030    0.085    1317    3701  84106274  
              long  overdue         19842   59.71                63                  56           181      79      13     889          218054.52             41414.78           3.34    0.169    0.830    0.094  210573   23850  84106274  
           proudly  south             104    0.05              7922                6415           182     559    4999    2983            1378.13               296.75           3.34    0.044    0.076    0.031    3314    1361  84106274  
        officially  atheist           226    0.14              4446                3630           183     928     903    5863            2943.13               624.53           3.33    0.031    0.254    0.017   13562     889  84106274  
              best  known             128    0.07              6865                5527           184     622    3301    3612            1689.20               362.91           3.33    0.042    0.109    0.026    4926    1175  84106274  
          mentally  retarded         5831    8.57               236                 189           185     120      58    1218           69962.38             13985.96           3.33    0.130    0.654    0.072   80881    8910  84106274  
              hard  hearted            97    0.05              8304                6731           186     517    8035    2011            1282.14               276.38           3.33    0.047    0.048    0.046    2117    2006  84106274  
            better  prepared         1418    0.95               962                 757           187      90    2152     433           18373.03              3885.72           3.33    0.158    0.149    0.169    8373    9529  84106274  
      miraculously  unharmed           61    0.03             11569                9338           188     747   12013    2095             804.80               173.73           3.32    0.037    0.032    0.044    1386    1932  84106274  
           freshly  chopped            37    0.02             16063               12933           189    1060   11209    3761             487.96               105.47           3.31    0.029    0.034    0.025    1480    1091  84106274  
           loosely  wove               69    0.04             10580                8577           190     712    7854    3005             908.28               195.99           3.31    0.038    0.049    0.031    2210    1395  84106274  
            slowly  unfolding         321    0.19              3414                2768           191     259    4359    1133            4195.58               899.35           3.31    0.081    0.086    0.076    4207    3727  84106274  
           halfway  decent           1378    1.28              1016                 813           192     308    9771     111           17284.77              3579.80           3.31    0.072    0.039    0.450    3059   35187  84106274  
         carefully  wrought            64    0.03             11214                9062           193     931    5443    4804             841.24               181.38           3.31    0.031    0.070    0.020    3189     910  84106274  
            richly  hued              222    0.14              4518                3674           194     637    1566    4114            2881.96               615.18           3.30    0.041    0.184    0.023    9632    1208  84106274  
               non  refundable       1374    1.05              1000                 792           195     139     693    1219           17534.46              3686.29           3.30    0.116    0.297    0.072   19065    4628  84106274  
        virulently  homophobic         75    0.04             10007                8093           196     791   15352    1324             982.18               211.75           3.30    0.036    0.024    0.067    1125    3098  84106274  
          woefully  inadequate       3538    2.98               370                 276           197      50    1396     253           44753.56              9341.13           3.30    0.222    0.196    0.254   13921   18005  84106274  
        repeatedly  tortured           36    0.02             16430               13192           198    1095   13105    3372             472.41               102.13           3.30    0.028    0.029    0.028    1290    1257  84106274  
       intricately  interwoven        109    0.06              7742                6269           199     504    7607    2047            1424.97               307.09           3.29    0.048    0.051    0.045    2416    2126  84106274  
        pleasingly  plump             101    0.06              8153                6597           200     531    8284    2028            1319.12               284.36           3.29    0.046    0.047    0.045    2220    2153  84106274  
