adj_lemma,SUM,very,more,most,so,not,as,too,really,much,pretty,less,even,also,quite,extremely,how,still,highly,always,just,relatively,completely,particularly,far,only,now,all,incredibly,fairly,especially,truly,increasingly,rather,absolutely,slightly,almost,super,totally,entirely,that,well,often,no,already,somewhat,equally,long,fully,potentially,perfectly,deeply,actually,mostly,nearly,significantly,probably,both,never,politically,seemingly,least,generally,sometimes,usually,surprisingly,ever,largely,currently,definitely,overly,any,certainly,immediately,simply,real,easily,yet,readily,once,environmentally,hugely,exceptionally,otherwise,clearly,unusually,about,mentally,physically,remarkably,virtually,socially,terribly,utterly,partly,genuinely,seriously,reasonably,damn,however,exactly,way,wildly,little,financially,considerably,then,historically,hardly,perhaps,brand,obviously,necessarily,sexually,therefore,consistently,extraordinarily,directly,widely,barely,amazingly,economically,inherently,mutually,apparently,previously,finally,technically,visually,immensely,naturally,emotionally,vastly,typically,sufficiently,critically,wide,substantially,ridiculously,wonderfully,second,indeed,purely,downright,fundamentally,uniquely,personally,similarly,wholly,openly,predominantly,publicly,kinda,commercially,exceedingly,culturally,heavily,thoroughly,notoriously,comparatively,plain,morally,likely,painfully,half,closely,essentially,overwhelmingly,possibly,legally,ultimately,statistically,intensely,enormously,dangerously,profoundly,insanely,mainly,awfully,moderately,primarily,tremendously,extra,somehow,radically,darn,practically,over,unbelievably,normally,instantly,newly,basically,pleasantly,again,technologically,merely,minimally,supposedly,thus,strictly,infinitely,initially,aesthetically,remotely,vitally,distinctly,mildly,fiercely,decidedly,rarely,dramatically,maybe,strikingly,traditionally,kind,enough,horribly,strangely,terminally,of,partially,beautifully,constantly,altogether,further,medically,freely,unexpectedly,oddly,noticeably,suddenly,roughly,acutely,forever,abundantly,sharply,brutally,impossibly,massively,fiscally,excessively,eerily,undeniably,near,deceptively,occasionally,frequently,supremely,stunningly,vaguely,broadly,universally,visibly,beyond,notably,shockingly,solely,reportedly,than,chronically,strongly,clinically,marginally,literally,up,keenly,albeit,progressively,back,globally,intellectually,longer,first,cautiously,doubly,disproportionately,though,abnormally,undoubtedly,officially,exclusively,desperately,markedly,surely,formerly,understandably,deliciously,non,specifically,severely,greatly,overtly,allegedly,overall,refreshingly,crystal,admittedly,famously,eternally,genetically,drastically,bad,patently,delightfully,strategically,astonishingly,nationally,racially,scientifically,endlessly,ecologically,biologically,out,soon,woefully,humanly
weak,96177,13116,424,163,7950,2182,5501,17266,1179,4012,2972,83,1376,821,1203,2081,437,2398,4,175,331,4660,49,851,853,298,184,270,634,1140,363,91,354,1553,21,1025,24,108,55,13,126,21,419,88,1939,795,121,41,0,149,3,1,149,126,3,570,89,88,84,410,146,13,658,96,198,552,102,24,131,59,48,132,52,2,67,84,2,39,0,40,0,1,225,181,83,320,12,339,1037,116,0,55,166,29,4,9,48,10,30,167,14,30,2,57,399,365,38,285,14,32,0,75,45,14,80,69,124,0,3,1,22,1213,253,1,82,50,2,53,6,11,93,129,26,121,46,21,0,116,59,3,6,35,0,11,151,10,14,112,1,0,3,3,108,4,91,4,0,5,263,409,32,150,45,46,0,0,28,5,35,28,38,36,2,4,127,37,6,8,53,56,4,17,9,59,2,11,3,9,19,48,4,3,16,3,30,14,25,1,101,43,7,22,71,3,0,0,23,10,0,92,1,45,19,22,203,1,8,43,19,4,37,1,1,8,7,9,5,0,340,15,160,62,0,2,1,0,46,4,7,7,19,56,1,14,1,7,12,21,3,13,2,64,9,61,5,134,51,1,10,2,151,0,0,45,13,1,0,84,174,5,4,59,1,4,0,16,17,112,34,15,0,1,44,40,5,13,8,3,0,5,36,1,5,39,38,0,0,145,11,2,34,8,0,8,0,7,25,1,2,15,0,1,7,6,2,77,2
smart,96061,22409,1268,938,7467,7520,6908,5675,8272,3708,3658,420,1373,1680,664,1426,1226,336,16,859,1014,131,21,438,462,562,196,391,1750,199,173,435,169,268,32,155,25,1829,39,11,1003,70,127,235,107,79,187,20,21,32,35,10,355,34,26,68,540,381,123,290,73,24,156,52,180,130,136,6,5,132,49,276,147,3,232,579,4,68,1,37,70,8,306,129,101,64,96,4,2,62,1,27,85,1,2,83,98,137,250,75,35,419,23,28,186,42,25,1,5,34,1,139,115,7,24,59,68,0,1,24,134,105,57,1,37,5,17,42,4,15,82,27,23,41,44,3,1,7,108,49,4,38,3,12,7,19,3,36,3,0,1,0,38,18,63,12,0,3,4,6,106,1,30,3,10,0,6,4,22,3,2,5,19,14,18,8,100,1,60,10,0,25,10,35,8,114,1,26,56,16,16,4,12,1,6,31,25,1,138,10,1,51,5,5,10,0,4,1,20,13,10,8,35,6,2,9,51,0,1,0,8,1,7,7,18,4,1,0,11,3,7,9,0,1,1,0,3,5,11,1,36,4,9,30,12,36,9,7,10,18,2,1,2,8,3,4,9,1,4,1,0,1,0,12,7,4,2,5,18,6,1,22,2,11,1,16,1,16,4,24,3,3,0,5,24,8,0,13,7,2,2,0,4,17,17,20,0,2,9,1,9,1,2,3,10,97,9,1,0,0,2,20,1,51,7,0,0
heavy,95904,16317,2810,546,7015,2741,4634,19434,2942,3990,4144,959,1134,663,2382,2714,534,656,3,152,184,784,5,1285,380,133,104,120,525,1161,500,95,585,892,6,1550,37,926,8,4,221,18,382,149,599,472,154,39,2,207,2,5,80,51,4,269,72,97,86,18,34,40,120,209,252,312,81,4,20,121,371,84,66,0,13,203,1,39,1,36,0,17,318,72,23,1485,28,1,35,40,2,1,89,5,2,16,203,79,105,64,17,106,3,55,3,202,50,25,8,41,0,54,30,0,44,46,138,1,0,14,22,0,15,0,17,13,1,8,43,49,51,151,8,144,57,0,0,75,157,25,14,35,5,21,0,5,1,75,3,0,8,0,80,1,70,2,0,2,52,73,9,4,16,23,3,0,6,16,52,2,6,3,51,51,35,9,68,14,83,344,7,40,41,15,1,43,0,6,56,50,3,6,3,13,33,4,11,2,7,21,5,16,10,0,14,0,17,4,2,38,12,10,14,11,83,2,25,14,27,0,29,1,14,6,10,27,1,1,100,24,114,35,1,0,1,1,0,74,97,70,0,158,0,35,0,32,106,19,15,2,3,3,1,16,1,46,14,5,13,1,4,0,1,29,14,3,0,25,115,30,0,3,3,1,0,13,72,41,113,12,2,6,4,5,6,11,14,15,3,31,8,2,8,6,10,5,0,12,11,2,1,2,0,0,9,0,11,0,0,1,1,0,0,3,5,1,0
consistent,95173,6591,27004,14435,1586,8948,3474,287,748,210,3361,977,178,1525,859,497,176,302,435,1145,133,1226,789,92,8,427,113,361,380,3170,21,133,33,179,251,4,50,146,315,1907,142,33,39,3,35,254,113,86,1109,19,823,16,128,176,37,6,37,170,146,12,30,85,680,10,108,230,75,496,5,28,16,0,216,8,20,152,4,56,0,11,1,13,44,92,120,41,42,7,17,1846,6,1,38,63,9,11,2,319,15,19,87,0,7,3,0,1,15,62,125,21,10,21,135,0,60,25,45,5,5,2,166,1,8,71,24,11,5,12,102,1,5,14,1,41,35,2,0,26,24,39,1,40,1,1,25,19,3,37,211,0,3,2,3,1,5,14,0,60,1,5,1,89,12,9,0,5,26,14,17,15,7,29,1,2,3,5,15,15,8,13,6,17,5,20,1,18,5,2,33,22,0,5,44,7,50,1,29,4,6,37,20,1,0,32,32,0,4,6,2,3,58,3,3,66,1,0,58,2,12,0,5,10,26,6,23,10,0,0,6,27,5,2,137,0,1,0,1,3,4,6,1,1,33,7,10,1,1,3,11,11,7,494,35,3,0,14,23,2,6,7,0,66,7,6,1,0,0,8,3,3,192,93,16,1,0,0,0,11,1,6,1,1,0,3,6,0,0,5,7,2,1,1,1,2,20,9,0,0,3,6,10,0,1,0,3,11,38,311,2,12,1,2,9,1,1,1,0
convenient,94497,14030,34554,15935,2975,2218,2842,1450,1517,177,648,1432,60,1248,1116,1779,708,113,611,608,347,96,47,408,10,401,68,56,822,120,579,135,50,301,27,6,4,1357,54,22,155,27,128,2,22,44,125,72,1,9,57,4,112,9,1,2,14,256,106,690,19,148,28,36,31,37,13,4,5,81,65,0,195,11,62,44,9,53,2,11,0,40,76,5,2,5,11,0,4,58,0,10,93,10,0,15,5,75,58,66,73,14,15,4,21,5,7,2,24,33,0,24,35,1,31,3,37,0,0,0,87,21,0,612,2,2,2,1,3,11,3,4,3,4,11,0,0,0,37,111,1,17,3,6,1,15,13,15,3,0,0,0,12,7,28,4,0,2,1,5,10,3,6,4,0,1,2,2,1,7,7,0,1,14,8,1,10,2,227,4,2,23,48,2,5,21,5,2,27,5,0,0,1,5,4,6,61,0,3,17,1,2,3,1,6,1,1,3,0,4,23,19,14,1,0,0,9,3,12,0,2,0,4,2,3,10,0,0,2,16,0,7,1,0,2,3,0,1,1,11,0,2,2,31,2,4,5,11,25,4,0,0,2,0,5,1,2,0,0,9,1,0,1,0,0,0,0,6,1,0,1,1,8,3,0,6,0,5,0,20,0,2,0,1,7,2,1,8,0,8,0,12,0,0,6,6,0,1,0,1,0,0,0,0,11,12,9,0,0,2,3,0,0,2,0,0,0
poor,94354,30576,1552,904,7268,1901,2705,6042,2920,92,3288,343,217,447,1436,5013,372,1003,6,194,368,3240,24,995,6,202,123,248,676,582,388,328,476,1612,60,40,21,80,23,18,77,16,879,7,841,210,457,72,1,74,2,114,90,1283,31,23,44,70,67,4,70,34,1047,87,224,247,19,489,55,25,6,0,24,5,84,46,0,14,0,106,7,5,333,179,14,157,76,5,14,191,1,9,151,34,1,85,52,16,53,123,42,2,6,1,140,8,54,284,21,23,0,77,44,1,18,323,93,1,1,0,30,312,48,4,53,55,2,48,7,8,30,7,3,130,38,16,0,2,80,4,15,32,1,70,27,24,5,168,3,2,214,5,24,0,180,5,9,6,595,208,33,7,27,28,4,0,14,176,13,5,10,19,9,4,54,29,6,153,21,38,77,21,1,9,3,9,3,4,72,15,2,77,17,1,37,3,40,0,41,7,1,2,46,5,1,0,12,2,0,57,4,10,11,28,105,2,16,34,9,3,5,3,5,13,6,8,3,1,127,5,40,19,1,11,10,1,0,13,3,4,10,17,1,12,14,5,40,53,1,59,0,3,44,30,2,58,221,1,37,1,273,0,1,10,8,166,0,18,3,5,4,5,12,5,1,7,287,19,11,10,88,10,2723,13,3,45,9,0,5,7,45,0,3,85,22,0,0,83,24,6,4,3,1,6,2,6,55,2,0,0,0,4,3,1,13,66,0
careful,94130,36196,16675,1497,2055,14672,1464,2259,2663,291,491,454,64,760,490,3477,197,149,44,1320,102,27,11,1045,2,48,55,49,193,93,1944,13,60,101,25,18,0,459,7,8,49,5,52,0,16,98,120,12,4,0,5,1,12,9,7,3,8,27,9,8,11,13,78,6,157,10,46,3,2,11,112,0,14,0,11,462,0,20,0,4,3,3,108,24,7,32,14,0,0,18,0,0,33,8,0,2,14,112,37,51,14,0,0,9,5,0,14,2,0,4,0,14,8,2,17,17,105,0,0,0,6,2,0,0,5,2,0,2,0,4,7,1,0,22,39,1,0,0,7,1,0,6,0,1,0,0,3,30,0,0,0,0,2,0,153,1,0,4,16,1,0,1,2,13,2,0,3,0,0,1,4,1,8,8,0,2,9,1,48,6,0,4,1708,0,0,4,0,10,4,28,0,0,0,0,8,0,5,1,2,9,2,7,6,0,1,0,1,0,0,0,0,0,0,5,0,0,11,0,0,0,9,0,0,11,0,46,0,0,0,4,7,2,0,7,1,1,0,0,3,0,6,22,0,0,0,0,1,0,9,0,1,0,0,0,2,11,1,0,2,7,1,0,0,0,0,0,0,3,0,0,0,2,0,6,0,108,0,4,0,1,0,0,5,0,1,0,11,1,5,5,2,4,0,1,1,3,0,1,7,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
enjoyable,93701,11668,30239,11884,3054,1236,4270,112,3264,200,709,1676,470,575,2590,1007,52,1009,1866,821,174,60,177,716,2,301,14,171,489,284,402,905,16,496,53,25,63,120,163,111,163,44,76,8,56,204,478,67,77,25,259,104,370,202,3,8,14,311,78,0,6,216,110,32,41,370,22,73,1,148,11,2,160,51,91,61,50,44,10,44,0,767,53,171,8,8,10,1,10,46,0,10,25,94,2,192,33,99,76,37,43,0,51,4,2,4,8,0,14,10,0,8,29,8,17,178,19,0,1,3,42,0,45,99,5,42,7,2,24,474,9,2,31,15,14,0,0,6,52,73,1,24,107,66,5,79,28,33,112,1,2,0,5,0,32,0,0,2810,0,1,46,0,5,5,5,0,4,10,8,0,53,0,37,66,2,19,26,2,12,59,1,80,104,10,0,28,0,1,16,27,31,2,5,14,5,1,14,2,3,5,2,17,6,8,34,1,9,100,4,3,30,0,4,0,3,0,14,2,42,0,7,2,2,24,32,7,0,1,40,41,3,2,0,2,1,0,0,0,1,43,0,3,1,44,1,0,20,12,62,1,13,9,33,0,2,5,4,6,0,2,0,2,0,13,0,3,4,24,0,1,0,3,5,0,0,20,0,15,1,9,0,0,1,0,10,16,0,21,1,5,0,64,2,0,135,11,0,11,1,2,0,1,0,1,16,0,2,0,0,0,65,0,0,0,0,0,0
quick,92734,18028,1582,189,10112,2667,3154,7563,3495,9466,3550,254,1523,3021,568,1658,293,351,9,2057,332,2971,3,239,993,298,198,231,842,1906,161,53,46,572,11,304,29,2445,4,6,279,139,816,51,57,131,295,24,1,50,5,0,154,30,9,201,108,308,111,2,59,10,256,103,681,628,108,4,3,82,90,245,105,2,35,954,10,24,1,14,0,3,287,22,22,182,188,37,8,288,4,0,31,2,0,37,49,253,48,45,39,112,3,26,1,179,67,12,6,31,0,27,50,1,54,74,57,1,0,6,202,0,3,0,19,5,2,3,1,7,62,1,18,157,27,0,0,43,90,34,133,27,0,4,1,2,1,65,0,0,2,0,5,0,33,0,0,1,41,65,3,0,22,5,5,0,7,6,21,0,6,1,5,11,19,1,78,6,79,26,2,23,7,1,5,37,3,150,84,94,9,0,5,4,40,1,6,0,21,25,0,9,9,0,1,1,3,0,4,11,33,18,17,8,7,1,9,3,2,0,12,1,1,14,1,9,0,0,80,5,62,7,0,0,1,1,0,22,24,9,0,17,0,8,1,168,10,14,6,61,0,1,2,3,5,19,48,0,9,0,0,1,0,31,1,27,0,11,11,49,0,4,5,7,0,2,0,32,11,11,0,0,0,12,6,1,11,5,2,2,1,2,0,1,5,8,0,19,14,0,2,6,4,0,9,1,67,0,0,0,0,0,0,95,8,0,0
dark,92464,17618,2273,395,6125,1500,4823,10165,3272,5925,2405,544,2195,422,2126,968,317,2404,4,699,370,318,1649,584,721,182,364,639,519,598,200,419,400,1268,49,2637,571,493,434,147,49,31,773,46,743,782,225,129,141,74,72,115,101,452,282,177,39,128,72,10,88,15,244,470,376,312,185,51,23,131,165,90,90,12,39,146,1,124,0,159,0,3,88,616,19,213,91,3,11,51,9,1,79,76,8,43,154,35,64,121,14,94,8,161,0,218,97,6,7,51,0,31,42,1,18,60,44,1,0,22,26,2,31,1,17,75,23,2,29,9,365,33,11,146,37,0,0,25,23,198,1,45,14,28,5,54,3,122,21,2,81,0,108,0,74,0,9,11,28,31,40,20,14,11,76,0,21,38,26,2,11,0,123,3,32,39,20,49,68,63,28,11,25,41,1,13,14,6,28,76,7,21,23,18,25,3,14,3,27,13,7,22,11,3,4,0,93,16,6,325,12,42,32,29,36,1,51,38,48,2,31,12,149,18,90,5,0,0,63,34,190,90,0,0,20,3,2,36,46,6,0,39,65,29,26,35,76,46,17,17,11,1,6,24,0,56,43,2,2,0,1,12,1,6,48,4,1,48,166,10,0,1,8,12,0,16,2,44,29,15,5,6,20,18,4,47,6,336,0,3,8,2,16,6,51,18,0,20,25,21,1,7,0,0,108,0,5,0,0,0,14,0,0,4,14,0,0
secure,91980,4392,39595,8677,1168,4109,3992,227,476,75,658,4776,36,280,397,695,1281,307,3281,378,26,797,1892,96,4,184,332,136,198,326,39,476,93,40,418,2,21,267,898,298,23,43,16,1,192,85,95,175,890,7,364,12,92,41,8,5,39,171,81,56,183,290,64,0,47,13,33,36,16,22,23,0,22,3,27,21,3,144,0,99,51,6,72,72,7,11,1,6,150,23,7,41,26,44,1,35,10,341,7,11,22,2,2,0,3513,2,10,5,37,8,0,11,69,12,25,19,11,1,0,2,20,359,109,1,46,41,38,46,4,4,6,210,0,16,178,2,0,4,4,12,0,23,2,2,32,12,14,33,20,1,1,2,1,1,8,10,5,16,6,30,0,6,19,0,0,0,12,0,0,63,15,0,12,5,0,5,6,2,2,14,2,7,68,5,0,4,8,0,5,30,2,13,11,0,25,10,6,6,281,33,4,1,2,0,9,0,1,2,0,1,16,0,1,0,9,1,11,0,9,0,5,7,4,4,9,12,2,0,2,2,0,5,0,1,18,0,0,0,3,6,16,1,0,0,0,1,0,0,8,1,1,4,3,3,0,1,0,2,6,17,0,9,0,2,1,1,0,2,5,4,7,8,12,4,0,27,0,6,0,4,3,0,0,0,2,17,1,1,21,2,0,1,1,14,0,1,0,1,8,125,1,0,0,1,1,9,1,2,1,0,0,2,2,0,5,0,0
awesome,91239,1615,6418,6132,9766,1146,3777,800,9237,511,15916,474,67,983,608,259,1736,1119,22,832,4704,10,673,346,3,104,24,662,713,116,274,2239,30,271,1758,15,40,2870,3815,43,529,22,24,0,345,21,542,7,33,136,78,8,203,51,2,8,64,304,12,0,21,20,214,28,46,186,57,3,6,186,3,0,38,9,1295,35,0,20,0,32,3,12,62,91,45,9,15,0,10,18,3,12,33,116,1,89,594,4,595,28,17,49,11,3,1,2,90,12,1,3,0,62,11,2,18,117,12,1,0,0,315,1,26,0,40,1,1,19,46,11,9,3,1,20,14,0,0,1,406,39,1,84,39,178,3,68,1,44,5,0,1,0,180,0,19,0,1,48,1,3,450,0,4,5,5,0,6,26,11,2,22,2,40,2,14,8,298,1,8,4,1,27,101,12,13,226,1,2,172,13,9,2,29,3,22,5,12,3,17,12,1,16,2,5,4,0,7,4,6,7,1,3,5,6,2,5,20,21,19,0,15,2,8,7,11,3,0,0,61,14,2,12,0,1,6,2,0,25,21,14,1,3,8,121,2,1,11,9,65,23,2,0,16,0,77,2,21,2,4,0,4,0,0,0,40,39,0,12,2,4,1,1,0,5,0,35,3,12,1,17,26,15,1,0,7,10,0,20,1,3,4,3,0,6,54,7,0,50,7,16,0,0,0,1,3,2,12,1,0,3,7,2,0,8,1,0,0
rich,89340,20041,1849,728,9014,4009,5687,4021,2317,307,685,770,120,3176,909,2439,807,499,176,202,244,514,9,1360,5,481,236,426,2498,315,764,509,230,234,23,53,24,2746,39,8,103,16,202,11,1198,46,370,38,11,437,30,160,101,117,12,5,53,251,81,16,41,13,69,27,109,429,28,9,25,55,195,0,66,5,37,39,4,134,0,288,39,91,478,59,18,392,94,4,6,294,4,33,40,11,1,28,118,35,49,128,35,6,73,9,66,14,36,662,35,13,0,38,46,7,19,42,590,0,2,1,345,39,18,2,31,12,78,34,790,411,651,437,49,75,116,1,1,3,217,795,45,61,2,8,3,191,24,96,0,0,12,2,10,7,198,1938,6,4,10,50,22,13,11,18,3,0,8,38,11,0,4,6,194,264,11,44,288,26,41,127,6,100,61,9,1,10,2,6,137,17,46,686,14,12,29,49,115,1,51,20,1,88,6,64,2,1,25,5,0,10,6,36,22,32,67,2,71,2,5,1,5,1,233,6,1,9,1,0,80,1,2,117,0,0,3,79,0,0,98,39,1,67,2,44,7,28,1,5,41,67,2,1,3,3,5,36,14,0,15,4,0,1,27,0,8,14,0,15,0,6,4,119,0,3,0,16,10,19,7,28,3,8,4,0,13,100,3,267,2,13,1,4,2,7,5,10,1,5,65,19,8,1,0,0,69,7,127,0,1,25,47,218,352,3,8,0,4
stable,88731,6735,30879,6445,684,2410,2320,178,312,150,1231,3287,65,217,1047,1097,302,235,782,153,38,8635,317,145,8,211,517,55,355,2441,31,97,109,219,75,5,58,236,89,103,119,51,28,4,87,289,32,70,110,19,223,4,42,433,36,2,24,137,113,868,217,217,528,5,97,216,16,397,181,6,7,0,16,5,5,35,1,120,0,173,67,2,165,147,6,92,21,721,103,833,31,61,18,7,0,15,2,465,5,10,42,1,0,1,3773,10,27,47,26,2,0,5,17,1,20,57,43,0,0,23,74,533,116,1,97,113,52,12,9,7,36,972,0,25,181,4,0,12,7,24,5,8,0,5,37,10,6,22,3,0,4,0,0,0,12,4,0,3,2,132,1,12,17,1,2,0,108,0,2,6,6,16,2,3,2,2,3,12,1,53,4,1,16,5,0,6,10,24,8,64,1,17,207,0,26,12,6,3,46,5,3,3,20,1,7,3,0,3,0,0,24,0,2,2,39,2,21,2,3,1,5,4,9,10,12,13,209,0,6,7,2,2,139,0,2,1,0,0,0,2,84,5,2,0,8,6,1,1,15,2,2,234,1,2,0,11,6,2,30,8,0,7,123,30,1,0,0,3,0,30,13,1,6,10,1,0,0,8,4,1,9,0,0,2,1,40,0,0,6,1,0,1,0,5,12,1,0,0,5,8,54,0,1,0,1,5,11,0,3,1,0,20,13,2,2,0,0
painful,87110,12383,9801,8145,4558,2700,4341,5075,1850,118,897,6791,895,315,1836,3754,482,620,101,508,465,26,11,1734,0,270,44,69,1379,87,1098,205,251,556,69,238,1054,117,12,11,197,12,1788,2,158,391,277,94,0,430,5,434,190,50,45,13,56,201,44,237,24,474,29,1608,260,36,18,9,2,40,37,0,67,32,33,75,1,20,0,23,0,37,121,38,47,34,15,19,517,9,1,12,348,58,0,43,73,5,43,493,21,1,6,12,58,5,17,3,8,35,0,83,29,0,11,8,153,2,0,3,16,50,29,4,19,5,4,3,5,85,7,374,0,44,16,0,0,3,33,11,1,41,5,391,2,34,127,51,1,1,1,5,41,1,126,1,0,5,31,0,49,4,25,3,6,0,2,34,89,0,16,0,298,48,4,64,34,4,36,50,1,72,36,9,1,12,7,1,81,28,3,2,4,4,6,0,18,37,3,10,2,11,36,2,3,0,12,72,3,10,27,10,22,4,5,2,8,191,2,1,27,1,21,18,1,33,0,0,21,4,4,10,0,118,2,2,13,74,20,11,2,41,0,24,6,1,79,52,3,5,6,1,4,12,16,4,8,0,2,4,59,2,0,4,61,1,0,78,4,5,0,1,0,4,0,116,3,55,9,25,2,0,17,3,19,5,9,10,23,3,141,4,8,1,2,0,0,20,4,1,0,0,3,2,4,0,3,0,1,0,3,0,1,1,0,0,0
creative,86100,11286,27456,15063,2275,1306,3285,526,2999,510,924,866,86,311,650,1213,258,106,3045,269,123,18,60,465,8,157,9,234,1120,96,241,966,320,243,40,24,6,716,71,18,104,46,108,0,31,129,196,18,34,39,8,124,33,29,3,8,5,235,20,20,9,143,26,40,27,71,85,3,5,46,140,0,52,4,31,118,0,20,2,29,3,95,270,24,16,79,17,5,1,132,2,14,65,28,1,136,91,10,23,30,21,2,674,12,16,3,8,4,16,14,1,13,23,12,14,83,161,3,7,2,414,8,129,6,2,0,0,30,142,115,222,10,15,15,38,2,2,1,28,585,0,11,119,14,39,238,8,73,21,1,1,1,8,3,31,37,6,12,7,0,2,4,0,2,3,0,25,7,7,3,15,0,167,74,6,56,139,7,18,8,14,52,23,6,24,22,6,4,65,4,3,10,4,3,3,14,5,5,6,6,14,103,2,15,36,1,12,12,45,9,17,6,8,15,10,8,32,6,4,1,7,5,80,33,0,26,0,16,9,1,0,0,0,1,8,15,1,4,9,21,3,11,0,20,0,3,13,6,40,45,10,6,4,0,0,5,8,6,0,0,3,9,0,3,3,1,1,10,4,0,1,27,2,2,2,2,1,0,1,3,1,2,3,1,3,8,0,43,9,5,0,4,9,3,6,34,0,9,20,6,0,2,0,0,30,11,29,1,0,11,244,0,1,1,0,0,0
suitable,85223,3722,15075,23545,352,18828,792,29,772,155,36,731,251,4397,601,273,43,248,875,204,143,15,149,2155,9,1875,91,296,24,12,1453,70,11,47,78,4,18,14,96,199,40,1142,64,1,38,15,502,513,59,228,1287,1,117,90,2,7,47,86,27,13,8,89,197,5,123,11,16,10,49,86,3,0,62,12,13,3,17,54,8,26,28,8,41,85,16,5,15,0,17,19,0,12,2,10,4,8,0,20,2,21,55,1,1,2,16,4,28,3,80,33,2,16,89,2,313,3,7,12,15,53,3,8,9,40,27,8,3,40,1,4,20,3,1,40,6,0,7,0,0,13,1,32,0,0,2,52,7,13,18,1,3,2,1,6,8,18,1,4,1,3,2,9,18,0,1,1,12,0,25,3,8,1,1,0,1,1,0,92,0,10,25,1,18,4,5,0,6,0,1,21,1,13,13,0,19,2,12,1,12,118,2,0,2,7,29,0,2,2,0,0,22,1,22,0,0,1,63,0,2,0,0,3,1,8,14,10,40,1,1,3,1,0,2,0,0,0,0,0,0,0,1,7,0,1,1,0,5,2,5,1,6,4,16,0,0,3,0,5,2,4,0,4,16,13,0,3,1,0,0,4,1,0,51,4,0,3,0,3,0,8,3,10,0,0,10,0,0,1,4,60,0,8,0,4,2,0,0,0,0,1,8,0,0,0,0,2,0,0,7,2,0,8,9,1,0,0,0
appealing,85066,8856,24757,6853,6089,1697,1626,592,1222,105,457,4383,99,861,1079,744,60,346,692,284,146,25,19,1891,2,276,379,88,415,48,1344,107,249,244,27,5,13,75,30,38,252,18,68,0,50,72,526,84,3,68,13,109,49,23,2,0,17,137,31,189,14,346,76,13,22,78,13,18,58,99,45,0,201,237,59,22,4,34,4,21,5,172,86,34,36,31,87,3,133,21,1,10,103,33,1,77,18,21,40,58,55,2,33,9,62,2,21,3,42,20,0,54,27,256,54,41,21,46,164,3,12,36,54,6,23,2,7,12,7965,231,73,159,24,12,39,2,3,0,15,72,1,14,1,19,14,103,68,38,13,4,0,20,9,90,11,11,3,32,0,2,0,13,24,2,8,0,13,15,9,2,9,4,28,157,14,12,10,8,55,17,12,89,69,31,0,23,2,3,10,9,220,4,9,4,65,1,19,1,2,44,1,24,54,1538,71,0,8,23,1,3,6,10,8,13,9,0,17,0,139,0,4,1,9,13,13,13,0,0,9,143,3,9,0,2,2,1,2,1,8,29,2,4,1,105,0,11,6,5,9,12,21,264,538,28,1,4,2,1,7,11,0,40,2,7,2,1,0,0,9,1,35,27,4,18,0,16,1,0,0,16,0,3,18,0,8,2,20,18,3,22,1,31,3,0,21,3,0,5,1,14,0,1,0,0,15,7,6,2,0,3,51,2,2,3,0,0,3
normal,84850,4197,8659,2672,2007,10283,7507,419,493,308,4173,184,278,595,3666,153,132,264,8,113,1511,2095,5643,27,9,915,255,668,83,2105,9,72,85,342,978,33,1093,127,3201,788,22,39,72,8,42,673,16,80,104,12,8537,7,219,245,373,1,160,75,149,2,1249,28,81,26,200,157,22,44,26,36,3,0,33,1,74,17,0,16,0,108,3,0,48,1058,11,12,310,34,61,84,77,49,8,121,1,10,0,187,17,19,161,3,2,5,1,2,385,198,67,19,0,10,25,29,39,13,18,1,1,5,17,0,3,1,300,76,17,2,8,1,2,9,0,51,4,1,1,10,10,30,1,26,10,45,8,4,1,8,25,0,2,2,44,0,33,24,0,20,0,46,20,10,32,22,32,0,88,6,5,1,3,35,3,0,2,11,5,3,7,8,4,1,4,46,3,20,49,7,1,6,0,2,85,4,17,0,22,11,57,6,11,0,17,0,64,0,5,2,0,20,10,0,15,7,2,0,19,7,32,0,40,5,7,3,17,1,13,0,7,73,1,12,34,0,0,1,0,4,2,1,1,9,15,0,136,22,2,3,0,2,38,3,2,2,6,3,36,2,8,15,5,2,81,2,1,6,0,4,11,25,1,14,5,6,0,0,0,3,30,0,2,0,3,0,2,8,1,2,6,0,9,0,4,4,2,48,0,3,0,0,74,0,1,0,9,1,4,0,0,1,0,2,43,1,3,0,3
