adj_lemma,SUM,very,more,most,so,not,too,as,much,really,pretty,even,also,quite,less,extremely,still,always,relatively,far,just,particularly,now,highly,only,completely,all,especially,no,incredibly,well,that,fairly,slightly,increasingly,entirely,super,totally,truly,absolutely,rather,almost,already,significantly,equally,long,often,somewhat,actually
large,368194,88027,2169,4885,20723,6250,30277,31613,70151,3441,3780,14879,1189,8668,141,5646,1368,288,8863,6120,1406,3266,767,11,805,8,225,1353,3126,1464,118,762,8792,11686,3913,22,444,5,326,27,10645,107,1228,4619,1372,86,963,1720,450
excited,346037,79162,23750,10658,82780,2826,11982,9435,651,47681,11045,268,4477,3961,914,8398,1655,3013,11,1,4201,3104,399,252,185,157,6786,2290,1,3872,29,550,131,76,172,22,15216,599,1429,141,621,85,724,1,1177,52,61,176,860
low,344659,87084,2243,899,17935,2460,31531,13514,41322,5234,6973,10260,3202,5415,128,17607,4856,676,34658,6692,471,1292,754,14,446,40,305,488,1289,2921,104,975,5002,10193,279,13,1557,27,175,80,2028,43,2774,15680,250,134,1217,2207,1212
able,337233,1431,7122,2179,417,165864,45,491,232,3176,31,7143,28229,1551,7787,138,18818,5517,19,36,1829,66,18575,145,19955,194,1875,61,36,44,22859,5,32,7,712,96,8,117,604,81,14,306,1112,7,294,11123,2763,48,4039
successful,333920,49564,46542,112288,23808,10049,1493,13759,166,3310,2596,217,1237,4458,7476,6310,356,1849,1434,164,138,2130,209,24582,1241,879,381,602,12,3429,32,561,1610,28,682,1211,933,243,2246,58,619,159,1828,26,1252,56,670,730,297
interested,316226,33300,61116,11277,5711,75603,2289,4686,4435,19109,574,1331,13116,1905,8359,1686,6535,7618,17,17,3973,14826,880,1156,10628,78,3298,5577,16,233,57,2724,96,277,2239,44,415,121,2564,87,191,16,1387,17,673,2949,352,394,2274
nice,304744,113555,827,125,29164,6508,4907,8840,7070,65463,12171,1753,5435,8560,249,1927,2484,13381,255,324,3564,1831,83,8,333,36,1786,2376,23,958,38,1068,766,214,7,21,4154,91,295,40,2661,56,96,30,215,43,120,108,725
few,301667,170383,104,44,26921,1447,24108,15634,1426,255,100,6630,159,229,15,415,476,44,18296,15262,3203,16,196,2,3573,3,7,8,8024,76,29,14,124,1186,274,1,3,1,32,4,287,10,29,2126,36,9,133,234,79
possible,297988,10286,4383,1218,268,92314,234,707,1052,4328,43,14358,32376,14821,487,204,15372,12419,14,41,1825,22,9545,1436,17047,1051,4035,54,24,23,29366,114,84,47,502,14400,9,1156,673,1039,42,324,870,4,744,4662,1259,73,2633
comfortable,290068,43137,114086,26834,10885,20482,6004,14955,345,6129,3948,346,1372,5677,3236,4926,922,1322,1307,6,519,726,478,403,879,3458,675,292,1,1649,60,694,1361,24,840,1943,3668,1704,732,455,440,94,825,3,1239,315,76,355,241
true,286302,10857,9842,1463,11507,96725,1730,11654,897,6847,771,1819,24936,4163,2526,154,5288,4864,128,22,738,12804,272,7,4016,2417,5061,39897,7,321,79,318,259,57,242,4710,37,1318,64,5207,101,304,284,23,2860,1799,1590,734,4583
new,279902,10815,14554,9461,8546,38432,2470,3810,5014,3869,3741,1081,3828,2777,528,244,4690,755,42747,106,1030,1418,278,8,596,37506,4444,251,30,141,215,139,10618,741,53,45540,237,11854,1462,861,1300,1022,37,148,153,330,258,1247,517
serious,275848,59662,89429,43125,8933,10043,7702,9262,493,8439,6323,236,444,3394,7906,4547,440,413,243,19,101,1333,130,117,432,741,746,678,17,517,39,1648,1190,64,802,390,667,534,1047,277,1041,47,306,12,559,42,279,485,554
beautiful,264205,23538,28814,104525,31400,2516,2585,14060,367,10153,344,487,1757,3762,982,2075,2016,1257,7,4,5295,1465,104,49,2022,191,1290,991,2,4266,47,439,42,9,52,68,302,271,4593,8226,704,190,525,4,1352,261,573,37,186
worth,253207,1022,1879,647,6309,72202,21,221,2507,15790,290,4687,22034,442,300,89,8942,6776,8,79,503,399,5369,113,3165,1439,7185,413,1,78,69217,33,9,5,12,381,39,8211,2456,3005,6,826,424,7,137,913,827,22,3767
dangerous,248883,37748,49104,60599,7952,5892,15929,11348,134,3382,1438,2988,2221,2889,5960,12607,1541,1661,102,11,360,4538,119,3190,1013,69,179,3431,4,2575,9,503,234,342,2258,19,216,47,1133,97,613,143,556,31,1083,120,1534,428,533
efficient,244044,14511,140172,45145,2438,2139,275,7626,152,997,667,56,610,811,7478,3547,87,248,332,9,129,576,14,11085,369,95,48,221,4,1237,56,223,317,6,408,34,823,53,296,27,99,2,88,12,311,91,20,32,68
long,243353,103934,2762,644,17613,7323,32821,3147,9512,14336,4403,2387,306,3030,139,5334,719,224,3069,555,393,1643,242,6,301,13,98,496,10034,2458,351,365,3108,2606,542,8,1663,10,116,3,2996,7,978,628,609,170,618,574,59
cool,235829,32752,3199,320,22229,11191,6401,8989,4986,56857,49437,2894,1301,2047,782,1140,2158,1434,1525,313,1714,612,247,17,378,1272,853,651,29,1292,67,414,431,1687,69,49,9471,2880,294,157,1018,161,196,227,285,305,104,449,545
young,233040,59482,11004,6544,17868,1729,43412,26431,13120,4119,5312,2467,698,3839,211,1086,12915,260,9541,582,628,660,205,3,833,22,1176,370,183,451,147,240,2088,1208,403,18,398,21,57,9,691,56,88,684,208,575,504,354,140
aware,230420,13756,34402,574,1447,70487,3904,1128,3094,1955,345,9303,7278,2526,1317,433,556,3904,15,12,328,585,2086,638,1356,1656,4480,465,5,127,49587,177,63,79,3828,364,108,778,345,154,22,14,5068,9,321,270,271,313,487
famous,230384,11159,14949,165181,4919,2207,505,4745,357,1146,905,204,4918,1745,1551,525,322,96,144,5,258,678,5649,110,644,13,136,411,1,295,133,207,212,52,135,5,427,33,121,16,470,1807,1403,20,881,180,50,335,119
useful,228468,60286,30611,26670,4472,5651,546,7191,1423,10660,2019,568,8474,5297,3536,10861,2187,1784,61,10,516,12403,75,2780,3751,100,471,11162,2,4655,65,781,277,42,317,102,1105,115,1398,81,482,22,81,90,951,1390,971,403,1573
complex,225706,21754,105270,22595,7701,1341,10988,7384,155,1513,1303,197,434,3645,4069,5128,165,230,791,11,90,1120,30,7598,116,16,88,356,1,3771,16,32,1669,124,9633,9,248,11,237,12,1612,10,839,24,544,17,2002,731,76
exciting,222005,41649,37843,61622,13282,1804,1762,7481,408,18554,7508,257,1397,2729,2928,2479,699,3923,32,4,544,2509,20,212,296,36,226,1371,0,3254,15,859,144,18,88,18,1948,107,1571,92,706,39,202,7,842,76,179,103,162
short,220498,59642,2019,399,9117,4273,34264,8339,11114,3882,3401,2668,958,2740,94,3573,2095,920,21886,10151,13907,341,297,14,634,35,282,144,219,1261,4686,203,4313,2997,453,18,1328,14,62,13,2842,34,652,1547,169,164,746,1304,284
fun,204218,13718,35935,15254,16716,15183,814,9251,2476,32580,7409,1075,4073,3524,2091,1806,4312,13078,87,2,4978,1042,57,20,1832,102,1212,1239,1,2764,10,1,161,15,22,32,6470,638,605,175,804,161,122,5,433,171,281,160,1321
proud,203504,68156,7044,10593,40020,5714,4183,2942,95,17403,3133,271,4648,3516,254,11499,1461,1150,12,0,1240,3819,825,26,206,56,1357,3117,1,5180,25,92,68,56,34,40,1646,81,957,110,818,137,122,2,726,84,83,119,383
significant,199691,24024,31205,86734,4170,3775,802,6818,196,2431,5719,135,2918,2890,4197,1788,1671,146,226,7,90,3640,43,3555,542,10,132,2394,8,535,34,716,2524,16,1034,15,30,13,804,44,1083,7,533,11,1337,143,216,201,129
concerned,198218,27896,44060,7112,9951,18978,7591,4233,2387,6003,349,355,12293,1526,7559,4333,3227,2308,8,9,1818,7528,934,905,3915,38,4906,3197,1,172,36,983,52,619,6642,118,120,46,1191,92,233,20,712,45,1082,529,655,1009,442
special,190547,84780,18231,6587,27170,2578,1318,3583,241,15386,7941,132,691,1862,655,1001,291,1342,21,9,471,2809,23,29,257,50,480,181,0,1263,21,392,39,40,7,31,1465,52,6818,103,1290,9,119,2,257,181,34,198,107
ready,189875,1055,4841,746,4709,86340,1389,2645,751,4560,152,1284,3311,11941,368,50,1025,21757,8,23,3377,58,13661,18,459,2217,10083,51,1,5,401,87,26,8,107,320,79,805,1280,587,16,6801,1043,4,167,111,252,50,846
open,188714,16001,48471,4400,4370,15482,1395,4607,1446,1872,2206,1040,5945,1804,1572,614,14714,11900,1225,96,626,271,22391,101,6598,4861,1502,116,7,341,237,172,1053,1438,953,644,122,1467,1426,229,289,148,2048,6,265,846,497,328,572
helpful,188332,64811,11512,17026,8289,9802,431,3960,663,12995,728,451,6937,3342,1036,13527,436,3784,27,5,238,6535,15,255,850,51,438,8252,2,3914,53,846,100,42,58,104,2696,48,703,78,261,10,27,54,299,112,1255,392,882
less,185698,2863,1401,74,584,9096,262,1926,58420,203,35,12872,821,144,72,90,1453,389,768,33296,1199,17,378,3,532,10,154,10,32516,61,195,6,12,9812,263,8,1,8,16,12,569,68,105,10927,10,9,919,2540,569
busy,185519,36088,1040,654,24350,5838,60186,4527,1127,6565,5770,920,1826,4153,2219,5313,1747,3979,226,154,849,1373,1035,29,123,37,1569,754,25,2154,35,473,964,94,796,5,3603,54,49,9,1058,9,2507,38,257,35,589,176,138
valuable,182188,18231,39293,65159,6764,1375,2942,7991,1144,3142,512,91,1188,1509,4663,8747,854,332,41,1,125,2829,39,3231,816,13,192,2735,3,3568,19,282,95,5,956,5,288,20,1075,48,116,4,53,38,1153,98,128,50,225
impressive,177435,25281,29459,37862,5263,2310,760,10961,97,5969,13914,74,1964,6958,4697,2318,1484,670,149,13,240,4571,27,1182,235,23,186,2177,1,1288,12,1529,1073,24,388,43,482,59,3195,115,1896,108,2892,4,5071,23,119,149,120
active,175010,35037,44920,31384,1877,4548,863,4738,546,1281,1533,151,5410,2225,5330,2953,10509,1402,288,4,77,2179,1361,3354,1024,57,419,1014,0,569,166,207,945,38,1627,12,936,24,134,6,200,9,1475,31,229,3369,148,226,175
familiar,174589,22264,24973,9156,9353,42606,14555,5121,297,1346,1911,386,1717,4408,4722,759,374,165,255,1,188,370,2614,285,969,551,5767,169,2,235,856,1258,721,263,763,397,234,272,60,35,514,125,10731,4,234,359,126,1944,174
similar,172243,96952,9678,3613,7200,1822,4628,2536,1340,1351,6468,282,2275,11725,254,1828,234,133,1317,11,356,81,164,610,184,133,890,45,2,679,31,179,2720,390,225,100,108,98,45,46,1240,1569,57,56,38,17,604,7575,354
unique,166341,26813,11529,21482,12047,15377,384,8400,274,6227,3502,323,2663,4629,270,1341,398,552,558,50,405,1273,68,854,633,6193,2132,527,6,1634,37,260,1512,187,47,1797,416,4254,18494,1347,3140,987,155,31,415,147,435,1918,218
late,166148,12619,892,449,2240,1004,136394,260,1432,957,806,234,268,623,33,342,161,1329,1021,29,209,69,302,2,209,3,32,74,16,102,25,25,293,622,21,1,300,31,11,14,534,172,1073,44,19,8,469,286,89
free,165810,1713,16961,2309,2755,18755,671,3674,3087,1962,389,1675,5362,575,1966,76,3082,4983,2748,63,567,55,8466,13,1249,26159,4033,53,5,60,282,43,236,11,153,3889,58,22542,4129,15851,120,1512,596,14,321,780,904,119,784
right,165460,1607,2626,733,4439,45368,269,442,452,1194,204,264,1860,13253,184,73,918,8715,14,6112,18990,62,575,9,5151,1359,34146,52,58,46,139,8,41,81,22,752,18,1451,283,11150,7,607,109,2,108,89,447,116,855
obvious,165075,10192,18652,41286,14324,9916,7327,5334,255,1859,15327,276,1318,6673,10442,457,322,2337,241,0,354,454,864,27,343,832,284,409,15,427,17,795,5562,48,1612,330,324,509,40,202,2700,183,787,6,584,58,203,507,61
complicated,163912,16549,79943,8003,6735,3910,13812,4422,169,2384,1683,103,375,2854,7731,2667,189,311,239,7,136,664,18,806,105,14,141,318,3,1318,21,1270,905,240,1264,5,315,10,72,7,1491,2,616,21,153,77,797,993,44
amazing,159418,1452,11000,37810,13937,2107,564,4063,679,12269,18782,83,2184,4693,336,182,1334,1750,15,10,11916,416,33,31,181,587,1184,297,0,444,31,589,247,19,33,20,622,1203,12739,11989,887,134,644,4,1111,11,152,185,459
old,157648,28571,3193,1975,8415,6301,35209,20100,16023,5900,2570,4097,648,3000,191,829,324,143,865,1276,1407,371,1551,3,713,39,781,175,1611,306,155,330,730,4207,189,21,398,68,177,14,1138,310,704,690,124,55,363,937,451
pleased,157336,65315,5603,1365,15167,10417,3852,1307,690,12783,2726,115,5009,5581,489,8317,471,1485,151,27,811,3576,461,261,102,247,609,2501,2,652,3290,95,289,23,18,405,387,304,225,135,897,50,80,0,535,15,59,121,316
first,155350,150036,1456,1066,105,220,14,59,145,260,64,236,109,25,61,240,69,286,2,19,53,15,70,9,123,14,20,12,2,31,71,0,6,2,2,10,19,5,89,111,13,41,11,0,3,52,67,5,22
hot,150952,27121,3353,876,22345,4598,31578,8023,2443,10820,4071,2739,633,1767,695,6121,4898,976,226,169,694,1240,254,8,248,54,1523,535,96,2490,125,486,368,347,421,10,5046,688,324,96,492,135,718,131,284,170,177,131,209
attractive,149754,24361,55643,18659,5409,2804,858,4495,217,1867,853,171,1085,2134,12142,2794,707,351,373,5,163,3681,41,2355,504,24,134,2041,6,826,39,464,333,25,1623,14,307,27,175,44,566,24,112,23,705,189,117,149,115
necessary,149000,5301,4032,2642,3258,61036,127,3577,468,8430,127,3481,6955,716,1290,739,2704,3790,9,7,428,473,850,433,3105,1045,962,588,7,152,25,124,44,3,740,761,54,568,917,18759,94,433,47,11,394,4957,3155,120,1062
vulnerable,148969,6537,31203,59399,3091,1485,1113,2802,57,434,234,104,1858,781,4985,3561,1880,391,71,4,80,11341,411,3742,176,591,596,6629,0,635,4,62,38,77,1591,58,48,205,192,31,98,42,1215,28,318,98,354,264,55
competitive,148778,26318,39069,19436,2614,2533,979,3662,160,1675,1030,203,300,1031,5970,5718,631,566,185,3,141,312,171,24833,193,24,151,151,2,1040,96,162,402,54,5753,6,684,34,1016,42,129,27,362,13,192,232,108,261,104
accurate,148509,9059,62006,22038,1693,8979,426,8597,182,1087,3841,364,373,2352,3047,2227,499,1693,447,5,78,402,64,5080,510,2253,265,124,2,846,29,375,2861,12,295,3005,321,841,374,412,158,61,22,2,198,319,118,330,237
safe,143610,13283,4187,1024,2755,24213,1686,16064,10376,2191,5443,2183,3042,2187,7243,1975,2282,2593,6929,1664,373,314,2186,204,2116,7892,2538,127,470,541,1305,288,2120,176,151,1134,499,2191,1110,1843,288,123,301,383,348,1698,223,466,882
real,142346,67328,16496,2567,7079,18798,5184,6120,1558,1592,319,1128,503,1770,2110,234,638,289,36,16,304,90,184,9,1019,560,1476,84,10,354,34,67,25,11,129,295,129,525,351,546,55,562,97,8,235,109,54,72,1187
positive,142040,41523,42349,8127,3980,3675,579,4150,1608,5586,2034,301,982,1977,2066,4286,1004,2219,693,21,176,544,98,1105,744,463,1796,156,7,1387,64,124,911,750,379,787,360,297,341,824,379,1162,130,355,460,64,130,668,219
perfect,134354,582,11888,9954,10540,45524,3856,5584,1056,1230,1103,226,4889,978,669,47,628,2172,38,16,12063,106,182,10,570,631,1380,255,6,85,97,276,41,3,14,194,94,481,594,8286,118,6399,676,1,214,78,73,25,422
challenging,134002,17772,41519,32997,2139,994,1961,1496,62,3118,1293,190,966,4891,1570,4827,653,1065,86,7,114,4313,95,698,192,22,79,2204,0,1705,41,103,393,179,1692,8,222,16,348,36,742,16,399,47,714,69,1073,721,155
fine,131697,23471,1187,331,4034,2039,2253,3056,341,2226,906,114,1404,881,216,1669,1070,399,202,6,67005,984,181,16,138,2128,4086,358,33,270,44,41,135,10,66,90,868,4740,392,2762,400,43,130,2,414,25,92,29,410
surprising,130331,5042,10707,13445,3785,65454,4215,1073,68,3092,969,303,818,2512,1359,269,535,697,35,1,186,1981,12,96,216,333,57,830,6,133,6,1186,135,377,17,1625,85,320,418,35,1575,234,21,0,402,187,1066,4178,235
confident,129635,19118,44383,2666,10068,7911,1922,3617,197,2384,8747,142,1678,3154,3772,1866,1908,1011,356,1,234,235,829,994,114,1490,376,118,1,251,10,594,3099,22,1499,408,543,838,302,1326,185,28,199,2,371,153,26,418,69
willing,126511,3658,23246,1362,4083,43134,3658,1591,224,1475,104,3010,4120,2306,5685,137,3723,11646,14,21,675,88,1971,16,2215,308,845,63,3,32,34,25,25,6,1080,191,30,335,337,177,26,208,261,1,245,1859,1265,64,929
afraid,123526,4401,3638,1116,9470,74569,9631,641,888,2000,47,735,1413,209,1559,187,2243,1943,3,3,1632,125,623,13,258,55,806,99,0,33,5,115,10,178,147,8,30,75,272,34,125,904,169,0,81,1447,839,155,592
fast,122949,20602,1459,658,8080,4149,7566,3635,31611,5443,2567,6144,1253,1362,179,4467,721,719,1448,2033,613,530,661,20,552,11,205,163,593,2599,249,790,587,1939,357,4,4679,15,108,17,276,117,314,1993,193,86,433,346,403
advanced,122863,4329,55596,44310,2451,188,1302,1660,276,396,603,93,36,825,1619,696,11,4,532,556,12,133,31,4585,50,5,11,17,0,338,197,53,539,78,365,3,223,8,195,8,157,3,106,57,48,13,29,108,8
critical,121594,10463,19021,29265,6826,2673,2130,5662,1041,2322,629,264,6311,1017,2414,2130,940,397,25,32,227,2367,417,8001,385,41,481,2982,6,213,133,184,221,88,2224,40,275,46,270,5763,320,46,231,15,1086,177,1373,258,162
early,120861,34707,1048,1432,1554,158,64487,323,2295,1248,971,736,117,489,34,589,6094,145,1678,130,51,100,26,3,97,4,8,106,6,149,46,17,726,361,91,1,309,4,12,4,176,21,19,42,21,23,41,129,33
rare,120234,38887,4982,1387,9314,3067,2107,3930,64,1748,4602,179,796,5454,370,18783,1541,78,7250,9,174,642,783,121,276,30,59,391,0,2612,15,505,2050,44,3312,26,922,26,712,26,1099,44,128,11,230,81,210,960,197
least,120020,84937,7,71,4,34752,2,10,2,35,7,13,15,8,6,35,5,5,2,4,8,10,4,0,10,1,1,1,0,11,3,0,0,0,0,0,0,1,4,17,0,5,0,1,0,3,16,2,2
tough,118059,32686,1299,341,6425,3085,6486,10340,108,18689,10757,512,1060,1770,329,4362,1445,3272,266,9,1264,2549,31,19,189,6,259,1950,0,1834,52,904,519,122,1102,2,979,15,224,27,637,90,591,13,545,54,512,173,156
affordable,117898,16576,55248,20159,1292,1754,61,1515,611,1219,765,73,1174,2317,1567,2253,738,244,2234,4,132,88,281,1582,729,175,110,50,0,805,142,39,432,8,365,57,1117,230,636,75,183,23,113,8,65,212,64,135,238
specific,117819,49090,41339,1579,1917,5762,2126,3287,185,1403,1026,114,194,1331,1451,709,21,108,133,5,195,106,21,2862,228,73,82,27,6,346,32,78,595,3,172,55,224,40,39,58,431,9,9,1,54,28,131,94,40
relevant,117149,6256,25268,21773,1813,10533,257,7904,602,1640,208,674,1964,719,3794,1338,7328,772,7,1,182,5577,99,5000,1840,326,498,3444,0,423,11,282,34,56,955,338,145,236,380,180,54,10,31,15,576,2784,74,250,498
aggressive,116325,14077,55080,11646,2135,3014,5330,3678,69,1591,1449,375,202,1100,4983,2179,129,169,126,1,102,1420,14,1187,91,16,55,406,3,310,20,154,704,168,2291,4,356,17,71,5,424,126,116,6,340,19,302,247,18
funny,114827,23086,1826,472,15932,12143,2761,7188,1199,11102,10000,3920,1329,4353,1108,1339,1307,1374,40,181,1703,1142,43,14,687,26,378,523,23,1112,41,1547,118,186,44,13,748,87,582,46,837,662,76,10,216,216,1609,261,1217
