adj_form_lower,SUM,not,n't,never,no,nothing,none,nobody,without,hardly,scarcely,few,neither,barely,rarely
dire,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
widespread,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
international,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
interesting,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
keen,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
heavy,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
harsh,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
likely,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
severe,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0
favorable,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
focused,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
satisfied,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
surprised,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
surprising,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
necessary,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
safe,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
forgiving,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
helpful,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sound,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
public,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
dominant,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
correct,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
profitable,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
worrisome,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
pretty,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
appealing,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
precise,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
deadly,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
vulnerable,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
voluntary,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
powerful,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
bright,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
divisive,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
consistent,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0
early,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
easier,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
committed,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
unusual,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
pessimistic,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
robust,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
outspoken,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
comparable,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
small,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
remarkable,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
smooth,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
larger,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
promising,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
large,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
representative,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
intense,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
religious,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rational,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
proud,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
isolated,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
involved,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sinister,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
prominent,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
old,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
republican,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
liable,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
responsive,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rosy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
open,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
original,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
overwhelming,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
patient,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
revolutionary,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
poor,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
more,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
scared,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
likable,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
broad,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
secure,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
black,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
rough,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
loud,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pristine,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitive,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
productive,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
risky,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
attractive,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cruel,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
subtle,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
gifted,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
emotional,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
weird,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
warm,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
free,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
frank,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sustainable,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
visible,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sweet,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sympathetic,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fearful,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
viable,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
eager,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
extensive,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
spectacular,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
efficient,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
unexpected,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
troubling,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
true,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
evident,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
essential,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
undecided,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
enthusiastic,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
entertaining,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
clearer,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
well-known,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
encouraging,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
glaring,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
worse,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
competent,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
human,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
competitive,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
complicated,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
strange,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
wet,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hopeful,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
compelling,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
advanced,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
alien,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
impressed,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cozy,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
stupid,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
impressive,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
subject,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
crazy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
illegal,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ripe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
understandable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rich,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
younger,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
relevant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
related,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
reflective,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vibrant,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vigorous,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
revered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
worth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
restrained,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acceptable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wild,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vocal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wide,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
welcoming,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
respectful,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
believable,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tragic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ugly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
substantive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stubborn,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shocked,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stronger,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
accommodating,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
reckless,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
strict,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
benign,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
straightforward,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
skilled,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
straight,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stiff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
smart,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spiritual,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
articulate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
selfish,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
astonishing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
thick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rude,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rural,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
trained,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
safer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tougher,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
satisfactory,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tense,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
supportive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sweeping,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
savvy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
secret,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
secretive,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
secular,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
suspicious,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
red,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
colorful,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
recent,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
enticing,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
erratic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clear-cut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
exclusive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
exempt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
experienced,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
expressive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
extreme,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fascinating,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
firm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fitting,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flexible,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fluid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fond,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
foolish,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
forthcoming,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fresh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
frustrating,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fun,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
applicable,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
generous,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
glamorous,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambitious,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
guilty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
handsome,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
happier,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cheap,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
equal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
embarrassing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
reassuring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eligible,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
compatible,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
compliant,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cold,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
confused,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
connected,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
conscious,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
conservative,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
convincing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cool,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
corrupt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
costly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
creepy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
crowded,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
current,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
damaging,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
daunting,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
delighted,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
democratic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
depressing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
detailed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dirty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disastrous,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
due,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dumb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
amusing,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloudy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
elegant,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
healthy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
honest,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hostile,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ceremonial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
negative,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
negligent,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
neutral,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
notorious,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
numerous,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
obvious,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
older,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ominous,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
brighter,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
outrageous,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
perfect,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
persistent,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
personal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
polluted,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
achievable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
potent,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
precious,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pressing,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
prestigious,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
prevalent,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pronounced,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
proper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
quick,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
random,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rare,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bleak,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
realistic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
narrow,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
misleading,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
memorable,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
intrusive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imaginative,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
immune,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
impossible,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
improbable,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
incompetent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
independent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
indicative,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
influential,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
innocent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
calm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
intimidating,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
intractable,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
irresponsible,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
massive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jewish,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
knowledgeable,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
absurd,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
legal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
less,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
life-threatening,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
like,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
little,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
logical,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lower,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bullish,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mandatory,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
active,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
