sentences,mask_type,pred_pos,scale_type
He was not extremely happy. He wasn't [MASK] sad.,modifier,adj,rel
 He wasn't [MASK] sad.,modifier,adj,rel
He was not [MASK] happy. He wasn't ridiculously sad.,modifier,adj,rel
He was not [MASK] happy. He wasn't sad.,modifier,adj,rel
He was not ridiculously happy. He was not [MASK] sad.,modifier,adj,rel
He was not ridiculously happy. He wasn't [MASK] sad.,modifier,adj,rel
He was not happy. He was not [MASK] sad.,modifier,adj,rel
He was not happy. He wasn't [MASK] sad.,modifier,adj,rel
He wasn't [MASK] happy. He was not extremely sad.,modifier,adj,rel
He wasn't extremely happy. He was not [MASK] sad.,modifier,adj,rel
He wasn't [MASK] happy. He was not ridiculously sad.,modifier,adj,rel
He wasn't [MASK] happy. He was not sad.,modifier,adj,rel
He wasn't [MASK] happy. He wasn't extremely sad.,modifier,adj,rel
He wasn't extremely happy. He wasn't [MASK] sad.,modifier,adj,rel
He wasn't [MASK] happy. He wasn't ridiculously sad.,modifier,adj,rel
He wasn't [MASK] happy. He wasn't sad.,modifier,adj,rel
He wasn't ridiculously happy. He was not [MASK] sad.,modifier,adj,rel
He wasn't ridiculously happy. He wasn't [MASK] sad.,modifier,adj,rel
He wasn't happy. He was not [MASK] sad.,modifier,adj,rel
He wasn't happy. He wasn't [MASK] sad.,modifier,adj,rel
He was not [MASK] happy. He was kinda happy.,modifier,adj,rel
He was not extremely happy. He was [MASK] happy.,modifier,adj,rel
 He was [MASK] happy.,modifier,adj,rel
He was not [MASK] happy. He was sorta happy.,modifier,adj,rel
He was not ridiculously happy. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] happy. He was kinda happy.,modifier,adj,rel
He wasn't extremely happy. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] happy. He was sorta happy.,modifier,adj,rel
He wasn't ridiculously happy. He was [MASK] happy.,modifier,adj,rel
He was [MASK] happy. He was not extremely happy.,modifier,adj,rel
He was [MASK] happy.,modifier,adj,rel
He was kinda happy. He was not [MASK] happy.,modifier,adj,rel
He was [MASK] happy. He was not ridiculously happy.,modifier,adj,rel
He was [MASK] happy. He wasn't extremely happy.,modifier,adj,rel
He was kinda happy. He wasn't [MASK] happy.,modifier,adj,rel
He was [MASK] happy. He wasn't ridiculously happy.,modifier,adj,rel
He was sorta happy. He was not [MASK] happy.,modifier,adj,rel
He was sorta happy. He wasn't [MASK] happy.,modifier,adj,rel
He was [MASK] happy. He was not extremely happy but he was not sad either.,modifier,adj,rel
He was kinda happy. He was not [MASK] happy but he was not sad either.,modifier,adj,rel
 He was not [MASK] happy but he was not sad either.,modifier,adj,rel
He was [MASK] happy. He was not extremely happy but he wasn't sad either.,modifier,adj,rel
He was kinda happy. He was not [MASK] happy but he wasn't sad either.,modifier,adj,rel
 He was not [MASK] happy but he wasn't sad either.,modifier,adj,rel
He was [MASK] happy. He was not ridiculously happy but he was not sad either.,modifier,adj,rel
He was [MASK] happy. He was not ridiculously happy but he wasn't sad either.,modifier,adj,rel
He was [MASK] happy. He wasn't extremely happy but he was not sad either.,modifier,adj,rel
He was kinda happy. He wasn't [MASK] happy but he was not sad either.,modifier,adj,rel
 He wasn't [MASK] happy but he was not sad either.,modifier,adj,rel
He was [MASK] happy. He wasn't extremely happy but he wasn't sad either.,modifier,adj,rel
He was kinda happy. He wasn't [MASK] happy but he wasn't sad either.,modifier,adj,rel
 He wasn't [MASK] happy but he wasn't sad either.,modifier,adj,rel
He was [MASK] happy. He wasn't ridiculously happy but he was not sad either.,modifier,adj,rel
He was [MASK] happy. He wasn't ridiculously happy but he wasn't sad either.,modifier,adj,rel
He was [MASK] happy. He was not sad but he was not extremely happy either.,modifier,adj,rel
He was kinda happy. He was not sad but he was not [MASK] happy either.,modifier,adj,rel
 He was not sad but he was not [MASK] happy either.,modifier,adj,rel
He was [MASK] happy. He was not sad but he was not ridiculously happy either.,modifier,adj,rel
He was [MASK] happy. He was not sad but he wasn't extremely happy either.,modifier,adj,rel
He was kinda happy. He was not sad but he wasn't [MASK] happy either.,modifier,adj,rel
 He was not sad but he wasn't [MASK] happy either.,modifier,adj,rel
He was [MASK] happy. He was not sad but he wasn't ridiculously happy either.,modifier,adj,rel
He was [MASK] happy. He wasn't sad but he was not extremely happy either.,modifier,adj,rel
He was kinda happy. He wasn't sad but he was not [MASK] happy either.,modifier,adj,rel
 He wasn't sad but he was not [MASK] happy either.,modifier,adj,rel
He was [MASK] happy. He wasn't sad but he was not ridiculously happy either.,modifier,adj,rel
He was [MASK] happy. He wasn't sad but he wasn't extremely happy either.,modifier,adj,rel
He was kinda happy. He wasn't sad but he wasn't [MASK] happy either.,modifier,adj,rel
 He wasn't sad but he wasn't [MASK] happy either.,modifier,adj,rel
He was [MASK] happy. He wasn't sad but he wasn't ridiculously happy either.,modifier,adj,rel
He was sorta happy. He was not [MASK] happy but he was not sad either.,modifier,adj,rel
He was sorta happy. He was not [MASK] happy but he wasn't sad either.,modifier,adj,rel
He was sorta happy. He wasn't [MASK] happy but he was not sad either.,modifier,adj,rel
He was sorta happy. He wasn't [MASK] happy but he wasn't sad either.,modifier,adj,rel
He was sorta happy. He was not sad but he was not [MASK] happy either.,modifier,adj,rel
He was sorta happy. He was not sad but he wasn't [MASK] happy either.,modifier,adj,rel
He was sorta happy. He wasn't sad but he was not [MASK] happy either.,modifier,adj,rel
He was sorta happy. He wasn't sad but he wasn't [MASK] happy either.,modifier,adj,rel
He was not [MASK] happy but he was not sad either. He was kinda happy.,modifier,adj,rel
He was not [MASK] happy but he was not sad either.,modifier,adj,rel
He was not extremely happy but he was not sad either. He was [MASK] happy.,modifier,adj,rel
He was not [MASK] happy but he was not sad either. He was sorta happy.,modifier,adj,rel
He was not [MASK] happy but he wasn't sad either. He was kinda happy.,modifier,adj,rel
He was not [MASK] happy but he wasn't sad either.,modifier,adj,rel
He was not extremely happy but he wasn't sad either. He was [MASK] happy.,modifier,adj,rel
He was not [MASK] happy but he wasn't sad either. He was sorta happy.,modifier,adj,rel
He was not ridiculously happy but he was not sad either. He was [MASK] happy.,modifier,adj,rel
He was not ridiculously happy but he wasn't sad either. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] happy but he was not sad either. He was kinda happy.,modifier,adj,rel
He wasn't [MASK] happy but he was not sad either.,modifier,adj,rel
He wasn't extremely happy but he was not sad either. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] happy but he was not sad either. He was sorta happy.,modifier,adj,rel
He wasn't [MASK] happy but he wasn't sad either. He was kinda happy.,modifier,adj,rel
He wasn't [MASK] happy but he wasn't sad either.,modifier,adj,rel
He wasn't extremely happy but he wasn't sad either. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] happy but he wasn't sad either. He was sorta happy.,modifier,adj,rel
He wasn't ridiculously happy but he was not sad either. He was [MASK] happy.,modifier,adj,rel
He wasn't ridiculously happy but he wasn't sad either. He was [MASK] happy.,modifier,adj,rel
He was not sad but he was not [MASK] happy either. He was kinda happy.,modifier,adj,rel
He was not sad but he was not [MASK] happy either.,modifier,adj,rel
He was not sad but he was not extremely happy either. He was [MASK] happy.,modifier,adj,rel
He was not sad but he was not [MASK] happy either. He was sorta happy.,modifier,adj,rel
He was not sad but he was not ridiculously happy either. He was [MASK] happy.,modifier,adj,rel
He was not sad but he wasn't [MASK] happy either. He was kinda happy.,modifier,adj,rel
He was not sad but he wasn't [MASK] happy either.,modifier,adj,rel
He was not sad but he wasn't extremely happy either. He was [MASK] happy.,modifier,adj,rel
He was not sad but he wasn't [MASK] happy either. He was sorta happy.,modifier,adj,rel
He was not sad but he wasn't ridiculously happy either. He was [MASK] happy.,modifier,adj,rel
He wasn't sad but he was not [MASK] happy either. He was kinda happy.,modifier,adj,rel
He wasn't sad but he was not [MASK] happy either.,modifier,adj,rel
He wasn't sad but he was not extremely happy either. He was [MASK] happy.,modifier,adj,rel
He wasn't sad but he was not [MASK] happy either. He was sorta happy.,modifier,adj,rel
He wasn't sad but he was not ridiculously happy either. He was [MASK] happy.,modifier,adj,rel
He wasn't sad but he wasn't [MASK] happy either. He was kinda happy.,modifier,adj,rel
He wasn't sad but he wasn't [MASK] happy either.,modifier,adj,rel
He wasn't sad but he wasn't extremely happy either. He was [MASK] happy.,modifier,adj,rel
He wasn't sad but he wasn't [MASK] happy either. He was sorta happy.,modifier,adj,rel
He wasn't sad but he wasn't ridiculously happy either. He was [MASK] happy.,modifier,adj,rel
He was not [MASK] sad. He was kinda happy.,modifier,adj,rel
He was not [MASK] sad.,modifier,adj,rel
He was not extremely sad. He was [MASK] happy.,modifier,adj,rel
He was not [MASK] sad. He was sorta happy.,modifier,adj,rel
He was not [MASK] sad. He was extremely happy.,modifier,adj,rel
He was not [MASK] sad. He was ridiculously happy.,modifier,adj,rel
He was not [MASK] sad. He was happy.,modifier,adj,rel
He was not ridiculously sad. He was [MASK] happy.,modifier,adj,rel
He was not sad. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] sad. He was kinda happy.,modifier,adj,rel
He wasn't [MASK] sad.,modifier,adj,rel
He wasn't extremely sad. He was [MASK] happy.,modifier,adj,rel
He wasn't [MASK] sad. He was sorta happy.,modifier,adj,rel
He wasn't [MASK] sad. He was extremely happy.,modifier,adj,rel
He wasn't [MASK] sad. He was ridiculously happy.,modifier,adj,rel
He wasn't [MASK] sad. He was happy.,modifier,adj,rel
He wasn't ridiculously sad. He was [MASK] happy.,modifier,adj,rel
He wasn't sad. He was [MASK] happy.,modifier,adj,rel
He was [MASK] happy. He was not extremely sad.,modifier,adj,rel
He was kinda happy. He was not [MASK] sad.,modifier,adj,rel
He was [MASK] happy. He was not ridiculously sad.,modifier,adj,rel
He was [MASK] happy. He was not sad.,modifier,adj,rel
He was [MASK] happy. He wasn't extremely sad.,modifier,adj,rel
He was kinda happy. He wasn't [MASK] sad.,modifier,adj,rel
He was [MASK] happy. He wasn't ridiculously sad.,modifier,adj,rel
He was [MASK] happy. He wasn't sad.,modifier,adj,rel
He was sorta happy. He was not [MASK] sad.,modifier,adj,rel
He was sorta happy. He wasn't [MASK] sad.,modifier,adj,rel
He was extremely happy. He was not [MASK] sad.,modifier,adj,rel
He was extremely happy. He wasn't [MASK] sad.,modifier,adj,rel
He was ridiculously happy. He was not [MASK] sad.,modifier,adj,rel
He was ridiculously happy. He wasn't [MASK] sad.,modifier,adj,rel
He was happy. He was not [MASK] sad.,modifier,adj,rel
He was happy. He wasn't [MASK] sad.,modifier,adj,rel
He was not [MASK] sad. He was not extremely happy.,modifier,adj,rel
He was not extremely sad. He was not [MASK] happy.,modifier,adj,rel
He was not [MASK] sad. He was not ridiculously happy.,modifier,adj,rel
He was not [MASK] sad. He was not happy.,modifier,adj,rel
He was not [MASK] sad. He wasn't extremely happy.,modifier,adj,rel
He was not extremely sad. He wasn't [MASK] happy.,modifier,adj,rel
He was not [MASK] sad. He wasn't ridiculously happy.,modifier,adj,rel
He was not [MASK] sad. He wasn't happy.,modifier,adj,rel
He was not ridiculously sad. He was not [MASK] happy.,modifier,adj,rel
He was not ridiculously sad. He wasn't [MASK] happy.,modifier,adj,rel
He was not sad. He was not [MASK] happy.,modifier,adj,rel
He was not sad. He wasn't [MASK] happy.,modifier,adj,rel
He wasn't [MASK] sad. He was not extremely happy.,modifier,adj,rel
He wasn't extremely sad. He was not [MASK] happy.,modifier,adj,rel
He wasn't [MASK] sad. He was not ridiculously happy.,modifier,adj,rel
He wasn't [MASK] sad. He was not happy.,modifier,adj,rel
He wasn't [MASK] sad. He wasn't extremely happy.,modifier,adj,rel
He wasn't extremely sad. He wasn't [MASK] happy.,modifier,adj,rel
He wasn't [MASK] sad. He wasn't ridiculously happy.,modifier,adj,rel
He wasn't [MASK] sad. He wasn't happy.,modifier,adj,rel
He wasn't ridiculously sad. He was not [MASK] happy.,modifier,adj,rel
He wasn't ridiculously sad. He wasn't [MASK] happy.,modifier,adj,rel
He wasn't sad. He was not [MASK] happy.,modifier,adj,rel
He wasn't sad. He wasn't [MASK] happy.,modifier,adj,rel
He was not [MASK] sad. He was kinda sad.,modifier,adj,rel
He was not extremely sad. He was [MASK] sad.,modifier,adj,rel
He was not [MASK] sad. He was sorta sad.,modifier,adj,rel
He was not ridiculously sad. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] sad. He was kinda sad.,modifier,adj,rel
He wasn't extremely sad. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] sad. He was sorta sad.,modifier,adj,rel
He wasn't ridiculously sad. He was [MASK] sad.,modifier,adj,rel
He was [MASK] sad. He was not extremely sad.,modifier,adj,rel
He was kinda sad. He was not [MASK] sad.,modifier,adj,rel
He was [MASK] sad. He was not ridiculously sad.,modifier,adj,rel
He was [MASK] sad. He wasn't extremely sad.,modifier,adj,rel
He was kinda sad. He wasn't [MASK] sad.,modifier,adj,rel
He was [MASK] sad. He wasn't ridiculously sad.,modifier,adj,rel
He was sorta sad. He was not [MASK] sad.,modifier,adj,rel
He was sorta sad. He wasn't [MASK] sad.,modifier,adj,rel
He was [MASK] sad. He was not extremely sad but he was not happy either.,modifier,adj,rel
He was kinda sad. He was not [MASK] sad but he was not happy either.,modifier,adj,rel
 He was not [MASK] sad but he was not happy either.,modifier,adj,rel
He was [MASK] sad. He was not extremely sad but he wasn't happy either.,modifier,adj,rel
He was kinda sad. He was not [MASK] sad but he wasn't happy either.,modifier,adj,rel
 He was not [MASK] sad but he wasn't happy either.,modifier,adj,rel
He was [MASK] sad. He was not ridiculously sad but he was not happy either.,modifier,adj,rel
He was [MASK] sad. He was not ridiculously sad but he wasn't happy either.,modifier,adj,rel
He was [MASK] sad. He wasn't extremely sad but he was not happy either.,modifier,adj,rel
He was kinda sad. He wasn't [MASK] sad but he was not happy either.,modifier,adj,rel
 He wasn't [MASK] sad but he was not happy either.,modifier,adj,rel
He was [MASK] sad. He wasn't extremely sad but he wasn't happy either.,modifier,adj,rel
He was kinda sad. He wasn't [MASK] sad but he wasn't happy either.,modifier,adj,rel
 He wasn't [MASK] sad but he wasn't happy either.,modifier,adj,rel
He was [MASK] sad. He wasn't ridiculously sad but he was not happy either.,modifier,adj,rel
He was [MASK] sad. He wasn't ridiculously sad but he wasn't happy either.,modifier,adj,rel
He was [MASK] sad. He was not happy but he was not extremely sad either.,modifier,adj,rel
He was kinda sad. He was not happy but he was not [MASK] sad either.,modifier,adj,rel
 He was not happy but he was not [MASK] sad either.,modifier,adj,rel
He was [MASK] sad. He was not happy but he was not ridiculously sad either.,modifier,adj,rel
He was [MASK] sad. He was not happy but he wasn't extremely sad either.,modifier,adj,rel
He was kinda sad. He was not happy but he wasn't [MASK] sad either.,modifier,adj,rel
 He was not happy but he wasn't [MASK] sad either.,modifier,adj,rel
He was [MASK] sad. He was not happy but he wasn't ridiculously sad either.,modifier,adj,rel
He was [MASK] sad. He wasn't happy but he was not extremely sad either.,modifier,adj,rel
He was kinda sad. He wasn't happy but he was not [MASK] sad either.,modifier,adj,rel
 He wasn't happy but he was not [MASK] sad either.,modifier,adj,rel
He was [MASK] sad. He wasn't happy but he was not ridiculously sad either.,modifier,adj,rel
He was [MASK] sad. He wasn't happy but he wasn't extremely sad either.,modifier,adj,rel
He was kinda sad. He wasn't happy but he wasn't [MASK] sad either.,modifier,adj,rel
 He wasn't happy but he wasn't [MASK] sad either.,modifier,adj,rel
He was [MASK] sad. He wasn't happy but he wasn't ridiculously sad either.,modifier,adj,rel
He was sorta sad. He was not [MASK] sad but he was not happy either.,modifier,adj,rel
He was sorta sad. He was not [MASK] sad but he wasn't happy either.,modifier,adj,rel
He was sorta sad. He wasn't [MASK] sad but he was not happy either.,modifier,adj,rel
He was sorta sad. He wasn't [MASK] sad but he wasn't happy either.,modifier,adj,rel
He was sorta sad. He was not happy but he was not [MASK] sad either.,modifier,adj,rel
He was sorta sad. He was not happy but he wasn't [MASK] sad either.,modifier,adj,rel
He was sorta sad. He wasn't happy but he was not [MASK] sad either.,modifier,adj,rel
He was sorta sad. He wasn't happy but he wasn't [MASK] sad either.,modifier,adj,rel
He was not [MASK] sad but he was not happy either. He was kinda sad.,modifier,adj,rel
He was not [MASK] sad but he was not happy either.,modifier,adj,rel
He was not extremely sad but he was not happy either. He was [MASK] sad.,modifier,adj,rel
He was not [MASK] sad but he was not happy either. He was sorta sad.,modifier,adj,rel
He was not [MASK] sad but he wasn't happy either. He was kinda sad.,modifier,adj,rel
He was not [MASK] sad but he wasn't happy either.,modifier,adj,rel
He was not extremely sad but he wasn't happy either. He was [MASK] sad.,modifier,adj,rel
He was not [MASK] sad but he wasn't happy either. He was sorta sad.,modifier,adj,rel
He was not ridiculously sad but he was not happy either. He was [MASK] sad.,modifier,adj,rel
He was not ridiculously sad but he wasn't happy either. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] sad but he was not happy either. He was kinda sad.,modifier,adj,rel
He wasn't [MASK] sad but he was not happy either.,modifier,adj,rel
He wasn't extremely sad but he was not happy either. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] sad but he was not happy either. He was sorta sad.,modifier,adj,rel
He wasn't [MASK] sad but he wasn't happy either. He was kinda sad.,modifier,adj,rel
He wasn't [MASK] sad but he wasn't happy either.,modifier,adj,rel
He wasn't extremely sad but he wasn't happy either. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] sad but he wasn't happy either. He was sorta sad.,modifier,adj,rel
He wasn't ridiculously sad but he was not happy either. He was [MASK] sad.,modifier,adj,rel
He wasn't ridiculously sad but he wasn't happy either. He was [MASK] sad.,modifier,adj,rel
He was not happy but he was not [MASK] sad either. He was kinda sad.,modifier,adj,rel
He was not happy but he was not [MASK] sad either.,modifier,adj,rel
He was not happy but he was not extremely sad either. He was [MASK] sad.,modifier,adj,rel
He was not happy but he was not [MASK] sad either. He was sorta sad.,modifier,adj,rel
He was not happy but he was not ridiculously sad either. He was [MASK] sad.,modifier,adj,rel
He was not happy but he wasn't [MASK] sad either. He was kinda sad.,modifier,adj,rel
He was not happy but he wasn't [MASK] sad either.,modifier,adj,rel
He was not happy but he wasn't extremely sad either. He was [MASK] sad.,modifier,adj,rel
He was not happy but he wasn't [MASK] sad either. He was sorta sad.,modifier,adj,rel
He was not happy but he wasn't ridiculously sad either. He was [MASK] sad.,modifier,adj,rel
He wasn't happy but he was not [MASK] sad either. He was kinda sad.,modifier,adj,rel
He wasn't happy but he was not [MASK] sad either.,modifier,adj,rel
He wasn't happy but he was not extremely sad either. He was [MASK] sad.,modifier,adj,rel
He wasn't happy but he was not [MASK] sad either. He was sorta sad.,modifier,adj,rel
He wasn't happy but he was not ridiculously sad either. He was [MASK] sad.,modifier,adj,rel
He wasn't happy but he wasn't [MASK] sad either. He was kinda sad.,modifier,adj,rel
He wasn't happy but he wasn't [MASK] sad either.,modifier,adj,rel
He wasn't happy but he wasn't extremely sad either. He was [MASK] sad.,modifier,adj,rel
He wasn't happy but he wasn't [MASK] sad either. He was sorta sad.,modifier,adj,rel
He wasn't happy but he wasn't ridiculously sad either. He was [MASK] sad.,modifier,adj,rel
It was not [MASK] wet. It was kinda dry.,modifier,adj,abs
It was not [MASK] wet.,modifier,adj,abs
It was not extremely wet. It was [MASK] dry.,modifier,adj,abs
 It was [MASK] dry.,modifier,adj,abs
It was not [MASK] wet. It was sorta dry.,modifier,adj,abs
It was not [MASK] wet. It was slightly dry.,modifier,adj,abs
It was not [MASK] wet. It was partially dry.,modifier,adj,abs
It was not [MASK] wet. It was extremely dry.,modifier,adj,abs
It was not [MASK] wet. It was ridiculously dry.,modifier,adj,abs
It was not [MASK] wet. It was completely dry.,modifier,adj,abs
It was not [MASK] wet. It was totally dry.,modifier,adj,abs
It was not [MASK] wet. It was dry.,modifier,adj,abs
It was not ridiculously wet. It was [MASK] dry.,modifier,adj,abs
It was not completely wet. It was [MASK] dry.,modifier,adj,abs
It was not totally wet. It was [MASK] dry.,modifier,adj,abs
It was not wet. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] wet. It was kinda dry.,modifier,adj,abs
It wasn't [MASK] wet.,modifier,adj,abs
It wasn't extremely wet. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] wet. It was sorta dry.,modifier,adj,abs
It wasn't [MASK] wet. It was slightly dry.,modifier,adj,abs
It wasn't [MASK] wet. It was partially dry.,modifier,adj,abs
It wasn't [MASK] wet. It was extremely dry.,modifier,adj,abs
It wasn't [MASK] wet. It was ridiculously dry.,modifier,adj,abs
It wasn't [MASK] wet. It was completely dry.,modifier,adj,abs
It wasn't [MASK] wet. It was totally dry.,modifier,adj,abs
It wasn't [MASK] wet. It was dry.,modifier,adj,abs
It wasn't ridiculously wet. It was [MASK] dry.,modifier,adj,abs
It wasn't completely wet. It was [MASK] dry.,modifier,adj,abs
It wasn't totally wet. It was [MASK] dry.,modifier,adj,abs
It wasn't wet. It was [MASK] dry.,modifier,adj,abs
It was [MASK] dry. It was not extremely wet.,modifier,adj,abs
It was [MASK] dry.,modifier,adj,abs
It was kinda dry. It was not [MASK] wet.,modifier,adj,abs
 It was not [MASK] wet.,modifier,adj,abs
It was [MASK] dry. It was not ridiculously wet.,modifier,adj,abs
It was [MASK] dry. It was not completely wet.,modifier,adj,abs
It was [MASK] dry. It was not totally wet.,modifier,adj,abs
It was [MASK] dry. It was not wet.,modifier,adj,abs
It was [MASK] dry. It wasn't extremely wet.,modifier,adj,abs
It was kinda dry. It wasn't [MASK] wet.,modifier,adj,abs
 It wasn't [MASK] wet.,modifier,adj,abs
It was [MASK] dry. It wasn't ridiculously wet.,modifier,adj,abs
It was [MASK] dry. It wasn't completely wet.,modifier,adj,abs
It was [MASK] dry. It wasn't totally wet.,modifier,adj,abs
It was [MASK] dry. It wasn't wet.,modifier,adj,abs
It was sorta dry. It was not [MASK] wet.,modifier,adj,abs
It was sorta dry. It wasn't [MASK] wet.,modifier,adj,abs
It was slightly dry. It was not [MASK] wet.,modifier,adj,abs
It was slightly dry. It wasn't [MASK] wet.,modifier,adj,abs
It was partially dry. It was not [MASK] wet.,modifier,adj,abs
It was partially dry. It wasn't [MASK] wet.,modifier,adj,abs
It was extremely dry. It was not [MASK] wet.,modifier,adj,abs
It was extremely dry. It wasn't [MASK] wet.,modifier,adj,abs
It was ridiculously dry. It was not [MASK] wet.,modifier,adj,abs
It was ridiculously dry. It wasn't [MASK] wet.,modifier,adj,abs
It was completely dry. It was not [MASK] wet.,modifier,adj,abs
It was completely dry. It wasn't [MASK] wet.,modifier,adj,abs
It was totally dry. It was not [MASK] wet.,modifier,adj,abs
It was totally dry. It wasn't [MASK] wet.,modifier,adj,abs
It was dry. It was not [MASK] wet.,modifier,adj,abs
It was dry. It wasn't [MASK] wet.,modifier,adj,abs
It was not [MASK] wet. It was not extremely dry.,modifier,adj,abs
It was not extremely wet. It was not [MASK] dry.,modifier,adj,abs
 It was not [MASK] dry.,modifier,adj,abs
It was not [MASK] wet. It was not ridiculously dry.,modifier,adj,abs
It was not [MASK] wet. It was not completely dry.,modifier,adj,abs
It was not [MASK] wet. It was not totally dry.,modifier,adj,abs
It was not [MASK] wet. It was not dry.,modifier,adj,abs
It was not [MASK] wet. It wasn't extremely dry.,modifier,adj,abs
It was not extremely wet. It wasn't [MASK] dry.,modifier,adj,abs
 It wasn't [MASK] dry.,modifier,adj,abs
It was not [MASK] wet. It wasn't ridiculously dry.,modifier,adj,abs
It was not [MASK] wet. It wasn't completely dry.,modifier,adj,abs
It was not [MASK] wet. It wasn't totally dry.,modifier,adj,abs
It was not [MASK] wet. It wasn't dry.,modifier,adj,abs
It was not ridiculously wet. It was not [MASK] dry.,modifier,adj,abs
It was not ridiculously wet. It wasn't [MASK] dry.,modifier,adj,abs
It was not completely wet. It was not [MASK] dry.,modifier,adj,abs
It was not completely wet. It wasn't [MASK] dry.,modifier,adj,abs
It was not totally wet. It was not [MASK] dry.,modifier,adj,abs
It was not totally wet. It wasn't [MASK] dry.,modifier,adj,abs
It was not wet. It was not [MASK] dry.,modifier,adj,abs
It was not wet. It wasn't [MASK] dry.,modifier,adj,abs
It wasn't [MASK] wet. It was not extremely dry.,modifier,adj,abs
It wasn't extremely wet. It was not [MASK] dry.,modifier,adj,abs
It wasn't [MASK] wet. It was not ridiculously dry.,modifier,adj,abs
It wasn't [MASK] wet. It was not completely dry.,modifier,adj,abs
It wasn't [MASK] wet. It was not totally dry.,modifier,adj,abs
It wasn't [MASK] wet. It was not dry.,modifier,adj,abs
It wasn't [MASK] wet. It wasn't extremely dry.,modifier,adj,abs
It wasn't extremely wet. It wasn't [MASK] dry.,modifier,adj,abs
It wasn't [MASK] wet. It wasn't ridiculously dry.,modifier,adj,abs
It wasn't [MASK] wet. It wasn't completely dry.,modifier,adj,abs
It wasn't [MASK] wet. It wasn't totally dry.,modifier,adj,abs
It wasn't [MASK] wet. It wasn't dry.,modifier,adj,abs
It wasn't ridiculously wet. It was not [MASK] dry.,modifier,adj,abs
It wasn't ridiculously wet. It wasn't [MASK] dry.,modifier,adj,abs
It wasn't completely wet. It was not [MASK] dry.,modifier,adj,abs
It wasn't completely wet. It wasn't [MASK] dry.,modifier,adj,abs
